,Unnamed: 0,date,title,content
0,0,2013/03/15,外電大幅報導馬總統即將出訪梵蒂岡,外電今天大幅報導馬英九總統即將出訪梵蒂岡，參加（方濟）教宗就職彌撒。美聯社說，台灣在國際間受到孤立，因此台灣總統很少能訪問歐洲。報導說，義大利允許馬總統前往梵蒂岡，台北和北京之間應該透過非正式管道，進行過溝通。路透社和法新社也發出報導，並且說，北京對教廷承認台灣很不高興，昨天中國外交部發言人還發表言論，要求新的教宗上台後，應該跟台北斷交，跟北京建交。
1,1,2013/03/15,週線收黑　本週水泥類股跌最重,台股今天收週線，受到賣壓干擾，週指數沒能站回八千點，週線跌87點。證交所統計，上市公司總市值減少2484億，來到22.13兆。統計顯示，本週表現最好的類股是電子零組件類股，類股單週上漲1%，最弱勢的類股是水泥類股，單週大跌3.88%；類股市值增加最多的是電子零組件類股，市值增加255.5億元；市值減少最多的是電器電纜類股，類股單週市值減少35.22億。成交比重是光電類股、半導體類股最高，占大盤成交比重都在一成八以上；其次是金融類股，占大盤成交比重接近一成三。週轉率則是光電類股最高，週轉率直逼6%，其次是生技類股3.11%的週轉率。證交所統計，集中市場週成交量4409億，日均量才8百多億，量能縮減成為牽動盤勢表現的重要因素，盤勢反彈必須補量才能有效站穩八千點大關。
2,2,2013/03/15,央行：國銀對大陸曝險創新高 占總曝險逾10%,台灣央行今(15)日公布本國銀行最新國家風險統計，去(2012)年12月底全體本國銀行(含OBU及國外分支機構)跨國國際債權總額2187.7億美元，較上季底增加88.9億美元或4.24%，央行另以本國銀行風險移轉後最終風險淨額統計，12月底達2213.9億美元，較上季底增加150.9億美元或7.32%，創近1年新高，且對中國大陸曝險部位逾235億美元，占總曝險超過10%，續創新高。央行指出，12月底全體本國銀行(含OBU及國外分支機構)跨國國際債權增加，主要是存拆放同業及國外貸放增加所致，由於跨國國際債權部分最終借款人與債務人分屬不同國家，另統計本國銀行風險移轉後最終風險淨額。就地區別分析，在直接風險上，以亞洲及太平洋地區占36.09%最多，歐洲地區占34.33%次之，接續是美洲及加勒比海地區占25.68%；與上季底比較，以亞洲及太平洋地區增加50.6億美元為最多。而本國銀行直接風險跨國國際債權餘額前10大國家(地區)依序為盧森堡、美國、中國大陸、香港、英屬西印度群島、英國、開曼群島、新加坡、澳大利亞及愛爾蘭，合計1621.3億美元，占我國申報直接風險跨國國際債權總額74.11%。其中，對中國大陸的曝險部位持續攀升，去年第4季底達235.48億美元，占總曝險金額10.76%，續創新高，央行解釋，主因是國銀大陸分行陸續開設，業務逐漸推展所致。依據國際清算銀行1月發布去年9月底世界各國申報的國外債權總額(包括國外分支機構對當地居住民當地幣別的債權)為31兆3825億美元，前3大債權國依序為英國(占全球比重13.12%)、美國(占10.51%)及日本(占10.19%)，我國國外債權總額2368.3億美元，僅占0.75%。
3,3,2013/03/15,〈權證〉多空僵持！ 宏達電率先破空頭襲擊 多方比突破50%,台股今(15)日攻8000點又軟腳，終場以下跌24.27點、7927.49點作收，成交量能稍放大至921.18億元，日線連4黑、周線同步收黑下跌87點。權證市場中，多空也持續呈僵持狀態，認購占比力守80%、較昨日持平，認購方籌碼逐漸分散，並無突出的標的明顯竄出，不過，大受認售方摜壓的宏達電()在三星發表旗艦機S4後，反而有稍微消退之意，空方占比已降至50%下，大減逾8個百分點。三星發表S4，市場以及全球機迷高度關注，儘管規格吸睛，造成競爭對手不小壓力，但宏達電()也非省油燈，在三星發表現場外造勢，邀請民眾體驗、發折價券，使認購方信心大增，成交總額較昨日大增近2000萬元，多方比終於突破50%；不過，也要留意，空方即便因此出現疲態，並未明顯「棄守」，成交總額仍達7500萬元，在認售面仍是最為熱絡的標的。即使聯發科「認購王」光環已加持7個交易日，不過，多方熱情進場的情緒已有稍冷卻的態勢，成交金額大減逾3700萬元，多方占比跌破80%，法人表示，成交面多由市場賣回造市券商。「鴻夏戀」又有最新發展，夏普首度證實鴻夏戀破局，鴻海在3月底前將不會完成出資協商，不過雙方仍會在期限後，就合作的意向繼續進行交涉，法人認為這反而不覺得是壞事，使其股價以微漲0.25%作收，逼退認售買盤，多方占比一舉大增逾7個百分點，衝破90%。特別可留意的是，生技高獲利股精華()因公布去年每股稅後盈餘(EPS)達23.88元改寫歷史新高，符合法人預期，董事會也擬配發現金股利17.5元，認購多方見勢快速進駐，近2日總成交額已超過4000萬元。但另一方面，公平會重手開罰獨立電廠，遭處罰金最高的有台塑化麥寮汽電以及台泥和平電力，台泥()今股價續跌逾2%，認售方趁機加碼摜壓，儘管總成交額尚未破千萬元，但空方占比竟超過80%，短期現貨股價表現恐怕難樂觀。永豐金證券衍生商品部則表示，近期可聚焦高殖利率概念股，其中，精華近2日成交量放大，認購賣出皆有約8000張以上，多數已跑到深價內，今日新掛牌的永豐ZZ(707669)、日盛TB(707338)目前價內接近價平，隱含波動率在市場上相對低。
4,4,2013/03/15,辛耘擬配發1.5元現金股利 歷年新高,半導體設備與再生晶圓供應商辛耘企業()董事會決議配發1.5元現金股利，歷年來辛耘配息新高水準，以今日辛耘收盤參考價58.6元計算，現金殖利率達2.56％。辛耘表示，2012年度之股利配發政策，係考量今年將以去瓶頸方式擴增再生晶圓產能，並將持續投入半導體先進製程設備研發，包括高階的單晶圓／批次晶圓濕式製程設備，以及先進封裝製程上所需的立體堆疊IC（3D IC）先進封裝濕製程設備，因此保留部份資金，以投入產品研發與招募新人力的花費上。目前辛耘再生晶圓業務已通過客戶20/16奈米認證，目前保持產線滿載，未來將透過去瓶頸方式擴充產能，且僅需1-2季即可量產；在設備代理部份，公司預期今年國內半導體產業對於28nm、3D IC等需求增溫，以及新代理線AE的貢獻下，法人估計全年營收將有2成以上成長，每股盈餘上看4元。辛耘歷史走勢圖
5,5,2013/03/15,力成去年股利符預期 每股擬配3元現金 殖利率6.1%,IC封測力成()今(15)日公布去年股利政策，每股擬配發 3 元現金股利，以今日收盤價換算，現金殖利率約6.1%。力成去年受大客戶爾必達重整事件衝擊，表現較往年失色，但在行動記憶體以及合併超豐()營收帶動下，全年合併營收仍達416.11億元，較2011年成長5.47%，毛利率為17.8%，較2011年減少6.4個百分點，營業淨利為49.38億元，年減34.5%，營益率為11.86%，年減7.3個百分點，稅後淨利為36.11億元，年減23.9%，每股稅後盈餘為4.63元。力成日前召開法說會，董座蔡篤恭再度對投資人致歉，認為股價也代表廣大投資人給予力成的評價，力成還會繼續努力，他也在法說會上承諾，為彌補投資人損失，將會把股利分配率拉高，從以往 4 成水準，拉高到6-7成，每股配發金額約在2.7至3.2元間。力成今日公布去年盈餘分配，每股擬配發 3 元現金股利，配發率約64%，配發率符合原先預期，以今日收盤價計算，現金殖利率約在6.1%左右。力成歷史走勢圖
6,6,2013/03/15,尾盤空襲誰殺的？外資賣超41億元 回補鴻海 台指期淨倉位翻空,台股今天多頭雖無力再扣8000關大門，但全場也大多守在平盤上狹幅震盪，不料尾盤空方出其不意，摜殺157億元，將指數摜壓24點，大盤形成帶量長黑摜破月線。收盤時以下跌24.27點、7927.49點作收，成交值放大至921.18億元。今天尾盤空襲誰殺的？外資賣超41.56億元，不過卻對鴻海展開回補，中止連16賣，空方持續發出召集令，留倉空單水位突破3萬口，淨倉位轉為空單367口。本土法人也站在賣方，投信賣超5.06億元，其中大砍南亞1萬多張，自營商賣超10.09億元，合計賣超56.72億元。外資買超鴻海8000多張、群創7000多張，廣達4000多張，新光金、富邦金、台達電各逾3000張，F-中租、緯創、矽格、國泰金、勝華各逾2400張。外資賣超友達2.4萬張、聯電1.3萬張、中鋼1.2萬張，大同1萬多張。第一金、台新金各8000多張，華新、元大金、台積電各逾7000張，宏達電6000多張，彩晶5000多張。投信買超中鋼1.5萬張、兆豐金9000多張，第一金5000多張，台積電、華南金各逾4000張，聯電、元大金、南紡、台化、中鼎各逾3000張。投信賣超南亞1萬張、開發金9000多張，日月光7000多張，中石化6000多張，群創、台塑、國泰金各逾5000張，廣達4000多張，合庫金3000多張。自營商買超寶滬深2000多張，FH滬深、長榮航、神基各逾1000張。FB上證、台新金各逾700張。自營商賣超開發金、群創各逾4000張，中石化3000多張，台積電、國泰金、精英、兆豐金、友達、新光金、龍邦、聯電各逾1000張。台股今天尾盤的157億元大單，瞄準權值股「捉對廝殺」，瞬間就讓下跌24點，顯得不太尋常。觀察三大法人進出，外資殺的是友達、聯電、中鋼，投信則大砍南亞，張數都逾萬張，似乎各有「棄養」標的。但以台股日線來看，今天的空襲殺尾，使得大盤形成帶量長黑摜破月線，多頭如未能儘速站回月線，恐將距離8000關愈來愈遠。多頭目前已面臨紅色警戒，如月線站不回，恐將續往季線回測。
7,7,2013/03/15,尾盤空襲誰殺的？外資賣超41億元 回補鴻海 台指期淨倉位翻空,台股今天多頭雖無力再扣8000關大門，但全場也大多守在平盤上狹幅震盪，不料尾盤空方出其不意，摜殺157億元，將指數摜壓24點，大盤形成帶量長黑摜破月線。收盤時以下跌24.27點、7927.49點作收，成交值放大至921.18億元。今天尾盤空襲誰殺的？外資賣超41.56億元，不過卻對鴻海展開回補，中止連16賣，空方持續發出召集令，留倉空單水位突破3萬口，淨倉位轉為空單367口。本土法人也站在賣方，投信賣超5.06億元，其中大砍南亞1萬多張，自營商賣超10.09億元，合計賣超56.72億元。外資買超鴻海8000多張、群創7000多張，廣達4000多張，新光金、富邦金、台達電各逾3000張，F-中租、緯創、矽格、國泰金、勝華各逾2400張。外資賣超友達2.4萬張、聯電1.3萬張、中鋼1.2萬張，大同1萬多張。第一金、台新金各8000多張，華新、元大金、台積電各逾7000張，宏達電6000多張，彩晶5000多張。投信買超中鋼1.5萬張、兆豐金9000多張，第一金5000多張，台積電、華南金各逾4000張，聯電、元大金、南紡、台化、中鼎各逾3000張。投信賣超南亞1萬張、開發金9000多張，日月光7000多張，中石化6000多張，群創、台塑、國泰金各逾5000張，廣達4000多張，合庫金3000多張。自營商買超寶滬深2000多張，FH滬深、長榮航、神基各逾1000張。FB上證、台新金各逾700張。自營商賣超開發金、群創各逾4000張，中石化3000多張，台積電、國泰金、精英、兆豐金、友達、新光金、龍邦、聯電各逾1000張。台股今天尾盤的157億元大單，瞄準權值股「捉對廝殺」，瞬間就讓下跌24點，顯得不太尋常。觀察三大法人進出，外資殺的是友達、聯電、中鋼，投信則大砍南亞，張數都逾萬張，似乎各有「棄養」標的。但以台股日線來看，今天的空襲殺尾，使得大盤形成帶量長黑摜破月線，多頭如未能儘速站回月線，恐將距離8000關愈來愈遠。多頭目前已面臨紅色警戒，如月線站不回，恐將續往季線回測。
8,8,2013/03/15,國統去年股利配發1元現金 股東會6/5召開並全面改選董監,水資源概念國統國際()今(15)召開董事會，會中並敲定去年股利配發1元現金股利，同時，股東會訂6月5日召開，今年國統的股東會並將全面改選董監事。以今天的國統收盤價24.4元計算，其配發1元現金股利的殖利率為4.1%。在台灣水資源供給警訊響起，並展開地區性減壓供水同時，經濟部水利署宣布將掌握有利時機啟動人工增雨作業，水資源概念股更引發矚目，國統今天股價爆量5487張，在盤中站上25.3元，創7個月以來新高價，並以24.4元作收，較昨日上漲0.55元或2.31%。國統除與中工合作拿下總金額40.98億元的「曾文水庫防淤隧道工程」採購案，同時，國統更進一步與子公司共同拿下台灣自來公司的1.76億元的烏山頭至台1線送水幹管工程，今天並上演慶祝行情。國統與中華工程及黎明工程顧問等，共同投標並標下經濟部水利署南區水資源局的「曾文水庫防淤隧道工程」採購案，共同得標金額為40.98億元。經濟部水利署南區水資源局「曾文水庫防淤隧道工程」案採購採取最有利標決標，總金額為40.98億元，依所占契約金額比率為中華工程20.43億元占49.85%、國統國際19.73億元占48.15%、黎明工程顧問為8196萬元占2%。國統國際歷史走勢圖
9,9,2013/03/15,漸入佳境！中鋼2月獲利逆增3% 前2月賺29億元超越上季,中鋼()2月雖因農曆春節假期影響，2月合併營收2470.9億元，較上月下滑24%，但獲利表現卻因原料成本降低，自結單月稅前盈餘為14.84億元，較1月的14.4億元成長3%，前2月稅前盈餘29.24億元，每股稅前盈餘0.19元，並超越上季的21.42億元！中鋼公布2月合併營收2479.9億元，較上月減少24%，合併營業利益16.51億元，較上月成長12%，自行結算合併稅前淨利14.84億元，較上月增加3%。中鋼2月營收較元月下滑，但營業利益、稅前盈餘都較上月逆勢成長，超出法人預期。法人指出，原本就預估中鋼首季因盤價順利調漲，且接單狀況超出預期，產能利用率拉升，加上原料成本相對降低，首季獲利表現將可順利超越上季，但沒料到前2月獲利即已超越上季。中鋼今天股價上漲0.5%，以27.15元作收，站回年線。中鋼歷史走勢圖
