,date,title,content
0,2013/08/01,5家RBC未達200%壽險公司 僅宏泰人壽未提交增資計畫,目前有5家壽險公司RBC未達200%，金管會日前發函要求此5家業者在7月底前提出增資計畫，結果僅宏泰人壽未提交。金管會今(1)日指出，會給壽險公司陳述意見機會再決定是否處分。目前RBC未符合200%以上的5家壽險公司，包括國寶人壽、幸福人壽、朝陽人壽、遠雄人壽及宏泰人壽，金管會已要求在今年7月底前提出增資計劃，結果期限到期時，宏泰人壽仍未提交增資計畫。日前宏泰人壽召開臨時股東會，通過取消減資案，宏泰人壽表示，將以土地作價增資，未來不排除分批向主管機關申請審核通過。但宏泰人壽以土地作價增資，也讓宏泰人壽與其他大股東包含太陽生命之間產生了爭議。對此，金管會保險局副局長陳開元今天表示，宏泰人壽有來溝通過，但宏泰人壽的增資案因為與其他大股東之間有些爭議需要解決，以及所要增資的土地金管會還要再檢視，所以尚未提出增資計畫，但會給宏泰人壽陳述意見的機會，再決定是否處分。
1,2013/08/01,京城銀「待嫁」對象 提升ROE比併購溢價重要,京城銀行()今(1)日召開法人說會，由於京城銀多次遭市場點名「待嫁而沽」，對此，董事長戴誠志比喻，「併購像交男女朋友，父母也希望京城銀結婚，但不一定追得到女朋友。」他說如何提升員工能創造的價值，以及如何提升股東權益報酬率(ROE)比被併購時溢價多少更重要。京城銀今年上半年稅後純益18.97億元，年增23%，每股稅後純益(EPS)1.65元，資本適足率(BIS)13.72%，第一類資本適足率13.11%，逾放比0.11%，備抵呆帳覆蓋率1319%，放款覆蓋率1.51%，資產報酬率(ROA)1.88%，股東權益報酬率(ROE)18.42%。戴誠志指出，以京城銀的股東權益報酬率(ROE)來看，京城銀若以10%-15%的溢價出售，其實一年就可以賺得回來，因此如何創造更好的ROE，比一時的溢價更重要，就像若能提高單一員工的產值，比能增設分行來得好。截至6月底，京城銀投資國內債券150.76億元，平均收益率1.37%，海外債券9.98億美元，平均收益率達5.94%，今年上半年淨利息收入已達20.71億元，年增2成，淨利差2.21個百分點，淨手續費收入6.56億元，年增57%。對於台灣海陸運輸公司(TMT)的壞帳問題，戴誠志表示，已經在今年上半年一次打銷TMT呆帳2000萬美元，目前帳上已無TMT曝險部位，但他說「投資TMT是他任內最丟臉的投資」，打銷TMT後，目前帳上應該已經沒有還會出問題的大筆放款。京城銀指出，由於目前活存比超過5成，加上費用率降至2成，即使未來全球環境轉向升息，以京城銀持有海外債券存續期間僅約5年，但收益率逼近6%評估，受到影響有限，且下半年利差仍會憂於上半年，還有再擴大10個基本點的空間。
2,2013/08/01,"今(1)日證券商申報客戶違約買賣總計金額1,678,750元，買進、賣出相抵後金額9,950元。","今(1)日證券商申報客戶違約買賣總計金額1,678,750元，買進、賣出相抵後金額9,950元。"
3,2013/08/01,研調機構示警：鋰電池微利時代來臨！,根據全球市場研究機構EnergyTrend調查，中國電池廠包括新能源、光宇等已逐漸抬頭，產能擴增較日韓系電池廠更積極。隨鋰電池價格下跌以及中國廠商分食，EnergyTrend也提出預警，鋰電池微利時代即將來臨，鋰電池產業的毛利將可能再往下探。台廠2大鋰電池廠中，新普()半年報尚未公布，但已率先公布半年報的順達()，第2季合併毛利率已下滑至至5.2%，較上季再下滑2個百分點，似乎也已驗證鋰電池產業微利時代來臨。EnergyTrend指出，鋰電池從2000年開始已風行於手機產品，2004年韓國急起直追生產筆記型電腦電池，並且在2008年隨著日系電池出現安全問題，而加入中國電池供應鏈，使得整體鋰電池供應鏈也從早期的日系主導，演變為日、韓與陸系三分天下的局面。EnergyTrend表示，中國龐大的勞動力與快速增長的內需市場迅速培育出中國國產鋰電池產業，從上游電池材料(Material)、中游電池芯(Cell)到下游電池組裝(Pack)，涵蓋範圍包括了消費性產品與動力產品。目前許多重要消費性裝置都選擇中國為組裝基地，連帶使得許多電池芯與電池組裝也落腳中國，包括日系與韓系電池廠也都不約而同的在中國建立電池生產基地，帶動中國電池產業的良率提升。在目前高分子電池擴產速度減緩當下，中國電池芯廠仍積極進行產能擴充規劃，近期最火熱的蘋果手機供應鏈中，也增加了新的中國電池芯廠，因此無論是從內需市場或者自有品牌的催化，都讓中國電池芯廠後市發展潛力不容小覷。為了因應逐步下滑的電池芯價格，電池芯廠逐漸轉變經營策略，切入電池組裝加工，包括索尼、三星、樂金、新能源、比亞迪等等，特別在方形電池與高分子電池，更是全面占據單電池芯組裝的供給角色。根據Energytrend的調查，目前圓柱型電池芯廠，廠內組裝加工自主率已達到50%以上，部分日系廠更超過70%的比重。方形電池因為大多應用在手機商品，幾乎100%由電池芯廠組裝。Energytrend指出，目前第3季的圓柱型價格表現，高容量表現呈現下跌走勢，客觀來說反映出高容量使用的比重提升，價格也呈現合理的量大價跌的常態走勢。而在高分子部分，高容量的比重持續拉高，許多第3季即將上市的新款平板產品，都捨棄多串並的型式來增加產品外型特色，改由單一容量較大的電池芯做配置，最主要仍是成本考量，高容量電池芯也因此在價格競爭上更顯白熱化，季跌幅達到3.3%，與上季相比下跌幅度加劇，使得鋰電池產業毛利率恐將再往下探。
4,2013/08/01,〈權證〉漢微科、可成業績亮眼護體 多方買盤激增,在電子族群繼續拖累大盤走低的態勢下，不僅多方縮手觀望，尾盤也再見殺尾賣壓，收盤時下跌51.72點，以8056.22點作收，權證市場中多方信心同樣委靡，認購總成交比重又下滑到3日來新低，較昨日小跌3個百分點至73%，不過，值得高興的是，認購前10大熱門榜中，有9檔是熱門股，其中包括鴻海()、漢微科(3658-TW)和可成()多方量能回溫，可望成為電子轉攻領頭羊，帶領電子再度成為盤面主流。聯發科()穩坐認購王寶座，多方總成交額連2日破億元，遙遙領先其他電子熱門標的，認購占比也回升至70%以上來到71%，創4個交易日來新高。鴻海今早嚴詞澄清「與客戶關係穩固，絕無掉單之說」，並強調保留法律追溯權，順利穩住多方信心，認購續加碼，總成交額已連4增並來到4000萬元之上，認購占比連續1周都維持在80%以上，仍由多方握有主控權。另一方面，漢微科上半年每股稅後盈餘16.47元、可成上半年稅後EPS也高達10.07元，業績亮眼護體，激勵多方進場，兩項標的在認購市場上交投相對其他電子高價股熱絡，認購成交額均超過3000萬元，且認購占比同步大增超過10個百分點。除了幾檔熱門電子權值股外，包括仁寶()、華碩()、華寶(8078-TW)、力成()和英業達()多方人氣續夯，其中僅華碩認購占比未達50%，其他標的仍由多方占領略勝一籌。永豐金證券衍生商品部則表示，工具機廠F-亞德()第2季財報亮麗，今日午盤前即攻上漲停來到新高價181.5元，目前短中長期均線皆向上翻揚，具多頭排列格局，投資人若看好短期後市行情，可參考今日成交量最大的永豐03(066102)，價外約7%，與現股連動佳亦可收高槓桿之效，也可選擇剛掛牌，價平的統一KH(066265)。【淘金俱樂部】
5,2013/08/01,快樂檸檬IPO！F-雅茗明年Q2上櫃 台灣展店目標破百家,雅茗天地董事長吳伯超宣布，年底將以雅茗天地(F-雅茗)名義送件第一上櫃，預計明年第2季掛牌交易，同時明年台灣將展店破百家為目標。(鉅亨網記者張旭宏攝)由台商吳伯超所創辦的雅茗天地集團旗下的大陸最成功外帶茶飲品牌快樂檸檬今返台拓點搶市外，董事長吳伯超同步宣布，年底將以雅茗天地(F-雅茗)名義送件第一上櫃，預計明年第2季掛牌交易。同時明年台灣將展店破百家為目標。吳伯超表示，目前雅茗天地旗下共有3個品牌，分別是仙蹤林、快樂檸檬及Fresh tea，其中仙蹤林是有座位及含餐，含餐平均客單價在42元，不含餐則在22元，目前中國150家，年底將再開40家；快樂檸檬則落在12元，目前中國280家，年底前將再開235家；而Fresh tea定位在高端的賣場，客單價13元起跳，目前中國只有8家，年底前將再找尋適合位置持續展店，目前沒有規劃要開多少家。吳伯超指出，目前全球快樂檸檬約有350家，今天台灣展店外，韓國首家店有正式開幕，月底韓國在開第二家，日本市場則在年底前開幕，至於東協市場，目前則在菲律賓、泰國、新加波及澳洲持續展店中。針對台灣市場，吳伯超強調，延吉店6月中下旬開始試營運，7月營業額超過百萬，符合當初所設定的目標，南西店今開幕，希望能延續延吉店成長的態勢，月營收能夠衝破百萬元，未來能會以商場百貨為主，街邊店為輔，年底全台將開出15家，明年開出百家為目標。吳伯超強調，選擇回來台灣掛牌，是因為這裡是自己的故鄉，同時藉由台灣，把茶飲文化打進國際，發揮台灣加大陸1+1>2的縱效，同時也希望帶動台灣小吃文化進入IPO的資本市場。吳伯超表示，隨著中國近期高溫不斷，帶動快樂檸檬業績快速成長，光是上半年全球營收跟去年同期比較，成長超過40%，展望下半年，隨著店面持續開出，營收可望持續攀高，全年營收成長可以期待。
6,2013/08/01,友華旗下友霖 過動症新藥 Q4擬申請三期臨床試驗,友華集團()佈局新藥開發，陸續傳出佳音。友華集團旗下友霖生技()今天宣布與美國研發公司DURECT，針對新藥ORADUR-Methylphenidate研究計畫選出創新配方，服藥後快速發揮藥物效果等特性，將有機會能成為注意力不足過動症（ADHD）的另一項選擇。友霖預定第4季向國內衛福部食品藥物管理署（TFDA）諮詢，討論第三期臨床試驗計畫，並規劃未來該藥品在亞洲與南太平洋等國家的市場開發。友霖生技執行長蔡孟霖表示，這是友霖與DURECT兩家公司首次的技術平台開發合作，對於目前ORADUR-Methylphenidate研究計畫所展現的成果感到相當滿意。根據友霖與DURECT的研究計畫，此一創新配方在近期的一期臨床試驗中展現出數項特性，包括：服藥後快速發揮藥物效果、藥效延長為每日一次的長效型，並具有理想的藥物動力學特性。此外，本品將發展成比市面上現有藥品更小的膠囊，易於服用，並且搭配DURECT的ORADUR防藥物濫用（tamper-resistance）功能，與目前市場上同類型藥品有明顯的區隔，也更具未來產品銷售的潛力。注意力不足過動症（ADHD）是一種神經行為症狀，根據美國資料顯示，估計有超過5百萬名3-17歲的美國孩童受其影響，而國內健保署資料也顯示台灣也有約9％學齡兒童有過動症現象。根據IMS資料顯示，台灣市場潛力超過3.1億元。注意力不足過動症的主要表現為注意力不集中、過動及易衝動。症狀本身會在孩童時期出現，同時，由於許多注意力不足過動症孩童在長大成人後仍持續表現症狀，因此，也可能終身受其影響。估計有超過50％的兒童注意力不足過動症接受藥物治療，使用methylphenidate等興奮劑作為第一線治療。美國於2012年的注意力不足過動症治療費用大約為84億美 元，較2011年成長15％。
7,2013/08/01,兆豐銀行申設柬埔寨金邊機場支行 金管會點頭,金管會今(1)日同意兆豐金()旗下兆豐國際商業銀行向柬埔寨主管機關申請設立金邊分行-金邊機場支行。金管會表示，兆豐國際商業銀行基於台商前往柬埔寨投資的家數逐漸增加，經該行評估柬埔寨政經及金融概況，以及現有金邊分行之地理區位、當地台商分布等情形，於當地設立金邊機場支行，將有助於提高台商與該行往來意願，增加業務承作機會。目前我國銀行獲金管會核准在柬埔寨設立分支機構者，計有第一商業銀行、合作金庫銀行、兆豐國際商業銀行、國泰世華商業銀行及玉山銀行，前三者均設有金邊分行，其中第一商業銀行並設有中洲支行、奧林匹克支行，另國泰世華商業銀行與玉山商業銀則分別持有當地Singapore Banking Corporation 及Union Commercial Bank Plc. 70﹪之股權。兆豐國際商業銀行目前已設立之海外分支機構計33處，加計本次申請之金邊機場支行共計34處。
8,2013/08/01,〈期指〉急拉急殺交相戰 外資大布空單 台指期8000關前止步,受到宏達電連日跌停的影響，引爆高價股的向下比價效應，買盤轉趨保守，今(1)日盤中一度急殺至8000點止步後再急拉，急拉急殺交相戰，外資大布空單，波動風險顯著加劇，所幸在現貨收盤後，指數往平盤靠攏收斂跌勢，終場以8045點作收，期現貨由逆價差轉為正價差32點，波動率回落平盤附近，市場信心稍有回穩。觀察法人籌碼變化，三大法人今天在現貨市場同步賣超，其中外資賣超27.2億元，自營商賣超0.5億元，投信也賣超2.9億元，三大法人合計賣超30.5億元。在淨部位方面，外資加碼淨空單3471口至5497口，自營商小減淨空單423口至4502口，三大法人共加碼淨空單3131口至7953口，前十大交易人也加碼淨空單2227口至6632口，大額交易人避險情緒持續增溫。元大寶來期貨表示，台股今天成交量為733億元，大盤連日低量盤跌；而歷經多空拉鋸後，盤勢轉為由空方主導，下檔支撐力道轉弱，盤中大部分的時間都於月均線附近震盪。元大寶來期貨進一步指出，所幸8月合約在收盤前最後幾分鐘技術性地守穩該均線，給予後市短多搶彈的契機；可惜市場主力在籌碼面的佈局仍比較悲觀，加上指數又回落到近期區間下緣，破底危機似乎尚未解除，短線仍須靜待利多消息挹注與支撐大舉表態。
9,2013/08/01,外資大玩養套殺？轉為賣超27億元 台指空軍發召集令！,亞股今天一片紅通通，但台股獨憔悴，友達轉盈，率領面板族群衝鋒，但宏達電、華碩依舊弱勢，電子軟腳，拖累大盤，開平走低，收盤時下跌51.72點，以8056.22點作收，成交值萎縮至730.94億元，8100點棄守。外資繼借券大增後，今天轉為賣超27.19億元，台指空軍也發出召集令，空單大增3000多口，淨空單攀高至5400多口。投信賣超2.89億元，自營商賣超0.45億元，三大法人共賣超30.54億元。外資買超友達2.5萬張、兆豐金1萬多張，玉山金、群創各逾4000多張，富邦金、中壽、華寶各逾3000張，華通、聯電、仁寶、大聯大各逾2000張。外資賣超華亞科8000多張，台積電7000多張，華碩、國泰金各逾4000多張，旺宏、台灣50、宏碁、中鋼、F-中租各逾3000張，瑞軒、遠東新、統一、可成各逾2000張。高價股賣超TPK達1300多張。投信買超永豐金、華寶各逾2000張，中信金、彰銀、陽明、杏輝各逾1000張，台泥、華亞科、華通各逾700張。投信賣超彩晶1.6萬張、京元電2700多張，南電、FB上證、元上證、矽格、元大金、華航各逾1000張。自營商買超寶滬深7000多張，第一金5000多張，群創3000多張，正新、精英、中工、國喬、FB上證、元上證各逾1000張。自營商賣超鴻海3000多張，仁寶、彩晶各逾2000張，聯電、大聯大、玉山金、旺宏、英業達、友達各逾1000張。台股連續2天軟腳下跌，不僅8200點未能突破，今天連8100點也都失守，以收盤價來看，創下近2周新低，且今天成交量又萎縮至700多億元，量能又轉為退潮，下檔再測半年線與8000點關卡，恐難以避免。解鈴還需繫鈴人，嚴重拖累多頭信心的電子高價股，尤其是宏達電，短線必須儘速止跌，讓電子重振雄風，儘速站回差距僅有70點的月、季線，才能化解盤跌危機。
