,date,title,content,title_score,content_score
0,2017-01-15,〈和碩尾牙〉蘋果訂單遭分食？童子賢：1-2年內不影響公司成長,針對近期市場傳緯創 () 搶進 iPhone 8 新機組裝有成，和碩 () 營運恐有壓，和碩董座童子賢今 (15) 日對此表示，短期 1-2 年對和碩營運成長不會造成問題，且和碩非該美系品牌最大代工廠，影響很有限。他強調，和碩不會集中營運在一、兩個客戶上，路徑還很寬廣，會持續分散。近期市場傳，蘋果除 iPhone7 分散訂單至緯創，新一代的 iPhone8 訂單分配，緯創比重將持續增加，恐壓縮包含鴻海 () 與和碩的訂單比重；尤其緯創初期接到的訂單以 4.7 吋訂單為主，也是和碩目前主力代工機種。緯創近半年更斥資百億元擴產，市場解讀緯創動作頻頻，顯然是已接到明確的訂單，才會積極擴充產能，更引起市場話題。不過，法人對此認為，雖然緯創積極擴產，但 iPhone 產品初期量產都有良率問題，和碩初期也遇到同樣問題，因此緯創的良率拉升將是重要觀察指標。,1.0,1.0
1,2017-01-15,〈和碩尾牙〉員工人人有獎每人可領1.2萬 共發出逾億元現金,和碩 () 今 (15) 日舉行年終尾牙，席開 785 桌，共 7850 名員工到場，董事長童子賢、副董事長程建中與執行長廖賜政會中上台，加碼尾牙普獎，每位員工可拿 12000 元現金，等於全體員工人人有獎，以和碩員工數計算，加碼普獎就發出逾 9000 萬元現金，再加上尾牙規劃 1000 萬元現金獎，和碩尾牙就大方發出上億元獎金。和碩今日尾牙在南港展覽館盛大舉行，席開 785 桌，並邀請張震嶽與張惠妹等知名影藝人員到場開唱表演，對員工相當大方。和碩過去兩年尾牙都加碼普獎，所有員工人人有獎，廖賜政今日表示，過去兩年每位員工都拿 10000 元獎金，今年尾牙普獎要較去年成長，今年普獎獎金每位員工可拿到 12000 元獎金，金額比去年 10000 元增加 2 成。和碩今年單是尾牙普獎就發出逾 9000 萬元普獎獎金，加上現場原本抽獎的 1000 萬元現金獎，和碩光現金就發出逾億元獎金，大方態度堪稱台灣上市櫃公司之冠。,0.0,7.0
2,2017-01-15,〈和碩尾牙〉談美國製造 童子賢：條件成就會擴充當地規模,和碩 () 董事長童子賢今 (15) 日表示，美國製造這個議題目前仍是市場討論階段，但只要政策、客戶需求與意願等條件成熟，和碩不排除赴美擴充組裝產線，增加美國員工人數。目前和碩在美國已有近千人團隊運作經驗，要擴張廠區與人數規模都不會是問題，但前提是條件必須成就。童子賢強調，美國製造話題很夯，但許多論點互相矛盾，例如許多人認為要赴美製造，但必須提升自動化生產比重，才能減少增加的成本壓力，但自動化並無法提高美國就業率。童子賢強調，和碩已於美國有三個維修據點，共雇用近千名員工，未來若要持續擴充不是問題，端看產業生態與市場需求，還有政策與產業互動是否到位，在條件允許前，不會逆水行舟。他說，包含美國在內，各國家與區域領導人，都希望可做到各地區經濟成長，因此美國新總統川普也不例外，這對美國是好事，但政策必須合理，環節要順暢，只是到現在還沒看到此現象。童子賢透露，和碩美國可以擴充的部分仍以最後段組裝為主，要擴充規模不只 3-5 倍，有需求可擴充到 10 倍以上，且和碩在墨西哥、捷克等地都有設廠，有許多管理國外員工的經驗。,1.0,5.0
3,2017-01-15,〈和碩尾牙〉談一例一休 童子賢：經濟成果共享員工 樂意看待,和碩 ()董事長童子賢今 (15) 日表示，一例一休是要把經濟成果分享給員工，和碩樂意看待此事，同時和碩對員工態度是希望進入用智慧、腦力階段，而非強迫員工過度付出勞力。童子賢強調，一例一休是社會的調整過程，相信經過盤整後，社會會繼續前進與發展。他認為，企業的價值是創造股東報酬、員工舞台及為政府創造稅收與就業，企業經營做得好，方向調整好，才可以利己與利他。他透露，一例一休剛要上路時，和碩副董事長程建中就說，這對和碩不是問題，和碩對員工態度是希望員工用腦力與智慧，而不是付出過多的體力，因此包含他本人、程建中與整體經營團隊，都認為一例一休不是很大的問題。童子賢強調，法規上路後確實有同業對此反彈，也認為安排上不具備彈性，但這情況並不只在台灣發生，中國也有員工離鄉背井到大都市上班，卻因法規規範面臨無班可加的情況，但這都只是法規與社會調整過程。童子賢認為，一例一休的精神是希望企業可將經濟成果分享給員工，和碩樂意看到此結果。,1.0,8.0
4,2017-01-15,〈和碩尾牙〉 童子賢：新品陸續問市今年營運樂觀 等待下一個熱帶氣流來,和碩 () 今 (15) 日舉行年終尾牙旺年會，董事長童子賢強調，今年營運比去年更明朗，許多新產品將陸續有明顯突破並進入商品化，和碩去年營收較前年下滑，只是短期的盤旋，只要持續努力開拓業務，就可等待下一波新的熱帶氣流，今年新產品不會讓消費者、分析師與市場失望，營運沒有悲觀訊息。童子賢表示，今年景氣與營運都較去年明朗，主要是許多新領域產品，過去 2-3 年開始醞釀，今年將有明朗結果，並將逐漸進入商品化，可望創造新的營業額。童子賢認為，這些新品過去過去 2 年市場都在等待，包含物聯網、智慧城市、虛擬實境 (VR)、擴充實境 (AR) 等面向，及個人消費金融等，過去 3 年市場遲遲未普及，隨著網路技術進步與普及持續推波助瀾，將貢獻產業新的產值。和碩去年全年營收達 1.15 兆元，連續第三年破兆元關卡，但較 2015 年下滑 4.6%。童子賢勉勵同仁，營運微幅成長與修正，是產業盤整與打內部基礎之必然現象，只要持續投入基本研發與業務開拓，並強化工廠自動化以及精進製程技術，不停止努力，如此和碩營運只是短期盤旋，等待另一股新的熱帶氣流，現在並沒有悲觀的訊息。童子賢也強調，今年政治經濟面向仍詭譎多變，因此和碩要做好創造自身條件，才能應付外在環境之變化。和碩執行長廖賜政則強調，審慎看待今年成績，也會維持樂觀態度看待營運新情況，包含面對美國準總統川普上任與英國脫歐等新的問題。,1.0,4.0
5,2017-01-15,〈名師解盤〉期指結算、川普就職大變局 台股下周後半恐下殺,原本市場預期本周台股有機會衝過前高 9430 點，甚至挑戰 9500 點、9600 點，儘管外資出現連 8 買，但是內資持續站在賣方，僅靠外資一度推升指數以小數點越過前高，但最後僅能力守 5 日線。展望下周，由於周三有 1 月契約將結算，周五又有美國總統當選人川普就職，預料指數上半周或有機會維持高檔整理，不過下半周下殺機率恐大增。分析師許博傑表示，下周將結算，外資在不一定是全部做多，也有人是做空的，因此在週三結算之前，指數可能出現大幅劇烈震盪，到了下半周，震盪幅度就有機會趨緩，另外一個觀察指標則是外資借券狀況是否有持續增加，尤其周五外資借券金額大增，是否僅是外資為了避險，或是態度轉多為空，仍有觀察。分析師林隆炫表示，匯率近期大漲，相較之前 3 個月都是走貶，基本上是有點照顧出口業的味道，也就是每年第 4 季都會走貶，現在進入第 1 季，轉升主要是因為內需產業需求。至於台股指數部分，林隆炫表示，台股本周周線雖然收紅，但是卻是一個十字線，就技術線型來看，十字線代表轉折，以近期美股遲遲無法站上 20000 點，台股也無力再創新高的狀況來看，向下反轉的機率也隨之增加。CMoney 理財寶分析師陳唯泰表示，川普是在美國時間周五就職，也就是台股周五收盤後，但是預料市場不太可能持股過周末，儘管川普在上周的記者會上，並未針對經濟政策提出牛肉，不排除川普有可能會在就職演說上正式提出較明確的財經政策，市場保守因應的機率仍高。陳唯泰指出，就類股來看，近期因為立法院陸續通過電業法及長照的財源，因此太陽能及生技族群有機會成為資金的避風港；另外鋼鐵等傳產類股，也有機會受惠於川普的內需政策，以及原物料報價持穩，重新吸引資金進駐。下周重要事件表資料來源：記者整理  製表：李宜儒,0.0,8.0
6,2017-01-14,封關倒數交易恐清淡 蘋果供應鏈中長期仍樂觀,安聯台灣科技基金經理人廖哲宏表示，根據本週半導體龍頭台積電法說會，受到蘋果供應鏈訂單需求較弱影響，因此第 1 季衰退將大於預期，股價也立即出現反映。不過展望全年，他認為，目前智慧型手機的需求較為疲弱，目前所發生的庫存調整，對產業來說是好消息。廖哲宏說明，短期的庫存調整，可望讓供需回到健康的循環上；且目前已提早揭露風險，讓投資人有心理準備，再加上下半年隨著 iPhone 十周年的新機發布，因此仍樂觀看待中長期發展。此外，下周三適逢結算，廖哲宏預期，在結算後到封關前，交易可能會比較清淡。加上農曆年來得早，電子業出現提早鋪貨的狀況，因此若抱股過年，恐會有變數存在，建議可以觀望過年期間的消費數字與狀況，若有逢回，將是進場的時候。在投資焦點上，廖哲宏認為，今年半導體仍為支持台股的重點，包含蘋果供應鏈、基期較低的車用電子與物聯網、效能運算 (AR/VR / 人工智慧)、網路及伺服器、壽險股、塑化及原物料等產業。國際焦點部分，廖哲宏表示，日前川普記者會上並未著墨太多財政刺激政策，因此認為，後續仍需持續關注川普的政見，像是減稅、基建與支持傳統能源等，都將影響到台股相關產業。他說明，能源的政策將影響到台灣的塑化、減稅則是影響企業資本支出，最值得關注的，則是川普提出的「美國製造」，對自動化產業的影響。廖哲宏指出，過去一年美國景氣回溫主要來自於消費，企業獲利成長貢獻最大的是成本降低而非資本支出。隨著景氣成長確立，企業在獲得減稅後，他預期美國企業可望進行資本支出，就台廠而言，美國若需要建立自動化設備，IPC 產業可望受惠。再過兩周台股就要封關，廖哲宏認為，目前企業營收還在成長，基本面有下檔保護，不過還是可以留意 2 個關鍵因素：第一、就是川普的保護主義，若他在上任後發言仍對中美關係造成緊張，將對市場情緒不利。第二、則是觀察中國外匯存底下降的幅度，若幅度過快，造成大幅貶值，對於市場的傷害也不可忽視。,1.0,5.0
7,2017-01-14,富邦金果然是悍將！謝年會總獎金祭出上千萬元,,0.0,0.0
8,2017-01-14,富邦金連8年金控獲利王 年終獎金最高20個月,,0.0,0.0
9,2017-01-14,批發量販交易熱潮正夯Nike跨海赴金門設立品牌專賣店,批發量販交易熱潮正夯! 國際運動品牌 Nike 首度跨海到金門，在台開 () 風獅爺商店街正式成立品牌專賣店今 (14) 日開幕，連同 New Balance、PUMA、Converse 等四大運動品牌也都共同進駐營運，佔地近 200 坪。台開集團董事長邱復生表示，金門風獅爺商店街正式營運至今，已有很大的轉變，實現對金門鄉親的承諾，這是 50 年 BOT 專案，當初就提出時代想法概念，義無反顧提供最好的東西給金門鄉親。邱復生表示，規劃好的空間，也引進好的品牌，金門會是大城市旁邊的一個很浪漫的購物生活空間，這也是當初取名風獅爺商店「街」而不取名為購物中心，期盼未來有更多品牌共襄盛舉。也如同很多義大利人到瑞士邊境購物，因為瑞士免稅，這就像金門有離島免稅與兩岸稅差，未來期望有更多的好東西在金門風獅爺，讓金門成長，成為金廈一日遊的最佳空間。邱復生表示，台開集團金門風獅爺商店街已成為「金廈離島批發量販中心」，歡迎中國大陸廠、灣廠商到金門，以風獅爺商店街為中心，在金門賣大陸的產品，也批發台灣與國外商品到大陸，共同量販銷售，利用金門免稅加上大陸約 1~2 成稅制價差的利基，加速金廈離島批發量販成效，也使金廈一日生活圈達到實質商務交流與貨暢其流的真正意涵。台開對金門風獅爺商店街同時擴大經營線上線下電商 O2O 業務，積極以實體店家帶動雲端物聯網電商，打造成一個金門品牌示範區之智慧商城，積極引進國際知名品牌，如 Nike、NewBalance、PUMA、CONVERSE 四大國際運動品牌，日本 Laox 免稅店、STUDIO A、星巴克、日藥本舖、86 小舖、綺麗珊瑚等等，透過物流觀光商機，將優質價格便宜的好商品帶到金門廈門。,-1.0,14.0
