,date,segmented
0,2020-04-16,"['精測發威', '去年', '躋身', '全球', '半導體', '探針卡', '前', '強', '半導體', '測試', '介面', '大廠', '精測', '今日', '指出', '隨著', '垂直', '式探針卡', '發展', '成效', '顯現', '據', '半導體', '研調', '機構', '最', '新', '報告', '顯示', '精測', '去年', '在', '全球', '半導體', '探針卡', '的', '排名', '從', '前', '一', '年度', '的', '第', '名', '竄升', '至', '第', '名', '躋身', '全球', '前', '強', '精測', '指出', '公司', '專注', '半導體', '測試', '介面', '的', '技術', '研發', '積極', '擴大', '市場', '及', '產品', '應用', '別', '包括', '一', '開始', '的', '低', '層數', '印刷', '電路板', '高階', '多', '層', '的', '測試板', '晶圓', '測試板', '到', '現在', '的', '垂直', '式探', '針卡', '產品', '皆', '是', '各', '領域', '的', '重要', '角色', '精測', '表示', '隨著', '半導體', '測試', '介面', '的', '產品', '到位', '並', '完成', '全球', '布局', '有助', '分散', '市場', '系統性', '風險', '單一', '客戶', '對', '公司', '影響', '有限', '且', '當', '客戶', '提出', '的', '價格', '與', '公司', '追求', '穩定', '毛利率', '的', '營運', '目標', '衝突', '時', '公司', '將', '以後', '者', '為', '優先', '並', '鞭策', '自家', '團隊', '與', '客戶', '共同', '挑戰', '高', '獲利', '的', '次', '世代', '技術', '研發', '精測', '第季', '受惠', '客戶', '持續', '布局', '產品', '基地', '台射頻', '手機', '處理器', '晶片', '需求', '強勁', '推升', '垂直式', '探針卡', '業績', '成長', '營收', '達', '億', '元', '年', '增創', '同', '期', '新高']"
1,2020-04-16,"['台積電', '大漲', '預期', '心理', '帶動', '台', '指期', '夜盤', '漲', '逾', '百', '點', '重', '返點', '日', '在', '台積電', '大漲', '下', '不', '受', '美股', '開高', '走低', '影響', '夜盤', '大漲', '逾', '百', '點', '重', '返點', '之上', '也', '可望', '帶動', '周五日', '台股', '表現', '台積電', '法說會', '後', '市場', '正向', '看待', '下午', '即', '一', '度', '大漲', '逾', '百', '點', '晚間', '美股', '開盤', '後', '台積電', '更', '是', '大漲', '超過', '市場', '預期', '台北', '股市日', '可望', '同步', '走揚', '也', '跟', '進', '表態', '晚間', '再度', '上漲', '逾', '百', '點', '最', '高', '來到點', '台北', '時間', '晚間點', '左右', '暫', '在點', '上方', '震盪', '而', '台積電', '釋出', '高速', '運算', '需求', '強勁', '並', '維持', '資本', '支出', '也', '激勵', '供應', '設備', '的', '艾斯摩爾', '客戶', '之', '一', '的', '超微半導體', '雙雙', '走揚', '法人', '看好', '台股', '中', '的', '台積', '概念', '族群', '也', '將', '成為', '日', '的', '盤面', '觀察', '重點']"
2,2020-04-16,"['新', '問世', '外資點', '名家', '台廠', '為', '主要', '受惠', '者', '蘋果', '發表', '新款', '上市', '美系', '外資', '點名', '晶圓', '代工', '台積電', '鏡頭廠', '玉晶光', '組裝', '代工廠', '鴻海', '及', '和碩', '將', '成', '台系', '供應', '鏈', '主要', '受惠', '者', '美系', '外資', '指出', '新', '顯示器', '採用', '吋', '面板', '鋁框', '外殼', '及', '玻璃', '背蓋', '並', '採用', '指紋', '辨識', '鏡頭', '則', '是', '前後', '各', '一', '顆', '後', '鏡頭', '具備', '光學', '防', '手震', '功能', '前', '鏡頭', '則', '未', '支援', '臉部', '辨識', '此外', '新', '處理器', '採用', '與', '系列', '相同', '的', '晶片', '電池', '則', '與', '相同', '記憶體', '部分', '容量', '為', '同樣', '分為', '儲存', '規格', '售價', '分別', '為', '美元', '共有', '黑白', '紅', '三', '種', '顏色', '可', '選擇', '美系', '外資', '認為', '台積電', '依舊', '全額', '吃下', '處理器', '晶片', '代工', '訂單', '鏡頭', '則', '由', '大立光玉晶光', '均', '分', '下游', '組裝', '代工', '預計', '由', '和碩', '拿下', '的', '訂單', '鴻海', '拿下', '剩下', '由', '緯創', '負責', '美系', '外資', '預估', '新', '的', '第季', '銷量', '可望', '達', '萬', '支', '不過', '受', '疫情', '影響', '全', '年', '預估', '萬', '支', '處於', '市場', '共識', '的', '萬', '支', '低標', '至於', '美系', '外資', '重申', '蘋果', '可望', '在', '月', '下旬', '推出', '吋', '的', '版本', '但', '吋', '吋', '的', '版本', '可能', '會', '延後', '個月', '推出', '預計', '下半年', '的', '出貨量', '將', '達', '萬', '支']"
3,2020-04-16,"['台積電法', '說', '下修', '今年', '展望', '奈米', '進程', '美', '限制', '華', '為', '影響', '一', '文', '看懂', '八', '大', '重點', '晶圓', '代工', '龍頭', '台積電', '今日', '召開', '法說會', '除', '第季', '財報', '營運', '展', '望', '先進', '製程', '進度', '及', '今年', '營收', '與', '晶圓', '代工', '產值', '等', '預估', '都', '是', '國內外', '法人', '高度', '關注', '的', '焦點', '也', '將', '牽動', '台股', '後市', '表現', '鉅亨網', '幫', '讀者', '整理', '法說會', '的', '八', '大', '重點', '讓', '讀者', '一', '文', '看懂', '台積電', '第季', '財測', '數字', '營收', '估', '達', '至', '億', '美元', '季減', '至', '季增', '有', '機會', '再', '改寫', '去年', '第季', '寫下', '的', '新高', '紀錄', '總裁', '魏哲家', '表示', '目前', '未', '看到', '客戶', '需求', '趨緩', '高效', '運算', '產品', '受惠', '居家', '工作', '等', '需求', '驅動', '較', '個', '月', '前', '更為', '強勁', '近來', '包括', '平板', '遊戲機', '需求', '均', '成長', '則', '持平', '不過', '近來', '受', '疫情', '影響', '手機', '需求', '已', '較', '先前', '預期', '疲弱', '台積電', '保守', '看待', '下半年', '市場', '狀況', '預估', '營收', '將', '較', '上半年', '持平', '至', '微幅', '衰退', '法人', '估', '全', '年', '營收', '仍', '可望', '續', '站', '穩', '兆', '元', '之上', '台', '積電', '第季', '毛利率', '估', '營益率', '估', '毛利率', '高', '標', '優於', '第', '季', '的', '營益率', '則', '與', '第', '季', '的', '相近', '雙率', '均', '可', '望續', '站穩', '高檔', '受', '疫情', '影響', '台積電', '下修', '今年', '產業', '與', '公司', '展望', '估', '晶圓', '代工', '產值', '年', '增低', '於', '上季', '預估', '的', '就', '台積電', '而言', '受惠', '高效', '運算', '動能', '優', '預期', '樂觀', '看', '今年', '營收', '仍', '可', '成長', '中', '位數', '為', '略', '低於', '上', '次', '預估', '不過', '打破', '市場', '估', '下修', '到', '僅', '年增', '個', '位數', '的', '傳言', '即便', '肺炎', '疫情', '帶來', '不確定性', '台積電', '仍', '看好', '未來', '幾', '年', '高效', '運算', '需求', '因此', '將', '持續', '布局', '先進', '製程', '重申', '今年', '資本', '支出', '金額', '維持', '不變', '約', '至', '億', '美元', '從', '四', '大', '平台', '來', '看', '以', '美元', '計價', '今年', '高效', '運算', '智慧型', '手機', '營收', '成長', '仍', '會', '高於', '公司', '整體', '平均', '物聯網', '接近', '公司', '成長', '幅度', '汽車', '應用', '則', '低於', '平均', '魏哲家', '表示', '奈米', '進度', '符合', '預期', '研發', '未', '受', '疫情', '影響', '預計', '年', '進入', '風險性', '試產', '目標', '年', '下半年', '量產', '在', '評估', '所有', '不同', '的', '技術', '選項', '後', '台積電', '決定', '採用', '鰭式', '場效電', '晶體', '架構', '可', '提供', '更', '具', '成本', '與', '效能', '的', '方案', '至於', '奈米', '魏哲家', '說明', '設計', '導入', '均', '照', '進度', '進行', '中', '表現', '優於', '預期', '下半年', '會', '順利', '量產', '貢獻', '營收', '且', '產能', '將', '快速', '拉升', '目前', '主要', '客戶', '平台', '為', '手機', '及', '高效', '運算', '未來', '可能', '會', '有', '物聯網', '平台', '客戶', '加入', '由於', '動能', '較', '預期', '強勁', '台積電', '去年', '月', '法說會', '時', '上調', '今年', '手機', '滲透率', '預估', '至', '魏哲家', '表示', '客戶', '持續', '佈局', '基建', '與', '手機', '今年', '需求', '仍', '強勁', '全年', '手機', '滲透率', '預估', '沒有', '調整', '不過', '魏哲家', '認為', '在', '疫情', '影響', '下', '今年', '全球', '手機', '出貨量', '估', '將', '衰退', '在', '整體', '手機', '規模', '減少', '下', '手機', '出貨', '也', '同步', '下修', '但', '採用', '矽', '產品', '的', '需求', '較', '高出', '很多', '仍', '支撐', '台積電', '今年', '營收', '成長', '對於', '美國政府', '將', '進一步', '擴大', '對', '華為', '的', '限制', '董事長', '劉德音', '表示', '儘管', '結果', '尚未', '出爐', '但', '台積電', '研擬', '過', '各', '種', '情境', '短期', '內', '營運', '將', '受', '影響', '將', '與', '客戶', '進行', '動態性', '合作', '採取', '適當', '措施', '降低', '對', '營運', '的', '影響', '不過', '長期', '來', '看', '在', '大', '趨勢', '持續', '下', '供應鏈', '將', '重新', '調整', '並', '取得', '平衡']"
4,2020-04-16,"['台積電法', '說', '下修', '今年', '展望', '仍', '優', '預期', '台積電', '早盤', '大漲', '逾', '晶圓', '代工', '龍頭', '台積電', '今日', '召開', '線', '上', '法說會', '首季', '純益', '續寫', '新猷', '季增', '每', '股', '賺元', '估', '第季', '營收', '達', '至', '億', '美元', '季減', '至', '季增', '雖', '因', '受', '肺炎', '疫情', '影響', '下修', '全', '年', '產業', '與', '公司', '展望', '但', '今年', '營收', '仍', '將', '優', '產業', '平均', '估', '增優', '於', '市場', '預期', '晚間', '開高', '走高', '最', '高', '大漲', '逾', '台積電', '估', '第季', '營收', '達', '至', '億', '美元', '季減', '至', '季增', '高標', '有', '機會', '改寫', '去年', '第季', '寫下', '的', '新高', '紀錄', '若', '以', '美元', '兌換', '元', '計算', '台積電', '第', '季', '營收', '估', '達', '至', '億', '元', '毛利率', '估', '營益率', '維持', '高檔', '台積電', '總裁', '魏哲家', '表示', '目前', '未', '看到', '客戶', '需求', '趨緩', '高效', '運算', '產品', '受惠', '居家', '工作', '等', '需求', '驅動', '需求', '更', '強勁', '但', '近來', '受', '新冠', '肺炎', '疫情', '影響', '手機', '需求', '已', '較', '先前', '預期', '疲弱', '且', '由於', '肺炎', '疫情', '對', '市場', '帶來', '不', '確定性', '保守', '看待', '下', '半', '年', '市況', '財務長', '黃仁昭', '預期', '下半年', '營收', '將', '持平', '上半年', '至', '微幅', '衰退', '也', '因', '疫情', '干擾', '台積電', '下修', '今年', '產業', '與', '公司', '展望', '估', '晶圓', '代工', '產值', '年', '增低', '於', '上季', '預估', '的', '就', '台積電', '而言', '受惠', '高效', '運算', '動能', '優', '預期', '樂觀', '看', '今年', '營收', '仍', '可', '成長', '中', '位數', '為', '略', '低於', '上', '次', '預估', '但', '打破', '市場', '估', '下修', '至', '僅', '年增', '個', '位數', '的', '傳言', '市場', '原先', '預期', '疫情', '干擾', '下', '台', '積電', '恐', '下修', '全', '年', '資本', '支出', '但', '黃仁昭', '表示', '即便', '肺炎', '疫情', '帶來', '不', '確定性', '仍', '看好', '未來', '幾', '年', '高效', '運算', '需求', '將', '持續', '布局', '先進', '製程', '重申', '今年', '資本', '支出', '金額', '維持', '不變', '約', '至', '億', '美元', '先', '進', '製程', '方面', '台積電', '奈米', '下半年', '將', '進入', '量產', '產能', '會', '快速', '拉升', '但', '估', '將', '侵蝕', '下', '半', '年', '毛利率', '台積電', '也', '首度', '公布', '奈米', '量產', '時程', '研發照', '進度', '進行', '中', '將', '採用', '架構', '預計年', '下半年', '量產', '對於', '美國政府', '將', '進一步', '擴大', '對', '華為', '的', '限制', '董事長', '劉德音', '表示', '若', '美國政府', '改變', '相關', '規則', '台', '積電', '短期', '將', '受', '影響', '但', '長期', '來', '看', '供應鏈', '將', '重新', '調整', '並', '取得', '平衡']"
5,2020-04-16,"['合勤', '控', '持續', '優化', '組織', '架構', '持股', '家數', '降至', '家網', '通業者', '合勤', '控', '調整', '組織', '加購', '今日', '公告', '董事會', '決議', '解散', '清算', '持股', '的', '持股', '家數', '降至', '家', '合勤', '控', '表示', '主要', '經營', '銷售', '及', '行銷', '業務', '但', '因為', '持續', '虧損', '以及', '面臨', '業務', '緊縮', '困境', '因此', '清算', '解算', '合勤', '控', '近年', '積極', '透過', '調整', '組織', '架構', '解散', '業務', '不佳', '虧損', '的', '子公司', '藉', '此', '調整', '體質', '去年', '就', '解散', '清算', '益科股份有限公司', '等', '家子公司']"
6,2020-04-16,"['擬', '今年', '上路', '財政部', '比照', '有價', '證券', '課徵', '千分之一', '證交稅', '證券', '型代幣', '預計', '今年', '上路', '由於', '金管會', '定調', '將', '視', '同', '有價', '證券', '管理', '財政部', '今日', '發布', '解釋', '令', '拍板', '交易', '將', '比照', '目前', '的', '有價', '證券', '課徵', '千分之一', '的', '證交稅', '是', '指', '透過', '區塊', '鏈', '技術', '將', '資產', '以', '方式', '證券', '化', '並', '比照', '實體', '有價', '證券', '納入', '證交法', '規範', '管理', '預估', '未來', '正式', '上路', '後', '可望', '成為', '企業', '募資', '的', '新', '工具', '金管會', '先前', '已', '拍板', '定調', '具備', '流動性', '與', '投資', '功能', '將', '視同', '有價', '證券', '管理', '並', '規劃', '今年', '先', '開放', '業者', '申請', '募資', '金額', '低於', '萬', '元', '的', '上路', '財政部', '表示', '上路', '後', '募資', '金額', '低於', '萬元', '者', '將', '比照', '實體', '有價', '證券', '交易人', '在', '買賣', '時', '皆', '須', '課徵', '千分之一', '的', '證交稅', '並', '由', '交易', '平台', '代為', '課徵']"
7,2020-04-16,"['日', '廣告', '集團', '取得', '格威', '傳媒', '股權', '公開', '收購', '條件', '成就', '格威', '傳媒', '今日', '公告', '日本', '第二', '大', '廣告', '行銷', '集團', '博報堂', '公開', '收購', '公司', '普通股', '已', '於', '昨日', '屆滿', '累積', '應', '賣', '股數', '已', '超過', '最', '低', '收購', '數量', '取得', '格威', '傳媒', '約', '股權', '且', '已', '獲', '經濟部', '投審會', '通過', '公開', '收購', '條件', '已', '成就', '博報堂', '集團', '以', '其', '在', '台', '的', '台北', '博報堂', '投資', '公司', '公開', '收購', '格威', '傳媒', '預定', '公開', '收購', '對價', '為', '每', '股', '元', '預計', '以', '現金', '收購', '約', '萬', '股', '約', '占', '格威', '傳媒', '股權', '成', '格威', '最', '大', '單一', '股東', '台北', '博報堂', '投資', '公司', '所', '定', '的', '最', '低', '收購', '數量', '為', '萬', '股', '在', '月日', '時分', '時', '累積', '應', '賣', '股數', '已', '超過', '最', '低', '收購', '數量', '並', '於', '同日', '取得', '經濟部', '投審會', '核准', '此', '投資', '申請', '公開', '收購', '條件', '均', '已', '成就', '目前', '累積', '應', '賣', '實際', '成交', '數量', '為', '萬', '股', '博報堂', '總部', '位於', '日本', '東京', '是', '一', '家', '具有', '百', '年', '以上', '歷史', '世界', '排名', '第六', '日本', '排名', '第二', '的', '綜合', '廣告', '代理商', '提供', '整合式', '行銷', '方案', '目前', '在', '全球', '個', '國家', '有', '超過', '個', '據點', '博報堂', '看好', '格威', '傳媒', '客戶', '關係', '極', '佳', '並', '深耕', '台灣', '廣告', '市場', '且', '能夠', '提供', '客戶', '高', '品質', '行銷', '專業', '能力', '及', '多樣化', '方案', '盼', '透過', '將', '格威', '傳媒', '納入', '博報堂', '集團', '可', '結合', '兩', '公司', '專長', '拓展', '在', '台', '廣告', '市場', '業務', '發展', '並', '藉由', '國際化', '營運', '規模', '協助', '台灣', '廣告業', '發展']"
8,2020-04-16,"['沃旭', '與', '大三', '商航運', '簽', '年', '租約', '打造', '首', '艘', '台灣籍', '離岸', '風', '電運', '維船', '離岸', '風電廠', '沃旭能源', '今日', '宣布', '與', '台灣', '大三商航運公司', '簽訂', '年', '船舶', '租', '約', '由', '大三', '商航運', '負責', '為', '大彰化', '離岸', '風場', '打造', '全球', '第一', '艘', '台灣籍', '運維', '作業船', '預計', '年初', '完工', '可', '載', '運名', '技術', '人員', '且', '每', '月', '僅', '需', '靠', '港', '補給', '一', '次', '大三', '商航運', '為', '台廠', '大統', '海運', '及', '日本', '株式會', '社商', '船三井所', '成立', '的', '合資', '公司', '此', '租約', '是', '台灣', '市場', '及', '亞太', '地區', '客製化', '運維', '作業船', '建造', '首', '例', '沃旭', '能源', '台灣', '總經理', '汪欣潔', '表示', '除', '在', '台中港', '投資', '興建', '全新', '運維中心', '也', '是', '台灣', '及', '亞太區', '唯一', '採用', '客製', '運維', '作業船', '作為', '離岸', '風場', '運維', '解決', '方案', '的', '能源', '業者', '汪欣潔', '也', '說', '沃旭', '與', '傳統', '船運', '業者', '簽署', '長達', '年', '的', '合約', '可', '協助', '本', '地', '廠商', '成功', '轉型', '跨足', '離岸', '風電', '產業', '並', '取得', '離岸', '風場', '的', '長期', '運維', '業務', '該', '運維', '作業船', '預計', '年初', '完工', '結合', '同年', '落成', '的', '全新', '運維中心', '以', '台中港', '為', '基地', '負責', '大', '彰化', '離岸', '風場', '的', '運維', '工作', '大三', '商', '航運', '打造', '的', '運維', '作業船', '是', '全球', '首', '艘', '因應', '台灣', '海峽', '複雜', '且', '險峻', '海象', '狀況', '量身', '打造', '的', '運維', '作業船', '整', '艘', '將', '以', '沃旭歐洲', '運維', '船隊', '設計為', '基礎', '並', '優化', '升級', '除', '船員', '外', '該', '運維', '作業船', '能', '載', '運名', '技術', '人員', '每', '月', '僅', '需', '靠', '港', '補給', '一', '次', '相較', '於', '使用', '人員', '運輸', '船', '每', '次', '最多', '僅', '能', '載', '運人', '且', '需要', '當日', '來', '回運', '維港', '效率', '更', '佳', '也', '提供', '運維', '人員', '舒適', '的', '船艙', '休閒', '娛樂', '空間', '健身', '設施', '現煮', '餐點', '沃旭能源', '表示', '將', '配備', '先進', '科技', '包含', '搭載', '動態', '補償', '舷梯', '採用', '先進', '船舶', '動態', '定位', '系統', '配備', '動態', '穩定', '技術', '的', '起重機', '且', '為', '降低', '對', '環境', '的', '影響', '該', '未來', '將', '可', '搭配', '不', '使用', '化石', '燃料', '作為', '動力', '來源', '的', '技術', '並', '透過', '優化', '船體', '設計', '及', '配置', '電池', '混和', '動力', '系統', '減少', '船舶', '燃料', '使用', '降低', '碳', '排放']"
9,2020-04-16,"['金管', '會力', '催', '國銀', '放貸', '挺', '企業', '備抵', '呆帳', '提存率', '調降', '一', '年', '為', '鼓勵', '銀行', '積極', '承作', '紓困', '貸款', '金管會', '主委', '顧立雄', '今日', '在', '行政院', '紓困', '記者會', '上', '表示', '已', '與', '央行', '達成', '共識', '不管', '公民營銀行', '只要', '承作', '央行', '轉', '融通', '資金', '億', '元', '的', '放款', '銀行', '提列', '備抵', '呆帳率', '可以', '降到', '以', '減輕', '銀行', '資金', '成本', '壓力', '回溯', '至', '月日', '起', '實行', '一', '年', '金管會', '表示', '為', '強化', '本', '國銀行', '貸款', '風險', '承擔', '能力', '依法', '銀行', '一般', '授信', '的', '備抵', '呆帳', '提存', '比率', '要', '達', '不', '動產', '放款', '的', '備抵', '呆帳', '提存率', '則', '要', '達', '但', '此', '次', '因應', '新冠', '病毒', '肺炎', '為', '鼓勵', '銀行', '積極', '對', '中小', '企業', '紓困', '貸款', '銀行', '只要', '承做', '央行', '轉', '融通', '資金', '億', '元', '的', '放款', '提撥', '的', '備抵', '呆帳率', '降到', '只要', '金管會', '說明', '考慮', '到', '央行', '億', '是', '有', '範圍', '限制', '中小', '企業', '放款', '由', '信保', '基金', '已', '保證', '九成', '小', '規模', '商家', '有', '信保', '十成', '保證', '銀行', '信用', '風險', '已', '大幅', '降低', '加上', '期間', '限制', '為', '一', '年', '且', '貸款', '利率', '是', '銀行', '每', '筆', '放款', '成本', '只要', '向', '央行', '融通', '利率', '再', '提存', '的', '備抵', '呆帳', '即', '可', '有助', '銀行', '大幅', '降低', '成本', '希望', '銀行', '可以', '積極', '放貸助', '中小', '企業', '一起', '度過', '難關']"
