,News,All,SVO
0,20190530_1001,◆投信連續3日買超個股投信連續 3 日買超個股1. 投信連續買超 3 日的股票(1722) 台肥 、 (3653) 健策 、 (2356) 英業達、 (1402) 遠東新、 (1504) 東元2. 投信連續買超 2 日的股票(1402) 遠東新、 (1504) 東元 、 (3653) 健策 、 (6670) 復盛應用、 (3661) 世芯 - KY3. 投信當日 (30) 買超的股票(1504) 東元 、 (2324) 仁寶 、 (2412) 中華電、 (3044) 健鼎 、 (2409) 友達,"[['投信', '買', '超日'], ['投信', '買', '超日'], ['投信', '復盛應用', '友達'], ['股票', '復盛應用', '友達']]"
0,20190530_1002,◆外資連續5日賣超個股外資連續 5 日賣超個股1. 外資連續賣超 5 日的股票(3481) 群創 、 (2317) 鴻海 、 (2409) 友達 、 (2330) 台積電、 (00637L) 元大滬深 300 正 22. 外資連續賣超 4 日的股票(3481) 群創 (2317) 鴻海 (2409) 友達 (2330) 台積電 (00637L) 元大滬深 300 正 23. 外資連續賣超 3 日的股票(2409) 友達 、 (2317) 鴻海 、 (3481) 群創 、 (2330) 台積電、 (2888) 新光金4. 外資連續賣超 2 日的股票(00637L) 元大滬深 300 正 2、 (3481) 群創 、 (2409) 友達 、 (2317) 鴻海 、 (2330) 台積電5. 外資當日 (30) 賣超的股票(00637L) 元大滬深 300 正 2、 (3037) 欣興 、 (3481) 群創 、 (2317) 鴻海 、 (00633L) 富邦上証正 2,"[['外資', '賣', '群創'], ['外資', '賣', '群創'], ['外資', '賣', '超日'], ['外資', '賣', '超日'], ['外資', '賣', '超日'], ['群創', '賣', '超日'], ['外資', '賣', '超日']]"
0,20190530_1003,◆外資連續5日買超個股外資連續 5 日買超個股1. 外資連續買超 5 日的股票(00677U) 富邦 VIX、 (4414) 如興 、 (2890) 永豐金、 (1102) 亞泥 、 (2515) 中工2. 外資連續買超 4 日的股票(00677U) 富邦 VIX、 (4414) 如興 (2890) 永豐金 (2201) 裕隆 (1102) 亞泥3. 外資連續買超 3 日的股票(00677U) 富邦 VIX、 (2890) 永豐金、 (4414) 如興 、 (5876) 上海商銀、 (1102) 亞泥4. 外資連續買超 2 日的股票(00677U) 富邦 VIX、 (2890) 永豐金、 (2892) 第一金、 (1102) 亞泥 、 (1101) 台泥5. 外資當日 (30) 買超的股票(00677U) 富邦 VIX、 (2890) 永豐金、 (2823) 中壽 、 (2880) 華南金、 (1101) 台泥,"[['外資', '買超', '外資'], ['外資', '買', '超日'], ['外資', '買', '超日'], ['外資', '買', '超日'], ['外資', '買', '超日']]"
0,20190530_1004,金控家族股權透明化明年上路 5大類實質受益人申報要全都露為了確保銀行穩健經營，促進銀行安定及保障存款人權益，金管會主委顧立雄今 (30) 日親自說明金控公司及銀行的「股東持股透明行動方案」，從明 (2020) 年 1 月起，將要求大股東申報持股時，應將實質受益人或最終控制權人一並列入申報內容，尤其有 5 大類實質受益人或最終控制權人，申報都要全都露，不過將會給半年緩衝期，這半年內若未實質申報，不會開罰，但半年後如果被發現未依新制申報，將依規定處分。金管會推動這項「股東持股透明行動方案」，又被外界稱為「新光壽條款」。因為壽險業的財務投資、依法不具表決權，不過，新光壽今年初被金管會查出，在新光紡織董監事改選之前，將持股轉手賣給新光醫院（利害關係人），改選後又把持股買回，也就是涉及介入新光紡織經營權，規避表決權行使限制。正因如此，金管會決定推動國內金控股權結構透明化，要求業者將「關係人」全都露，以避免類似新壽類似的狀況。顧立雄表示，金控公司或銀行的大股東及其資格條件，為金融監理的重要事項，現行金融控股公司法第 16 條及銀行法第 25 條規定，已有股權透明化的監理原則，股東持有股份的認定基礎，應著重於事實上存在的實質控制力。顧立雄說，考量金融機構防制洗錢辦法已著重於實質受益人之辨識，金融機構於實務上也對實質利害關係人一併納入授信或其他交易自律性控管等，金管會所規畫之股東持股透明行動方案，將要求大股東申報持股時，應將實質受益人或最終控制權人一並列入申報內容。顧立雄表示，為順利推動本行動方案，已於今 (2019) 年 1 月至 4 月陸續邀請多家金控公司及銀行的董事長、總經理或大股東到會，徵詢其對於列報實質受益人的意見，各金控都表示理解及願意配合推動。經該會參考金融機構防制洗錢辦法所定實質受益人的類型，歸納出未來依據金控法第 16 條及銀行法第 25 條規定申報之同一人、同一關係人或第三人為法人或團體時，有 5 大類實質受益人 / 最終控制權人，宜列入申報範圍。 分別為：一 ‧ 直接、間接持有該法人或團體股份或資本超過 25% 的自然人。二 ‧ 非屬前類，但透過委任、契約、協議、授權或其他方式對該法人或團體行使控制權的自然人。三 ‧ 非屬前二類，但對該法人或團體具決策權的自然人。四 ‧ 該法人或團體為信託的受託人時，其委託人、受託人、信託監察人、信託受益人及其他可有效控制該信託帳戶之人，或與上述人員具相當或類似職務者。五 ‧ 直接或間接控制該法人或團體為信託者，其委託人、受託人、信託監察人、信託受益人及其他可有效控制該信託帳戶之人，或與上述人員具相當或類似職務之人。 顧立雄表示，金管會鼓勵股東主動申報實質受益人或最終控制權人，如有大股東或實質受益人 / 最終控制權人，因新制申報或股權整理，致持股超過 10%，將依現行機制予以審核。顧立雄進一步指出，實質受益人 / 最終控制權人若原並未持有股份，擬申請持股超過 10% 者，應有相關調整持股結構的規畫，成為股東之一，並由其為主體向金管會申請。若大股東經檢視而有持股 1% 以上之變動，但未逾審核門檻、10% 以下，則依新制申報。顧立雄強調，從明年 1 月起，此方案將上路，未來將配合本行動方案修正申報作業規定及申報表等，為利申報者充分瞭解申報內容及檢視自身股權情形等，將規劃給予至少半年緩衝期，以利遵循。,"[['外界', '稱為', '方案'], ['外界', '稱為', '條款'], ['辦法', '著重', '機構'], ['辦法', '定', '受益人'], ['條', '規定', '未來'], ['條', '規定', '申報'], ['控制權人', '列入', '範圍'], ['非', '屬', '自然人'], ['非', '屬', '類'], ['受益人', '具', '者'], ['人', '表示', '受益人'], ['人', '表示', '受益人'], ['股東', '申報', '受益人'], ['股東', '有', '變動'], ['新制', '申報', '顧立雄']]"
0,20190530_1005,〈台北國際電腦展〉微星因應美中貿易戰 將提高台灣生產比重 月產能將大幅增加微星 () 於台北國際電腦展 COMPUTEX 推出一系列新品，包含電競顯示卡、主機板、螢幕及周邊產品等，因應美中貿易戰，總經理暨執行長江勝昌表示，除預先準備在美國的庫存，也評估將銷美產品移往台灣生產，預計筆電產能將從現在每月 1000 台，提升到 2.5 萬台。江勝昌表示，筆電產品仍在中國生產為主，目前台灣也有少部分產線生產中，是前陣子因應客戶需求建立，美國筆電市場占微星近 25% 營收，因此現在面臨美中貿易戰、擬加徵的 25% 懲罰性關稅，內部評估將台灣產線的產量提高，預計將從現在每個月的 1000 多台，提升到 2.5 萬台，他進一步指出，若美國真的提高關稅，需要吸收關稅成本的，將是美國的消費者。除筆電產線將做調整，江勝昌表示，目標是將銷美產品移往台灣生產，當然也不會放棄中國內需大市場，他說，目前銷美顯示卡，幾年前就已經都移到台灣生產，在美國市場通常也會維持 2.5 個月的庫存水位，至於主機板部分，也有考慮移回台灣生產，但移回成本仍需評估，之前 10% 關稅時公司還能承擔，但若調到 25% ，就必須做出應對。江勝昌表示，目前電競筆電市場還是有雙位數成長幅度，公司持續努力中，至於主機板市場，整個市場每年是以 2 位數衰退中，但公司現在的目標就是不求量但求平均售價提高，以維持營收，不過電競顯示器部分，全球市場成長率高，持續以 3 位數成長，包含曲面及平面顯示器，預估今年微星出貨將達 690 萬台，較去年 540 萬台持續成長。針對近期問世的雙螢幕筆電，江勝昌表示，技術部分已經不是問題，關鍵還是要找到市場客群與定位，將持續專注在技術與行銷上的提升，以期維持營收與獲利。,"[['產能', '增加', '微星'], ['新品', '包含', '螢幕'], ['產品', '生產', '為主'], ['前陣子', '因應', '需求'], ['關稅', '吸收', '成本'], ['消費者', '做', '調整'], ['消費者', '做', '江勝昌'], ['產線', '做', '調整'], ['產線', '做', '江勝昌'], ['部分', '有', '水位'], ['市場', '有', '努力'], ['成長', '針對', '問世']]"
0,20190530_1007,【倫元投顧】如預期的短線跌深反彈◆盤勢分析美股除外其餘三大指數昨晚雖再破底，但因短線隨時可望出現跌深反彈，故台股如預期在半年線上下獲得短線支撐後，今天持續做反彈，終場指數以上漲 81 點收在 10382 點。昨晚雖跌破年線和頸線、但收根鐵鎚線，代表短線仍有機會先做跌深反彈，但若反彈站不上頸線或月線壓，那就是跌破頸線的反彈逃命，美股三個月中期頭部成形，如此波段仍要小心再往下修正。針對台股，近日已講過，短線隨時會出現跌深反彈，不過月線壓下週就會下移到 10500 點以下，所以短壓暫看 10500 上下，畢竟短線要直接彈到季線 10600~10650 的機率不大。王信傑分析師★ 此研究報告著作權屬倫元證券投資顧問 (股) 公司，切勿盜用或翻印，否則追究責任，決不寬貸★ 所有資料僅供參考，本公司不負盈虧責任，洽 02-2321-9933 理財專員,"[['倫元', '如', '預期'], ['跌深', '反彈', '盤勢'], ['漲點', '收', '昨晚'], ['鐵鎚線', '代表', '短線'], ['反彈', '逃命', '美股'], ['短線', '出現', '反彈'], ['月線', '壓', '下週'], ['短壓', '看', '上下'], ['短線', '彈到', '機率'], ['公司', '負', '專員']]"
0,20190530_1008,【倫元投顧】台股有機會初步止穩◆盤勢分析蘋果派出現大反彈，雖然 Apple 股價仍在破低，但台廠供應鏈卻能轉強，說明該族群的恐慌賣壓已暫告一段落；另外，5G 概念的光通訊、網通設備的多頭抵抗力也增強，至此，台股在半年線位置有機會初步止穩。從結構面分析，反彈初期大多由跌深股發動，質優股彈高後拉回不會再破底，但質差股反彈後仍將破低，換句話說，反彈上來正是調整持股的最好時機，不管是蘋果派、華為鏈或是 5G 概念股皆以短線應對為宜。回到主思路，由於貿易戰或是科技戰在台股的恐慌情緒皆已宣洩，近期的美債殖利率利空反而未在亞股形成壓力，這是因為股價跌幅已深、賣壓已肅清、股價基期低的利基。技術面來看，台股在半年線收腳後，今日朝年線反壓 10420 點邁進，由於成交量並未跟隨放大，顯示市場信心尚未恢復，反彈初期都這樣。楊天迪分析師★ 此研究報告著作權屬倫元證券投資顧問 (股) 公司，切勿盜用或翻印，否則追究責任，決不寬貸★ 所有資料僅供參考，本公司不負盈虧責任，洽 02-2321-9933 理財專員,"[['股價', '在', '破低'], ['賣壓', '告', '概念'], ['跌深股', '發動', '彈高'], ['貿易戰', '宣洩', '利空'], ['情緒', '宣洩', '利空'], ['信心', '恢復', '初期'], ['公司', '負', '責任'], ['公司', '負', '專員']]"
0,20190530_1009,〈南山人壽再遭重罰〉因炒股案再開鍘660萬元 今年已苦吞5張罰單保險局 4 月已對南山人壽連續兩次重罰，共罰 780 萬元， 5 月中再針對資安問題對南山人壽開罰 240 萬元，不料，今 (30) 日南山人壽又因為去年 7 月的炒股案，再被開出 2 張罰單，共遭罰 660 萬元，今年才短短 5 個月，南山人壽就苦吞 5 張罰單，累計保險局已開罰 1680 萬元。南山人壽去年 7 月爆出內部負責操盤台股鉅額資金的葉姓經理人，私自買股後，再用 LINE 群組發訊息給 200 多組員上車，有涉嫌炒股、經營地下投顧公司之嫌，但是，南山人壽早在去年 5 月下旬就知道此案，但卻到 7 月才通報保險局，只因為「週刊要報才趕緊通報」，隱匿長達 2 個月，甚至有想一手遮天嫌疑。金管會接到南山通報，去年進駐南山人壽金檢，發現南山人壽辦理國內股權人員利益衝突防範機制，還有重大偶發事件通報等程序都有重大缺失，今天正式針對南山人壽開罰 660 萬元，並命南山人壽立刻解除葉姓經理人職務，該名經理人 5 年內不得重回保險業。保險局指出，葉姓經理人 2016 年 3 月就在南山人壽任職，應該要知道公司管控機制跟利益迴避，但卻在 2017 年成立 LINE 群組把公司操作透露給他人，甚至利用其配偶買賣當沖股票，其操作跟公司操作吻合，行為嚴重不當，因此解職。金管會今天一口氣針對此炒股案開出兩張罰單，主要是因為有兩大最大缺失，第一，南山人壽在股權人員利益衝突防範機制上，沒有做到相關查核、監督機制，導致作業規定「有流於形式」，不能確實發揮內控制度有效性，針對這項開罰 480 萬元。第二，南山人壽重大偶發機制有缺失，明明南山在 5 月底就接獲民眾檢舉，但卻沒有設置緊急應變團隊機制處理，也沒有向保險局通報，等到媒體去年 7 月中旬報導時，才趕緊通報保險局重大偶發事件，顯示南山人壽重大偶發通報判斷機制有系統性重大缺失，針對這項開罰 180 萬元。根據保險局統計，今年前 5 月份，南山人壽已經收到 5 張罰單，其中 4 張是重罰罰鍰，共罰 1680 萬元，還有 21 項糾正，共有 3 名經理人被停職，還有 1 名經理人被解職。南山人壽今年才因為換更改繳費方式，造成多張保戶保單停效，4 月份遭保險局重罰 600 萬，總經理更是被停職半年，隔天保險局再因為南山投資缺失再祭出一張 180 萬罰單。沒想到保險局 5 月 17 日又再抓到南山人壽在資安跟違反個資法上的缺失，再對南山人壽開罰 240 萬元；今天再次針對去年炒股案開出兩張罰單、重罰 660 萬元。南山人壽斥資百億的新系統之亂都還懸而未解，金管會祭出最後通牒要求南山人壽 6 月底前要完成新系統的改善，且金管會主委顧立雄已經公開表態過，待南山新系統穩定下來後，保險局還會針對新系統之亂做出後續懲處；顯見南山人壽截至今天苦吞五張罰單後，後續還會有罰單等著該公司。,"[['重罰', '遭', '今年'], ['張罰單', '累計', '保險局'], ['經理人', '給', '嫌'], ['訊息', '給', '嫌'], ['股', '經營', '公司'], ['南山人壽', '知道', '案'], ['南山人壽', '辦理', '機制'], ['南山人壽', '解除', '職務'], ['操作', '解職', '金管會'], ['因此', '開出', '罰單'], ['規定', '有', '形式'], ['機制', '有', '缺失'], ['南山', '接獲', '檢舉'], ['項', '開罰', '元'], ['罰鍰', '罰', '元'], ['保險局', '重罰', '總經理'], ['保險局', '祭出', '萬罰單'], ['缺失', '祭出', '萬罰單'], ['南山人壽', '抓到', '月日'], ['缺失', '開罰', '元'], ['罰單', '重罰', '亂'], ['南山人壽', '斥資', '百億'], ['南山人壽', '等', '公司'], ['後續', '等', '公司']]"
0,20190530_1010,第一金獲利靚內外資同步加碼 星國主權基金重回十大股東之列第一金重啟獲利動能，吸引內外資同步加碼買進持股，據第一金公布的前十大股東資料，包括新加坡主權基金、摩根大通託管的先進星光基金皆同步加碼持股，其中新加坡主權基金目前持有 15.4 萬張、持股比 1.25%，重回前十大股東之列；先進星光基金也加碼持有，以 1.23% 持股比排名第 9 大股東。除了外資青睞，包括中壽與台灣菸酒也加碼持股，另外，台壽委託中信投信投資帳戶今年則首度擠進前十大股東。第一金近年來獲利穩健，去年稅後純益 173.32 億元，連續 4 年稅後純益站穩 150 億元以上，近 4 年來股利都超過 1 元，不僅受到勞保、退撫等政府基金青睞，也是主權基金鎖定對象，包括新加坡與挪威主權基金都曾擠進前十大股東之列。新加坡主權基金近 7 年來一直穩居第一金前十大股東，持股比重更從 2012 年的 0.84% 不斷增加，除了去年因減碼持股掉出前十大股東榜外，今年看好第一金獲利回溫且穩定配息，再度加碼持股，目前持股比已達 1.25%。另外，穩坐前五大股東的中國人壽同樣加碼持股，目前持有第一金股票達 23.7 萬張、持股比 1.92%；台壽委託中信投信帳戶也以超過 1% 的持股，名列第十大股東。攤開今年第一金前十大股東，前五名仍由財政部、台灣銀行、華南銀行與退撫基金、中國人壽包辦，其中退撫基金小幅減碼減少 0.27 個百分點，中壽則加碼持股比提高至 1.92%。另外，台灣菸酒今年也加碼持股，持股比 1.4% 排名第六大股東。,"[['帳戶', '擠進', '股東'], ['股利', '超過', '元'], ['對象', '包括', '新加坡'], ['股東', '看好', '回溫'], ['榜外', '看好', '回溫'], ['股票', '達', '持股'], ['帳戶', '攤開', '股東'], ['小幅', '減少', '中壽']]"
0,20190530_1011,南六燕巢新廠產品送樣認證順利 Q4稼動率將拉升到70%不織布大廠南六 () 高雄燕巢新廠在第 2 季營運後，產品已對國際客戶送樣，南六董事黃俊評今 (30) 日在法說會時指出，目前新產品認證順利，預計 6 月起小量出貨，7 月開始產能利用率會明顯提升，預估到第 4 季旺季產能利用率將提高到 70%。南六投資 30 億元高雄燕巢新廠已正式啟用，預計第 2 季量產，擴增生產純棉不織布及水針不線布生產線各 1 條，其中純棉不織布產線月產能約 600 噸，高速水針布線月產能 2000 噸；對於新廠產能利用率規劃，黃俊評說，目前新產品認證順利，預計 6 月起小量出貨，7 月開始產能利用率就會明顯提升，估到第 4 季旺季時，產能利用率將提高到 70%。此外，南六已獲經濟部投資台灣事務所「歡迎台商回臺投資行動方案」聯審會通過，將於高雄市燕巢區成立營運中心與智慧化生產基地，預計總投資金額達 35 億元，黃俊評說，這項投資計畫攜手國際企業投入醫療級不織布開發生產，只是中間的一個橋樑，未來還會進一步合作、開發生技產品的方案提出。南六今年首季稅後純益為 1.15 億元，年增 15.4%，每股純益為 1.58 元；第 1 季產品結構以水針不織布 4.86 億元，占 30.2% 最高，而濕紙巾、面膜 30.1% 居次，熱風熱壓不織布占 27.1%，醫療手術衣用布占 12.6%，南六指出，由南六 65% 的營收來自於中國廠，4 月 1 日起中國大陸將營業增值稅率，由 16% 降為 13%，造成客戶端部分出貨遞延到第 2 季。此外，南六在浙江平湖廠也有新擴充產能計畫，目前正和中國官方就其提供的租稅優惠，進行最後洽談中。南六去年營收、獲利同攀巔峰，每股稅後純益 8.16 元，昨 (29) 日南六董事會決議，每股擬配發現金股利 5 元，也同創上市以來新高。南六去年營收 67.86 億元，毛利率 18.8%，年減 0.33 個百分點，稅後純益 5.93 億元，年增 9.49%，每股純益 8.16 元；營收、獲利同創高，今日董事會決議，每股擬配發 5 元現金股利，以今日南六收盤價 164 元計算，現金殖利率為 3.04%。,"[['稼動率', '拉升到', '大廠'], ['認證', '預計', '月'], ['月', '開始', '利用率'], ['預估', '到', '產能'], ['認證', '預計', '月'], ['小量', '開始', '產能'], ['小量', '開始', '利用率'], ['月', '開始', '產能'], ['月', '開始', '利用率'], ['所', '歡迎', '方案'], ['金額', '達', '元'], ['金額', '達', '黃俊評'], ['醫療級', '開發', '生技產品'], ['生產', '開發', '生技產品'], ['橋樑', '開發', '生技產品'], ['面膜', '居次', '熱壓'], ['衣用', '占', '南六'], ['南六', '有', '計畫'], ['元', '新高', '南六'], ['毛利率', '年減', '稅']]"
