,News,All,SVO
0,20150901_2400,"◆期貨(不含選擇權)三大法人多空淨額台北‧09月01日交易日法人別             口數              契約金額---------------------------------------------------自營商              473              -544,952投信               -379              -507,752外資             -4,400            -1,577,188合計             -4,306            -2,629,892(資料來源：期交所 單位:千元/契約金額)","[['期貨', '不含', '三大法人多空淨額臺北‧09月01日交易日法人別\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 口數\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 契約金額---------------------------------------------------自營商\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 473\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 -544,952投信\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 -379\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 -507,752外資\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 -4,400\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 -1,577,188合計\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 -4,306\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 -2']]"
0,20150901_2401,傳蘋果考慮製作自製劇：已與好萊塢接觸新浪科技訊 北京時間9月1日午間消息，Variety網站本周援引消息人士的法稱，近幾周，蘋果正在與好萊塢人士進行初步接觸，討論自主製作娛樂內容。這一消息表明，蘋果可能會效仿Netflix和亞馬遜，加強原創內容的製作。報導稱，從事這一工作的部門向艾迪-庫(Eddy Cue)彙報，而艾迪-庫目前負責蘋果的所有內容業務。一名曾與蘋果接觸的消息人士表示，蘋果正試圖組建內容開發和製作部門，專注於收購及製作原創內容。在音樂行業，蘋果也在向“原創內容”的方向發展。在啟動Apple Music流媒體音樂服務時，蘋果的表現更像是一家唱片公司。有報導稱，蘋果正在為M.I.A.和Drake等藝人製作音樂視頻。有招聘信息顯示，蘋果正在招募一名音樂視頻製作人。不過，製作原創電視劇將有很大的不同，而這樣的視頻內容製作需要耗費大量人力。(維金),"[['Variety網站', '援引', '法稱'], ['蘋果', '進行', '初步接觸'], ['一消息', '表明', '蘋果效仿Netflix'], ['蘋果', '效仿', 'Netflix'], ['報導', '稱', '從事一工作部門彙報'], ['，', '從事', '一工作'], ['艾迪-庫', '負責', '內容業務'], ['消息人士', '表示', '蘋果試圖組建內容開發部門'], ['蘋果', '試圖', '組建內容開發部門'], ['在', '啓動', '流媒體音樂服務'], ['蘋果表現', '像', '唱片公司'], ['報導', '稱', '蘋果爲藝人制作音樂視頻'], ['蘋果', '爲', '藝人制作音樂視頻'], ['藝人', '製作', '音樂'], ['藝人', '製作', '音樂'], ['招聘信息', '顯示', '蘋果招募音樂視頻製作人'], ['蘋果', '招募', '音樂視頻製作人'], ['製作原創電視劇', '有', '很大不同'], ['視頻內容製作', '需要', '耗費大量人力']]"
0,20150901_2402,綠委:逮學生記者 啟動行政調查 教部:一再侵入 已撤告今天（1號）是「記者節」，針對上個月反課綱學生闖進教育部，包括三名記者在內共三十三人遭逮捕。民進黨立委鄭麗君認為，記者在採訪過程中被逮，是新聞自由受到傷害，她要求教育部展開行政調查，政府也應該道歉。教育部則指出，之前因為有好幾次學生侵入教育部，才要求警方依法處理，日前部長已經表示全面撤告。（陳俊華報導）七月二十三號「反課綱」群眾闖進教育部，現場包括三名正在執行採訪工作的記者在內，共三十三人遭逮捕，引發侵害新聞自由的疑慮，雖然教育部長吳思華表示將全面撤告，但遭逮的記者認為，教育部應該正式道歉。民進黨立委鄭麗君在九月一號「記者節」當天舉行記者會，她要求教育部展開行政調查，政府應該向媒體及社會大眾道歉，並保證未來不會發生侵害媒體自由的事件。對此，中正一分局副分局長董欣欣表示，當時是教育部官員堅持提告，才依法受理，沒有不移送的理由。董欣欣：『剛開始到現場我們有第一批警力到的時候，並沒有干涉各位的新聞採訪自由，我們是因為教育部的官員針對現場的記者向警方提出告訴之後，我們警方向檢察官作報告，檢察官也給我們做指示，要我們依法來做受理以及偵辦，所以我們沒有不移送的理由。』教育部政風處處長于建國表示，這次事件之前有好幾次學生侵入教育部，因此和警方達成共識，只要再有違法行為就會提告。事件當天有學生和記者侵入教育部，影響辦公秩序，才會對所有人提告。當時遭到逮捕的獨立記者林雨佑表示，教育部官員說有「反課綱」學生的口供，說是記者帶頭闖入，如果教育部質疑記者是策劃者，就應該先提出證據。（圖：陳俊華攝）,"[['啓動行政調查教部', '逮', '學生記者'], ['今天1號', '是', '記者節'], ['上個月', '反', '課綱'], ['三名記者', '遭', '逮捕'], ['民進黨立委鄭麗君', '認爲', '記者被逮'], ['新聞自由', '受到', '傷害'], ['教育部', '指出', '要求'], ['好幾次學生', '侵入', '教育部'], ['部長', '表示', '撤告'], ['「', '反', '課綱'], ['反課綱羣衆', '闖進', '教育部'], ['現場', '包括', '三十三人遭逮捕'], ['正在', '執行', '採訪工作'], ['三十三人', '遭', '逮捕'], ['教育部長吳思華', '表示', '撤告'], ['但', '遭', '逮'], ['遭逮記者', '認爲', '教育部道歉'], ['民進黨立委鄭麗君', '舉行', '記者會'], ['發生侵害事件', '侵害', '媒體自由'], ['副分局長董欣欣', '表示', '受理'], ['我們', '有', '第一批警力到時候'], ['並沒有新聞採訪自由', '干涉', '各位'], ['我們警方', '是因爲', '作報告'], ['教育部官員', '提出', '告訴'], ['我們', '沒有', '移送理由'], ['於建國', '表示', '達成共識'], ['這次事件', '有', '學生侵入教育部'], ['學生', '侵入', '教育部'], ['事件', '有', '學生侵入教育部'], ['學生', '侵入', '教育部'], ['當時', '遭到', '逮捕'], ['獨立記者林雨佑', '表示', '教育部官員說有反課綱學生口供'], ['教育部官員', '說', '有反課綱學生口供'], ['「', '反', '課綱'], ['教育部', '質疑', '記者是策劃者'], ['記者', '是', '策劃者']]"
0,20150901_2403,學生助理抗議  勞動權益拜拜20多位大學工會代表到教育部前抗議，抨擊教育部沒有撥足經費，放任大學降低納保支出，減聘助理，讓校園學生助理的遭受到失業和減薪，要求教育部立即補足目前助理和工讀生所需的勞動成本，並把大學勞檢納入評鑑項目。(陳映竹報導)今年六月教育部和勞動部發布「專科以上學校兼任助理勞動權益保障指導原則」，將學生助理分為「勞雇型」與「學習型」，其中「勞雇型」必須納入勞保保障，這卻引發不少後遺症，部分學校為了降低支出，減聘助理，或是盤點後把學生都劃分為「學習型」。台大工會、高教產業工會不滿，教育部應該將助理納保所需的經費補足給大學，不該讓學校規避責任。對此，教育部參事黃雯玲解釋，學習型助理的工作內容，與學生的畢業論文、專業都有相關性，而勞僱型助理，主要工作內容都是處理與學習無關的雜事，因此才會做此區隔。黃文玲說，教育經費有限，補貼學校勞保費，將排擠到其他教育預算，大學評鑑內容以教學專業為主，大學勞檢不宜納入評鑑項目。,"[['學生', '抗議', '拜拜'], ['大學工會代表', '到', '教育部前'], ['教育部', '撥', '經費'], ['陳映竹', '報導', '勞動權益保障指導原則'], ['專科以上學校', '兼任', '助理'], ['專科以上學校', '兼任', '助理'], ['其中勞僱型', '納入', '勞保保障'], ['這', '引發', '不少後遺症'], ['教育部參事黃雯玲', '解釋', '做區隔'], ['工作內容', '有', '相關性'], ['勞僱型助理', '都是', '無關雜事'], ['黃文玲', '說', '有限'], ['大學勞檢', '納入', '評鑑項目']]"
0,20150901_2404,富士康因土地問題取消印尼工廠投資計劃新浪美股訊 北京時間1日路透稱，印尼報紙kontan周二援引一個印尼商會負責人稱，全球最大電子零件制造商--臺灣富士康科技集團取消了在印尼投資一家工廠的計劃。富士康去年曾表示可能在印尼投資10億美元，印尼是東南亞最大的經濟體。,"[['富士康', '取消', '印尼工廠投資計劃'], ['-臺灣富士康科技集團', '取消', '投資一家工廠計劃'], ['印尼', '投資', '一家工廠'], ['富士康', '表示', '投資'], ['印尼', '是', '最大經濟體']]"
0,20150901_2405,台股盤後－空歡喜一場 權值股昨漲今跌 中小型股活跳跳 指數回測8000點台股今天在國際股市全面走弱拖累，昨天尾盤大漲的點數今天全部吐回，權值股大跌，僅剩中小型股力拼抗跌，盤中最低一度來到8002.18點終場下跌157.36點，以8017.56點作收，月線失守，但仍力守8000點，成交量843.21億元，為8月18日以來最低量。以中小型股為主的櫃檯指數，今天則表現相對強勢，終場上漲0.4點，以108.60點作收，成交量161.65億元，較昨天的136.17億元明顯增溫，日線連6紅，持續站穩在10日線之上。今天台股主要是因為國際股市走跌，尤其中國製造業指數跌破50大關，使得陸股的上證下跌1.7%，深證更大跌近4%，另外日本也重挫近3.8%，韓國也下跌逾1%，而台股昨天尾盤因為法人調整持股，出現大跌，今天也一如往例，演出回吐走勢，像是台積電昨天尾盤拉4元，今天跌5元，鴻海昨拉2.5元，今跌2.7元，把昨天漲的都吐回去了。類股部分，水泥及半導體跌幅最大，均超過3%；玻陶、食品、塑膠、貿易百貨、金融、航運、其他電子也跌超過2%。另外指標股封測雙雄日月光及矽品，今天走勢也相對疲弱，日月光大跌逾6%，矽品也下跌逾1%，跌破40元大關。雙D族群部分，面板雙虎友達及群創，今天也幾乎將昨天的漲幅通通回吐，友達跌逾5%，再度面臨10元票面價保衛戰；群創更跌逾5%，跌破11元整數。DRAM股華亞科及南科，則是因為短線跌幅深，表現雙雙抗跌，同步小漲0.15元。高價股部分，股王大立光下跌40元，跌破3000元大關；股后漢微科下跌45元，跌幅達3.26%；紡織成衣雙雄聚陽及儒鴻表現抗跌，分別上漲1.5元及0.5元。國際油價連續大漲，節能類股表現強勁，昇陽科及茂迪雙雙漲停，新日光、綠能、昱晶、中美晶、台虹、益通、碩禾等也紛紛收紅。不過航空雙雄華航及長榮航則走跌。金融股部分則是以中小型銀行股表現相對強勁，安泰銀、京城銀、遠東銀、台企銀、高雄雄、聯邦銀、玉山金及台新金收紅，富邦金及永豐金大跌逾5%，兆豐金、國泰金、中信金跌逾3%。法人指出，台股經過昨天尾盤突然急拉大漲，今天指數開低後，很明顯市場都在觀望，尾盤是不是還會有跟昨天一樣的走勢，不過並沒有出現，由於台股短線已大漲近1000點，因此在這邊休息一下也不是壞事，只要能守住8000點，等到國際股市也能稍回穩之後，台股仍有機會繼續向挑戰月線反壓。,"[['中小型股活跳跳指數', '回測', '8000點臺股'], ['臺股', '是因爲', '國際股市走'], ['中國製造業指數', '跌破', '50大關'], ['日本', '重挫', '3.8%'], ['回吐走勢', '像', '4元'], ['日月光大跌', '逾', '6%'], ['友達跌', '逾', '5%'], ['股王大立光', '下跌', '40元'], ['後漢', '下跌', '45元'], ['跌幅', '達', '3.26%'], ['紡織成衣雙雄聚陽', '抗', '跌'], ['金融股部分', '是', '強勁'], ['兆豐金', '逾', '3%'], ['法人', '指出', '休息不是壞事'], ['尾盤', '有', '一樣走勢'], ['休息', '不是', '壞事'], ['臺股', '守住', '有機會']]"
0,20150901_2406,雪季最爽夢幻工作！雄獅徵「百萬滑雪特派員」旅遊業者雄獅()今(1)日宣布舉辦「百萬滑雪特派員」徵選活動，優勝者不只可以在68天內暢遊34座日本指標雪場，獲得全球雪板第1大品牌BURTON、以及ALLRIDE、ROXY&QUIKSILVER等頂級運動品牌贊助的夢幻滑雪配備，還可以拿到滑雪駐站津貼，獎品總價值超過百萬元，堪稱是史上首度、雪季最爽的夢幻工作。雄獅副總經理游國珍表示，近年滑雪旅遊人次成長明顯，雄獅旅遊主題旅遊部從2008年開始推出主打滑雪的旅遊行程後，不管是親子同行、初學者或是進階滑雪行程，反應皆相當熱絡，又以有專業教練隨團的行程最受歡迎。其中，日本因鄰近台灣，且當地滑雪產業發展成熟，加上雪場選擇多還能可搭配周邊的溫泉、美食和購物行程，每年皆吸引許多遊客造訪，據雄獅觀察，台灣光去年雪季就吸引近4萬人次前往日本滑雪，相較前年呈倍數成長，預計今年在航班增多的帶動下，赴日滑雪的人次將再成長30%。看準滑雪旅遊成長趨勢，雄獅首度對外發出「百萬滑雪特派員」徵召令，只要是滑雪的愛好者，年滿20歲以上的台灣民眾，不限Snowboard或Ski類型皆可報名參加徵選，即日起至9月20日止，上傳個人資料到活動官網報名，就有機會獲得雪季最爽工作機會。雄獅指出，百萬滑雪特派員除了可以在68天內滑遍日本34座知名雪場，還可獲得頂級運動品牌贊助的夢幻滑雪配備，從頭到腳一應俱全，並領有滑雪駐站津貼，另外，活動最後將從本次參賽者中挑選3-4位「遺珠之獎」的得主，可得到雄獅獨家合作前往北海道夕張滑雪場打工換宿的機會，不只食宿全免還附贈日本來回機票。針對今年雪季，雄獅旅遊除了針對不同族群推出專屬行程，也將帶領旅客前往白馬地區，在作為冬奧指定場地的經典雪場的八方尾根滑雪場(Happo One)和白馬GREENPLAZA讓民眾能親自體驗精采的滑雪賽道，並提供可滑遍11座山的纜車票。,"[['最', '爽', '夢幻'], ['旅遊業者雄獅', '宣佈', '舉辦活動'], ['優勝者', '暢遊', '日本指標雪場'], ['滑雪', '駐', '站'], ['總價值', '超過', '百萬元'], ['雄獅副總經理遊國珍', '表示', '明顯'], ['雄獅旅遊主題旅遊部', '開始', '推出旅遊行程'], ['推出旅遊行程', '主打', '滑雪'], ['專業教練', '隨', '團'], ['光', '吸引', '往日本'], ['，', '赴', '日'], ['雄獅', '發出', '滑雪特派員徵召令'], ['，', '年滿', '20歲以上'], ['雄獅', '指出', '遺珠獎得主得到前往北海道夕張滑雪場機會'], ['滑雪', '駐', '站'], ['遺珠獎得主', '得到', '前往北海道夕張滑雪場機會'], ['合作', '前往', '北海道夕張滑雪場'], ['在', '作爲', '指定場地'], ['可', '滑', '11座山']]"
0,20150901_2407,"富鼎投顧盤後－以靜制動等候台股整理完◆盤勢分析昨晚在聯準會副主席費雪的發言下加深投資人對美國9月升息的擔憂，周一美股主要指數收黑。升息之事我們早已預測就不再贅述！終場收盤，跌114.98點或0.69%，為16,528.03點。標準普爾500指數跌16.69點或0.84%，為1,972.18點。指數跌51.82點或1.07%，為4,776.51點。累計上月收跌6.6%，創下2010年5月後最大單月跌幅。標普500指數收跌6.3%，指數下挫6.9%，雙雙創下2012年5月後的最大單月跌幅。另外CBOE波動性指數彈升約9.14%，為28.43，高於長期均值20。總括言之美股昨幾乎都在10日線震盪，簡單來講要扭轉趨勢就是整理後要再往上，不過美升息在即恐怕不容易扭轉！今日盤面上，還稍微值得一提的是太陽能產業從Q3回暖，據太陽能電池廠3561昇陽科總座喊話訂單能見度直達11月，昇陽科今日交投火熱，開盤10分鐘後漲停鎖住，帶動3051力特、3514昱晶、3576新日光、4934太極等盤初連袂強漲逾6%，支撐光電類股指數一度逆勢上揚。另外2325矽品、2311日月光大鬥法，今日賣壓皆不弱，日月光跌逾4.5％、矽品亦跌近3％。至於2498宏達電裁員行動展開，市場觀望氣氛濃厚，今量縮於平盤上下震盪，小跌近1.5%。2330台積電昨最後一盤強拉至129元，今獲利回吐，盤中跌至126元，跌破月線。法人表示，台股昨日尾盤急拉，但今日多方回檔，盤中回吐漲幅，技術面目前十日線及月線仍處下降趨勢，要一次站穩月線實屬不易。再加上市場不確定性因素仍多，預期大盤將於8150及7800點的十年線位置區間繼續震盪整理！","[['靜制動等候臺股整理盤勢分析', '加深', '對擔憂'], ['主要指數', '收', '黑'], ['我們', '預測', '升息事'], ['標普500指數收', '跌', '6.3%'], ['指數', '下挫', '6.9%'], ['稍微', '值得', '提'], ['值得提的', '是', '太陽能產業回暖'], ['3561昇陽科總座', '喊', '話'], ['能見度', '直達', '11月'], ['小跌', '近', '1.5%'], ['最後一盤', '拉至', '129元'], ['法人', '表示', '站穩月線實屬不易'], ['站穩月線', '實屬', '不易']]"
0,20150901_2408,歐元竊喜上漲 澳元紐元同是天涯淪落人新一周的開始，市場將陸續迎來一系列重磅事件，有望為外匯市場走勢增添亮點。但周一英國因公眾假期休市，市場交投清淡，收得十字星陽線，整理上周的上漲走勢，收於95.88。小幅走高，略收於1.12關口上方。延續近期跌勢，最低下探1.5338。商品貨幣和雙雙下挫，跌勢最為慘重，最低觸及0.6318。大幅收漲，但整體仍維持低位整理。周一全球股市下跌，避險情緒升溫，使得投資者對前期和的套息交易進行平倉，和小幅上漲。此前8月下旬金融市場動盪劇烈一度促進套息交易平倉活躍，和受益最大。數據方面，德國7月實際零售銷售年率大幅高於預期的1.9%，為3.3%；月率同樣高於預期的1.1%，為1.4%。意大利8月消費者物價調和指數月率初值0.0%，高於預期-2.0%；年率初值0.5%，也高於預期0.2%。區數據表現靚麗，對上行也有一定支撐作用。周一中國滬深股市收跌，上證綜指收盤下跌0.82%，深證成指則下挫2.32%。和受到中國股市的拖累，再次下挫。此外，周二亞市早盤公布的中國方面公布的數據並不理想，數據顯示，8月官方制造業采購經理人（PMI）指數與預期一致，錄得49.7，低於前值50；非制造業PMI為53.4，同樣低於前值53.9。數據表明中國經濟增長持續放緩，對貿易伙伴澳大利亞和新西蘭的經濟前景產生負面影響，但和反應有限。周二北京時間中午12:30澳洲聯儲將公布利率決議，預計本次決議將維持貨幣政策不變。特別值得關注的是稍后公布的政策聲明，若其措辭極其偏向鴿派，可能令承壓。日內市場還可關注歐洲時段意大利、法國、德國和區制造業PMI終值數據。另外，紐約時段關注美國ISM制造業PMI，預計該數據可能會升至52.8。/美元：小時圖在1.5340附近企穩溫和走高，上破初步阻力位1.5430有望進一步上行；4小時圖在近期整理區間底部（1.5470一線）下方震盪，當前有反彈跡象，暫時受到MA20打壓，隨機指數自超賣區域回升，短期有望上漲；日圖1.5340附近支援較強，可能限制跌幅並提供反彈動力。日內建議於可在1.5340附近做多，止損設於1.5310，阻力看1.5440，進一步看1.5500。/美元：小時圖在0.7105附近受支援有溫和反彈跡象，但整體震盪下跌走勢完好，下行壓力仍沉重；4小時圖受到MA20打壓，不破該檔有望維持承壓，進一步阻力0.7180；日圖5月高點以來的下降趨勢保持完好，有望進一步下跌。日內建議於0.7185附近做空，止損設於0.7215，支援看0.7090，進一步0.7050。澳儲行9月利率決議德國8月失業率和失業人數變化英國8月制造業PMI數據區7月失業率加拿大第二季度GDP年率/季率加拿大8月制造業PMI數據美國8月ISM制造業指數機構來源：HY MARKETS,"[['澳元紐元', '是', '新一週開始'], ['市場', '迎來', '重磅事件'], ['外匯市場走勢', '增添', '亮點'], ['整體', '維持', '低位整理'], ['銷售年率', '高於', '預期1.9%'], ['月率', '高於', '預期1.1%'], ['8月消費者', '初值', '0.0%'], ['年率', '初值', '0.5%'], ['中國滬深股市', '收', '跌'], ['數據', '顯示', '錄'], ['非製造業PMI', '爲', '53.4'], ['數據', '表明', '中國經濟增長放緩'], ['公佈利率', '決議', '預計本次決議維持貨幣政策不變'], ['本次決議', '維持', '貨幣政策不變'], ['特別', '值得', '關注'], ['值得關注的', '是', '政策聲明'], ['其措辭', '偏向', '鴿派'], ['日內市場', '關注', '終值數據'], ['止損', '設於', '1.5310'], ['阻力', '看', '1.5440'], ['小時圖', '受', '跡象'], ['下降趨勢保持', '有望', '下跌'], ['止損', '設於', '0.7215'], ['9月利率', '決議', 'ISM製造業指數機構來源']]"
0,20150901_2409,低得離譜...鬼月北部新推預售案只有3個！928檔期買氣堪慮據《好房網不動產週報》的市調顯示，傳統鬼月房市曾在2013年創下1702億元的歷史天量，顯然當時的房市多頭氣氛完全不受傳統禁忌的影響，然而，今年鬼月北台灣所推新建案，案量超過10億元的中型建案僅3個，加總後的總推案量47億元比起2013年同期的1702億元，可說是九牛一毛，房仲業者指出，房市低迷的程度恐怕連鬼都會嚇一跳。從8月14日至9月12日止的鬼月期間，好房網統計北部推案量比原先預期的推案量「差很大」，居然只有3個指標案推出，推案總量較2013年鬼月大幅衰退了97.2%，總銷金額47億元更是這波10年來的最低量，只有總銷10億元的北市中正區「中正文華」、11億元的新北市五股區「九揚薩爾茲堡」和總銷15億元的新北市三重區「璞園春生生」3個預售案於鬼月期間推出。好房網表示，相較於往年鬼月期間推案，大型建商包括興富發、遠雄、吉美、全坤、宏泰、甲山林、桃大和富宇等公司，紛紛避開今年鬼月推案，與往年大量推案的盛況大相逕庭。從區域來看，往年推案的熱門地區，包括台北市的內湖、北投，新北市的新莊、林口、淡水，桃園地區的中壢、八德、平鎮，到新竹縣的竹北市，罕見出現零推案市況。觀察今年鬼月所公開的3個建案，多是以低總價的中小坪數產品為主，位於北市中正區廈門街的「中正文華」，規劃22-33坪、2至3房產品，每坪開價8字頭，鎖定區域內首購族群；由九揚建設投資興建位五股洲子洋重劃區的「九揚薩爾茲堡」，規劃為20至40坪的自住型產品；另外，新北市三重區新案「璞園春生生」，則是推出30至56坪、2至4房的產品。好房網說明，由於鬼月過後緊接著是房市年度的超級強檔「928檔期」，因此許多建案索性順勢延後推出，期盼股災稍許和緩後，再搶攻今年最後一波的檔期，導致今年鬼月無法如同往年景氣好時一樣，從鬼月一路暢旺到928檔。《好房網不動產週報》社長倪子仁認為，今年鬼月的破盤量已無法成為928檔預推新案的熱身期，因此，建商不應再用去年以前的房價標準來賣房子，並應避開近年推案爆量的熱門地區，避免多殺多。,"[['鬼月推預售案', '只有', '3個'], ['氣堪慮據好房網不動產週報市調', '顯示', '鬼月房市創下歷史天量'], ['鬼月房市', '創下', '歷史天量'], ['多頭氣氛', '不受', '傳統禁忌影響'], ['案量', '超過', '10億元'], ['案量', '超過', '10億元'], ['房仲業者', '指出', '嚇一跳'], ['好房網', '表示', '大型建商包括等興富發公司'], ['大型建商', '包括', '等興富發公司'], ['熱門地區', '包括', '臺北市內湖'], ['罕見', '出現', '零推案市況'], ['三重區新案璞園春生生', '是', '推出房產品'], ['好房網', '說明', '許多建案索性推出'], ['好房網不動產週報社長倪子仁', '認爲', '建商賣房子'], ['破盤量', '成爲', '新案熱身期'], ['建商', '賣', '房子']]"
