Date,PredictLabel,PredictLabelMean,PredictLabel1,PredictLabel5,PredictLabel10,PredictLabel15,PredictLabel20,PredictLabel30
2013/08/08,,,,,,,,
2013/08/09,,,,,,,,
2013/08/12,,,,,,,,
2013/08/13,,,,,,,,
2013/08/14,,,,,,,,
2013/08/15,,,,,,,,
2013/08/16,,,,,,,,
2013/08/19,,,,,,,,
2013/08/20,,,,,,,,
2013/08/22,,,,,,,,
2013/08/23,,,,,,,,
2013/08/26,,,,,,,,
2013/08/27,,,,,,,,
2013/08/28,,,,,,,,
2013/08/29,,,,,,,,
2013/08/30,,,,,,,,
2013/09/02,,,,,,,,
2013/09/03,,,,,,,,
2013/09/04,,,,,,,,
2013/09/05,,,,,,,,
2013/09/06,,,,,,,,
2013/09/09,,,,,,,,
2013/09/10,,,,,,,,
2013/09/11,,,,,,,,
2013/09/12,,,,,,,,
2013/09/13,,,,,,,,
2013/09/14,,,,,,,,
2013/09/16,,,,,,,,
2013/09/17,,,,,,,,
2013/09/18,,,,,,,,
2013/09/23,,,,,,,,
2013/09/24,,,,,,,,
2013/09/25,,,,,,,,
2013/09/26,,,,,,,,
2013/09/27,,,,,,,,
2013/09/30,,,,,,,,
2013/10/01,,,,,,,,
2013/10/02,,,,,,,,
2013/10/03,,,,,,,,
2013/10/04,,,,,,,,
2013/10/07,,,,,,,,
2013/10/08,,,,,,,,
2013/10/09,,,,,,,,
2013/10/11,,,,,,,,
2013/10/14,,,,,,,,
2013/10/15,,,,,,,,
2013/10/16,,,,,,,,
2013/10/17,,,,,,,,
2013/10/18,,,,,,,,
2013/10/21,,,,,,,,
2013/10/22,,,,,,,,
2013/10/23,,,,,,,,
2013/10/24,,,,,,,,
2013/10/25,,,,,,,,
2013/10/28,,,,,,,,
2013/10/29,,,,,,,,
2013/10/30,,,,,,,,
2013/10/31,,,,,,,,
2013/11/01,,,,,,,,
2013/11/04,,,,,,,,
2013/11/05,,,,,,,,
2013/11/06,,,,,,,,
2013/11/07,,,,,,,,
2013/11/08,,,,,,,,
2013/11/11,,,,,,,,
2013/11/12,,,,,,,,
2013/11/13,,,,,,,,
2013/11/14,,,,,,,,
2013/11/15,,,,,,,,
2013/11/18,,,,,,,,
2013/11/19,,,,,,,,
2013/11/20,,,,,,,,
2013/11/21,,,,,,,,
2013/11/22,,,,,,,,
2013/11/25,,,,,,,,
2013/11/26,,,,,,,,
2013/11/27,,,,,,,,
2013/11/28,,,,,,,,
2013/11/29,,,,,,,,
2013/12/02,,,,,,,,
2013/12/03,,,,,,,,
2013/12/04,,,,,,,,
2013/12/05,,,,,,,,
2013/12/06,,,,,,,,
2013/12/09,,,,,,,,
2013/12/10,,,,,,,,
2013/12/11,,,,,,,,
2013/12/12,,,,,,,,
2013/12/13,,,,,,,,
2013/12/16,,,,,,,,
2013/12/17,,,,,,,,
2013/12/18,,,,,,,,
2013/12/19,,,,,,,,
2013/12/20,,,,,,,,
2013/12/23,,,,,,,,
2013/12/24,,,,,,,,
2013/12/25,,,,,,,,
2013/12/26,,,,,,,,
2013/12/27,,,,,,,,
2013/12/30,,,,,,,,
2013/12/31,,,,,,,,
2014/01/02,,,,,,,,
2014/01/03,,,,,,,,
2014/01/06,,,,,,,,
2014/01/07,,,,,,,,
2014/01/08,,,,,,,,
2014/01/09,,,,,,,,
2014/01/10,,,,,,,,
2014/01/13,,,,,,,,
2014/01/14,,,,,,,,
2014/01/15,,,,,,,,
2014/01/16,,,,,,,,
2014/01/17,,,,,,,,
2014/01/20,,,,,,,,
2014/01/21,,,,,,,,
2014/01/22,,,,,,,,
2014/01/23,,,,,,,,
2014/01/24,,,,,,,,
2014/01/27,,,,,,,,
2014/02/05,,,,,,,,
2014/02/06,,,,,,,,
2014/02/07,,,,,,,,
2014/02/10,,,,,,,,
2014/02/11,,,,,,,,
2014/02/12,,,,,,,,
2014/02/13,,,,,,,,
2014/02/14,,,,,,,,
2014/02/17,,,,,,,,
2014/02/18,,,,,,,,
2014/02/19,,,,,,,,
2014/02/20,,,,,,,,
2014/02/21,,,,,,,,
2014/02/24,,,,,,,,
2014/02/25,,,,,,,,
2014/02/26,,,,,,,,
2014/02/27,,,,,,,,
2014/03/03,,,,,,,,
2014/03/04,,,,,,,,
2014/03/05,,,,,,,,
2014/03/06,,,,,,,,
2014/03/07,,,,,,,,
2014/03/10,,,,,,,,
2014/03/11,,,,,,,,
2014/03/12,,,,,,,,
2014/03/13,,,,,,,,
2014/03/14,,,,,,,,
2014/03/17,,,,,,,,
2014/03/18,,,,,,,,
2014/03/19,,,,,,,,
2014/03/20,,,,,,,,
2014/03/21,,,,,,,,
2014/03/24,,,,,,,,
2014/03/25,,,,,,,,
2014/03/26,,,,,,,,
2014/03/27,,,,,,,,
2014/03/28,,,,,,,,
2014/03/31,,,,,,,,
2014/04/01,['nan' '1.0' '1.0' '1.0' '1.0' '1.0' '1.0'],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014/04/02,['nan' '1.0' '1.0' '1.0' '1.0' '1.0' '1.0'],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014/04/03,['nan' '1.0' '1.0' '1.0' '1.0' '1.0' '1.0'],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014/04/07,['nan' '1.0' '1.0' '1.0' '1.0' '1.0' '1.0'],1.0,1.0,1.0,1.0,1.0,1.0,1.0
