,HighGroup,LowGroup
2010-05-31,1.0,1.0
2010-06-01,1.0,1.0
2010-06-02,1.0,1.0
2010-06-03,1.0,1.0
2010-06-04,1.0,1.0
2010-06-05,1.0,1.0
2010-06-06,1.0,1.0
2010-06-07,1.0,1.0
2010-06-08,1.0,1.0
2010-06-09,1.0,1.0
2010-06-10,1.0,1.0
2010-06-11,1.0,1.0
2010-06-12,1.0,1.0
2010-06-13,1.0,1.0
2010-06-14,1.0,1.0
2010-06-15,1.0,1.0
2010-06-16,1.0,1.0
2010-06-17,1.0,1.0
2010-06-18,1.0,1.0
2010-06-19,1.0,1.0
2010-06-20,1.0,1.0
2010-06-21,1.0,1.0
2010-06-22,1.0,1.0
2010-06-23,1.0,1.0
2010-06-24,1.0,1.0
2010-06-25,1.0,1.0
2010-06-26,1.0,1.0
2010-06-27,1.0,1.0
2010-06-28,1.0,1.0
2010-06-29,1.0,1.0
2010-06-30,1.0,1.0
2010-07-01,1.0,1.0
2010-07-02,1.0,1.0
2010-07-03,1.0,1.0
2010-07-04,1.0,1.0
2010-07-05,1.0,1.0
2010-07-06,1.0,1.0
2010-07-07,1.0,1.0
2010-07-08,1.0,1.0
2010-07-09,1.0,1.0
2010-07-10,1.0,1.0
2010-07-11,1.0,1.0
2010-07-12,1.0,1.0
2010-07-13,1.0,1.0
2010-07-14,1.0,1.0
2010-07-15,1.0,1.0
2010-07-16,1.0,1.0
2010-07-17,1.0,1.0
2010-07-18,1.0,1.0
2010-07-19,1.0,1.0
2010-07-20,1.0,1.0
2010-07-21,1.0,1.0
2010-07-22,1.0,1.0
2010-07-23,1.0,1.0
2010-07-24,1.0,1.0
2010-07-25,1.0,1.0
2010-07-26,1.0,1.0
2010-07-27,1.0,1.0
2010-07-28,1.0,1.0
2010-07-29,1.0,1.0
2010-07-30,1.0,1.0
2010-07-31,1.0,1.0
2010-08-01,1.0,1.0
2010-08-02,1.0,1.0
2010-08-03,1.0,1.0
2010-08-04,1.0,1.0
2010-08-05,1.0,1.0
2010-08-06,1.0,1.0
2010-08-07,1.0,1.0
2010-08-08,1.0,1.0
2010-08-09,1.0,1.0
2010-08-10,1.0,1.0
2010-08-11,1.0,1.0
2010-08-12,1.0,1.0
2010-08-13,1.0,1.0
2010-08-14,1.0,1.0
2010-08-15,1.0,1.0
2010-08-16,1.0,1.0
2010-08-17,1.0,1.0
2010-08-18,1.0,1.0
2010-08-19,1.0,1.0
2010-08-20,1.0,1.0
2010-08-21,1.0,1.0
2010-08-22,1.0,1.0
2010-08-23,1.0,1.0
2010-08-24,1.0,1.0
2010-08-25,1.0,1.0
2010-08-26,1.0,1.0
2010-08-27,1.0,1.0
2010-08-28,1.0,1.0
2010-08-29,1.0,1.0
2010-08-30,1.0,1.0
2010-08-31,1.0,1.0
2010-09-01,1.0,1.0
2010-09-02,1.0,1.0
2010-09-03,1.0,1.0
2010-09-04,1.0,1.0
2010-09-05,1.0,1.0
2010-09-06,1.0,1.0
2010-09-07,1.0,1.0
2010-09-08,1.0,1.0
2010-09-09,1.0,1.0
2010-09-10,1.0,1.0
2010-09-11,1.0,1.0
2010-09-12,1.0,1.0
2010-09-13,1.0,1.0
2010-09-14,1.0,1.0
2010-09-15,1.0,1.0
2010-09-16,1.0,1.0
2010-09-17,1.0,1.0
2010-09-18,1.0,1.0
2010-09-19,1.0,1.0
2010-09-20,1.0,1.0
2010-09-21,1.0,1.0
2010-09-22,1.0,1.0
2010-09-23,1.0,1.0
2010-09-24,1.0,1.0
2010-09-25,1.0,1.0
2010-09-26,1.0,1.0
2010-09-27,1.0,1.0
2010-09-28,1.0,1.0
2010-09-29,1.0,1.0
2010-09-30,1.0,1.0
2010-10-01,1.0,1.0
2010-10-02,1.0,1.0
2010-10-03,1.0,1.0
2010-10-04,1.0,1.0
2010-10-05,1.0,1.0
2010-10-06,1.0,1.0
2010-10-07,1.0,1.0
2010-10-08,1.0,1.0
2010-10-09,1.0,1.0
2010-10-10,1.0,1.0
2010-10-11,1.0,1.0
2010-10-12,1.0,1.0
2010-10-13,1.0,1.0
2010-10-14,1.0,1.0
2010-10-15,1.0,1.0
2010-10-16,1.0,1.0
2010-10-17,1.0,1.0
2010-10-18,1.0,1.0
2010-10-19,1.0,1.0
2010-10-20,1.0,1.0
2010-10-21,1.0,1.0
2010-10-22,1.0,1.0
2010-10-23,1.0,1.0
2010-10-24,1.0,1.0
2010-10-25,1.0,1.0
2010-10-26,1.0,1.0
2010-10-27,1.0,1.0
2010-10-28,1.0,1.0
2010-10-29,1.0,1.0
2010-10-30,1.0,1.0
2010-10-31,1.0,1.0
2010-11-01,1.0,1.0
2010-11-02,1.0,1.0
2010-11-03,1.0,1.0
2010-11-04,1.0,1.0
2010-11-05,1.0,1.0
2010-11-06,1.0,1.0
2010-11-07,1.0,1.0
2010-11-08,1.0,1.0
2010-11-09,1.0,1.0
2010-11-10,1.0,1.0
2010-11-11,1.0,1.0
2010-11-12,1.0,1.0
2010-11-13,1.0,1.0
2010-11-14,1.0,1.0
2010-11-15,1.0,1.0
2010-11-16,1.0,1.0
2010-11-17,1.0,1.0
2010-11-18,1.0,1.0
2010-11-19,1.0,1.0
2010-11-20,1.0,1.0
2010-11-21,1.0,1.0
2010-11-22,1.0,1.0
2010-11-23,1.0,1.0
2010-11-24,1.0,1.0
2010-11-25,1.0,1.0
2010-11-26,1.0,1.0
2010-11-27,1.0,1.0
2010-11-28,1.0,1.0
2010-11-29,1.0,1.0
2010-11-30,1.0081880697483283,0.9950941581769714
2010-12-01,1.0104833511262103,1.0220064532320423
2010-12-02,1.0096172464647633,1.0026527217460623
2010-12-03,0.9999992473535303,1.005621175798927
2010-12-04,1.0,1.0
2010-12-05,1.0,1.0
2010-12-06,1.0057002886086157,1.0012111822103216
2010-12-07,1.0046739152731772,1.0024520734714513
2010-12-08,0.9963954727456993,0.9928112754541961
2010-12-09,1.0130607636957893,1.004856637840692
2010-12-10,1.0044921600751144,0.9972137476806231
2010-12-11,1.0,1.0
2010-12-12,1.0,1.0
2010-12-13,1.0039999180360184,0.9967679004119044
2010-12-14,0.9969109229719045,0.9959566349984985
2010-12-15,0.9989326205320338,1.0010948803249025
2010-12-16,1.0038778280035452,1.0008174995925996
2010-12-17,0.9965464633976531,1.0082856479874314
2010-12-18,1.0,1.0
2010-12-19,1.0,1.0
2010-12-20,1.0045271282053434,0.9938545366161926
2010-12-21,1.0053351668103,1.0076383958683504
2010-12-22,1.0047762743264526,1.0028841132355402
2010-12-23,0.9992215509466937,0.9999176914570206
2010-12-24,0.9938339265034346,0.9983185353208793
2010-12-25,1.0,1.0
2010-12-26,1.0,1.0
2010-12-27,0.9992209224088929,1.0042922193016013
2010-12-28,0.9940840284210176,0.9992260417747706
2010-12-29,1.0070330303349664,0.9960285009787107
2010-12-30,1.0063296063596954,1.003718865126494
2010-12-31,0.9999311193370998,1.0022127098607598
2011-01-01,1.0,1.0
2011-01-02,1.0,1.0
2011-01-03,1.0077446379989732,1.0016366510402799
2011-01-04,1.0008224821315375,0.9996290125458827
2011-01-05,0.9779953014633079,0.9841240118468058
2011-01-06,1.0081992993466715,1.0127478171696576
2011-01-07,0.9927637789630135,0.9906571142173362
2011-01-08,1.0,1.0
2011-01-09,1.0,1.0
2011-01-10,1.0064604852425343,1.0047790947908146
2011-01-11,1.007771976987312,1.008328848791561
2011-01-12,0.9980048984806683,0.9936196919199766
2011-01-13,1.0030992324030992,1.0030157417826209
2011-01-14,0.9911165974860484,1.002017763464531
2011-01-15,1.0,1.0
2011-01-16,1.0,1.0
2011-01-17,0.9864107758475512,0.9895541420875261
2011-01-18,1.0089789329782277,0.9996460165093688
2011-01-19,0.9990527551729388,1.0072092944413713
2011-01-20,1.0045452800911048,0.9980272966166374
2011-01-21,0.992838446317739,0.9970117358595804
2011-01-22,1.0,1.0
2011-01-23,1.0,1.0
2011-01-24,0.9996421733418995,0.9972218177598532
2011-01-25,0.9992272329838849,1.0035792502849907
2011-01-26,1.0006441665648103,1.0153093643438937
2011-01-27,1.0030723007840991,1.0036076697164544
2011-01-28,1.0009098974713033,1.0093889500032742
2011-01-29,1.0,1.0
2011-01-30,1.0,1.0
2011-01-31,1.0,1.0
2011-02-01,1.0,1.0
2011-02-02,1.0,1.0
2011-02-03,1.0,1.0
2011-02-04,1.0,1.0
2011-02-05,1.0,1.0
2011-02-06,1.0,1.0
2011-02-07,1.0,1.0
2011-02-08,0.9865272512419688,0.9893561770228966
2011-02-09,0.9974074307650993,0.9865399341081097
2011-02-10,0.9847867015357143,0.9812619773556458
2011-02-11,0.9716564118045443,0.9679175951981508
2011-02-12,1.0,1.0
2011-02-13,1.0,1.0
2011-02-14,1.0139153655271909,1.0093804621544369
2011-02-15,1.0004186329264775,1.0077605397877014
2011-02-16,1.0037542129347028,1.001320336041088
2011-02-17,0.9837937351010958,0.986000714419677
2011-02-18,1.0098709743812118,1.012859507406534
2011-02-19,1.0,1.0
2011-02-20,1.0,1.0
2011-02-21,0.9991431662129237,0.9974004039512346
2011-02-22,0.975844073508647,0.980291876931942
2011-02-23,0.984791516603231,0.989971683553247
2011-02-24,1.000206937428178,1.0037980150093773
2011-02-25,1.0056413248786003,1.011452238789748
2011-02-26,1.0,1.0
2011-02-27,1.0,1.0
2011-02-28,0.997,0.9969999999999999
2011-03-01,1.0,1.0
2011-03-02,1.0,1.0
2011-03-03,1.0,1.0
2011-03-04,1.0,1.0
2011-03-05,1.0,1.0
2011-03-06,1.0,1.0
2011-03-07,1.0,1.0
2011-03-08,1.0,1.0
2011-03-09,1.0,1.0
2011-03-10,1.0,1.0
2011-03-11,1.0,1.0
2011-03-12,1.0,1.0
2011-03-13,1.0,1.0
2011-03-14,1.0,1.0
2011-03-15,1.0,1.0
2011-03-16,1.0,1.0
2011-03-17,1.0,1.0
2011-03-18,1.0,1.0
2011-03-19,1.0,1.0
2011-03-20,1.0,1.0
2011-03-21,1.0,1.0
2011-03-22,1.0,1.0
2011-03-23,1.0,1.0
2011-03-24,1.0,1.0
2011-03-25,1.0,1.0
2011-03-26,1.0,1.0
2011-03-27,1.0,1.0
2011-03-28,1.0,1.0
2011-03-29,1.0,1.0
2011-03-30,1.0,1.0
2011-03-31,1.0018705241873855,1.0000765137052696
2011-04-01,1.002602736607933,1.0054253034073832
2011-04-02,1.0,1.0
2011-04-03,1.0,1.0
2011-04-04,1.0,1.0
2011-04-05,1.0,1.0
2011-04-06,1.0128872174499108,1.0104054467686052
2011-04-07,1.009017382648302,1.0023852485049554
2011-04-08,1.0015500681988192,0.9936845834621265
2011-04-09,1.0,1.0
2011-04-10,1.0,1.0
2011-04-11,1.0011562847723239,1.0029628762023544
2011-04-12,0.9829521612946628,0.9800187196163639
