,HighGroup,LowGroup
2010-05-31,1.0,1.0
2010-06-01,1.0,1.0
2010-06-02,1.0,1.0
2010-06-03,1.0,1.0
2010-06-04,1.0,1.0
2010-06-05,1.0,1.0
2010-06-06,1.0,1.0
2010-06-07,1.0,1.0
2010-06-08,1.0,1.0
2010-06-09,1.0,1.0
2010-06-10,1.0,1.0
2010-06-11,1.0,1.0
2010-06-12,1.0,1.0
2010-06-13,1.0,1.0
2010-06-14,1.0,1.0
2010-06-15,1.0,1.0
2010-06-16,1.0,1.0
2010-06-17,1.0,1.0
2010-06-18,1.0,1.0
2010-06-19,1.0,1.0
2010-06-20,1.0,1.0
2010-06-21,1.0,1.0
2010-06-22,1.0,1.0
2010-06-23,1.0,1.0
2010-06-24,1.0,1.0
2010-06-25,1.0,1.0
2010-06-26,1.0,1.0
2010-06-27,1.0,1.0
2010-06-28,1.0,1.0
2010-06-29,1.0,1.0
2010-06-30,1.0,1.0
2010-07-01,1.0,1.0
2010-07-02,1.0,1.0
2010-07-03,1.0,1.0
2010-07-04,1.0,1.0
2010-07-05,1.0,1.0
2010-07-06,1.0,1.0
2010-07-07,1.0,1.0
2010-07-08,1.0,1.0
2010-07-09,1.0,1.0
2010-07-10,1.0,1.0
2010-07-11,1.0,1.0
2010-07-12,1.0,1.0
2010-07-13,1.0,1.0
2010-07-14,1.0,1.0
2010-07-15,1.0,1.0
2010-07-16,1.0,1.0
2010-07-17,1.0,1.0
2010-07-18,1.0,1.0
2010-07-19,1.0,1.0
2010-07-20,1.0,1.0
2010-07-21,1.0,1.0
2010-07-22,1.0,1.0
2010-07-23,1.0,1.0
2010-07-24,1.0,1.0
2010-07-25,1.0,1.0
2010-07-26,1.0,1.0
2010-07-27,1.0,1.0
2010-07-28,1.0,1.0
2010-07-29,1.0,1.0
2010-07-30,1.0,1.0
2010-07-31,1.0,1.0
2010-08-01,1.0,1.0
2010-08-02,1.0,1.0
2010-08-03,1.0,1.0
2010-08-04,1.0,1.0
2010-08-05,1.0,1.0
2010-08-06,1.0,1.0
2010-08-07,1.0,1.0
2010-08-08,1.0,1.0
2010-08-09,1.0,1.0
2010-08-10,1.0,1.0
2010-08-11,1.0,1.0
2010-08-12,1.0,1.0
2010-08-13,1.0,1.0
2010-08-14,1.0,1.0
2010-08-15,1.0,1.0
2010-08-16,1.0,1.0
2010-08-17,1.0,1.0
2010-08-18,1.0,1.0
2010-08-19,1.0,1.0
2010-08-20,1.0,1.0
2010-08-21,1.0,1.0
2010-08-22,1.0,1.0
2010-08-23,1.0,1.0
2010-08-24,1.0,1.0
2010-08-25,1.0,1.0
2010-08-26,1.0,1.0
2010-08-27,1.0,1.0
2010-08-28,1.0,1.0
2010-08-29,1.0,1.0
2010-08-30,1.0,1.0
2010-08-31,1.0,1.0
2010-09-01,1.0,1.0
2010-09-02,1.0,1.0
2010-09-03,1.0,1.0
2010-09-04,1.0,1.0
2010-09-05,1.0,1.0
2010-09-06,1.0,1.0
2010-09-07,1.0,1.0
2010-09-08,1.0,1.0
2010-09-09,1.0,1.0
2010-09-10,1.0,1.0
2010-09-11,1.0,1.0
2010-09-12,1.0,1.0
2010-09-13,1.0,1.0
2010-09-14,1.0,1.0
2010-09-15,1.0,1.0
2010-09-16,1.0,1.0
2010-09-17,1.0,1.0
2010-09-18,1.0,1.0
2010-09-19,1.0,1.0
2010-09-20,1.0,1.0
2010-09-21,1.0,1.0
2010-09-22,1.0,1.0
2010-09-23,1.0,1.0
2010-09-24,1.0,1.0
2010-09-25,1.0,1.0
2010-09-26,1.0,1.0
2010-09-27,1.0,1.0
2010-09-28,1.0,1.0
2010-09-29,1.0,1.0
2010-09-30,1.0,1.0
2010-10-01,1.0,1.0
2010-10-02,1.0,1.0
2010-10-03,1.0,1.0
2010-10-04,1.0,1.0
2010-10-05,1.0,1.0
2010-10-06,1.0,1.0
2010-10-07,1.0,1.0
2010-10-08,1.0,1.0
2010-10-09,1.0,1.0
2010-10-10,1.0,1.0
2010-10-11,1.0,1.0
2010-10-12,1.0,1.0
2010-10-13,1.0,1.0
2010-10-14,1.0,1.0
2010-10-15,1.0,1.0
2010-10-16,1.0,1.0
2010-10-17,1.0,1.0
2010-10-18,1.0,1.0
2010-10-19,1.0,1.0
2010-10-20,1.0,1.0
2010-10-21,1.0,1.0
2010-10-22,1.0,1.0
2010-10-23,1.0,1.0
2010-10-24,1.0,1.0
2010-10-25,1.0,1.0
2010-10-26,1.0,1.0
2010-10-27,1.0,1.0
2010-10-28,1.0,1.0
2010-10-29,1.0,1.0
2010-10-30,1.0,1.0
2010-10-31,1.0,1.0
2010-11-01,1.0,1.0
2010-11-02,1.0,1.0
2010-11-03,1.0,1.0
2010-11-04,1.0,1.0
2010-11-05,1.0,1.0
2010-11-06,1.0,1.0
2010-11-07,1.0,1.0
2010-11-08,1.0,1.0
2010-11-09,1.0,1.0
2010-11-10,1.0,1.0
2010-11-11,1.0,1.0
2010-11-12,1.0,1.0
2010-11-13,1.0,1.0
2010-11-14,1.0,1.0
2010-11-15,1.0,1.0
2010-11-16,1.0,1.0
2010-11-17,1.0,1.0
2010-11-18,1.0,1.0
2010-11-19,1.0,1.0
2010-11-20,1.0,1.0
2010-11-21,1.0,1.0
2010-11-22,1.0,1.0
2010-11-23,1.0,1.0
2010-11-24,1.0,1.0
2010-11-25,1.0,1.0
2010-11-26,1.0,1.0
2010-11-27,1.0,1.0
2010-11-28,1.0,1.0
2010-11-29,1.0,1.0
2010-11-30,1.0006395642053443,1.0068026714536626
2010-12-01,1.024913674943444,1.0124286864505514
2010-12-02,0.9963547665780877,1.0060836729252858
2010-12-03,1.007200181441623,1.0098154728614612
2010-12-04,1.0,1.0
2010-12-05,1.0,1.0
2010-12-06,1.0102552022907667,1.0018143607242613
2010-12-07,1.000936415179927,0.9931105121660204
2010-12-08,0.9998163339794743,1.0014585082276304
2010-12-09,1.0081184934069394,1.0093058651669413
2010-12-10,0.9974135610221312,1.0001691928044245
2010-12-11,1.0,1.0
2010-12-12,1.0,1.0
2010-12-13,1.003287085910406,1.0064609873375467
2010-12-14,0.9980007343320922,0.9979780290791364
2010-12-15,1.0068753694350545,0.9966052619363373
2010-12-16,1.0055441961580769,1.0020823788075368
2010-12-17,1.0048643392723695,0.9950503364755379
2010-12-18,1.0,1.0
2010-12-19,1.0,1.0
2010-12-20,0.9936575696794699,0.9995110734876383
2010-12-21,1.0067006727024237,1.0044167213864683
2010-12-22,1.0012727201233598,1.0023871637838317
2010-12-23,1.0089778023998766,0.999222038522994
2010-12-24,0.9904560120145064,0.9948409811717073
2010-12-25,1.0,1.0
2010-12-26,1.0,1.0
2010-12-27,1.00160777806593,0.9991291017091494
2010-12-28,0.9935981045675902,0.9956031978891714
2010-12-29,0.9928819296942617,0.9913240926088983
2010-12-30,1.0099379373603694,1.0014623151160817
2010-12-31,1.0098901832780594,0.9991817765438967
2011-01-01,1.0,1.0
2011-01-02,1.0,1.0
2011-01-03,1.0026564240515554,1.001742935593398
2011-01-04,1.002876267025201,1.0021744443024765
2011-01-05,0.9814512845202832,0.9835246122747957
2011-01-06,1.0038502191498024,0.9992035584114032
2011-01-07,0.9973127079772698,0.9999492013083537
2011-01-08,1.0,1.0
2011-01-09,1.0,1.0
2011-01-10,1.0093495842528801,0.9975630944323682
2011-01-11,1.0117638237622817,1.012237247901082
2011-01-12,1.002924188426128,0.9978665471692113
2011-01-13,0.9991859084284158,0.9962429182343552
2011-01-14,1.0000592926057523,0.9958048794819785
2011-01-15,1.0,1.0
2011-01-16,1.0,1.0
2011-01-17,0.98135474206362,0.9949007572400028
2011-01-18,0.9890537679682901,1.0044629948641532
2011-01-19,1.0133049636790161,1.0036886795568483
2011-01-20,0.9996005697062104,1.0023374593318886
2011-01-21,0.9934359498313978,0.9952094720379652
2011-01-22,1.0,1.0
2011-01-23,1.0,1.0
2011-01-24,0.9982892652903885,0.9987665104303699
2011-01-25,0.9983053191335165,1.0006243755892916
2011-01-26,1.0150015764458102,1.0049751853435969
2011-01-27,1.0014372175737252,1.001539617359031
2011-01-28,1.0068503076186626,1.0034886722792982
2011-01-29,1.0,1.0
2011-01-30,1.0,1.0
2011-01-31,1.0,1.0
2011-02-01,1.0,1.0
2011-02-02,1.0,1.0
2011-02-03,1.0,1.0
2011-02-04,1.0,1.0
2011-02-05,1.0,1.0
2011-02-06,1.0,1.0
2011-02-07,1.0,1.0
2011-02-08,0.9883349201282816,0.991023870551586
2011-02-09,0.9831715116857558,0.9985829321527587
2011-02-10,0.9828780833289804,0.9859246547164465
2011-02-11,0.972596638384779,0.975186834837067
2011-02-12,1.0,1.0
2011-02-13,1.0,1.0
2011-02-14,1.0084860727089688,1.0070827311929165
2011-02-15,1.0077000008471886,0.9978752608026892
2011-02-16,1.0011706985719595,0.9977357024391968
2011-02-17,0.9962052301838958,0.9901107032191331
2011-02-18,1.014922833843289,1.0120595821746396
2011-02-19,1.0,1.0
2011-02-20,1.0,1.0
2011-02-21,0.9992475764854023,0.9993608310089294
2011-02-22,0.9813626009024016,0.97735055662266
2011-02-23,0.9811791839342144,0.987776037341751
2011-02-24,1.005249611907872,1.0087719714815628
2011-02-25,1.0091318570586576,1.011114129614386
2011-02-26,1.0,1.0
2011-02-27,1.0,1.0
2011-02-28,0.997,0.9970000000000001
2011-03-01,1.0,1.0
2011-03-02,1.0,1.0
2011-03-03,1.0,1.0
2011-03-04,1.0,1.0
2011-03-05,1.0,1.0
2011-03-06,1.0,1.0
2011-03-07,1.0,1.0
2011-03-08,1.0,1.0
2011-03-09,1.0,1.0
2011-03-10,1.0,1.0
2011-03-11,1.0,1.0
2011-03-12,1.0,1.0
2011-03-13,1.0,1.0
2011-03-14,1.0,1.0
2011-03-15,1.0,1.0
2011-03-16,1.0,1.0
2011-03-17,1.0,1.0
2011-03-18,1.0,1.0
2011-03-19,1.0,1.0
2011-03-20,1.0,1.0
2011-03-21,1.0,1.0
2011-03-22,1.0,1.0
2011-03-23,1.0,1.0
2011-03-24,1.0,1.0
2011-03-25,1.0,1.0
2011-03-26,1.0,1.0
2011-03-27,1.0,1.0
2011-03-28,1.0,1.0
2011-03-29,1.0,1.0
2011-03-30,1.0,1.0
2011-03-31,1.004650370870837,1.0030405029865082
2011-04-01,1.0066135863395658,1.0009164773441468
2011-04-02,1.0,1.0
2011-04-03,1.0,1.0
2011-04-04,1.0,1.0
2011-04-05,1.0,1.0
2011-04-06,1.0149068157615686,1.0130973517481827
2011-04-07,1.0100689614173677,1.0041060972023055
2011-04-08,1.0078788888904615,1.0005860638840194
2011-04-09,1.0,1.0
2011-04-10,1.0,1.0
2011-04-11,1.0030425163021197,1.0026705145843038
2011-04-12,0.9765609503779706,0.9836068123856452
