公司代碼,簡稱,年月日,融資餘額(張),融資餘額(千元),融資買進(張),融資買進(千元),融資賣出(張),融資賣出(千元),融資現金償還(張),融資現金償還(千元),融資增減(張),融資增減(千元),融資增減比率,融資使用率,融資限額,融券餘額(張),融券餘額(千元),融券買進(張),融券買進(千元),融券賣出(張),融券賣出(千元),融券現券償還(張),融券現券償還(千元),融券增減(張),融券增減(千元),融券增減比率,融券使用率,融券限額,是否可信用交易(Y),券資比,資券互抵,當日收盤,融資(買+賣)/成交量 %,融券(買+賣)/成交量 %,借券賣出餘額(張),借券賣出餘額(千元),借券賣出(張),借券賣出(千元),借券賣出庫存異動(張),借券賣出庫存異動(千元),借券賣出可使用額度,借券賣出限額,借券賣出(千元)_交易所,融券賣出(千元)_交易所,均價,每股融資成本,每股融券成本,融資維持率,融券維持率,整戶維持率
Y9999  ,加權指數     ,2005/01/03,    20837188,   261746919.00,     1149546,    13060318.00,     1097601,    12612015.00,       13854,      156730.00,       12209,      228142.00,        0.06,      ,             ,     1366359,    35716738.50,       53227,     1540184.70,       99577,     1943831.33,        4873,      108667.33,       41421,      293208.35,        3.13,      ,             , ,   6.56,      353834,   6143.1200,    26.58,     1.81,             ,               ,             ,               ,             ,               ,             ,             ,               ,               ,            ,            ,            ,         155.52,         183.83,         158.92
Y9999  ,加權指數     ,2005/01/04,    20832463,   261850636.00,      846561,     9497984.00,      848180,     9247485.00,       11831,      130512.00,       -4725,      103717.00,       -0.02,      ,             ,     1321238,    33761564.41,       87428,     2207278.42,       48933,      906939.04,        6693,      146197.34,      -45121,    -1444951.38,       -3.30,      ,             , ,   6.34,      170194,   6060.4600,    26.21,     2.11,             ,               ,             ,               ,             ,               ,             ,             ,               ,               ,            ,            ,            ,         153.47,         186.71,         157.26
Y9999  ,加權指數     ,2005/01/05,    20885636,   262784819.00,      637325,     7576667.00,      569316,     6469262.00,       14750,      166655.00,       53173,      934183.00,        0.26,      ,             ,     1297389,    32662108.79,       76741,     1921246.05,       58686,     1264343.03,        5794,      115792.02,      -23849,     -772695.00,       -1.81,      ,             , ,   6.21,      163007,   5988.3700,    21.06,     2.36,             ,               ,             ,               ,             ,               ,             ,             ,               ,               ,            ,            ,            ,         152.10,         188.33,         156.10
Y9999  ,加權指數     ,2005/01/06,    20866146,   262346848.00,      546566,     6164453.00,      553010,     6414587.00,       13006,      166447.00,      -19490,     -437971.00,       -0.09,      ,             ,     1293191,    32174713.23,       53291,     1349641.94,       59756,     1271273.56,       10665,      209319.70,       -4198,     -287933.09,       -0.32,      ,             , ,   6.20,      168288,   5982.1200,    22.95,     2.36,             ,               ,             ,               ,             ,               ,             ,             ,               ,               ,            ,            ,            ,         151.68,         189.05,         155.76
Y9999  ,加權指數     ,2005/01/07,    20811804,   261582960.00,      678377,     8055007.00,      716904,     8596388.00,       15662,      213826.00,      -54342,     -763888.00,       -0.26,      ,             ,     1276559,    31087299.35,       86434,     2164813.64,       78248,     1637064.61,        8459,      191147.51,      -16632,     -718694.13,       -1.29,      ,             , ,   6.13,      204873,   5935.9900,    23.16,     2.73,             ,               ,             ,               ,             ,               ,             ,             ,               ,               ,            ,            ,            ,         149.56,         192.80,         154.12
Y9999  ,加權指數     ,2005/01/10,    20747112,   260763705.00,      463448,     5530713.00,      514330,     6101812.00,       16912,      237210.00,      -64692,     -819255.00,       -0.31,      ,             ,     1254507,    30329523.26,       75098,     1656915.94,       63424,     1462569.81,        8347,      117653.21,      -22052,     -371573.25,       -1.73,      ,             , ,   6.05,      121571,   5942.8500,    20.20,     2.86,             ,               ,             ,               ,             ,               ,             ,             ,               ,               ,            ,            ,            ,         149.19,         193.67,         153.83
Y9999  ,加權指數     ,2005/01/11,    20745765,   260510624.00,      456948,     5682185.00,      442404,     5684083.00,       15792,      249470.00,       -1347,     -253081.00,       -0.01,      ,             ,     1276898,    31241420.88,       61807,     1420726.56,       88284,     2245678.31,        5971,      115473.20,       22391,      761238.69,        1.78,      ,             , ,   6.15,      164118,   5975.6600,    17.83,     2.98,             ,               ,             ,               ,             ,               ,             ,             ,               ,               ,            ,            ,            ,         150.53,         191.17,         154.90
Y9999  ,加權指數     ,2005/01/12,    20610966,   258737374.00,      561303,     6333213.00,      670116,     7769105.00,       25569,      309713.00,     -134799,    -1773250.00,       -0.65,      ,             ,     1186616,    29566297.77,      126928,     2192680.56,       43366,      936245.38,        6700,      191778.02,      -90282,    -1448282.96,       -7.07,      ,             , ,   5.76,      139126,   5879.0800,    21.12,     2.92,             ,               ,             ,               ,             ,               ,             ,             ,               ,               ,            ,            ,            ,         147.29,         194.84,         152.13
Y9999  ,加權指數     ,2005/01/13,    20571767,   258152723.00,      646955,     7815981.00,      668553,     8138040.00,       17729,      263202.00,      -39199,     -584651.00,       -0.19,      ,             ,     1183243,    28956029.27,       83410,     2076973.52,       88803,     2015338.62,        8725,      179381.32,       -3373,     -241805.44,       -0.28,      ,             , ,   5.75,      236682,   5853.9400,    21.00,     2.75,             ,               ,             ,               ,             ,               ,             ,             ,               ,               ,            ,            ,            ,         146.73,         195.35,         151.63
Y9999  ,加權指數     ,2005/01/14,    20597391,   258341865.00,      609784,     6965982.00,      564198,     6485704.00,       18246,      281141.00,       25624,      189142.00,        0.12,      ,             ,     1221296,    29750228.45,       75059,     1927907.02,      120475,     2760419.21,        7275,      143603.30,       38053,      686907.14,        3.22,      ,             , ,   5.93,      301055,   5889.5200,    18.82,     3.13,             ,               ,             ,               ,             ,               ,             ,             ,               ,               ,            ,            ,            ,         148.33,         192.51,         152.94
