,date,title,content
0,2018/07/31,〈台達擴大布局〉擬收購泰上市公司DET 避美中貿易戰 加強東南亞佈局,台達電 () 於今 (31) 日公告，董事會通過將透過持股 100% 子公司 DEISG，以現金每股 71 元，約溢價 15%，有條件式自願要約收購 (Conditional Voluntary Tender Offer) 泰國上市公司 DET 股權，預計最多收購在外流 79.07% 股權，估算收購總金額最高約 21.4 億 (約 646.8 億元)。台達電指出，收購後 DET 將成子公司，取得經營權並認列營收與獲利，目的除減少地緣政治不確定性，也可加強東南亞佈局。台達電董事長海英俊表示，DET 擁有良好的製造實力，面對地緣政治種種不確定性，此次收購股權將能為台達增加製造基地，減少國際貿易戰帶來的風險，同時亦能強化銷售業務網路，貼近客戶。目前台達電持有 20.93%DET 股權，規劃將透過子公司 Delta Electronics Int’l (Singapore) Pte. Ltd. (DEISG) 以現金每股 71 元，有條件式自願要約收購取得 Delta Electronics (Thailand)(DET) 股權，收購最高可收購其剩餘流通在外之 79.07%、約 9.86 億的剩餘股數，估算最高收購總價約為 21.4 億美元 (約 646.8 億元)。台達電指出，以 DET 30 日平均價計算，此次收購價格約溢價 15%，待取得必要國家的收購核准後，開始啟動收購程序，預計 3-6 個月跑完流程，展開為期 25 天收購期，收購後並沒有讓 DET 下市的打算，收購完畢後 DET 將成台達電旗下子公司，台達電將認列營收與獲利，並取得經營權。DET 是泰國電子製造商，成立於 1988 年、1995 年於泰國上市，業務涵蓋交換式電源供應器、電源系統及汽車電子等項目，業務據點橫跨東南亞、印度、歐洲及澳洲，主要生產基地則位於泰國、印度及斯洛伐克。
1,2018/07/31,致茂Q2單季賺進10億元 下半年獲利表現將會優於上半年,量測設備供應商致茂 (2360)，公布今年第二季稅後獲利 10 億元，季增 138%，單季每股淨利 2.51 元；而公司對後續營運展望樂觀，預期下半年獲利有機會更優於上半年。致茂第二季成績單，第二季合併營收為 56 億元，較上季大幅增長 62%，同時較 2017 年同期成長 89%，當中，第二季母公司營收達 19.2 億元，較上季減少 2%，但較 2017 年同期增加 2%。第二季稅後獲利 10 億元，較上季大幅增加 138%，同時較 2017 年同期成長 98%。致茂第二季單季每股淨利 2.51 元。累計致茂今年上半年之合併營收 91 億元，較去年同期成長 58%；未合併營收為 39 億元，較 2017 年同期成長 6%。上半年稅後獲利 15 億元，較去年同期成長 81%，今年上半年每股盈餘為 3.57 元。致茂分析，2018 年上半年集團合併營收表現亮眼，主要成長動能來自於威光自動化事業體，較去年同期成長高達 1160%。母公司量測儀器事業體營業收入也有兩位數成長，較去年同期成長達 13%。展望下半年，致茂預期，整體獲利有機會優於上半年，此外，受惠於電動車所需之高功率電力電子檢測設備需求持續強勁，及 3D 感測檢測設備出貨增加等將有助於母公司營收走揚。至於威光自動化事業體之營運成長動能將延續至下半年，全年有機會挑戰年營收成長一倍。  『新聞來源／財訊快報 』
2,2018/07/31,捷波減資三成 股東今年含股息每股拿4.1元 9/20舊股票停止買賣,捷波 (6161) 轉型 IPC，上季營收 3.61 億創高，季增 16.8%，年增 10.7%，不過，因首季有處分資產利益進帳墊高基期，加上原料漲價衝擊，獲利待觀察。因營運規模縮減，該公司先前董事會決定現金減資三成，每股退還股東 3 元，獲得股東會通過，合計今年 1.1 元的現金股利，今年股東總共可拿到 4.1 元。此現金減資案預計 9/20 至 9/28 停止舊股票買賣，現金減資退還股款發放日為 10/8，新股上櫃掛牌日為 10/1。捷波原本經營板卡市場，但因消費性板卡波動大，產業成熟度高，因此轉型 IPC 市場，營運以獲利為導向，也令其營業規模快速縮減。2016 年營收 12.29 億元，年減 55%，去年為 13.35 億元，年增率為 8.7%，今年上半年營收為 6.7 億元，較去年同期小幅衰退 0.81%。首季營收 3.09 億元，毛利率估計在原料價格上漲與匯率因素，下滑到 24.4%，為相對低點，營益率也僅剩下 3.77%，營業利益為 0.12 億元。不過，因中和廠房處分利益在首季還有逾 5 千萬元進帳，使單季稅後 0.75 億元，EPS 0.67 元，第二季則回歸正常本業狀況。  『新聞來源／財訊快報 』
3,2018/07/31,國光潭子疫苗廠接受美國FDA查廠 順利完成並顯示無重大缺失,國光生技 (4142) 位於台中潭子的疫苗生產廠於 7 月 19 日起至 30 日期間接受美國 FDA 查廠，結果順利完成且顯示「無重大缺失」。國光於 105 年間因為與 Protein Sciences 公司合作生產 Flublok 四價流感疫苗而接受過美國 FDA 的查廠，並且順利通過。國光表示，前次查廠屬於藥證核可前的查核，主要以風險評估方式查核生產廠的製程、設施、設備、產品及提交之文件數據是否足夠及符合所申請生產製造的產品。本次受查為上市後查核，重點在於對整個生產廠的六大系統，包括品質系統、設施及設備系統、資材系統、製造系統、包裝貼標系統和實驗室控制系統進行全面性的查核。在本次查核過程中，全廠 GMP 所有涵蓋的範圍及生產文件和市場銷售後的可能的客訴和回收程序均經過詳盡的檢驗，歷經 12 天查核，本公司無重大缺失。國光表示，本次查核通過後，與 Protein Sciences/Sanofi 公司就 Flublok 生產製造的合作可以繼續順利實施，並可期待未來長期的持續成長。 『新聞來源／財訊快報 』
4,2018/07/31,看準「萌」商機 合庫、華南銀推卡通聯名卡 專攻年輕族群,搶攻年輕消費族群，合庫金 () 旗下合庫銀與華南金 () 旗下華南銀今 (31) 日宣布推出超萌卡面「卡娜赫拉的小動物 icash 聯名卡」，合庫金暨合庫銀董事長雷仲達表示，發行該卡希望信用卡族群年齡層能向下延伸；華南銀則表示，發行肖像卡面有助於引進年輕族群，並反轉消費者對於華南老行庫的形象。雷仲達表示，合庫銀截至今年 6 月底的總發卡量約 48.5 萬張，發卡族群多為 45 歲以上，活卡率約 62%，每卡平均消費金額近 1 萬元。展望未來，合庫銀在信用卡經營目標上，不以衝刺卡量為主，而是要追求活卡率，今日發行的卡通聯名卡，若申請的年齡層族群向下延伸，預估年底前發行可望超過 2 萬張。而今日同步宣布發行卡娜赫拉的小動物聯名卡的還有華南銀行，華南銀表示，發行此卡目標，是要搶占年輕女性消費族群，預計將再掀起一波申辦熱潮。華南銀表示，發行肖像卡面擁有引進年輕族群、市場創新及提升信用卡知名度等優點，且也有助於反轉消費者華南百年老行庫形象。值得留意的是，華南銀和合庫銀此次發行的卡通卡，強調特色化和差異化，其卡面上都加上 LED 燈，讓民眾感受一刷卡感應就會發光的 LED 效果，希望能吸引年輕族群，並提高辦卡誘因。
5,2018/07/31,鋼聯上半年EPS 4.1元 深化製程投資明年Q2起貢獻營收,台灣鋼聯 () 今年上半年受惠國際鋅價走高帶動，其氧化鋅銷售價格也同步上揚，上半年稅後純益 4.5 億元，年增率達 88.48%，每股稅後純益 4.1 元，而台灣鋼聯成立的台鋼，將在明年第 1 季投產，預計 4 月開始貢獻營收。台灣鋼聯成立「氧化鋅產品水洗廠設置可行性評估小組」，藉提昇產品氧化鋅純度由 59% 提高至 70%，以提高產品售價與附加價值，除增加營收外更可拓增銷售通路至全球各地鋅金屬冶鍊廠，水洗廠投資評估作業將在今年底完成，預計 2019 年底完成建廠。同時，台灣鋼聯 100% 轉投資子公司台鋼資源公司，則將在明年第 1 季投產，總投資金額 23 億元，是台灣鋼聯跨足爐碴再利用產製綠色環保建材事業，符合循環經濟產業政策，初期產能預計為 17 萬噸煉鋼還原碴、15 萬噸旋轉窯氧化碴，共計 32 萬噸爐碴再利用廠，並可擴充至 45 萬噸產能。方彥斌指出，台鋼是全世界第一座首創 20 大氣壓蒸氣爐碴安定化工廠，穩定爐碴不會膨脹後才進行再利用，可有效杜絕爐碴膨脹品質問題；廠內同時設置兩座再生粒料專用預拌混凝土廠，跨足預拌混凝土業，專廠專用流向可完全掌控。台鋼銷售產品包括：再生級配粒料、低強度混凝土、一般混凝土、水泥製品等，預計 2019 年 4 月開始貢獻營收。
6,2018/07/31,崇佑上半年轉盈 EPS 0.11元 訂單能見度達年底,金屬建材廠崇佑 () 今 (31) 日公布自結第 2 季財報，單季持續維持獲利，稅後純益 660 萬元，季增 10 倍，每股稅後純益 0.08 元，上半年稅後純益 660 萬元，較去年由虧轉盈，每股稅後純益 0.11 元；崇佑也已接獲億元級上海大型建案內裝工程，訂單能見度已直達年底；崇佑自結第 2 季營收 2.64 億元，毛利率 23%，年減 4 個百分點，季增約 1 個百分點，稅後純益 660 萬元，較去年同期由虧轉盈，季增 10 倍，累計上半年營收 4.89 億元，年增 9.02%，稅後純益為 660 萬元，每股純益 0.11 元。崇佑第 2 季營收占比以吊頂龍骨最高，占營收高達 41%，其次金屬隔間牆體的 33%，金屬天花板則占 26% 營收比重。由於崇佑旗下金屬天花板及金屬隔間牆體擁有輕易裝卸、可重複安裝及回收再利用等特點，金屬面材可達到不集塵、抗靜電、防火、耐重及耐腐蝕效果，有利打入商辦大樓、工業廠房、食品及藥品 GMP 廠等業主。目前崇佑集團整體接單表現持續暢旺，除順利取得知名食品業者、氣動元件大廠等擴廠訂單，並接獲列為上海最高雙子星大廈的星港國際中心的億元級大型訂單，原本 3 個月訂單能見度已增加至年底，其中，又以金屬天花板及金屬隔間牆體之產品比重為高，將持續挹注整體營運相當正面的成長貢獻。
7,2018/07/31,◆投信連續3日賣超個股,投信連續 3 日賣超個股1. 投信連續賣超 3 日的股票(2456) 奇力新、 (2303) 聯電  、 (2492) 華新科、 (2313) 華通  、 (2515) 中工2. 投信連續賣超 2 日的股票(2456) 奇力新、 (2492) 華新科、 (2313) 華通  、 (8163) 達方  、 (2515) 中工3. 投信當日 (31) 賣超的股票(2456) 奇力新、 (2492) 華新科、 (8163) 達方  、 (2408) 南亞科、 (2481) 強茂
8,2018/07/31,◆投信連續3日買超個股,投信連續 3 日買超個股1. 投信連續買超 3 日的股票(1101) 台泥  、 (1102) 亞泥  、 (3711) 日月光投控、 (4938) 和碩  、 (2345) 智邦2. 投信連續買超 2 日的股票(1101) 台泥  、 (1102) 亞泥  、 (3711) 日月光投控、 (1605) 華新  、 (4938) 和碩3. 投信當日 (31) 買超的股票(1101) 台泥  、 (1102) 亞泥  、 (3711) 日月光投控、 (1605) 華新  、 (1314) 中石化
9,2018/07/31,◆外資連續5日賣超個股,外資連續 5 日賣超個股1. 外資連續賣超 5 日的股票(2303) 聯電  、 (1101) 台泥  、 (2891) 中信金、 (2886) 兆豐金、 (2884) 玉山金2. 外資連續賣超 4 日的股票(2303) 聯電  、 (1101) 台泥  、 (2891) 中信金、 (2886) 兆豐金、 (2884) 玉山金3. 外資連續賣超 3 日的股票(2303) 聯電  、 (1101) 台泥  、 (2886) 兆豐金、 (2884) 玉山金、 (2891) 中信金4. 外資連續賣超 2 日的股票(2303) 聯電   、 (1101) 台泥   、 (2886) 兆豐金 、 (2891) 中信金 、 (2884) 玉山金5. 外資當日 (31) 賣超的股票(1101) 台泥   、 (2303) 聯電   、 (2886) 兆豐金 、 (2891) 中信金 、 (2337) 旺宏
