,date,segmented
0,2021-02-16,"['觀察', '疫情', '及', '市場', '行銷', '策略', '改變', '高爾夫球', '頭', '產業', '淡季', '不淡', '新冠', '肺炎', '疫情', '對', '台灣', '高爾夫球', '具', '代工', '業者', '是', '特殊', '的', '一', '年年', '也', '將', '是', '充滿', '驚奇', '的', '一', '年', '除', '傳統', '旺季', '外', '由於', '塞港', '缺櫃', '等', '因素', '品牌', '客戶', '積極', '追單', '第二季', '將', '出現', '淡季', '不淡', '的', '走勢', '甚至', '超越', '第一季', '就', '高爾夫', '球頭', '而言', '第一季', '是', '傳統', '旺季年', '首季', '受制', '於', '疫情', '爆發', '供應', '端', '生產', '無法', '趕上', '原有', '訂單', '第二季', '因', '歐美', '封城', '壓抑', '消費', '需求', '直到', '第三', '季', '疫情', '緩和', '下來', '品牌', '及', '零售商', '庫存', '大幅', '下降', '後', '台灣', '代工', '業者', '開始', '接獲', '追單', '但', '快速', '增加', '的', '訂單', '出貨', '卻', '遭遇', '塞港', '缺櫃', '的', '困境', '使', '營收', '表現', '不如', '預期', '復盛', '應用', '主管', '指出', '年', '的', '第四', '季', '及', '今年', '第一季', '產能', '全滿', '復盛', '應用', '生產', '端', '沒有', '問題', '但', '運輸', '上', '的', '難題', '有待', '克服', '也', '正', '是', '因為', '此', '因素', '干擾', '復盛', '應用', '年', '四季', '營收', '全部', '都', '呈現', '年', '衰退', '復盛', '應用', '年', '全年', '營收', '億', '元', '為', '四', '年', '來', '新', '低年', '減隨', '著', '訂單', '遞延', '出貨', '的', '效應', '稍', '獲', '解決', '復盛', '應用', '今年', '月', '營收', '達', '億', '元', '創', '新', '高月', '增年增', '明安月', '營收', '也', '以', '億', '元', '創', '歷史', '次高', '月', '增', '年增', '大田月', '營收', '億', '元', '創', '個', '月', '來', '新高月', '增', '年增', '大田', '目前', '手', '中', '訂單', '仍', '滿', '市場', '預估', '大田', '首季', '訂單', '量', '將', '較', '去年', '同', '期', '成長', '成', '大田', '主管', '認為', '今年', '月', '以來', '訂單', '暴增', '主要', '在於', '品牌', '業者', '積極', '追單', '且', '歷年', '第四季', '及', '翌年', '第一季', '都', '是', '高爾夫', '市場', '傳統', '旺季', '隨著', '各', '國', '開始', '施打', '疫苗', '市場', '需求', '將', '更為', '復甦', '高爾夫', '屬於', '戶外', '運動', '參與', '者', '並非', '處於', '密閉', '空間', '且', '人身', '近', '距離', '比例', '不', '高', '是', '疫情', '後', '獲看', '好', '的', '健身', '項目', '疫情', '稍緩', '後', '各', '球場', '陸續', '開放', '推升', '球具', '品牌廠', '銷售', '及', '拉貨', '力道', '甚至', '進一步', '發表', '年度', '新', '產品', '刺激', '銷售', '再者', '國際', '高爾夫球桿', '品牌', '業者', '從', '過去', '集中', '發表', '新', '產品', '與', '拉貨', '已', '逐步', '轉為', '逐季', '分散', '並', '採', '小量', '分批', '下單', '提貨', '台廠', '也', '也', '配合', '客戶', '時程', '調整', '產品', '開發', '配合', '上市', '在', '這些', '因素', '交互', '影響', '下', '歐美', '的', '高爾夫', '品牌', '業者', '積極', '補', '庫存年', '的', '高爾夫球頭', '產業', '淡', '旺季', '市場', '節奏', '及', '脈動', '將', '出現', '淡季', '不淡', '的', '走勢', '而', '業者', '在', '越南', '新廠', '產能', '開出', '的', '經濟', '規模', '挹注', '之下', '獲利', '也', '將', '再', '上', '一', '階']"
1,2021-02-16,"['台股', '風向球', '半導體', '營收', '創', '高股', '領', '漲', '牛年', '開局', '萬里無雲', '台股', '農曆', '年節', '休市', '期間', '美股', '穩居', '高檔', '震盪', '格局', '法人', '指出', '國際', '局勢', '穩健', '發展', '國內', '疫情', '也', '控制', '得宜', '加上', '台積電', '和', '聯電', '在', '台股', '休市', '期間', '大漲', '牛年', '開', '紅盤', '多', '頭', '行情', '可期', '本', '周', '個', '交易日', '除', '電子', '族群', '領漲', '上市櫃', '業者', '適逢', '營收', '最後', '公布', '日', '個股', '股價', '反映', '業績', '表現', '也', '成', '盤勢', '另', '一', '大', '看頭', '法人', '指出', '由', '半導體', '產業', '帶領', '的', '景氣', '表現', '穩健', '增長', '且', '半導體', '占', '台股', '權重', '高達', '以上', '只要', '國際股', '尚未', '明顯', '回檔', '修正', '暫無', '須', '預測', '高點', '統計', '台股', '封關', '後', '至', '月日', '美股', '上漲', '指數', '大漲', '指數', '更', '是', '飆漲', '其中', '台積電', '飆漲', '達聯電', '更', '飆漲', '有利', '連動', '台股', '半導體', '族群', '同步', '攻', '消息', '面', '上', '七', '大', '工業', '國', '組織', '會議', '將', '日', '周五', '以', '視訊', '方式', '舉行', '市場', '高度', '關注', '美國', '新任', '總統', '拜登', '對', '中國', '後續', '相關', '政策', '以及', '各', '國', '對', '疫情', '的', '發展', '解讀', '和', '疫苗', '分配', '看法', '事實', '上', '美國', '疫苗', '接種', '狀況', '已', '優於', '預期', '並', '與', '輝瑞', '達成', '額外', '億', '劑', '的', '新', '冠', '疫苗', '採購', '協議', '最快', '月底', '前', '疫苗', '總數', '足以', '供應', '全', '美', '億多', '人口', '接種', '而', '一', '項', '針對', '以色列人', '所', '做', '的', '大規模', '研究', '顯示', '施打', '兩', '劑', '美國', '輝瑞', '和', '德國', '研發', '的', '新冠', '疫苗', '後', '有', '症狀', '感染率', '較', '未', '接種', '者', '下降', '顯示', '疫苗', '效果', '良好', '國內', '方面', '截至', '封關日', '上市', '櫃月', '營收', '創高', '的', '業者', '多達家', '牛年', '開', '紅盤', '日', '表現', '可期', '不過', '法人', '也', '提醒', '封關', '前', '內外資', '不同', '調', '外資', '呈現', '連', '賣', '封', '關日', '更', '從', '台積電', '台達電聯發科', '和', '鴻海', '提走', '超過', '億', '元', '接下來', '外資', '是否', '將', '再次', '積極', '回頭', '加碼', '大型', '電子', '權值股', '有待', '觀察', '若', '買盤', '並未', '積極', '轉強', '仍', '要', '留意', '拉高', '震盪', '修正', '壓力', '整體', '而言', '美國', '新', '總統', '上任', '後', '政策', '利多', '不斷', '包括', '財政', '寬鬆', '紓困', '方案', '和', '防疫', '等', '面向', '均', '使', '美股', '穩居', '歷史', '高檔', '不過', '後續', '企業', '獲利', '展望', '將', '決定', '美股', '能否', '續寫', '新猷', '此', '也', '將', '連動', '台股', '走勢', '但', '短期', '電子股', '領攻', '的', '樂觀', '態勢', '明朗', '無虞']"
2,2021-02-16,"['年', '造市', '計畫', '全面', '啟動', '一', '文', '看懂', '股期', '新制', '去年', '下半年', '起', '在', '大', '資金', '行情', '帶動', '下', '掀起', '全民', '瘋', '股市', '的', '熱潮', '屢', '創', '新高', '甚至', '攻克', '萬六', '大關', '加上', '盤', '中', '零股', '交易', '制度', '上路', '越來越', '多', '年輕', '小', '資族群', '投入', '市場', '投資', '管道', '趨', '多元', '持續', '為', '台股', '注入', '新', '動能', '金管會', '全面', '啟動', '造市', '計畫', '將', '新增', '台灣', '創', '新板', '及', '戰略', '新板', '二', '大', '板塊', '預計', '第季', '開板', '台', '積電', '等檔', '高價股', '小型', '個股', '期貨', '也', '提前', '在', '月', '上線', '了', '鉅亨網', '幫', '讀者', '整理出', '年', '股期', '新制', '投資人', '不可', '不', '知', '台股', '近年', '價量', '表現', '亮眼', '為了', '催生', '台灣', '獨角獸', '在', '參考', '國外', '機制', '後', '台灣', '創', '新板', '戰略', '新板', '預計', '今年', '第三季', '開板', '根據', '規劃', '必須', '為', '四', '大', '合格', '投資', '人才', '可', '投資', '一', '銀行', '保險證券', '等', '專業', '機構', '投資人', '二', '總', '資產', '逾', '萬', '元', '的', '法人', '或', '基金', '三', '新增', '合法', '設立', '的', '創投', '四', '淨', '資產', '達', '萬', '元', '或', '近年', '平均', '所得', '萬元', '且', '具有', '年', '證券', '交易', '經驗', '的', '自然人', '根據', '證交所', '規劃', '台灣', '創新板', '上市', '條件', '可', '分', '三', '種', '一', '市值', '億', '元', '近', '一年', '營業', '收入', '不', '低於', '億', '元', '需', '證明', '有足', '供', '上市', '掛牌', '後', '個', '月', '的', '營運', '資金', '二', '僅', '限', '生技公司', '市值', '億', '元', '需', '證明', '有足', '供', '上市', '掛牌', '後', '個', '月', '營運', '資金', '達', '若', '屬', '新藥', '研發', '公司', '者', '其', '核心', '產品', '需', '通過', '第一', '階段', '臨床', '試驗', '三', '市值', '億', '元', '需', '證明', '有足', '供', '上市', '掛牌', '後', '個月', '的', '營運', '資金', '達', '若', '想', '登上', '創新板', '除了', '市值', '須', '符合', '掛牌', '門檻', '還', '要', '承銷商', '輔導', '個', '月', '掛上', '創新板', '滿年', '且', '符合', '上市櫃', '門檻', '即可', '申請', '轉板', '即', '為', '茁壯', '機制', '但', '若', '創', '新板', '的', '公司', '連續', '個', '交易日', '平均', '收盤價', '低於', '元', '或', '平均', '股票', '市值', '低於', '億', '元', '就', '會', '終止', '上市', '此外', '櫃買中心', '也', '將', '在', '興櫃', '市場', '下', '增設', '戰略', '新板', '鬆綁', '對', '新', '創業', '者', '進入', '資本', '市場', '的', '籌資', '規定', '雖', '無', '市值', '設立', '年限', '獲利', '與', '股權', '等', '門檻', '限制', '但', '登錄', '時', '必須', '有', '家', '以上', '輔導', '券商', '推薦', '其中', '一', '家', '必須', '是', '主辦', '輔導', '推薦', '券商', '且', '需', '認購', '發行', '公司', '以上', '的', '股分', '並', '不', '得', '低於', '萬', '股', '戰略', '新板', '至少', '要', '掛', '個', '月', '申請', '上櫃', '前', '須', '先', '轉板', '至', '興櫃', '一般', '板', '個', '月', '若', '無', '主辦', '券商', '逾', '個', '月', '將', '強制', '下市', '為', '提振', '優質', '低流動性', '股票', '的', '交易性', '俗稱', '殭屍股', '金管會', '督導', '證交所', '實施', '台股', '集中', '市場', '股票', '造市者', '制度', '將', '同時', '導入', '造市者', '提供', '買賣', '報價', '及', '交易', '獎勵', '參與', '者', '積極', '參與', '交易', '均', '由', '證券', '自營商', '參與', '首', '波', '估計', '有', '至', '家', '上市', '公司', '適用', '預計', '於', '月底', '上路', '冷門', '潛力股', '有', '三', '大', '篩選', '標準', '一', '需', '上市', '滿年', '二', '需', '符合', '交易面', '條件', '包括', '日', '均', '成交量', '週轉率', '及', '波動率', '較', '低', '三', '發行面', '條件', '最近', '年度', '財報', '無', '虧損', '大於', '元', '且', '近年', '有', '配息', '為了', '鼓勵', '券商', '投入', '造市', '金管會', '也', '將', '提供', '誘因', '首先', '是', '經', '手費', '減免', '目前', '證交', '所', '收', '的', '經手費', '是', '萬分', '之', '券商', '只', '要', '參加', '造市', '經手費', '將', '可', '減免', '其次', '則', '是', '提供', '獎勵金', '競賽', '獎金', '等', '不過', '股票', '造市', '制度', '要', '等到', '月底', '上市', '公司', '公告', '財報', '後', '才', '能', '確定', '行政院', '已', '完成', '證券', '交易稅', '條例', '修正案', '審查', '發行', '認購權證', '證券商', '基於', '履行', '報價', '責任', '規定', '及', '風險', '管理', '目的', '年', '內', '出售', '認購', '權證', '避險', '專戶', '內', '股票', '的', '證交稅率', '自', '千分之', '降', '至', '千分之', '盼', '鼓勵', '券商', '積極', '造市', '及', '避險', '進而', '提升', '投資人', '參與', '權證', '市場', '意願', '這', '項', '修法', '可望', '帶動', '營利', '事業', '所得稅', '個人', '綜合', '所得稅', '等', '稅收', '的', '增加', '行政院', '已', '完成', '審查', '尚未', '排入', '院會', '討論', '不過', '立法院', '朝野', '立委', '方面', '對於', '這', '項', '提案', '已', '有', '相當', '程度', '的', '共識', '待', '評估', '民意', '及', '與', '產業界', '溝通', '後', '力拚', '下', '會期', '列', '優先', '法案', '期交所', '原定', '在', '農曆年', '後', '推出', '檔', '高價股', '小型', '個股', '期貨', '契約', '提前', '於', '月日', '上市', '分別', '為', '台積電', '國巨', '瑞昱', '聯詠', '穩懋', '及', '玉晶光', '其中', '小型', '台積電', '股期', '最', '受', '市場', '矚目', '目前', '累計', '共', '有', '檔', '小型', '個股', '期貨', '期交所', '同時', '降低', '小型', '股票', '期貨', '契約', '掛', '牌', '門檻', '由', '原', '股', '價元', '以上', '的', '標準', '降到', '元', '可望', '吸引', '更多', '小', '股民', '參與', '活絡', '市場', '以', '台積電', '為', '例', '小型', '期貨', '一', '口', '契約', '單位', '為', '股', '等', '同於', '個', '股', '期貨股', '的', '分', '之', '若', '以', '日', '股', '價元', '計算', '等', '於', '一', '口', '合約', '規模', '從', '萬', '元', '大幅', '降低', '至', '萬', '元', '按', '現階段', '最', '低', '原始', '保證金', '計算', '交易', '成本', '僅', '約', '元', '槓桿', '倍數', '約', '倍', '隨著', '國內', '股價', '指數', '期貨', '商品', '的', '契約', '規模', '擴大', '使', '交易', '商品', '的', '保證金', '隨之', '升高', '期交所', '規劃', '在', '月底', '推出', '電子', '類股', '指數', '期貨', '小型', '契約', '以', '降低', '參與', '門檻', '提高', '交易人', '參與', '類股', '指數', '交易', '的', '機會', '為', '防範', '錯誤', '下單', '及', '胖手指', '導致', '價格', '瞬間', '大幅', '異常', '等', '事件', '期交所', '自', '年', '起', '分', '階段', '建置', '動態', '價格', '穩定', '措施', '今年', '持續', '擴大', '適用', '上半年', '將', '納入', '所有', '股票', '期貨', '下半年', '則', '擴大', '至', '商品類', '期貨', '包括', '期貨', '等', '都', '將', '納入', '屆時', '適用', '動態', '價格', '穩定', '措施', '商品', '交易量', '占', '全', '市場', '交易量', '將', '推升', '至']"
3,2021-02-15,"['環球晶', '取得', '世創', '股權', '將', '再', '延長', '收購', '期間', '兩', '周', '至', '矽', '晶圓', '大廠', '環球晶', '今日', '宣布', '公開', '收購', '世創', '所有', '流通', '在', '外', '股份', '一', '案', '已', '於', '月日', '截止', '的', '公開', '收購', '期間', '取得', '股權', '達成', '最', '低', '收購', '股權', '比例', '門檻', '據', '當地', '法規', '公開', '收購', '期間', '將', '延長', '兩', '周', '至', '德國', '時間', '月日', '環球晶', '日前', '二', '度', '上調', '公開', '收購', '世創', '收購價', '達到', '每', '股', '並', '將', '公開', '收購', '最', '低', '股權', '比例', '由', '降至', '公開', '收購', '期間', '延長', '至', '月日', '環球晶', '當時', '並', '強調', '若', '屆時', '未', '達成', '最', '低', '收購', '門檻', '將', '不會', '提出', '再次', '收購', '要', '約', '而', '環球晶', '今日', '宣布', '已', '取得', '收購', '股權', '比例', '達成', '最', '低', '收購', '股權', '比例', '門檻', '根據', '德國', '當地', '法令', '公開', '收購', '期間', '將', '延長', '兩', '周', '自', '月日', '起', '至', '月日', '德國', '時間', '時', '截止', '環球晶', '邀請', '世創', '所有', '尚未', '參與', '公開', '收購', '的', '股東', '接受', '本', '要', '約', '並', '法定', '公開', '收購', '延長', '期間', '截止', '前', '應', '賣', '其', '持股', '予', '環球晶', '董事長', '徐秀蘭', '表示', '尚未', '參與', '公開', '收購', '的', '世創', '股東', '仍', '有', '機會', '於', '法定', '公開', '收購', '延長', '期間', '以', '環球晶', '的', '出價', '參與', '應賣', '相信', '此', '為', '世創', '股東', '的', '最佳', '選項']"
4,2021-02-15,"['潛力股', '超微市', '占', '擴大', '伺服器', '新', '客戶', '加入', '華擎', '營運', '喊衝板', '卡廠', '華擎', '在', '遠', '距', '商機', '宅', '經濟', '發酵', '下', '主板', '顯卡', '需求', '維持', '高檔', '但', '受', '零組件', '缺料', '影響', '去年', '第季', '營收', '滑落', '展望', '今年', '隨著', '超微', '新品', '陸續', '推出', '上', '市市', '占', '擴大', '零組件', '吃緊', '狀況', '逐步', '緩解', '加上', '伺服器', '新', '客戶', '放量', '出貨', '今年', '營運', '喊衝', '華擎', '去年', '高階', '主板', '需求', '強勁', '今年', '年初', '美國', '消費性', '電子展', '上', '英特爾', '超微', '更', '進一步', '推出', '新款', '帶動', '新', '一', '波', '換機潮', '其中', '近年', '超微', '在', '全球', '市占率', '節節', '攀升', '華擎', '為', '超微', '主力', '供應商', '營運', '受惠', '程度', '大', '市調', '機構', '集邦', '日前', '指出', '超微', '在', '年', '推出', '微', '架構', '處理器', '後', '筆電', '處理器', '市占率', '從', '一路', '從', '攀升', '至', '去年', '的', '讓', '拿下', '逾成', '市占', '的', '龍頭', '廠商', '英特爾', '備感', '壓力', '在', '遠距', '商機', '宅', '經濟', '發燒', '下', '零組件', '供應', '維持', '吃緊', '加上', '今年', '以來', '重啟', '漲勢', '帶動', '挖礦', '熱潮', '再', '起', '加劇', '主板', '顯卡', '供', '不', '應求', '狀況', '華擎', '預期', '供不', '應求', '情況', '至少', '會', '延續到', '今年', '上半年', '才', '緩解', '不過', '隨著', '新品', '陸續', '推出', '營運', '可望', '保持', '成長', '另一方面', '華擎', '近年', '也', '積極', '布局', '伺服器', '工業', '電腦', '業務', '雖然', '去年', '兩', '大', '業務', '受', '疫情', '影響', '營運', '成長', '相對', '趨緩', '但', '今年', '首季', '華擎', '將', '有', '新', '客戶', '加入', '伺服器', '出貨', '將', '顯著', '成長', '估', '今年', '可望', '逐季', '成長', '工業', '電腦', '也', '逐步', '回溫', '華擎', '樂觀', '預期', '今年', '首季', '四', '大', '產品', '線', '都', '將', '保持', '季增', '年增', '成長', '華擎月', '營收', '達', '億', '元', '月增', '年增']"
5,2021-02-15,"['潛力股', '越峰', '受惠', '電感', '市況', '佳', '走揚', '營運', '升溫', '電感', '鐵芯廠', '越峰', '受惠', '電感', '市況', '需求', '暢旺', '加上', '小型', '電感', '比重', '提升', '平均', '售價', '提升', '帶動', '營收', '規模', '放大', '獲利', '狀況', '也', '將', '進一步', '改善', '越峰', '是', '台聚集團', '旗下', '生產', '電感', '原料', '錳鋅', '及', '鎳鋅', '軟性', '鐵氧磁', '鐵芯', '的', '廠商', '越峰', '指出', '目前', '下', '游', '電子業', '整體', '需求', '暢旺', '也', '帶動', '電感', '及', '鐵心', '需求', '且', '目前', '電感', '走向', '小', '型化', '趨勢', '小', '顆', '電感', '鐵心', '單價', '同樣', '較', '高', '隨著', '比重', '持續', '提升', '帶動', '產品', '單價', '也', '反映', '在', '營收', '及', '毛利率', '走勢', '而', '越峰', '主要', '生產', '基地', '在', '中國昆山', '及', '廣州', '合計', '約', '佔', '整體', '產能', '成', '馬來西亞', '則', '約成', '公司', '透露', '目前', '稼動率', '持續', '往成', '以上', '走', '此外', '越峰', '也', '跨入', '碳化矽', '應用', '目前', '小量', '出貨', '而', '隨著', '快', '充', '電動車', '碳化矽', '成為', '未來', '趨勢', '越峰', '也', '可望', '迎來', '相關', '商機', '越峰月', '營收', '億', '元', '歷史', '同', '期', '次高月', '增', '年', '增', '在', '需求', '帶動', '下', '公司', '認為', '第一', '季', '可望', '略', '優於', '第四', '季']"
6,2021-02-15,"['潛力', '股馬光', '展店', '調整', '營運', '體質', '獲利', '續拚', '新高', '馬光', '今年', '將', '積極', '調整', '營運', '體質', '旗下', '兩', '大', '連鎖', '社區', '醫療診所', '天津馬光', '與', '新加坡', '馬光', '預計', '今年', '將', '設立', '家', '新門市', '加上', '天津馬光', '互聯網', '醫療', '業務', '執照', '預計', '今年', '第季', '正式', '啟用', '看好', '今年', '獲利', '續拚', '新高', '馬光', '集團', '提供', '中醫', '西醫', '中醫', '美容', '健康', '管理', '醫管', '培訓', '保健品', '服務', '在', '天津', '成立', '連鎖', '中西醫', '診所', '天津馬光', '約', '占', '營收', '比重', '新加坡', '馬光', '則', '從事', '連鎖', '中醫', '門診', '及', '保健品', '銷售', '約', '占', '天津馬光', '去年', '取得', '政府', '核發', '互聯網', '醫療', '業務', '執照', '後', '與', '醫保', '系統', '進行', '資訊', '整合', '及', '測試', '作業', '預計', '今年', '第季', '正式', '上線', '並', '開始', '貢獻', '營收', '初期', '先', '以', '糖尿病', '高', '血壓', '等', '慢性病', '為主', '據', '統計', '中國', '天津', '地區', '的', '糖尿病', '患者', '約', '有', '萬', '人', '截至', '去年', '底', '參與', '天津市', '慢病', '管理', '者', '僅', '約', '萬多', '人', '馬光', '看好', '由於', '疫情', '導致', '患者', '降低', '進出', '醫院', '意願', '互聯網', '醫療', '業務', '透過', '雲端', '平台', '長時間', '記錄', '經過', '大', '數據', '分析', '比對', '統計', '提供', '精準', '醫療', '報告', '對於', '醫生', '與', '病患', '都', '可', '得', '到', '較', '好', '的', '照護', '且', '潛在', '使用者', '將', '持續', '成長', '天津馬光', '預計', '未來年', '至少', '開設', '家', '社區', '醫療', '門診部', '新加坡馬光', '則', '規畫', '未來年', '內', '將', '再', '開設', '家', '以上', '中醫婦幼專科', '診所', '馬光', '看好', '單一', '新', '門市', '開設', '個', '月', '後', '便', '可', '開始', '獲利', '加上', '逐步', '導入', '跨國', '雲端', '醫療', '支援', '服務', '利用', '互聯網', '醫療', '資源', '擴展', '糖尿病', '慢病', '管理', '業務', '提升', '獲利', '表現', '馬光', '日前', '公佈', '自結', '數', '去年', '第', '季', '稅', '後', '純益', '萬', '元', '季增', '年減', '每', '股', '純益元', '去年', '全', '年', '稅', '後', '純益', '萬', '元', '年增', '每', '股', '純益元', '創', '新高']"
7,2021-02-15,"['潛力', '股嘉', '聯益', '獲', '毫米', '波', '應用', '推升', '聯發科', '推出', '全', '新', '數據', '晶片', '支援', '毫米', '波', '和', '雙', '頻段', '加上', '蘋果', '非', '蘋', '陣營', '手機廠', '導入', '新', '設計', '嘉聯益', '由於', '即早', '投入', '軟板', '天線', '市場', '能見度', '也', '大增', '股價', '可望', '突破', '目前', '的', '元', '整理', '平台', '向', '上', '攻堅', '目前', '產品', '導入', '系統級', '封裝', '晶片', '應用', '包括', '在', '手機', '電池板', '藍牙', '真', '無線', '耳機', '原', '使用', '的', '軟硬', '結合板', '將', '由', '純', '軟板', '取代', '有助', '嘉聯益', '取得', '更', '大', '替代', '商機', '法人', '估', '年', '嘉聯益', '在', '蘋果', '陣營', '取得', '的', '訂單', '將', '較', '年', '倍數', '成長', '嘉聯益', '受惠', '模組', '廠廠', '春節', '期間', '不停工', '備貨', '力道', '強勁', '挹注', '下', '營收', '持穩', '高檔', '嘉聯益', '對', '通訊', '帶動', '的', '需求', '充滿', '高度', '企圖心', '內部', '訂', '下', '年', '相關', '及', '高頻', '應用', '產品', '佔', '營收', '比重', '提升', '至', '成', '以上', '目標', '嘉聯益', '股價', '月日', '收', '在', '元', '且', '值', '在', '低檔區', '如', '有', '量能', '挹注', '將', '有助', '突破', '股價元', '平台', '整理區', '攻堅', '向上', '突破', '元前', '波段', '高點']"
8,2021-02-15,"['潛力股', '崇越', '手握', '材料', '工程', '大單', '今年', '營收', '將', '首', '跨', '億', '元', '崇越', '今年', '持續', '受惠', '半導體', '材料', '需求', '暢旺', '材料', '如', '光阻', '液矽', '晶圓', '訂單', '能見度', '高', '加上', '接獲', '美光', '工程', '大單', '台灣', '工程', '業績', '將', '有', '顯著', '成長', '法人', '看好', '崇越', '今年', '營收', '可望', '再年', '增成', '首度', '達', '億', '元', '再', '賺超過', '一', '股', '本', '崇越', '半導體', '材料', '代理', '以', '光阻', '液矽', '晶圓', '為主', '其中', '光阻液', '去年', '隨著', '台積電', '奈米', '進入', '量產', '奈米', '持續', '放量', '導入', '的', '製程', '增加', '加上', '曝光', '次數', '多於', '一般', '製程', '以及', '光阻液', '單價', '昂貴', '帶動', '去年', '整體', '光阻液', '業績', '年', '增', '達', '優於', '過往', '年增', '個位數', '的', '成長', '力道', '崇越', '的', '代理', '原廠', '信越', '也', '看好', '光阻液', '需求', '去年', '斥', '億', '在', '台', '擴建', '廠房', '將', '光阻液', '產能', '拉升', '從', '過往', '日本', '製造', '新增', '台灣', '製造', '崇越', '也', '將', '隨著', '代理', '原廠', '客戶', '一同', '成長', '崇越', '矽', '晶圓', '也', '受惠', '各', '家', '晶圓', '代工廠', '產能', '滿載', '訂單', '能見度', '明朗', '市場', '近期', '傳出', '部分', '業者', '如', '環球', '晶合晶', '已', '陸續', '調漲', '價格', '崇越', '也', '可望', '直接', '受惠', '另外', '崇越', '布局', '多', '年', '來', '的', '工程', '也', '有', '斬獲', '台灣', '方面', '已', '接獲', '美光后里', '桃園', '兩', '處', '汙水', '處理', '工程', '訂單', '預計', '今年', '台灣', '工程', '業績', '將', '持續', '創高', '年增', '估', '達成', '以上', '法人', '看好', '崇越', '今年', '在', '半導體', '需求', '強勁', '帶動', '以及', '工程', '接案', '穩定', '成長', '下', '營收', '將', '年', '增成', '一', '舉', '跨越', '億', '元', '大關', '創下', '歷史', '新高', '獲利', '也', '可', '望', '隨著', '營收', '規模', '擴大', '同步', '成長']"
9,2021-02-15,"['潛力股', '需求', '旺', '漲價', '效益', '發酵', '正新', '上半年', '單季', '續衝', '近年', '新高', '國內', '輪胎', '龍頭', '正新', '受惠', '輪胎', '市場', '需求', '暢旺', '上半年', '業績', '將', '較', '去年', '同期', '大幅', '揚升', '加上', '今年', '月', '三', '度', '漲價', '獲利', '持續', '看增', '上半年', '單季', '可望', '續寫', '近年', '來', '新高', '正新', '受惠', '輪胎', '市場', '需求', '持續', '熱絡', '市況', '佳', '目前', '各', '車胎', '產能', '利用率', '均', '處於', '高檔', '水準公司', '表示', '上半年', '業績', '將', '大幅', '優於', '去年', '同期', '也', '會', '較', '去年', '下半年', '成長', '而', '為', '因應', '上游', '原物料', '漲價', '正新', '除', '去年', '月月', '兩', '度', '調漲', '輪胎', '價格', '外在', '輪胎', '原物料', '成本', '持續', '增加', '運費', '也', '上揚', '下', '今年', '月', '起', '三', '度', '漲價', '上半年', '除', '業績', '成長', '外', '漲價', '效益', '也', '將', '持續', '推升', '獲利', '表現', '此', '外', '美國', '反', '傾銷', '初', '判', '稅率', '日前', '出爐', '正新', '取得', '也', '是', '台廠', '從', '台灣', '出口', '稅率', '中', '最', '低', '者', '具', '相對', '優勢', '另', '一', '方面', '正新', '在', '印度', '印尼', '及', '泰國', '等', '地', '也', '都', '有', '設廠', '可', '移轉', '產能', '因應', '避開', '高關稅', '受', '反', '傾銷', '影響', '相對', '有限', '正', '新', '去年', '第三', '季', '稅', '後', '純益', '億', '元', '季增', '年', '增倍', '每', '股', '純益', '元', '寫', '近年', '來', '單季', '新高', '前', '三', '季', '稅', '後', '純益', '億', '元', '年減', '每', '股', '純益元', '法人', '看好', '第四', '季', '獲利', '可望', '持續', '站穩', '高檔', '水準']"
