,pool
0,1101
1,1102
2,1103
3,1104
4,1108
5,1109
6,1110
7,1201
8,1203
9,1207
10,1210
11,1213
12,1215
13,1216
14,1217
15,1218
16,1219
17,1220
18,1225
19,1227
20,1229
21,1231
22,1232
23,1233
24,1234
25,1235
26,1236
27,1240
28,1256
29,1258
30,1259
31,1262
32,1264
33,1268
34,1301
35,1303
36,1304
37,1305
38,1307
39,1308
40,1309
41,1310
42,1311
43,1312
44,1313
45,1314
46,1315
47,1316
48,1319
49,1321
50,1323
51,1324
52,1325
53,1326
54,1333
55,1336
56,1337
57,1338
58,1339
59,1340
60,1341
61,1342
62,1402
63,1408
64,1409
65,1410
66,1413
67,1414
68,1416
69,1417
70,1418
71,1419
72,1423
73,1432
74,1434
75,1435
76,1436
77,1437
78,1438
79,1439
80,1440
81,1441
82,1442
83,1443
84,1444
85,1445
86,1446
87,1447
88,1449
89,1451
90,1452
91,1453
92,1454
93,1455
94,1456
95,1457
96,1459
97,1460
98,1463
99,1464
100,1465
101,1466
102,1467
103,1468
104,1469
105,1470
106,1471
107,1472
108,1473
109,1474
110,1475
111,1476
112,1477
113,1503
114,1504
115,1506
116,1507
117,1512
118,1513
119,1514
120,1515
121,1516
122,1517
123,1519
124,1520
125,1521
126,1522
127,1523
128,1524
129,1525
130,1526
131,1527
132,1528
133,1529
134,1530
135,1531
136,1532
137,1533
138,1535
139,1536
140,1537
141,1538
142,1539
143,1540
144,1541
145,1558
146,1560
147,1565
148,1566
149,1568
150,1569
151,1570
152,1580
153,1582
154,1583
155,1584
156,1586
157,1587
158,1589
159,1590
160,1591
161,1592
162,1593
163,1595
164,1597
165,1598
166,1599
167,1601
168,1603
169,1604
170,1605
171,1606
172,1608
173,1609
174,1611
175,1612
176,1613
177,1614
178,1615
179,1616
180,1617
181,1618
182,1626
183,1701
184,1702
185,1704
186,1707
187,1708
188,1709
189,1710
190,1711
191,1712
192,1713
193,1714
194,1715
195,1716
196,1717
197,1718
198,1720
199,1721
200,1722
201,1723
202,1724
203,1725
204,1726
205,1727
206,1729
207,1730
208,1731
209,1732
210,1733
211,1734
212,1735
213,1736
214,1737
215,1742
216,1752
217,1760
218,1762
219,1773
