,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2014-10-31,19.93,20.2,19.99,20.2,338333,1224,0.0,00631L
1,2014-11-03,20.18,20.55,20.18,20.36,193590,1162,0.7921,00631L
2,2014-11-04,20.35,20.65,20.5,20.47,129509,1128,0.5403,00631L
3,2014-11-05,20.27,20.55,20.51,20.3,135954,1118,-0.8305,00631L
4,2014-11-06,20.01,20.4,20.36,20.01,235132,1102,-1.4286,00631L
5,2014-11-07,19.9,20.18,20.08,20.13,160384,1079,0.5997,00631L
6,2014-11-10,20.17,20.84,20.17,20.74,236002,1111,3.0303,00631L
7,2014-11-11,20.66,20.87,20.8,20.69,107222,1047,-0.2411,00631L
8,2014-11-12,20.01,20.58,20.5,20.1,91909,987,-2.8516,00631L
9,2014-11-13,20.11,20.34,20.18,20.3,52736,986,0.995,00631L
10,2014-11-14,20.22,20.44,20.31,20.32,56262,987,0.0985,00631L
11,2014-11-17,19.93,20.6,20.51,20.06,134705,924,-1.2795,00631L
12,2014-11-18,19.8,20.25,20.12,19.9,82147,917,-0.7976,00631L
13,2014-11-19,19.95,20.47,19.95,20.38,156750,868,2.4121,00631L
14,2014-11-20,20.5,20.92,20.5,20.91,101278,880,2.6006,00631L
15,2014-11-21,20.87,21.03,20.93,20.94,70753,881,0.1435,00631L
16,2014-11-24,21.0,21.4,21.05,21.02,158528,885,0.382,00631L
17,2014-11-25,20.82,21.2,21.04,21.1,178924,888,0.3806,00631L
18,2014-11-26,20.97,21.13,21.07,21.06,133955,886,-0.1896,00631L
19,2014-11-27,21.18,21.57,21.18,21.35,111455,898,1.377,00631L
20,2014-11-28,21.29,21.46,21.35,21.4,167776,901,0.2342,00631L
21,2014-12-01,20.61,21.31,20.9,21.03,161440,885,-1.729,00631L
22,2014-12-02,20.45,20.9,20.8,20.55,84236,865,-2.2825,00631L
23,2014-12-03,20.58,21.26,20.68,21.21,145406,893,3.2117,00631L
24,2014-12-04,21.32,21.58,21.43,21.42,66761,901,0.9901,00631L
25,2014-12-05,21.22,21.43,21.33,21.32,56542,897,-0.4669,00631L
26,2014-12-08,21.1,21.46,21.4,21.17,32063,891,-0.7036,00631L
27,2014-12-09,20.9,21.06,21.0,20.92,81744,880,-1.1809,00631L
28,2014-12-10,20.32,20.91,20.8,20.38,114635,858,-2.5813,00631L
29,2014-12-11,20.12,20.47,20.31,20.35,119016,856,-0.1472,00631L
30,2014-12-12,20.33,20.58,20.36,20.35,70650,856,0.0,00631L
31,2014-12-15,19.99,20.29,20.16,20.29,65246,854,-0.2948,00631L
32,2014-12-16,20.12,20.36,20.2,20.12,83012,847,-0.8379,00631L
33,2014-12-17,19.48,20.12,20.12,19.57,191244,824,-2.7336,00631L
34,2014-12-18,19.58,19.9,19.9,19.61,79923,825,0.2044,00631L
35,2014-12-19,20.03,20.37,20.05,20.22,212263,851,3.1107,00631L
36,2014-12-22,20.34,20.68,20.34,20.68,86141,870,2.275,00631L
37,2014-12-23,20.68,20.88,20.77,20.72,38363,862,0.1934,00631L
38,2014-12-24,20.72,21.03,20.72,21.0,57188,873,1.3514,00631L
39,2014-12-25,20.95,21.09,21.09,21.0,49146,873,0.0,00631L
40,2014-12-26,21.0,21.18,21.0,21.16,29453,880,0.7619,00631L
41,2014-12-27,21.2,21.3,21.25,21.29,24586,885,0.6144,00631L
42,2014-12-29,21.28,21.67,21.28,21.6,98716,877,1.4561,00631L
43,2014-12-30,21.43,21.76,21.69,21.44,43062,870,-0.7407,00631L
44,2014-12-31,21.34,21.55,21.45,21.53,29360,874,0.4198,00631L
45,2015-01-05,20.95,21.43,21.25,21.37,67622,867,-0.7431,00631L
46,2015-01-06,20.26,20.87,20.85,20.35,123971,826,-4.773,00631L
47,2015-01-07,20.33,20.55,20.34,20.46,80867,830,0.5405,00631L
48,2015-01-08,20.8,21.28,20.8,21.23,170434,862,3.7634,00631L
49,2015-01-09,21.12,21.54,21.54,21.14,132363,858,-0.4239,00631L
50,2015-01-12,20.86,21.14,20.92,20.91,87048,849,-1.088,00631L
51,2015-01-13,20.83,21.29,20.9,21.12,140158,857,1.0043,00631L
52,2015-01-14,20.78,21.16,21.15,20.85,79782,846,-1.2784,00631L
53,2015-01-15,20.7,21.06,20.94,20.9,95714,848,0.2398,00631L
54,2015-01-16,20.54,21.2,20.9,20.66,100052,838,-1.1483,00631L
55,2015-01-19,20.84,21.27,21.0,20.95,133985,850,1.4037,00631L
56,2015-01-20,21.01,21.36,21.07,21.31,78352,865,1.7184,00631L
57,2015-01-21,21.4,21.63,21.4,21.59,71321,876,1.3139,00631L
58,2015-01-22,21.71,21.99,21.79,21.81,84156,885,1.019,00631L
59,2015-01-23,22.26,24.86,24.86,22.38,89752,908,2.6135,00631L
60,2015-01-26,22.22,22.41,22.38,22.37,70167,908,-0.0447,00631L
61,2015-01-27,22.44,22.75,22.7,22.58,60789,916,0.9388,00631L
62,2015-01-28,22.45,22.67,22.48,22.61,83401,918,0.1329,00631L
63,2015-01-29,22.11,22.57,22.57,22.18,121243,900,-1.9018,00631L
64,2015-01-30,22.0,22.32,22.2,22.0,83898,893,-0.8115,00631L
65,2015-02-02,21.88,22.15,22.0,21.99,29000,892,-0.0455,00631L
66,2015-02-03,22.06,22.4,22.12,22.3,43078,905,1.4097,00631L
67,2015-02-04,22.5,22.78,22.5,22.67,43489,920,1.6592,00631L
68,2015-02-05,22.41,22.63,22.63,22.56,20529,916,-0.4852,00631L
69,2015-02-06,22.33,22.69,22.69,22.33,42009,906,-1.0195,00631L
70,2015-02-09,22.11,22.3,22.3,22.25,21332,903,-0.3583,00631L
71,2015-02-10,22.1,22.28,22.25,22.13,35174,898,-0.5393,00631L
72,2015-02-11,22.3,22.55,22.3,22.46,32262,912,1.4912,00631L
73,2015-02-12,22.38,22.55,22.46,22.48,16531,912,0.089,00631L
74,2015-02-13,22.61,22.79,22.61,22.73,29022,922,1.1121,00631L
75,2015-02-24,22.94,23.21,22.97,23.16,44179,940,1.8918,00631L
76,2015-02-25,23.28,23.5,23.33,23.43,35137,951,1.1658,00631L
77,2015-02-26,23.1,23.34,23.3,23.2,28021,895,-0.9816,00631L
78,2015-03-02,23.0,23.36,23.27,23.01,24523,888,-0.819,00631L
79,2015-03-03,22.86,23.19,23.19,23.03,25715,889,0.0869,00631L
80,2015-03-04,22.81,23.09,22.81,23.08,15364,891,0.2171,00631L
81,2015-03-05,22.73,23.13,23.13,22.95,27731,886,-0.5633,00631L
82,2015-03-06,22.8,23.08,22.95,23.05,19200,878,0.4357,00631L
83,2015-03-09,22.63,22.91,22.91,22.75,51578,866,-1.3015,00631L
84,2015-03-10,22.45,22.75,22.75,22.58,30143,860,-0.7473,00631L
85,2015-03-11,22.22,22.65,22.35,22.6,31642,861,0.0886,00631L
86,2015-03-12,22.53,22.9,22.61,22.9,40490,872,1.3274,00631L
87,2015-03-13,22.83,23.03,22.9,22.83,27873,869,-0.3057,00631L
88,2015-03-16,22.58,22.83,22.83,22.58,16308,860,-1.0951,00631L
89,2015-03-17,22.62,23.04,22.77,22.66,25490,863,0.3543,00631L
90,2015-03-18,22.66,23.1,22.66,23.0,37876,876,1.5004,00631L
91,2015-03-19,23.3,23.6,23.3,23.57,38358,898,2.4783,00631L
92,2015-03-20,23.43,23.57,23.55,23.52,13203,896,-0.2121,00631L
93,2015-03-23,23.44,23.63,23.52,23.53,12198,896,0.0425,00631L
94,2015-03-24,23.29,23.55,23.51,23.38,25298,890,-0.6375,00631L
95,2015-03-25,23.16,23.4,23.35,23.24,24037,885,-0.5988,00631L
96,2015-03-26,22.67,22.92,22.8,22.84,41316,870,-1.7212,00631L
97,2015-03-27,22.4,22.82,22.82,22.46,55372,855,-1.6637,00631L
98,2015-03-30,22.4,22.56,22.45,22.46,37495,855,0.0,00631L
99,2015-03-31,22.51,22.77,22.73,22.68,66318,864,0.9795,00631L
100,2015-04-01,22.28,22.6,22.6,22.34,51173,851,-1.4991,00631L
101,2015-04-02,22.53,22.86,22.54,22.85,52384,870,2.2829,00631L
102,2015-04-07,22.85,22.95,22.92,22.93,25445,873,0.3501,00631L
103,2015-04-08,22.56,22.9,22.9,22.67,21609,863,-1.1339,00631L
104,2015-04-09,22.57,23.03,22.65,22.57,38975,860,-0.4411,00631L
105,2015-04-10,22.75,23.0,22.75,22.87,22718,871,1.3292,00631L
106,2015-04-13,22.91,23.05,22.96,23.05,26617,878,0.7871,00631L
107,2015-04-14,22.83,23.01,22.96,22.98,31095,875,-0.3037,00631L
108,2015-04-15,22.3,22.93,22.93,22.36,80273,852,-2.698,00631L
109,2015-04-16,22.49,22.83,22.49,22.83,36684,869,2.102,00631L
110,2015-04-17,22.57,22.79,22.79,22.61,27283,861,-0.9636,00631L
111,2015-04-20,22.27,22.62,22.5,22.53,49841,858,-0.3538,00631L
112,2015-04-21,22.43,22.7,22.65,22.47,16602,856,-0.2663,00631L
113,2015-04-22,22.51,22.87,22.51,22.87,30768,871,1.7802,00631L
114,2015-04-23,22.95,23.99,22.95,23.91,197168,911,4.5474,00631L
115,2015-04-24,24.1,24.76,24.12,24.4,191311,929,2.0494,00631L
116,2015-04-27,24.53,24.9,24.7,24.78,120005,944,1.5574,00631L
117,2015-04-28,24.49,24.9,24.78,24.6,57236,937,-0.7264,00631L
118,2015-04-29,24.13,24.78,24.62,24.21,72549,922,-1.5854,00631L
119,2015-04-30,23.99,24.3,24.19,24.1,67113,918,-0.4544,00631L
120,2015-05-04,23.8,24.2,24.2,24.17,31999,920,0.2905,00631L
121,2015-05-05,23.75,24.1,24.1,23.84,43112,908,-1.3653,00631L
122,2015-05-06,23.52,23.98,23.65,23.88,31243,909,0.1678,00631L
123,2015-05-07,23.36,23.62,23.61,23.4,80118,891,-2.0101,00631L
124,2015-05-08,23.35,23.56,23.44,23.35,37547,889,-0.2137,00631L
125,2015-05-11,23.11,23.7,23.7,23.34,100421,889,-0.0428,00631L
126,2015-05-12,23.23,23.52,23.35,23.36,62944,890,0.0857,00631L
127,2015-05-13,23.37,23.63,23.4,23.58,45343,898,0.9418,00631L
128,2015-05-14,22.91,23.58,23.58,22.98,135500,875,-2.5445,00631L
129,2015-05-15,22.72,23.08,23.03,22.8,86723,868,-0.7833,00631L
130,2015-05-18,22.75,22.96,22.8,22.93,37569,873,0.5702,00631L
131,2015-05-19,22.98,23.5,22.98,23.5,100224,895,2.4858,00631L
132,2015-05-20,23.3,23.5,23.45,23.36,47054,890,-0.5957,00631L
133,2015-05-21,22.64,23.15,23.03,22.83,109815,881,-2.2688,00631L
134,2015-05-22,22.83,23.2,22.83,23.07,93827,948,1.0512,00631L
135,2015-05-25,22.82,23.2,23.07,23.1,56849,949,0.13,00631L
136,2015-05-26,23.2,23.59,23.4,23.27,46563,956,0.7359,00631L
137,2015-05-27,23.1,23.45,23.1,23.39,40848,961,0.5157,00631L
138,2015-05-28,23.43,23.71,23.45,23.54,87778,967,0.6413,00631L
139,2015-05-29,23.33,23.69,23.55,23.36,31430,960,-0.7647,00631L
140,2015-06-01,22.9,23.38,23.36,23.07,54611,948,-1.2414,00631L
141,2015-06-02,22.75,23.06,22.9,22.95,28457,943,-0.5202,00631L
142,2015-06-03,22.65,23.03,22.99,22.66,47583,931,-1.2636,00631L
143,2015-06-04,21.62,22.66,22.66,21.69,138345,891,-4.2807,00631L
144,2015-06-05,21.46,21.82,21.6,21.69,66360,902,0.0,00631L
145,2015-06-08,21.35,22.06,21.69,21.85,87444,920,0.7377,00631L
146,2015-06-09,21.24,21.79,21.79,21.3,98181,896,-2.5172,00631L
147,2015-06-10,21.46,21.75,21.5,21.58,53563,930,1.3146,00631L
148,2015-06-11,21.36,21.79,21.79,21.57,31447,940,-0.0463,00631L
149,2015-06-12,21.37,21.69,21.51,21.52,20279,938,-0.2318,00631L
150,2015-06-15,21.33,21.68,21.52,21.38,33362,943,-0.6506,00631L
151,2015-06-16,21.05,21.39,21.38,21.09,82549,993,-1.3564,00631L
152,2015-06-17,21.06,21.29,21.2,21.22,49843,1010,0.6164,00631L
153,2015-06-18,21.09,21.34,21.25,21.27,47520,1033,0.2356,00631L
154,2015-06-22,21.4,21.82,21.4,21.77,90332,1058,2.3507,00631L
155,2015-06-23,21.88,22.16,21.9,21.92,73423,1065,0.689,00631L
156,2015-06-24,21.79,21.98,21.9,21.95,38630,1066,0.1369,00631L
157,2015-06-25,22.2,22.58,22.2,22.41,108812,1089,2.0957,00631L
158,2015-06-26,22.33,22.49,22.41,22.41,28135,1089,0.0,00631L
159,2015-06-29,21.43,21.96,21.96,21.48,86690,1044,-4.1499,00631L
160,2015-06-30,21.38,21.83,21.4,21.81,96104,1060,1.5363,00631L
161,2015-07-01,21.75,22.35,21.75,22.27,56066,1082,2.1091,00631L
162,2015-07-02,22.13,22.38,22.2,22.25,16825,1081,-0.0898,00631L
163,2015-07-03,21.75,22.31,22.1,22.23,42044,1080,-0.0899,00631L
164,2015-07-06,21.76,22.23,21.92,21.84,28493,1061,-1.7544,00631L
165,2015-07-07,21.88,22.24,21.95,21.95,29848,1066,0.5037,00631L
166,2015-07-08,20.55,21.75,21.75,20.69,233404,1005,-5.7403,00631L
167,2015-07-09,19.5,20.58,20.35,20.4,131954,991,-1.4016,00631L
168,2015-07-13,20.5,20.86,20.84,20.82,69032,1012,2.0588,00631L
169,2015-07-14,20.82,21.23,20.99,20.83,112472,1012,0.048,00631L
170,2015-07-15,20.79,21.19,21.01,20.92,55963,1016,0.4321,00631L
171,2015-07-16,21.06,21.42,21.2,21.11,68557,1026,0.9082,00631L
172,2015-07-17,21.0,21.25,21.03,21.1,24652,1025,-0.0474,00631L
173,2015-07-20,20.7,21.6,21.36,20.85,43140,1013,-1.1848,00631L
174,2015-07-21,20.7,21.1,20.89,21.1,25926,1025,1.199,00631L
175,2015-07-22,20.65,20.95,20.91,20.72,40179,1007,-1.8009,00631L
176,2015-07-23,20.17,20.77,20.55,20.45,101550,994,-1.3031,00631L
177,2015-07-24,20.06,20.5,20.45,20.15,57998,979,-1.467,00631L
178,2015-07-27,19.34,19.99,19.99,19.45,154986,974,-3.4739,00631L
179,2015-07-28,19.3,19.75,19.45,19.6,118858,982,0.7712,00631L
180,2015-07-29,19.1,19.57,19.5,19.31,119922,1093,-1.4796,00631L
181,2015-07-30,19.37,19.9,19.37,19.75,88240,1118,2.2786,00631L
182,2015-07-31,19.46,19.81,19.76,19.57,57780,1107,-0.9114,00631L
183,2015-08-03,18.92,19.44,19.43,19.12,155661,1082,-2.2994,00631L
184,2015-08-04,18.94,19.49,19.22,19.11,111217,1120,-0.0523,00631L
185,2015-08-05,19.12,19.46,19.2,19.41,99183,1137,1.5699,00631L
186,2015-08-06,18.8,19.59,19.55,18.93,232309,1109,-2.473,00631L
187,2015-08-07,18.55,18.97,18.66,18.82,104182,1150,-0.5811,00631L
188,2015-08-10,18.6,19.0,18.82,18.99,91140,1274,0.9033,00631L
189,2015-08-11,18.68,19.46,19.26,18.7,217692,1301,-1.5271,00631L
190,2015-08-12,18.1,18.7,18.66,18.26,166183,1271,-2.3529,00631L
191,2015-08-13,18.21,18.54,18.34,18.4,100519,1354,0.7667,00631L
192,2015-08-14,18.22,18.47,18.3,18.32,38689,1348,-0.4348,00631L
193,2015-08-17,17.99,18.32,18.32,17.99,79841,1342,-1.8013,00631L
194,2015-08-18,17.7,18.17,18.06,17.7,144666,1347,-1.612,00631L
195,2015-08-19,17.0,17.76,17.76,17.19,191515,1316,-2.8814,00631L
196,2015-08-20,16.85,17.35,17.1,17.08,170249,1317,-0.6399,00631L
197,2015-08-21,16.15,16.74,16.72,16.15,236019,1245,-5.445,00631L
198,2015-08-24,13.47,15.7,15.7,14.44,500228,1149,-10.5882,00631L
199,2015-08-25,14.33,15.62,14.44,15.6,419006,1405,8.0332,00631L
200,2015-08-26,14.97,15.94,15.35,15.77,232881,1421,1.0897,00631L
201,2015-08-27,15.74,16.12,15.99,15.89,205472,1431,0.7609,00631L
202,2015-08-28,16.2,16.78,16.21,16.78,295995,1478,5.601,00631L
203,2015-08-31,16.48,16.98,16.65,16.98,119147,1453,1.1919,00631L
204,2015-09-01,16.52,17.11,17.0,16.64,142810,1424,-2.0024,00631L
205,2015-09-02,16.19,17.11,16.19,17.01,133035,1447,2.2236,00631L
206,2015-09-03,16.78,17.2,17.2,17.05,109459,1451,0.2352,00631L
207,2015-09-04,16.7,17.3,17.04,16.73,118198,1415,-1.8768,00631L
208,2015-09-07,16.65,17.1,16.66,16.82,82833,1423,0.538,00631L
