,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2016-05-09,19.63,19.74,19.67,19.68,89648,532,0.0,00659R
1,2016-05-10,19.19,19.6,19.56,19.21,46893,472,-2.3882,00659R
2,2016-05-11,18.91,19.24,19.0,19.12,94157,469,-0.4685,00659R
3,2016-05-12,19.13,19.39,19.35,19.16,13441,470,0.2092,00659R
4,2016-05-13,19.3,19.39,19.3,19.36,25177,475,1.0438,00659R
5,2016-05-16,19.11,19.4,19.19,19.36,22929,475,0.0,00659R
6,2016-05-17,19.16,19.26,19.25,19.18,9364,471,-0.9298,00659R
7,2016-05-18,18.95,19.27,19.22,19.17,14334,442,-0.0521,00659R
8,2016-05-19,19.02,19.18,19.04,19.09,41718,440,-0.4173,00659R
9,2016-05-20,18.98,19.15,19.12,19.02,17127,438,-0.3667,00659R
10,2016-05-23,19.09,19.38,19.22,19.13,51280,441,0.5783,00659R
11,2016-05-24,19.23,19.31,19.27,19.28,12765,444,0.7841,00659R
12,2016-05-25,18.95,19.02,19.01,18.97,28340,437,-1.6079,00659R
13,2016-05-26,18.86,18.95,18.88,18.92,13744,436,-0.2636,00659R
14,2016-05-27,18.85,18.95,18.88,18.92,17088,436,0.0,00659R
15,2016-05-30,18.68,18.82,18.82,18.7,23582,431,-1.1628,00659R
16,2016-05-31,18.45,18.66,18.66,18.45,14072,407,-1.3369,00659R
17,2016-06-01,18.58,18.77,18.65,18.77,13258,414,1.7344,00659R
18,2016-06-02,19.05,19.23,19.1,19.17,16649,423,2.1311,00659R
19,2016-06-03,19.07,19.2,19.13,19.15,14541,403,-0.1043,00659R
20,2016-06-04,19.34,19.42,19.34,19.42,9305,409,1.4099,00659R
21,2016-06-06,19.22,19.41,19.41,19.23,47580,405,-0.9784,00659R
22,2016-06-07,19.06,19.2,19.19,19.08,18684,402,-0.78,00659R
23,2016-06-08,18.96,19.17,19.01,18.96,11733,399,-0.6289,00659R
24,2016-06-13,19.47,19.74,19.47,19.72,34739,405,4.0084,00659R
25,2016-06-14,19.94,20.09,20.0,20.0,53981,411,1.4199,00659R
26,2016-06-15,19.81,20.05,20.04,19.86,11538,408,-0.7,00659R
27,2016-06-16,20.05,20.55,20.06,20.55,65379,422,3.4743,00659R
28,2016-06-17,20.1,20.35,20.17,20.33,8971,418,-1.0706,00659R
29,2016-06-20,19.81,19.95,19.86,19.86,8526,408,-2.3119,00659R
30,2016-06-21,19.6,19.9,19.9,19.61,9864,403,-1.2588,00659R
31,2016-06-22,19.62,19.82,19.78,19.75,9049,406,0.7139,00659R
32,2016-06-23,19.55,19.69,19.66,19.57,3357,402,-0.9114,00659R
33,2016-06-24,19.48,21.18,19.53,21.18,176963,404,8.2269,00659R
34,2016-06-27,20.67,21.18,21.18,20.67,20381,394,-2.4079,00659R
