,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2018-06-01,19.78,19.88,19.88,19.78,22550,273,-1.1,00738U
1,2018-06-04,19.74,19.79,19.78,19.74,8795,272,-0.2022,00738U
2,2018-06-05,19.73,19.78,19.75,19.73,2687,272,-0.0507,00738U
3,2018-06-06,19.87,19.9,19.88,19.89,8092,255,0.8109,00738U
4,2018-06-07,20.03,20.06,20.05,20.05,11367,257,0.8044,00738U
5,2018-06-08,20.05,20.1,20.1,20.05,8073,257,0.0,00738U
6,2018-06-11,20.17,20.35,20.19,20.32,14573,260,1.3466,00738U
7,2018-06-12,20.28,20.33,20.33,20.3,7393,260,-0.0984,00738U
8,2018-06-13,20.22,20.28,20.28,20.23,1620,259,-0.3448,00738U
9,2018-06-14,20.4,20.48,20.45,20.48,7768,262,1.2358,00738U
10,2018-06-15,20.61,20.74,20.61,20.68,6867,265,0.9766,00738U
11,2018-06-19,19.87,19.94,19.91,19.87,7505,254,-3.9168,00738U
12,2018-06-20,19.66,19.72,19.71,19.69,11483,252,-0.9059,00738U
13,2018-06-21,19.55,19.64,19.64,19.55,4604,250,-0.711,00738U
14,2018-06-22,19.68,19.72,19.69,19.7,7518,252,0.7673,00738U
15,2018-06-25,19.7,19.81,19.81,19.7,691,252,0.0,00738U
16,2018-06-26,19.66,19.71,19.7,19.66,3780,252,-0.203,00738U
17,2018-06-27,19.51,19.63,19.63,19.55,1486,250,-0.5595,00738U
18,2018-06-28,19.4,19.43,19.42,19.4,3553,248,-0.7673,00738U
19,2018-06-29,19.25,19.43,19.29,19.43,9620,249,0.1546,00738U
20,2018-07-02,19.26,19.39,19.39,19.26,8256,247,-0.8749,00738U
21,2018-07-03,19.0,19.1,19.1,19.0,9484,243,-1.3499,00738U
22,2018-07-04,19.3,19.38,19.3,19.35,3828,248,1.8421,00738U
23,2018-07-05,19.3,19.37,19.37,19.3,3420,247,-0.2584,00738U
24,2018-07-06,19.2,19.3,19.3,19.24,615,246,-0.3109,00738U
25,2018-07-09,19.3,19.36,19.3,19.36,57,248,0.6237,00738U
26,2018-07-10,19.36,19.41,19.36,19.36,775,248,0.0,00738U
27,2018-07-11,19.14,19.16,19.16,19.15,172,245,-1.0847,00738U
28,2018-07-12,18.95,19.05,18.96,19.05,1348,244,-0.5222,00738U
29,2018-07-13,19.16,19.19,19.18,19.16,268,245,0.5774,00738U
30,2018-07-16,19.01,19.06,19.04,19.06,1066,244,-0.5219,00738U
31,2018-07-17,18.95,19.0,18.97,19.0,4927,243,-0.3148,00738U
32,2018-07-18,18.71,18.76,18.74,18.71,13289,239,-1.5263,00738U
33,2018-07-19,18.57,18.7,18.7,18.59,8998,238,-0.6414,00738U
34,2018-07-20,18.3,18.45,18.41,18.45,2111,236,-0.7531,00738U
35,2018-07-23,18.65,18.7,18.7,18.65,784,239,1.084,00738U
36,2018-07-24,18.44,18.49,18.49,18.47,830,236,-0.9651,00738U
37,2018-07-25,18.57,18.62,18.57,18.62,390,238,0.8121,00738U
38,2018-07-26,18.71,18.82,18.71,18.74,1464,240,0.6445,00738U
39,2018-07-27,18.5,18.55,18.5,18.55,2479,237,-1.0139,00738U
40,2018-07-30,18.51,18.55,18.55,18.54,148,237,-0.0539,00738U
41,2018-07-31,18.56,18.62,18.57,18.62,148,238,0.4315,00738U
42,2018-08-01,18.56,18.65,18.64,18.58,2320,238,-0.2148,00738U
43,2018-08-02,18.46,18.54,18.5,18.51,462,237,-0.3767,00738U
44,2018-08-03,18.36,18.44,18.44,18.4,1268,236,-0.5943,00738U
45,2018-08-06,18.49,18.56,18.56,18.52,537,237,0.6522,00738U
46,2018-08-07,18.4,18.45,18.41,18.45,1987,236,-0.378,00738U
47,2018-08-08,18.42,18.5,18.42,18.5,369,237,0.271,00738U
48,2018-08-09,18.51,18.56,18.55,18.54,1704,237,0.2162,00738U
49,2018-08-10,18.44,18.54,18.54,18.44,591,236,-0.5394,00738U
50,2018-08-13,18.31,18.37,18.37,18.36,2827,235,-0.4338,00738U
51,2018-08-14,18.0,18.05,18.01,18.01,4756,231,-1.9063,00738U
52,2018-08-15,17.89,18.01,18.01,17.89,3191,229,-0.6663,00738U
53,2018-08-16,17.2,17.41,17.28,17.41,3439,223,-2.6831,00738U
54,2018-08-17,17.5,17.62,17.61,17.5,825,224,0.5169,00738U
55,2018-08-20,17.7,17.72,17.7,17.71,2319,227,1.2,00738U
56,2018-08-21,17.71,17.74,17.74,17.73,2003,227,0.1129,00738U
57,2018-08-22,17.7,17.72,17.72,17.7,424,227,-0.1692,00738U
58,2018-08-23,17.5,17.63,17.63,17.55,3646,225,-0.8475,00738U
59,2018-08-24,17.36,17.43,17.36,17.42,678,223,-0.7407,00738U
60,2018-08-27,17.74,17.81,17.81,17.79,551,228,2.124,00738U
61,2018-08-28,17.78,17.87,17.87,17.78,498,228,-0.0562,00738U
62,2018-08-29,17.63,17.66,17.66,17.64,1836,226,-0.7874,00738U
63,2018-08-30,17.51,17.61,17.58,17.51,3476,224,-0.737,00738U
64,2018-08-31,17.36,17.48,17.39,17.48,642,224,-0.1713,00738U
65,2018-09-03,17.21,17.35,17.35,17.33,5268,222,-0.8581,00738U
66,2018-09-04,17.29,17.3,17.3,17.3,934,221,-0.1731,00738U
67,2018-09-05,16.91,16.95,16.94,16.92,11207,217,-2.1965,00738U
68,2018-09-06,16.91,17.0,17.0,16.94,1746,217,0.1182,00738U
69,2018-09-07,16.84,16.98,16.98,16.86,5456,216,-0.4723,00738U
70,2018-09-10,16.84,16.87,16.86,16.87,792,216,0.0593,00738U
71,2018-09-11,16.87,16.92,16.87,16.91,490,216,0.2371,00738U
72,2018-09-12,16.8,16.85,16.83,16.84,4222,216,-0.414,00738U
73,2018-09-13,16.98,17.0,17.0,17.0,849,218,0.9501,00738U
74,2018-09-14,16.96,17.02,16.96,17.02,373,209,0.1176,00738U
75,2018-09-17,16.83,16.85,16.85,16.84,2492,207,-1.0576,00738U
76,2018-09-18,16.86,16.88,16.87,16.88,472,208,0.2375,00738U
77,2018-09-19,16.9,16.97,16.9,16.97,830,209,0.5332,00738U
78,2018-09-20,17.03,17.12,17.03,17.12,5871,211,0.8839,00738U
79,2018-09-21,17.12,17.18,17.18,17.14,12082,211,0.1168,00738U
80,2018-09-25,16.97,16.97,16.97,16.97,627,209,-0.9918,00738U
81,2018-09-26,17.22,17.27,17.25,17.26,5315,212,1.7089,00738U
82,2018-09-27,17.22,17.27,17.22,17.26,7443,212,0.0,00738U
83,2018-09-28,17.01,17.11,17.01,17.07,3774,210,-1.1008,00738U
84,2018-10-01,17.42,17.49,17.49,17.42,558,214,2.0504,00738U
85,2018-10-02,17.32,17.37,17.37,17.36,2288,214,-0.3444,00738U
86,2018-10-03,17.52,17.64,17.52,17.63,10460,217,1.5553,00738U
87,2018-10-04,17.39,17.46,17.46,17.45,696,215,-1.021,00738U
88,2018-10-05,17.38,17.44,17.44,17.38,382,214,-0.4011,00738U
