,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2019-04-02,36.4916,36.724,36.724,36.4916,27004,636,-1.875,00788B
1,2019-04-03,36.4637,36.5846,36.4637,36.5102,20583,636,0.051,00788B
2,2019-04-08,36.5009,36.5753,36.5753,36.5009,12878,636,-0.0255,00788B
3,2019-04-09,36.4544,36.5195,36.5102,36.4544,28596,616,-0.1274,00788B
4,2019-04-10,36.4916,36.5753,36.4916,36.566,20047,618,0.306,00788B
5,2019-04-11,36.566,36.6961,36.566,36.6961,17472,817,0.356,00788B
6,2019-04-12,36.631,36.724,36.724,36.6589,16595,816,-0.1013,00788B
7,2019-04-15,36.4451,36.6496,36.6496,36.4451,17411,812,-0.5833,00788B
8,2019-04-16,36.6217,36.6961,36.6961,36.6217,28294,816,0.4847,00788B
9,2019-04-17,36.4172,36.473,36.473,36.4544,27648,812,-0.457,00788B
10,2019-04-18,36.4637,36.6217,36.6217,36.5009,16292,813,0.1275,00788B
11,2019-04-19,36.5567,36.6032,36.5846,36.566,15895,814,0.1783,00788B
12,2019-04-22,36.5846,36.6403,36.6403,36.6403,17056,816,0.2034,00788B
13,2019-04-23,36.5753,36.6217,36.6217,36.5753,16564,815,-0.1776,00788B
14,2019-04-24,36.5381,36.6496,36.5381,36.6403,16238,816,0.1779,00788B
15,2019-04-25,36.6775,36.7891,36.6775,36.7519,16968,819,0.3045,00788B
16,2019-04-26,36.724,36.8356,36.8356,36.8077,16594,820,0.1518,00788B
17,2019-04-29,36.8728,36.9007,36.8728,36.8914,17143,822,0.2273,00788B
18,2019-04-30,36.8914,36.9193,36.91,36.9193,17547,822,0.0756,00788B
19,2019-05-02,37.0029,37.0308,37.0308,37.0029,17234,824,0.2266,00788B
20,2019-05-03,36.9564,37.0029,37.0029,36.9657,16345,823,-0.1005,00788B
21,2019-05-06,36.9843,37.0029,37.0029,36.9843,8515,824,0.0503,00788B
22,2019-05-07,36.975,37.0029,37.0029,36.975,25508,823,-0.0251,00788B
23,2019-05-08,37.0494,37.0959,37.0959,37.0866,17259,826,0.3017,00788B
24,2019-05-09,36.9472,37.0308,37.0029,37.0215,20588,825,-0.1755,00788B
25,2019-05-10,37.0122,37.0773,37.0215,37.0773,23072,826,0.1507,00788B
26,2019-05-13,36.9843,37.1424,36.9843,37.1331,13809,827,0.1505,00788B
27,2019-05-14,37.0773,37.1889,37.0959,37.1889,9464,828,0.1502,00788B
28,2019-05-15,37.1052,37.2447,37.2447,37.1703,9264,828,-0.05,00788B
29,2019-05-16,37.2168,37.2447,37.2261,37.2261,10570,829,0.1501,00788B
30,2019-05-17,37.2075,37.3283,37.2168,37.3004,14163,831,0.1998,00788B
31,2019-05-20,37.3748,37.4864,37.412,37.4492,19576,834,0.3988,00788B
32,2019-05-21,37.2168,37.4864,37.2168,37.4864,17736,835,0.0993,00788B
33,2019-05-22,37.4957,37.5794,37.4957,37.5794,18664,837,0.248,00788B
34,2019-05-23,37.6073,37.7653,37.6537,37.6444,26953,838,0.1732,00788B
35,2019-05-24,38.0442,38.0907,38.0721,38.0628,43812,848,1.1114,00788B
36,2019-05-27,37.849,38.0721,38.0721,37.8769,36034,844,-0.4885,00788B
