,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2013-12-12,171.932,188.418,180.568,173.109,1337385,13900,57.5,6415
1,2013-12-13,176.642,197.054,176.642,188.418,630817,15129,8.8435,6415
2,2013-12-16,178.997,187.633,185.278,181.353,232626,14562,-3.75,6415
3,2013-12-17,179.782,185.278,185.278,184.493,165724,14814,1.7316,6415
4,2013-12-18,183.315,193.521,188.811,192.344,177697,15444,4.2553,6415
5,2013-12-19,178.997,193.129,193.129,186.848,252607,15003,-2.8571,6415
6,2013-12-20,178.997,184.885,184.885,178.997,94721,14373,-4.2017,6415
7,2013-12-23,175.857,181.353,180.175,181.353,98400,14562,1.3158,6415
8,2013-12-24,178.605,184.493,181.353,182.138,88191,14625,0.4329,6415
9,2013-12-25,173.502,182.138,182.138,174.287,105443,13994,-4.3103,6415
10,2013-12-26,174.679,177.82,175.072,175.464,68689,14089,0.6757,6415
11,2013-12-27,171.932,177.427,177.427,174.287,63753,13994,-0.6711,6415
12,2013-12-30,171.932,179.782,174.287,178.212,57533,14310,2.2523,6415
13,2013-12-31,175.857,182.53,178.212,179.782,90071,14436,0.8811,6415
14,2014-01-02,175.857,180.568,179.782,177.427,48310,14247,-1.31,6415
15,2014-01-03,172.717,177.427,176.25,173.109,48682,13900,-2.4336,6415
16,2014-01-06,161.333,173.502,173.502,161.333,132489,12954,-6.8027,6415
17,2014-01-07,155.445,163.296,157.8,160.548,102211,12891,-0.4866,6415
18,2014-01-08,160.548,171.539,160.548,169.576,172996,13616,5.6235,6415
19,2014-01-09,161.726,172.717,168.006,169.576,130500,13616,0.0,6415
20,2014-01-10,171.147,181.353,171.147,181.353,263963,14562,6.9444,6415
21,2014-01-13,175.857,182.923,180.568,178.212,92347,14310,-1.7316,6415
22,2014-01-14,174.287,178.212,176.642,175.857,72226,14120,-1.3216,6415
23,2014-01-15,163.688,176.642,176.642,165.651,218828,13301,-5.8036,6415
24,2014-01-16,161.726,168.399,166.044,167.221,55273,13427,0.9479,6415
25,2014-01-17,167.614,172.324,171.932,168.791,90404,13553,0.939,6415
26,2014-01-20,168.791,180.568,171.147,178.997,123338,14373,6.0465,6415
27,2014-01-21,176.642,185.278,176.642,180.568,134153,14499,0.8772,6415
28,2014-01-22,173.502,178.997,173.502,175.857,59315,14120,-2.6087,6415
29,2014-01-23,175.857,178.212,175.857,176.25,30405,14152,0.2232,6415
30,2014-01-24,171.932,177.427,177.427,171.932,34348,13805,-2.4499,6415
31,2014-01-27,163.296,170.754,169.576,168.791,52645,13553,-1.8265,6415
32,2014-02-05,163.296,169.969,166.436,168.006,43293,13490,-0.4651,6415
33,2014-02-06,168.006,169.184,168.006,168.791,45032,13553,0.4673,6415
34,2014-02-07,170.754,180.175,170.754,177.035,116079,14215,4.8837,6415
35,2014-02-10,174.679,182.923,177.035,176.25,96621,14152,-0.4435,6415
36,2014-02-11,172.324,176.25,176.25,175.072,33290,14057,-0.6682,6415
37,2014-02-12,176.25,180.568,176.642,176.642,44686,14184,0.8969,6415
38,2014-02-13,175.072,178.212,176.642,177.427,39472,14247,0.4444,6415
39,2014-02-14,178.212,189.596,178.997,185.278,202096,14877,4.4248,6415
40,2014-02-17,177.427,185.278,185.278,180.568,73692,14499,-2.5424,6415
41,2014-02-18,177.427,181.353,180.568,179.782,20104,14436,-0.4348,6415
