,2013-03-29,2013-05-31,2013-08-30,2013-11-29,2014-03-31,2014-05-30,2014-08-29,2014-11-28,2015-03-31,2015-05-29,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-29,2019-05-31,2019-08-30,2019-11-29,2020-03-31,2020-05-29,2020-08-31,2020-11-30,2021-03-31,2021-05-31,2021-08-31
0,1565,1476,1476,1476,2308,2377,2327,2615,9910,5904,9910,2345,3552,8436,8464,2371,2337,5871,4966,2327,8436,2492,5269,3037,9921,3293,2345,6121,3293,6415,2603,2603,2609,2603,5871
1,1476,1504,1590,1101,3529,2408,2379,2327,2610,2823,1476,6415,2377,2492,2377,2301,3231,6456,6456,2345,2492,2347,6121,4958,3034,1102,3293,4938,6669,2345,5269,8046,8046,2347,2881
2,2105,9921,2395,8406,2379,4966,2615,2881,3008,4938,3552,3552,3293,3293,5904,2377,2317,8299,2603,8436,2049,2377,1402,2379,5871,2884,3231,2207,5903,5269,2353,1590,8299,5871,6415
3,2881,8299,1565,1565,3552,3529,2395,8044,5904,3481,9904,2412,6415,2345,8069,1101,2408,6415,1590,2492,5483,5871,2884,2301,6121,2880,1227,2330,6415,8454,9921,2615,3034,4966,2887
4,3673,5347,2912,2882,2377,2395,3008,2330,1476,3105,2884,2377,1326,2912,2492,6415,6456,2337,6415,4966,5871,2884,2885,9910,8046,2385,6415,3231,4938,5903,5903,1802,2615,2301,3529
5,1504,4938,3008,2454,2317,3702,8046,3034,3105,3008,1216,2884,2345,3105,5269,1326,2327,2227,2610,2344,3105,2883,1301,2395,2379,5876,2385,5871,2357,2356,3293,3552,2603,6415,8046
6,2301,1565,1504,2227,4958,2327,2891,9921,2615,1476,6505,9910,6505,1590,2379,2002,3008,2345,2327,2883,2915,3532,8436,2834,2345,2890,3037,2303,2347,8069,8454,2303,5871,2881,4966
7,2890,2356,2882,8044,2454,2492,2881,4938,9921,2354,4938,1565,2301,2377,5347,2882,2474,2207,2344,5871,6488,6488,1102,8436,4958,8454,2395,2891,3231,2454,2330,2308,3481,3293,9945
8,3481,3481,2356,5903,3008,3034,2882,5904,2330,3552,2317,1216,1301,2105,5903,8436,6415,2603,2408,2888,2327,2888,1326,5903,5904,9921,1504,2395,2886,2379,2609,3034,2881,8454,2303
9,2882,2888,2891,5904,2880,2344,2308,9910,2327,6415,6415,4174,2492,1565,1565,2888,1504,2330,2049,3105,1216,2327,2834,2002,2308,2615,5904,3034,2382,1722,1504,2609,2454,2885,2823
10,4938,5871,2454,9904,5904,3552,2385,5871,8044,2882,2412,2492,1565,2395,2395,2330,2801,6239,2337,2049,2454,4147,1101,2308,3231,1504,4958,2884,8454,2347,2382,5871,2357,2615,2882
11,5347,2408,4904,2377,2395,2912,2207,3008,4958,2492,1326,8436,3105,2412,2823,2207,5871,2912,8299,8069,2347,9945,6505,2633,2834,2395,2884,3105,5904,5904,2615,3481,2324,2357,5880
12,2207,3008,2377,1590,2327,3008,8044,3529,6147,2474,1301,8069,2412,1326,2912,6505,2885,2049,2345,1590,2912,2915,2915,2890,5880,2379,2379,2454,5880,3293,1590,2330,8069,2609,5347
13,2884,3034,1102,9910,1476,5347,4958,2207,2474,2881,2474,1301,8436,4966,2345,3702,8299,3008,3008,5880,1326,1101,4958,2880,2884,2834,2301,2337,1227,3702,8046,2105,2409,2882,1303
14,5871,2395,2887,1102,2801,5269,2886,5530,4938,8046,5904,6239,8299,3552,3702,1301,2345,2633,2883,1216,2884,5483,9910,2345,2633,9910,6121,4966,2303,6121,2357,2409,9921,8046,8454
15,2834,2891,1101,2395,9910,2834,4938,2354,2883,4958,2881,4938,6239,6505,2301,2892,2002,5880,2892,6488,2890,1476,2379,8046,2207,5880,1102,2885,2377,6669,6456,3037,1303,1476,2915
16,3034,6147,3529,1402,3293,2379,6239,2409,2492,3529,3008,5880,2379,2301,3231,5269,2888,2317,8069,2912,2379,1102,5903,5269,9910,2345,2207,2379,2356,4966,6121,2454,2105,3037,2379
17,2385,2207,8044,2474,2330,2308,5871,2002,2303,2884,2882,3045,2912,5347,8436,5871,1102,2834,8436,2347,1590,2890,2474,2885,2880,2227,8464,2317,1590,3529,2379,2357,8454,2379,3711
18,6147,3529,9910,2049,2049,2330,1303,2379,8299,6239,5880,6505,3037,3702,2105,2881,2344,2303,2474,2385,9945,8436,2356,1476,3045,1101,9904,8464,2379,2377,2377,5903,2379,2883,2347
19,2344,2308,2227,2886,1101,2880,2409,3481,2886,2885,2880,4904,5880,8044,1590,5903,1301,2891,5871,5483,2887,2834,3034,2884,8464,2382,2454,3037,2345,3532,3529,5483,2353,3702,2891
20,9904,9910,1326,1326,2882,4938,2880,2882,3702,1227,2354,1476,8069,3045,6239,2337,1802,1590,2615,2885,8454,1402,5871,6121,2892,2633,2890,3293,8046,2303,3702,6488,2382,2890,2883
21,,,,,1590,5903,3293,2492,5347,2330,2330,1227,3682,1216,2308,2492,2330,3481,2888,2884,2883,2801,1476,2915,2382,5904,5880,2888,2890,9945,2201,2885,2610,3529,2890
22,,,,,,,,,,,4958,2317,1303,2801,3045,8464,2882,3037,2882,1565,2412,2303,2377,1722,8454,5871,3105,1590,1101,2882,2347,2379,3529,2891,3037
23,,,,,,,,,,,,,,,1101,2834,1303,6488,2834,1802,1301,2880,6147,9921,2886,2886,3529,2357,1102,2412,6415,2382,1476,9945,2002
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2382,3231,2353,2347,3034,6239
