,2013-03-29,2013-05-31,2013-08-30,2013-11-29,2014-03-31,2014-05-30,2014-08-29,2014-11-28,2015-03-31,2015-05-29,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-29,2019-05-31,2019-08-30,2019-11-29,2020-03-31,2020-05-29,2020-08-31,2020-11-30,2021-03-31,2021-05-31,2021-08-31
0,2887,2887,2887,2887,4938,2834,2834,2834,3481,3481,3481,3481,3481,2834,2834,2834,2834,2409,2409,3481,3481,3481,3481,2883,5483,5483,2883,2883,2888,2888,2888,2883,2883,2883,3481
1,2888,2888,4938,4938,1402,4938,9904,1402,2834,2409,2409,2409,2881,1402,2890,2890,1402,3481,3481,2409,2409,2409,2409,5483,2883,2883,3231,2888,2883,2823,2823,2888,2823,2823,2823
2,6239,9904,9904,9904,2834,9904,1402,9904,2409,2888,2344,2344,1402,2823,2823,1402,2890,1402,1402,1402,1402,2888,2883,9904,2344,9904,5483,1102,2823,2883,2883,2823,2882,2882,2883
3,9904,4938,1402,2327,3673,1402,4938,2409,2888,1402,2303,1402,2823,2881,1402,9904,9904,9904,9904,9904,9904,2610,9904,9945,1402,6239,9904,1402,9904,9904,1402,2881,1402,2881,9904
4,4938,2377,2377,3673,2303,2409,2371,4938,1402,2344,2492,1722,9904,2324,2881,2887,4938,2890,2882,4938,2618,2883,2618,2409,4958,2618,2317,2823,1402,1402,1102,2882,2891,9904,2882
5,2345,6239,2823,6239,2327,3231,2885,2888,6239,2834,1402,2303,2344,2890,2610,4938,2823,2633,2324,2883,2603,2618,9945,2344,2834,1402,2823,9904,2882,2885,9904,1402,1102,4958,2409
6,3037,2356,6239,2303,3481,2890,2615,2327,2886,9904,2603,2823,2891,2344,2618,2344,2887,4938,2801,2886,2883,1402,2834,4958,6239,4958,1402,5483,2881,2324,2882,2324,2474,2890,2891
7,2377,2891,2357,1402,3231,2886,2888,2823,1101,2303,2823,2890,2610,9904,2344,2618,2885,2357,2357,2834,3673,2834,5483,6239,2354,2344,2881,3231,4938,3231,2885,2317,3702,4938,2324
8,3231,2883,3037,2377,9904,2823,2823,3481,2344,2324,2324,2610,5880,5880,8069,2633,2357,2801,2886,2618,2834,4958,1402,1402,9904,2834,2618,2354,2618,2317,2881,2887,2324,3673,4938
9,1402,2823,2886,3105,3105,2615,2892,2891,2891,2603,8046,2834,2880,2610,9904,2801,2409,2347,2633,2603,9945,9904,2610,2408,2409,2881,1102,2317,1102,1102,2317,3702,2881,1402,1402
10,2327,1402,2345,1101,2823,1101,2409,1102,2823,6239,6239,5880,2354,2891,2801,2327,2347,1101,4938,2324,2882,9945,4958,2834,2408,2408,6239,2347,3231,5483,2324,2890,2201,6456,3673
11,1101,2317,2327,2883,1102,2891,1101,2344,4938,2823,3105,2886,2409,2618,4958,2881,8069,2823,1101,2801,6239,2603,2888,3037,2337,3231,2885,2324,2317,2882,5483,1102,3673,6239,2357
12,2891,2345,1101,3037,2883,2892,2891,1101,9904,1101,1101,2615,2303,8069,1722,2823,2801,6239,2301,6239,2823,2823,2344,3481,2618,2823,2890,2834,2887,4958,6239,2891,6239,3481,2890
13,2883,3037,2891,2823,2886,1102,2408,2892,2892,1102,9904,2492,2892,2354,2474,2354,2618,2408,6239,2371,2801,2882,2823,2337,2474,2354,2887,2885,5483,2891,4938,6239,4958,1102,2834
14,2317,2801,2303,2886,2409,2408,2886,2882,2880,4938,2408,3231,2618,2886,2887,3702,2344,6147,2891,2823,2886,2887,6239,2618,1102,2337,4938,6456,2324,4938,2354,2603,2603,2201,2881
15,2356,2303,2883,3481,2301,2317,1102,2301,1102,2327,2888,9904,4958,4958,2327,2474,6239,2371,1504,1326,3702,3673,3673,6456,1504,2327,2834,2881,2890,2890,2474,5483,6456,2474,1102
16,1504,2327,3105,2892,2408,3481,2882,2345,2882,2317,2317,8046,2801,2303,2886,2303,6121,2303,2823,2891,2354,6239,2408,1504,2823,1102,4958,2618,6456,2354,6147,9904,1101,2409,6239
17,2823,2301,2834,2317,2892,2880,2303,2886,2324,2492,2356,2880,2317,2317,2324,2317,2408,2301,2371,1101,1504,2354,2354,2354,1101,2317,2327,4938,2885,2347,3711,2474,5483,2385,4958
18,2301,1101,2474,1102,2615,2303,2880,2303,2317,2892,2345,2892,2615,4938,3037,2610,2633,3037,6147,3673,4938,2615,1504,1102,3231,9945,9945,2890,9945,9945,8406,2885,9904,2891,5530
19,2801,2892,2317,2357,2377,2882,2345,2881,2303,2615,5880,2408,1101,2474,4938,2492,2317,6121,1326,2347,1102,2344,2337,2823,2327,3711,2492,2492,2347,2357,4958,2357,5530,5876,2317
20,9910,2615,3673,2354,1101,2301,3481,2615,2327,2609,2886,2881,2324,6239,2303,4958,1101,1326,2408,2474,6456,1102,1802,6147,2890,2885,2347,9945,2615,1101,2615,3673,2317,2357,2385
21,2382,2890,2382,2890,2317,2345,3231,2356,2354,2347,2377,2317,6239,1722,2317,2357,2474,3231,2385,2615,1216,3702,2615,2303,3711,2492,2354,6147,4958,2615,1101,1101,2353,5483,2474
22,,,,,,,,,8046,2891,2610,2891,2492,2801,2354,5871,3037,8069,3231,1504,2615,2890,3037,3673,2492,6456,6147,2882,2357,6147,9945,3711,2609,2353,5483
23,,,,,,,,,,,,,2301,3037,2492,3037,2492,2317,2618,2884,1326,1216,5880,2474,3532,2474,2474,6239,2354,6239,2890,4958,2885,2887,6456
24,,,,,,,,,,,,,,,,,,,,,,,,,3481,1101,2882,1101,6147,3711,2603,6456,9945,2892,1326
