,2010-05-31,2010-08-31,2010-11-30,2011-03-31,2011-05-31,2011-08-31,2011-11-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-05-31,2014-08-31,2014-11-30,2015-03-31,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-31,2019-05-31,2019-08-31,2019-11-30
0,2455,2723,3607,3428,3227,2020,3686,5508,4142,3211,4117,3059,2412,3037,4540,2433,2704,2538,5425,3176,2636,6233,2355,6147,4190,4968,5388,3691,8044,6620,2361,6146,1535,8008,1598,2455,3533,5217,8155
1,3702,3712,1219,3024,3583,3019,5347,5536,3130,2377,2311,1582,1459,1711,4934,6284,1598,3552,2397,2385,4984,2450,6239,2351,3294,6197,2399,5234,2464,4163,1310,6409,2704,5315,6203,6188,1569,1904,1402
2,2227,2615,1419,3688,3372,5305,2731,4763,1708,5261,1702,3049,1232,5533,3057,2457,2477,2385,2374,2025,2355,2308,6261,1231,1605,6670,2030,4969,1903,2376,2376,1231,1608,1604,2109,3514,1523,1451,2402
3,2464,3481,3024,2365,5257,4117,3645,2406,1569,2341,1582,3022,2337,2376,2515,6108,6289,2015,2385,2380,2433,1455,6142,2636,2462,1219,3584,5522,5346,5315,3697,6169,8101,4142,3647,2349,3566,6469,2449
4,2466,2437,3538,3679,1314,3711,3712,2340,2433,4733,3141,4129,2114,4552,5609,1219,1442,5306,1218,5340,2350,6115,2014,5349,1259,2351,2640,3227,6104,6617,2458,4128,6536,2601,2360,2352,2325,6188,8329
5,1464,3563,2356,1215,2601,4576,1513,3708,5364,2466,4126,6143,1802,1806,2385,2608,3094,2515,2348,5315,4737,1259,1569,2356,2460,6411,3033,1522,2448,5356,6116,2015,1522,5505,4159,6142,1903,2449,2380
6,3673,2035,1714,1216,5213,5263,1612,5340,2540,2332,3293,2338,1710,1307,6188,1464,3066,6411,6416,5301,1708,3483,3205,2012,2029,3294,1231,2376,1608,5364,1402,3556,3553,2455,4144,2348,4401,1785,2455
7,2614,4191,3536,1473,4104,4961,2365,2362,2617,4725,5522,2926,3046,2514,2015,2352,2324,5289,2540,6286,3031,3388,3599,3593,3019,3289,4966,2357,2368,6269,1409,6274,6180,3563,2201,2353,1473,2002,5288
8,3030,4416,1715,3706,2321,2731,2362,5457,4107,2330,4130,3024,1565,4506,6105,2010,2526,2473,2325,1471,4739,1473,4934,6143,5425,2350,1455,5302,4306,4414,3169,6567,3024,2015,4733,3530,2374,8307,2022
9,1762,4564,2505,3653,1604,4168,1737,4191,5217,2327,4129,6138,1447,6126,1440,2369,6257,3080,3599,5274,3083,4932,6141,2603,2303,3264,6702,6702,3017,3599,3494,1785,3061,5609,2402,2342,2015,4725,5217
10,1760,1434,2029,2352,2460,1716,1716,4147,3062,2325,1337,1589,2033,6107,3515,3508,2454,4803,2353,2396,2395,3508,1231,6499,2637,6666,4953,1447,5317,1903,4426,1736,3227,4414,4426,6169,6197,1109,1608
11,1409,3615,3687,2349,2607,3028,4947,3061,2903,3508,5457,5904,3630,5317,2035,2506,2371,5351,5315,1460,1473,6125,5484,4163,6145,3702,1333,4164,4426,2363,4198,1608,1523,3707,2009,3471,3557,1219,6620
12,3367,3611,3483,2385,4540,1604,5256,2539,1232,2344,3049,2108,3023,2341,3596,3491,1590,2025,5305,1604,2397,2012,3289,2547,2323,2548,3017,1231,6643,1259,2464,1402,2015,2383,5326,3466,3647,2402,2509
13,2514,1402,4725,2341,1340,2033,2603,1701,2377,2324,2412,5538,4990,2382,2383,6245,3221,2353,3152,1444,6238,1569,2642,5392,2640,5604,3303,4745,5349,3356,1219,2109,6581,1219,4198,3540,2231,3658,6581
14,2109,4909,2457,2338,2545,2450,2327,5288,1904,2348,2377,4906,4137,5356,2420,2497,2727,2325,2380,1701,2007,6131,2350,2539,3582,3221,2402,3438,4737,8039,1609,1535,1904,3024,2395,1535,4129,1473,3557
15,3688,1416,2325,4105,1216,1612,2401,4532,1702,2317,2359,3057,2357,2227,2342,6223,5538,2349,1225,5457,4803,3189,6523,6547,4912,2357,4961,6471,5305,5215,2448,1219,2369,3030,6561,6124,2450,2383,4148
16,3043,2443,4726,4107,4976,4205,1436,4968,2341,2316,5287,5609,3573,1565,3062,6202,1737,2360,5302,1707,4126,5326,2354,1569,2527,5609,6552,2448,2535,2368,1608,2597,2017,4906,4927,2361,2457,1608,8070
17,3679,2022,4144,4108,4120,2618,2337,3037,2363,2485,1909,2049,4532,4966,4961,2527,1232,1597,2430,6446,2375,2441,1714,5538,3607,2341,1473,2461,5274,1402,4528,4990,5538,2031,2371,6183,2008,8210,6194
18,2618,3645,1729,3630,2420,1436,1419,1722,4942,2311,2035,3055,4960,4904,3031,1598,4137,5301,3234,6235,3042,2520,1310,6531,3127,3534,1259,2463,3599,5203,3024,1904,3042,3514,6523,6116,4551,6192,2231
19,3094,2472,1305,2337,2337,2466,4943,3296,4911,2349,1904,3523,4961,6237,1444,1590,3588,3005,3131,2360,6234,2460,1522,3293,4932,2477,6451,2438,2363,8069,5531,3221,3317,2023,3556,6187,4725,2374,4934
20,1723,3213,2338,2330,2103,1513,2369,5521,5474,4915,4934,4947,2361,3051,2348,2903,2330,6169,4927,6453,2327,3376,6274,3217,6285,2634,3266,2428,1522,1522,2363,6579,2723,6456,3221,6115,3230,5256,3230
21,2441,2023,3705,2329,1232,5288,3452,2330,1789,4919,4707,4739,2367,6129,2363,3227,1815,2436,1604,2430,2912,3374,2538,1522,1310,2328,6160,6589,2002,3024,2438,2466,5443,6134,5213,2330,1598,6197,1109
