,2010-05-31,2010-08-31,2010-11-30,2011-03-31,2011-05-31,2011-08-31,2011-11-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-05-31,2014-08-31,2014-11-30,2015-03-31,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-31,2019-05-31,2019-08-31,2019-11-30
0,3576,1525,3428,3557,4721,1737,6194,2448,6209,1716,1580,1729,6191,3706,1402,4414,3043,2636,6206,6243,6245,6278,3705,1773,6278,8086,1729,1563,1785,4147,6220,3561,4977,4144,6547,3688,4725,6443,2545
1,4163,2504,3313,3576,3176,4401,2605,3466,2723,3661,4129,2421,4119,2421,3268,2430,5287,2337,5213,4120,4961,4969,6279,4142,3628,4994,3526,4164,3083,4552,4935,2396,3035,5243,6533,3638,1789,4943,3658
2,2363,2489,2365,2387,3152,3376,3698,2323,2704,3658,2437,3599,3711,2399,4915,3339,2461,3658,3563,4123,3313,3339,4958,4133,3638,4984,2705,6269,3080,6146,4942,4103,1103,5256,4984,1103,1103,2538,1103
3,2383,2473,2323,2385,3217,3367,2608,2606,4163,3653,2436,3588,3704,2492,2495,3705,2449,3653,3553,4132,3356,3315,6277,4132,3593,4966,2642,4130,3078,2395,4927,4104,3064,2706,2363,2514,2455,2396,3061
4,2313,6120,6124,2404,6197,3362,2610,5392,2633,3647,3411,3582,3703,6143,2514,2403,3687,3647,3605,3662,3406,3504,6286,4130,3665,4726,4738,3546,3061,2383,3514,3712,3068,9924,4107,2505,2501,2701,3680
5,3303,2545,2321,3006,3221,3346,4117,3068,2618,3645,2451,3579,3702,2511,4909,3558,3688,3645,3615,4137,3230,3508,6290,4129,3669,4552,2731,6282,4961,3080,2454,2388,3081,5257,3686,4552,2505,2706,2455
6,3293,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,2524,5302,1110,1110,1110,4142,3211,1110,4162,1110,1110,4528,1110,6283,1110,2380,1110,1110,1110,5264,1110,1110,1110,2384,1110
7,3141,2547,5608,6158,3081,3266,2498,3682,2615,3630,4119,3576,3697,2515,2527,3704,2448,6111,8053,4438,8086,3518,4159,4128,3679,4171,6143,2912,3712,2511,4925,4105,3083,2701,3083,4576,2506,2841,3064
8,4105,2548,2383,2409,3265,3227,2497,3638,2612,3615,2457,3617,3693,2520,2536,3686,3689,2325,3532,4994,3466,3519,4152,4123,3540,4163,2908,3005,4975,3078,4966,3008,3094,5009,2923,3474,2384,2910,3653
9,2472,5701,2384,3008,6191,3218,4120,2328,3584,3614,3708,3556,3691,2526,2401,2459,5305,3617,3620,6239,3498,3231,4148,4147,3704,4162,2912,2908,4979,4721,3481,3061,3016,3406,5213,3406,2538,2913,3068
