,2010-05-31,2010-08-31,2010-11-30,2011-03-31,2011-05-31,2011-08-31,2011-11-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-05-31,2014-08-31,2014-11-30,2015-03-31,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-31,2019-05-31,2019-08-31,2019-11-30
0,2923,1525,2344,1525,3016,4930,6183,6239,6180,3041,3704,3041,6116,3545,3698,6443,2357,5256,2311,2033,5269,8042,3141,4159,4198,2405,4969,6411,6411,6552,3686,4552,3064,4738,2321,1471,6540,3041,4174
1,3527,3057,3068,3062,2545,2491,2454,5469,4426,2231,2524,3317,4167,2605,3033,3605,4198,6298,3712,2511,2360,3454,5434,2498,2609,2363,2498,3045,3680,2406,3266,5351,2457,4167,9935,4576,8081,2371,4144
2,3545,1103,2207,6223,2524,4129,5438,4117,2603,3693,2505,3693,3552,2338,1103,2311,1103,6415,2504,2506,2380,3552,2342,6107,1103,1103,2504,3038,3661,2381,3231,5340,5213,9933,9933,8383,6572,6206,4943
3,1104,6223,3081,6176,2509,1104,2460,3552,2475,3704,2499,4129,3540,2355,4426,4915,5009,6434,5474,2504,2383,3131,4947,6108,8499,2361,2505,3055,3682,2380,5480,9924,2443,2462,9907,3372,2363,6234,2545
4,3152,6220,1108,5871,2489,1108,1108,4198,2910,2308,2498,2231,3536,5434,2331,5009,2729,2380,4104,3552,8114,3582,2384,8429,8489,3591,2457,9136,3686,2639,6533,2443,4984,2609,8446,8070,3057,6235,8044
5,3573,6197,1109,5701,6412,1109,1109,3530,3022,4129,2539,4147,2913,2373,5530,2338,2317,2360,5469,8163,2387,3584,4934,4104,2603,2367,2547,3060,9905,2361,5471,3553,9927,9907,8329,3452,6582,9946,9946
6,3576,6154,1110,5604,2478,1110,1110,3519,3041,4147,1110,2308,3534,2380,3044,4803,4157,3043,1110,1110,2390,3095,2417,6131,8446,3598,2603,3062,3687,3045,3189,5474,4979,2639,8325,3471,2361,1110,1110
7,2612,5607,3083,5512,3428,2481,6469,3514,3081,3590,2491,4426,2905,4961,3561,3044,4966,6234,6289,3534,2395,3061,6620,6134,2601,3588,2443,3064,3620,3060,3311,5312,4107,2705,8213,2443,3519,6239,2538
8,3582,5533,6234,5302,3450,2498,2472,3490,2397,4426,2548,3590,2939,2015,3556,8040,8101,6672,5466,3555,2404,3059,3553,4103,8415,8462,8489,3094,3691,3062,3354,5306,2462,8446,8201,9940,6586,6168,6683
9,5536,5522,6233,4979,6411,6453,5484,4535,2390,3541,2485,4540,6572,4736,5489,2350,4947,3380,5484,2520,2412,2637,8053,2443,2614,3628,2609,3105,3605,3105,2498,2406,4977,2443,8107,3518,5490,6158,6452
10,3584,5478,3127,4944,2464,4126,5489,4721,2379,4540,2603,3555,2642,3523,3553,5306,3638,3450,8122,3041,2341,4933,3060,3706,2548,3645,2639,3169,3703,3367,6679,3557,6579,3041,8105,3519,3041,2380,6443
11,3611,5274,6213,4904,3483,2477,4120,3339,3317,2014,6561,4609,4148,2476,2340,3059,4942,3494,4107,3044,2441,4944,5388,6147,8155,8249,8287,3266,3598,3466,3367,9105,6238,3046,8054,2406,5483,6243,3599
12,3630,4960,2475,4426,3494,2476,5340,4803,3354,2603,2475,2603,4540,4414,5536,3041,1217,3530,1217,1217,2707,2412,4103,2614,2547,3583,3038,3311,3588,3504,3169,3561,3693,3061,8040,3545,3060,2381,4968
