,2013-03-29,2013-05-31,2013-08-30,2013-11-29,2014-03-31,2014-05-30,2014-08-29,2014-11-28,2015-03-31,2015-05-29,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-29,2019-05-31,2019-08-30,2019-11-29,2020-03-31,2020-05-29,2020-08-31,2020-11-30,2021-03-31,2021-05-31,2021-08-31
0,2633,2603,2353,2344,2823,2823,3532,4743,2492,1722,2002,1101,2353,3231,3231,2823,2633,2615,2303,5483,1402,4938,2002,4938,2823,1722,4938,2823,2303,2303,2633,2633,1402,1504,2324
1,6505,2344,2823,3481,3037,2633,2201,2823,2201,2633,3231,5483,2409,1101,2615,1102,2353,1102,2633,2633,2324,2823,2823,2823,1802,2610,1722,1722,1722,2105,2603,1301,5530,2356,3532
2,2610,3532,2344,2823,2409,2324,2823,8069,8046,5483,2498,2201,1101,1102,2002,3037,1102,2823,2201,1802,1802,1402,2615,2610,1722,2823,3673,3673,3552,3552,1326,1326,2633,2201,1504
3,8069,8069,2633,8069,5483,3481,2324,2492,2823,2618,2201,2498,3231,3037,3037,2615,3481,2353,2353,2303,2002,2301,4938,3552,2409,2201,2603,3552,2002,2618,3552,2609,2823,2823,2201
4,3532,2609,3532,2633,3532,2371,8046,8046,1326,2201,1326,2002,2498,2498,1102,2337,2610,3037,1102,2201,2633,2633,2301,3481,2610,3552,2610,2610,8046,3673,3673,3673,2354,1402,2823
5,2603,2610,8069,2353,2633,3037,3481,2353,6505,2823,5483,8046,8046,3481,4157,5483,4157,1802,3037,2353,2610,3673,3711,3037,2201,1802,3552,8046,3673,2002,2618,2371,1722,5530,2356
6,1802,2633,3481,3532,8069,2492,3673,2609,2603,1301,1102,1102,1102,2002,2498,4157,3037,4157,2823,2002,2823,1102,3673,2201,2615,3673,2201,2603,2610,2603,4743,6505,3673,2354,1402
7,2609,3481,2610,2610,2353,2353,2353,2371,3682,2609,2609,3037,2002,2409,2409,2498,1802,2371,1802,1102,2201,2002,2303,2615,3552,2303,2303,2303,2603,4147,4147,4743,6505,2633,5530
8,4743,5483,6446,6446,6239,8069,3037,2618,3673,8069,8046,2603,3037,8046,2337,2409,2498,2498,1722,2823,1102,2324,2201,1722,2303,2603,1802,2201,1802,2610,2610,1802,2409,2002,2354
9,2337,2492,2603,2409,2610,4157,2492,2603,8069,1326,8069,2633,3682,2337,1802,3673,5483,1722,2498,2371,2303,2201,1722,2303,3481,2409,3481,1802,6446,1802,1802,4147,3481,3673,2633
10,2492,4743,2492,5483,4157,1722,2609,6239,3037,3682,3037,2337,2337,1802,8046,1802,1722,2610,2610,1722,1722,2303,2603,3673,3673,3481,8046,2609,3176,3176,2002,2618,4147,1722,1722
11,5483,4157,4157,4157,2492,6239,6239,3037,2618,3673,2337,4743,4157,4157,3481,4743,2371,3673,2371,2610,2371,1722,3037,2603,2603,8046,2409,3481,4147,6446,6505,2610,2610,2610,3673
12,6446,1802,5483,2492,2371,2610,1722,3673,2371,3037,3673,2371,2603,4743,4743,2371,3673,5483,5483,3037,3037,3037,2371,3682,8046,3682,2609,2409,2609,2609,6446,3176,2371,4157,2610
13,4157,6446,2609,2603,1802,8046,4157,1802,2610,2371,2633,2609,4743,3682,2371,3481,4743,4743,2603,2498,2609,2609,3682,2371,3682,2609,3176,3176,3481,2371,2609,2002,2002,4147,2371
14,3481,2337,1802,2371,8046,2337,2610,2610,2609,2337,3682,4157,1802,2371,3682,8046,8046,2603,4743,2609,3682,2371,4147,4147,3176,2498,3682,4147,2498,3481,3176,2498,3176,2371,4147
15,8046,8046,2409,1802,2603,1802,2337,2337,2337,1802,1802,1802,2371,3176,4147,4147,4147,8046,8046,4743,4743,3682,2609,8046,4743,4743,4743,4743,2409,2498,2498,6446,2618,3176,3176
16,2371,2371,2371,2609,2337,2603,1802,4157,4157,6505,2371,3682,3176,4174,4174,4174,4174,4147,4147,3682,3176,3176,4743,3176,4147,3176,2498,3682,4743,2409,2201,2409,2498,4743,2618
17,4147,4147,8046,2337,6446,3176,2603,1722,1802,4157,4157,3176,4174,2603,3176,3682,3176,4174,3682,8046,8046,8046,8046,4743,2609,4147,6446,2498,3682,4743,3481,3481,4743,2498,2498
18,4174,2409,2337,8046,3176,2609,3176,3176,3176,3176,3176,4174,2609,4147,2603,3176,2603,3176,3176,4147,4147,4743,3176,2609,4157,4157,4157,6446,2371,3682,2409,2201,6446,2618,4743
19,2409,4174,4147,4147,2609,6446,4147,4147,4147,4147,4147,4147,4147,2609,2609,2603,3682,3682,6446,3176,2498,4147,4157,4174,4174,6446,4147,4157,2201,2201,3682,3682,3682,6446,6446
20,2408,2408,4174,4174,4174,4147,6446,4174,6446,4174,4174,3673,3673,3673,6446,6446,6446,6446,2609,6446,6446,4174,4174,4157,2371,4174,4174,4174,4157,4157,4174,4157,4157,4174,3682
21,,,2408,2408,4147,4174,4174,6446,4174,6446,6446,6446,6446,6446,3673,2609,2609,2609,4174,4174,4174,6446,6446,6446,6446,2371,2371,2371,4174,4174,4157,4174,4174,3682,4174
