,News,All,SVO
0,20190110_501,台股破底翻後 估農曆年前上演抄底出量紅包行情台股近期在美股及蘋果利空壓抑下一度跌破前低 9400 後，隨著美股強彈帶動，指數跌深反彈破底翻，雖然今 (10) 日漲勢暫時熄火，但量縮小跌，顯示打壓力道不大，已化解短線再探底壓力，不過，法人表示，由於第一季電子業淡季需求疲弱，選股難度很大，但去年底已超跌，可藉利空布局，採取長線方式，藉由台股基金布局搶紅包。法人表示，台股跨年以來展現破底翻，預期接下來包括蘋概股、跌深的矽晶圓與被動元件將走利空鈍化行情，但只是鈍化還未利空出盡，以蘋概股來說，銷售不佳的利空預期影響整個第 1 季，每到營收公布都會再凌遲一次；再接下來只要國際市場沒有意外干擾，農曆年前預期將上演大戶抄底出量拉抬的紅包行情。日盛日盛基金經理人張亞瑋表示，美中貿易戰仍有不確定性，惟今年 FED 升息反應在美國利率期貨上可能僅升息一碼，美國十年期及二年期公債殖利率倒掛的壓力減輕，美元走強的趨勢可能放緩，外資賣超台股的壓力或許能部分減輕。張亞瑋指出，景氣走弱疑慮加深使股市近期震盪，短線關注中美貿易協商結果及聯準會何時停止升息，若中美貿易協商順利或聯準會釋出升息暫緩，將有利股市短期反彈。而美國總統川普週二推文稱，美中貿易談判進展非常順利。根據報導，美中貿易談判分歧縮小，針對購買美國商品、服務與中國進一步開放市場等議題取得重大進展，中美貿易談判露曙光。對此，國泰加權正 2 ETF () 經理人蘇鼎宇指出，台股過去受中美貿易戰影響，自高點修正超過 20%，如今多項利空因素淡化、聯準會可能下修升息次數，美元走勢不再強勢，有利外資資金回流台股。至於操作建議上，張亞瑋指出，要選擇趨勢明確產業為今年操作主軸，電子方面可留意 ADAS、5G、車用功率元件等。其中，汽車動力與安全要求規格不斷提升下，汽車電子發展迅速，近年來更帶動各家車廠投入研發資源，不斷推出主被動安全規格和相關輔助系統，相關供應鏈值得期待。傳產部分則以台灣及美國內需概念、具備越南廠轉單效應、高現金殖利率個股可持續關注。,"[['強彈', '帶動', '指數'], ['力道', '化解', '短線'], ['力道', '化解', '壓力'], ['布局', '搶', '法人'], ['預期', '包括', '晶圓'], ['意外', '干擾', '農曆年'], ['預期', '上演', '行情'], ['戶', '抄底', '拉抬'], ['貿易戰', '有', '不確定性'], ['部分', '減輕', '張亞瑋'], ['短線', '關注', '結果'], ['總統', '文稱', '進展'], ['推', '文稱', '進展'], ['台股', '下修', '聯準會'], ['台股', '下修', '升息'], ['資金', '回流', '台股'], ['車廠', '投入', '資源'], ['個股', '持續', '關注']]"
0,20190110_502,〈中鋼展望〉去年營收突破4000億元創高 本季擴大提貨回饋衝刺出貨中鋼 () 今 (12) 日公告去年 12 月營收 332.49 億元，月減 3.7%、年增 7.4%，去年第 4 季營收 1042.19 億元，季增 1.4%，年增 15.5%，去年全年營收 4006.65 億元，年增 15.5%，首破 4000 億元創新高，不過本季來看，由於下游出貨力道依舊疲軟，恐影響營運表現，中鋼也擴大提貨回饋相關措施至 2 月，確保整體銷貨穩定。雖然中鋼去年 12 月出貨狀況較 11 月下滑，導致營收表現不如預期，但以第 4 季來看，在盤價走揚下，仍然創下單季新高，而去年盤價全年上漲，也推升營收首度突破 4000 億元，創下歷年新高。展望本季，中鋼指出，目前下游拉貨動能還是相對低迷，因此也較往年擴大提貨回饋的配套措施，目前看來將延續至 2 月，協助解決下游銷貨困境，也有利產品去化。法人預估，中鋼 1 月營收恐較上月再回落，而 2 月有農曆新年放假，工作天數減少，業績將來到低點，不過大陸寶鋼、武鋼 3 月盤價開出平高盤，顯現鋼市可望觸底反彈。,"[['表現', '不如', '預期'], ['恐', '回', '落'], ['天數', '減少', '業績'], ['平高盤', '顯現', '鋼市']]"
0,20190110_503,勝麗車用產品第一階段設備擴充 最快今年中完成 車用 CMOS 影像感測器元件 (CIS) 製造廠勝麗 () 公告 12 月合併營收，達 2 億元，較上月增加 25%、年增則持平，勝麗指出，目前正在現有場址進行車用產品線第一階段無塵室與機台設備擴充，最快今年年中完成，可望增加 4 成車用產能，另外同時也積極評估建廠購地，將用於下一波 ADAS 與自動駕駛相關需求。勝麗去年全年自結合併營收達 22.8 億元，較 2017 年 21.5 億元，成長約 6%。勝麗指出，12 月營收回穩，一掃過去 3 個月未達預期的陰霾，主要是因先前生產線保留進行客戶新產品製程測試，以及配合客戶庫存調節等，目前皆已告一段落，產線恢復應有稼動率。勝麗指出，12 月車用產品營收及出貨量皆已達預期，並超越單月整體營收及出貨量的 7 成。回顧去年下半年，儘管受美中貿易戰市場不確定波及，產能利用率未達預期，但主要客戶重申 ADAS 及自駕車將帶動車用半導體市場需求，並看好車用 CIS 感測器出貨未來成長性，中長期車用 CIS 元件訂單需求仍然暢旺。勝麗強調，目前正在現有廠址進行車用產品生產線第一階段無塵室與機台設備擴充，預計至今年中將陸續建置完成，屆時可望增加約 4 成的車用產品產能。此外，勝麗也說，覓地評估與購地建廠計畫仍積極執行中，將用於因應下一波汽車輔助駕駛及自動駕駛所帶來 CMOS 影像感測元件的龐大商機。,"[['營收', '達', '元'], ['月', '達', '預期'], ['波', '達', '預期'], ['利用率', '達', '預期']]"
0,20190110_504,和大年營收續寫新高紀錄 今年動能可望持續增溫汽車傳動系統製造廠和大 () 今 (10) 日公布去年 12 月合併營收，為 4.84 億元，月減 13.46%、年增 2.88%，創同期新高，全年合併營收 71.47 億元，年增 6.36%，再寫新高紀錄，法人樂觀看待，今年續創新高可期。和大說明，12 月營收較上月衰退，主要是因傳統燃油車精密零組件客戶受到中美貿易戰的疑慮影響，拉貨力道未如預期強勁。不過，由於電動車減速齒輪箱拉貨力道仍維持強勁，1 月起已恢正常拉貨。另一方面，電動車減速齒輪箱精密齒輪件需求也相當熱絡，和大樂觀預期，1 月合併營收將再回到上升軌道中。和大董事長沈國榮日前曾表示，儘管貿易戰不確定性高，但主要客戶特斯拉面對各大車廠的競爭且要拚獲利，預料其今年將持續積極拉貨，有利零組件廠出貨。法人認為，和大今年匯損壓力減緩，加上新廠投入生產出貨，營收規模仍有望續創高，不排除全年每股純益 (EPS) 上看 6 元新高。,"[['營收', '續寫', '紀錄'], ['製造廠', '公布', '營收'], ['年增', '寫', '紀錄'], ['樂觀', '看待', '可期'], ['營收', '看待', '可期'], ['疑慮', '影響', '力道'], ['力道', '維持', '月'], ['需求', '回到', '軌道'], ['營收', '回到', '軌道'], ['新廠', '投入', '規模']]"
0,20190110_505,蘋果供應鏈聯德控股去年下半年營收靚 逐季創新高蘋果供應鏈沖壓件廠聯德控股 - KY() 今 (10) 日盤前公布去年 12 月營收為 5.76 億元，月減 22.81%，年增 41.91%，第 4 季以 20.42 億元刷新單季歷史新高，年增率高達 64.52%。聯德控股去年第 4 季以 20.42 億元刷新第 3 季創下的 17.7 億元歷史新高，季增 15.34%，年增 64.52%，全年營收 60.58 億元，年增率 42.37%，也創歷史新高。聯德控股在手機零組件供應體系中，主要搭配蘋果金屬機構件廠產品為主，去年第 3 季稅後純益 1.32 億元，每股純益達 3.36 元，累計去年前 3 季稅後純益 1.99 億元，每股純益 5.04 元。聯德控股除手機金屬件沖壓製程外，2019 年將有新訂單加入，是今年營收成長另一主要動能，其他原本產品包含汽車、日本散熱客戶在伺服器接單成長帶動下，今年整體產品展望也佳，營收、獲利可望再向上攀。,"[['年增率', '高達', '去年'], ['季', '增', '年增'], ['產品', '為主', '稅'], ['達元', '累計', '稅'], ['產品', '展', '營收']]"
0,20190110_506,台灣主要報紙重要財經新聞 2019年1月10日世銀呼籲各國改變支出、投資和舉債模式，以因應經濟下行風險。國發會副主委鄭貞茂說，將以各部會政策工具擴大內需因應。據悉，包括電動機車購買補助、擴大減免一及二期大貨車汰舊換新貨物稅等。國發會去年 11 月啟動跨部會資料收集，今天會在行政院公布「因應 2019 年總體經濟變動政策規劃」的擴大內需方案。經濟部能源局長林全能昨天表示，新的能源配比方案預定春節前出爐，新配比的達標時程可能從二○二五年延後五年至二○三○年，並重新調整我國電力供給、需求面，做更嚴謹全盤的規畫。歐盟為反擊美國二三二鋼鋁關稅，將自下月二日起，對部分進口鋼品加徵二十五％關稅，為期三年。貿易局表示，日前已召集國內鋼鐵業者討論因應措施，目前歐盟給予台灣五十三萬噸「國家配額」，但仍有約三十五萬噸鋼品未納入，將協助業者爭取到期日前仍在運輸貨品可排除課稅等。核電廠延役 全面性盤點政院今公布拚內需方案吳敦義談一中各表 藍諸侯不同調中美貿易談判重大突破台股強勢站上月線 今攻季線黑暗將至 世銀看壞全球經濟成長新能源配比 擬延 5 年到 2030 年達標歐盟鋼品防衛 衝擊我出口夜班強制健檢 六行業試辦2030 全球經濟體大洗牌 老美被這兩國超車iPhone 賣不好 照樣加薪 2 成 加計股票 庫克爽領 42 億世銀警告：全球經濟風暴將至能源總體檢到 2030 年用電供需 決定核能用否陸美貿易戰持續 承攬巨擘從貨流發現大趨勢定額績效各半！華航年終平均 2.2 個月查中國鋼品雙反受阻 財部請業者「爆料」歐盟鋼鐵稅豁免 我仍有 35 萬噸未納入目標 3GW 屋頂型太陽光電 可望提早六年達標,"[['國', '改變', '投資'], ['擴大', '減免', '一'], ['汰舊', '換', '貨物稅'], ['方案', '預定', '春節'], ['配', '出爐', '時程'], ['業者', '討論', '措施'], ['歐盟', '給予', '配額'], ['業者', '爭取', '到期'], ['點政院', '公布', '方案'], ['經濟', '成長', '能源'], ['行業', '洗牌', '全球'], ['經濟體', '洗牌', '全球'], ['庫克爽', '領', '世銀'], ['核能', '持續', '巨擘']]"
0,20190110_507,【永豐期貨】台指選擇權盤前－貿易協商進展順利 台股強漲收復月線◆盤勢分析期貨走勢週三上漲 151 點至 9709 點。價差方面，逆價差擴至 - 29.31 點，電子期逆價差縮至 - 1.22 點，金融期轉為逆價差 - 2.89 點。現貨部分，三大法人買超 171.48 億元；而在淨部位方面，三大法人淨多單增加 10316 口至 21098 口，其中外資多單加碼且空單減碼，淨多單增加 9231 口至 44806 口；十大交易人中的特定法人全月份淨多單增加 10073 口至 18814 口。週二美股持續反彈收高，加上川普表示中美貿易協商有不錯的進展，激勵週三台股早盤開高，且隨著陸股盤中大漲，多方信心更加升溫，在買盤湧進下指數一舉突破 9600 與 9700 點關卡，中場過後指數呈現高檔強勢整理態勢直至收盤，終場上漲 174.71 點或 1.827%，收在 9738.31 點，成交量能 1262.55 億，較前一日增加 476.31 億。技術面觀察，週三日 K 開高走高以實體長紅棒收復月線，量能大增創一個月來最高，並收復 1 月 2 日的長黑 K，一舉宣洩近期委靡的漲兩天跌三天的氣氛，但基於近三日強漲約 350 點以上，加上位階到達下彎的季線附近，短線指數有拉回整理壓力，後續投資人可關注本週四的 Fed 會議紀錄，以及國際股市的最新動向。選擇權分析第二週選擇權已結算，接下來這週就是 1 月份合約的結算週，目前 OI 最大量的支撐壓力區仍維持在 9000~10000 點的大區間，不過全月份未平倉量 put/call ratio 值由 1.08 升至 1.21，大於中性值 1，反應籌碼面已轉為偏多架構。而買權平均隱含波動率由 16.41% 降至 15.81%，賣權平均隱含波動率由 22.12% 降至 17.73%，買賣權皆降，也顯示市場的恐慌情緒相對較低。   (永豐期貨研調)本投資研究報告由永豐期貨股份有限公司版權所有，未經授權，禁止轉載節錄。本資料內容僅供參考，客戶應審慎考量本身之需求與投資風險，本公司恕不負任何法律責任，亦不作任何保證。,"[['永豐期貨台', '指', '盤'], ['進展', '收復', '盤勢'], ['強漲', '收復', '盤勢'], ['金融期', '轉為', '逆價'], ['法人', '買', '元'], ['口', '至', '口'], ['指數', '突破', '態勢'], ['漲', '跌', '天'], ['指數', '有', '紀錄'], ['投資人', '有', '紀錄'], ['壓力區', '維持', '點'], ['壓力區', '維持', '區間'], ['籌碼面', '轉為', '架構'], ['版權', '禁止', '節錄'], ['公司', '負', '責任']]"
0,20190110_508,【新光證券】盤前分析◆盤勢分析美中貿易談判樂觀，國際油價上漲，激勵 9 日台股隨國際股市開高走高，類股百花齊放，其中以油電股上漲 5.7% 表現最佳，蘋概及被動元件股亦表現亮眼，令台股站上月線及 9700 點關卡，終場收在 9738.31 點，上漲 174.71 點或 1.83%，成交額 1287.71 億元。 OTC 指數收在 125.48 點，上漲 0.77 點或 0.62%，成交額 410.61 億元。雖然蘋果之後，三星也下修財測，蘋果傳通知供應商三款新 iPhone 減產一成，不過蘋概股反而利空出盡領軍上漲，刺激 9 日台股收長紅 K 棒，日量大幅成長 63%， 9 日 KD 值轉為交叉，技術面走向樂觀。籌碼方面，三大法人同步買超，其中外資期現貨偏多操作。著眼於美中貿易進展順利，目前技術及籌碼面出現曙光，有利台股守穩 9700 點支撐，若美股續強，台股有機會續攻季線，選股方面，可留意 5G 概念股波段操作。,"[['上漲', '激勵', '台股'], ['台股', '站上', '月線'], ['終場', '收', '上漲點'], ['指數', '收在點', '上漲點'], ['三星', '下修', '財測'], ['三星', '下修', '一成'], ['蘋果傳', '通知', '供應商'], ['蘋果傳', '通知', '減產'], ['利空', '出盡', '領軍'], ['蘋概股', '上漲', '刺激日'], ['操作', '著眼', '進展']]"
0,20190110_509,【大慶證券】盤前分析－聚焦大立光法說會 台股挑戰季線關卡◆盤勢分析FED 公佈最新會議紀錄再度釋放鴿派訊號，加上市場樂觀看待中美貿易談判的結果，美股四大指數昨日全數開高走高，連續第四個交易日收紅，但美國政府關門問題拖累指數漲幅，終場以指數上漲 2.5% 最為強勁，而  指數則僅上升 0.5%，由此可看出美股多方力道出現減緩跡象，但在日 KD 指標依舊交叉向上下，研判美股仍可延續波段反彈行情，但須留意後續壓回修正的可能。中美貿易談判持續釋放利多，談判進展順利並延長蹉商時間，市場態度明顯轉趨樂觀，帶動亞股昨日全面開高走高，台股以 9584 點開出後也同步展現多方氣勢，順利越過月線並站回 9700 點關卡，盤中最高來到 9741 點，挑戰季線反壓，終場以 9738 點作收，大幅上漲 174 點，成交量也放大至 1288 億元。技術面來看，台股昨日價量同增，並已確實形成島狀反轉型態，日 KD 指標交叉、MACD 柱狀體也由黑翻紅，短線只要月線關卡未跌破，都可延續反彈行情，有望重新站回季線，持續觀察法人與量能變化。權值股昨日扮演撐盤角色，股王大立光無畏營收衰退利空終場大漲 6%，台積電、鴻海也同步轉強，國泰金、富邦金、中信金等金融股也在買盤挹注下走揚，塑化的台塑化、台化、台塑等個股也無懼第四季季報獲利利空，隨油價強彈而成為盤面亮點，加上原先弱勢的蘋概股如可成、和碩、仁寶、GIS-KY 等同步點火，推升台股成功站回 9700 點大關。值得注意的是，大立光將於今日舉辦法說會，公司首季營運及其對手機市場的後續展望，將影響蘋概股後續走勢。此外，被動元件和矽晶圓類股上演跌深反彈，包含華新科、信昌電終場均大漲 7-8%，國巨、環球晶也有 2-3% 漲幅，但技術面均留下上影線，顯示在營運表現不佳下，仍建議保守以對。表現持續強勁，生技類股如金可 - KY、精華、泰博，以及紡織股如新纖、遠東新、寶成等延續多方氣勢，但原先強勢的 5G、PCB 概念股則稍作休息，散熱族群也由雙鴻、健策接力表態，顯示盤面上類股輪動快速，操作上要嚴守紀律，仍以具有基本面營運的 5G、生技、紡織、利基型 IC 等族群為主。,"[['分析', '公佈', '紀錄'], ['開高', '走高', '收紅'], ['力道', '出現', '跡象'], ['交叉', '延續', '行情'], ['談判', '釋放', '進展'], ['態度', '轉趨', '帶動'], ['開高', '走高', '台股'], ['季線', '反壓', '終場'], ['成交量', '放大', '技術面'], ['黑', '翻紅', '短線'], ['營收', '衰退', '股王'], ['終場', '大漲', '利空'], ['終場', '大漲', '鴻海'], ['大立光', '影響', '走勢'], ['展望', '影響', '走勢'], ['元件', '上演', '反彈'], ['類股', '上演', '反彈'], ['終場', '大漲', '環球晶'], ['金可', '延續', '氣勢'], ['雙鴻', '健策', '接力']]"
0,20190110_510,"【日盛投顧】盤前分析◆盤勢分析1. 受到美中貿易談判順利，聯準會 (Fed) 公布 12 月會議紀要重申對升息抱持耐心與彈性的消息激勵，週三美股上漲，漲幅介於 0.39 至 2.52％，美股四大指數短期反彈。2. 由以下三個面向檢驗方向及強弱：(1) 量能：回檔量縮或反彈成交量大於月均量方有利反彈延續。(2) 均線：支撐為 5 日線附近，壓力為季線至 2018 年 12/13 高點 9,871 點。(3) 技術指標：KD 開口向上，9 日 K 值大於 50，後勢有機會續漲。3. 以的線型及指標角度而言，支撐為月線附近，壓力為半年線附近，KD 技術指標開口向上，9 日 K 值大於 70，短線偏多。近期法人著墨較深的個股包括半導體、網通、PCB、散熱、生技等。4. 觀盤重點：觀察台股指數是否能守穩月線並站回季線之上，回檔是否量縮或上攻成交量大於 20 日均量，台股選股方向可留意網通、PCB、工業 4.0、IC 設計、內需、生技、越概、車用、自行車。5.6414 樺漢去年 12 月營收暴增，一口氣超過 90 億元大關、達 91.92 億元，月增 27%，年增 55.6%；去年第 4 季營收 231.2 億元，季增率 15.7%，年增率 52.8%，單季營收突破 200 億元，續創單季營收新高。樺漢短期壓力為半年線附近。6.2327 國巨 9 日公布去年 12 月營收月減逾一成，符合預期；全年營收攀上 771.65 億元，創新高，年增近 1.4 倍。由於 2018 年每股純益可望挑戰 85 元，市場對配息相當期待，預料可望躋身高殖利率概念股。被動元件今年獲利將較 2018 年下滑，國巨短期壓力為季線附近。7. 設備廠 2018 營運報喜，6196 帆宣、2467 志聖、3167 大量、5536 聖暉、6613 朋億及 8064 東捷六家上市櫃設備廠去年營收均創歷史新高。帆宣全年營收 244 億元，年增 20.8%，穩居設備業龍頭寶座。2019 年企業資本資出預期將較去年減少。8. 晶圓代工廠聯電（2303）、世界先進（5347）2018 年合併營收分別為 1,512.52、289.28 億元，雙雙繳出歷史新高表現。法人表示，2019 年上半年 8 吋晶圓代工產能依舊維持高檔，下半年將可望受惠於 5G、電源管理 IC 及車電需求旺盛，看好聯電、世界先進全年營收將可望續創新高。半導體產業景氣今年將面臨挑戰。","[['線型', '支撐', '壓力'], ['而言', '支撐', '壓力'], ['日值', '大於', '短線'], ['個股', '包括', '生技'], ['重點', '觀察', '指數'], ['車', '用', '樺漢'], ['一口氣', '超過', '元'], ['月減', '攀上', '元'], ['預期', '攀上', '元'], ['新高年', '增', '倍'], ['純益', '可望', '市場'], ['帆宣', '營收', '年']]"
