,News,All,SVO
0,20140919_2200,統一超「蘭嶼門市」開幕 網購店配、代收服務一次到位統一超蘭嶼門市。(圖：統一超提供)統一超()7-ELEVEN蘭嶼門市在當地民眾的期盼下，今(19)日正式於當地提供服務，這也是目前7-ELEVEN最東邊的門市，統一超表示，包括ibon、網購店配、代收等業務皆一次到位，讓在地民眾也能享有24小時快速、貼心的服務。統一超表示，開幕前1天，從加盟主、9位夥伴和超過20位的營業夥伴及廠商皆動員協助將4℃的光合三明治、涼麵、米飯便當、義大利麵等鮮食上貨、測試CITY CAFE機台及咖啡風味、ibon機台、多功能事務機等。統一超更特別於開幕前1天準備鮮奶與麵包分送給4所國小和1所幼兒園等近300位小朋友等享用，接下來也將連續3次每周送上麵包鮮奶，持續讓小朋友嚐鮮。7-ELEVEN 蘭嶼門市座落於蘭嶼島的椰油部落，坪數約48坪，並設置31個席次的座位區；在商品結構上，由於當地人多是外食，提供有燴飯、咖哩飯、丼飯、義大利麵、涼麵和配餐小菜等，皆可滿足正餐需求，另外還有門市人氣商品如各式米飯麵食速食、關東煮、CITY CAFE、牛奶、茶葉蛋、熱狗、大亨堡、熱食包子饅頭系列、麵包、7-SELECT冷凍食品等。由於民生用品採購不易，所以此門市增加如衛生紙、包裝米、食用油、醬油鹽醋等備貨量；每日必讀的報紙也採由台東空運的方式，讓在地居民能在第一時間掌握新聞動態。蘭嶼門市是7-ELEVEN離島的第52家門市，目前與本島交通多是船運和小飛機，物流配送難度高，因此不斷測試各種商品的配送，統一超表示，雖每年成本較一般門市多出110萬元，但為實現服務偏鄉的承諾，相關團隊仍全力以赴。同時，該門市設計也相當用心，期望結合更多在地的風情及元素，門市從內而外充滿達悟族的傳統圖騰，不論是門市外使用馬賽克彩磚拼貼而成的藝術牆，還是店內座位區桌面設計，分別繪製上獨特的波浪紋、人形紋、魚眼紋等；而室內牆壁掛上蘭嶼景致照，另一牆面上運用木工雕出立體的拼板舟，繪製上傳統達悟族圖騰，以及船身周圍還環繞數隻跳躍飛舞、栩栩如生的飛魚，讓民眾可以合影留念。,"[['7超ELEVEN蘭嶼門市', '提供', '服務'], ['這', '也是', 'ELEVEN門市'], ['-', 'ELEVEN', '東邊'], ['和', '超過', '20位'], ['統一', '超', '特別'], ['鮮奶', '送給', '享用'], ['7ELEVEN蘭嶼門市', '座落於', '椰油部落'], ['當地人', '是', '外食'], ['此門市', '增加', '等衛生紙備貨量'], ['必讀報紙', '採由', '臺東空運方式'], ['蘭嶼門市', '是', '第52家門市'], ['與交通', '是', '船運'], ['門市', '出', '110萬元'], ['門市', '充滿', '傳統圖騰'], ['外', '使用', '彩磚']]"
0,20140919_2201,永豐期貨台指選擇權盤後－三大變數退散  指數回歸基本面站穩9200◆盤勢分析期貨走勢週五上漲24點收在9265點。價差方面，正價差擴至24.55點，電子期正價差擴至1.28點，金融期正價差擴至3.30點，摩台期轉為正價差至0.54點。由籌碼面來觀察，三大法人於現貨市場持續賣超19.96億元；而在淨部位方面，三大法人空單加碼614口，淨空單升至8868口，其中外資空單加碼3097口，淨空單升至17714口，自營則是多單加碼2451口，淨多單升至7363口；另外十大交易人中的特定法人，全月份空單加碼1785，淨空單升至14135口，整體來看，法人與大額交易人對後市謹慎偏空預期仍未改變。行情走勢方面，在蘇格蘭獨立公投失敗，FOMC會議仍維持低利看法與國內食安問題告一段落下，台股回歸市場基本面，週五開盤太陽能族群表現亮眼，股王大立光持續擔任指數上攻的精神指標，周五高點突破9300關卡，但中場過後台積電與鴻海出現賣壓，最後一盤出現了百億的賣壓只將大盤壓至平盤。由技術面觀察，週五大盤開高走低收黑K結束連兩日的反彈走勢，指數挑戰10日線失利，但仍維持在五日線之上，操作上短線市場不確定因素解除，然此波反彈成交量能未能有效跟上為後續上攻隱憂，操作上維研持沿五日線偏多操作為宜並請嚴設停損。選擇權分析選擇權從成交量來觀察，10月份買權集中至9500點，賣權集中在9000點。未平倉量部份，買權大量區集中在9500-9600點，而賣權大量區則在8900-9000點。全月份未平倉量put/call ratio值由0.89升至0.92，仍小於中性值1反應選擇權籌碼面仍持續為偏空結構。10月買權平均隱含波動率由11.28%升至11.65%，賣權平均隱含波動率由12.46%降至11.36%，買權升賣權降，在日線台股空方格局仍具延續性下，操作上建議仍以賣權空頭價差策略因應。,"[['永豐期貨臺', '指', '退散  指數迴歸盤勢'], ['退散  指數', '迴歸', '盤勢'], ['摩臺期', '轉爲', '至0.54點'], ['淨空單', '升至', '14135口'], ['法人', '偏', '空'], ['謹慎', '偏', '空'], ['臺股', '迴歸', '市場基本面'], ['股王大立光', '擔任', '精神指標'], ['週五高點', '突破', '9300關卡'], ['大盤', '收', '反彈走勢'], ['指數', '挑戰', '10日線'], ['多操作', '爲', '宜'], ['10月份買權', '集中至', '9500點'], ['賣權集中', '在', '9000點'], ['大量區集中', '在', '9500'], ['大量區集中', '在', '9500'], ['大量區', '在', '9000點'], ['未平倉量', 'put/call', '未平倉量'], ['0.92', '小於', '1中性值反應'], ['選擇權籌碼面', '爲', '偏結構'], ['選擇權籌碼面爲偏結構', '偏', '空'], ['平均隱含波動率', '降至', '11.36%']]"
0,20140919_2202,乾景投顧盤後－多頭緩步攻堅  挑戰季線反壓◆盤勢分析美股四大指數周四(9/18)持續出現上攻力道，已連續三天創下新高紀錄，激勵亞股周五全面勁揚，台股早盤以跳空上漲31點開出，盤中並一度大漲52點，試圖挑戰9300點大關，可惜追價買盤力道不足，漲勢開始出現收斂，終場台股僅以小漲3點坐收，指數收在9240點，成交量為789億元。台股周五量能略有回升，可惜無法複製前二天連續拉尾盤的動作，終場漲勢大幅縮水，成為亞股一片反彈聲浪中較為落寞的一方，不過從盤面發展可發現幾個有利台股下周續攻的線索，首先是店頭市場呈現大漲走勢，且收盤收在當日最高點，中小型股人氣熱絡，投資人信心有逐步回籠的現象；其二是蘋概股中的大立光、可成等高價股表現亮眼，下周可留意買盤是否擴及其餘蘋概股；其三，整體上市櫃公司上漲家數超過下漲家數一倍以上，多方勢力占據上風。所以下周台股仍有機會出現緩步上攻的走勢，如果主管機關預言的成交量可望適時回溫，則多方下周就有能力挑戰季線的反壓，建議投資人不宜過分悲觀，應酌量布局持股，適時提升持股水位。簡福杉 分析師,"[['週四9/18', '出現', '上攻力道'], ['可惜', '追', '買盤'], ['漲勢', '開始', '出現收斂'], ['成交量', '爲', '789億元'], ['週五量', '略有', '回升'], ['連續', '拉', '尾盤'], ['店頭市場', '呈現', '大漲走勢'], ['收盤', '收', '股人氣熱絡'], ['投資人信心', '有', '回籠現象'], ['其二', '是', '大立光可成等高價股表現亮眼'], ['大立光可成等高價股', '表現', '亮眼'], ['買盤', '擴', '及其餘蘋概股'], ['上漲家數', '超過', '下漲家數'], ['多方勢力', '佔據', '上風']]"
0,20140919_2203,日盛投顧盤後－量縮整理，緩步推升◆盤勢分析1.週五亞洲盤普遍上揚，台股也以小高盤開出，但是在市場追價意願不足之下，成交量無法有效放大推升指數，雖然題材股走勢轉強，但可惜未能帶動市場人氣，終場指數僅小漲3.42點，以9240.45點作收，成交量僅791.65億元2.週五指數震盪小漲，而從週線來看，呈現量增收腳的止穩走勢，週K線並未跌破多方趨勢30週週線，未來若能站上9280點以上，則中線將從止穩走勢轉向多方攻擊。日線上台股目前進入收斂型態，但上檔季線反壓持續存在，加上季線將往高位階扣抵，因此台股當前在上升趨勢線以及半年線之上持續整理的可能性較大，短線上要能轉強，首要之務就是站回到10日均線9308點之上，而日KD低檔交叉，則有利於低檔支撐轉強。3.週五三大法人賣超台股19.96億元，其中外資賣超26.02億元，投信買超2.69億元，自營商買超3.37億元。開始走強，相關中小型以及業績題材股仍有表現空間1.電子類股守穩半年線，但仍為突破下降壓力線，大型股仍須努力，但題材股以及業績股近期走勢開始活潑，創造出可操作空間，其中仍以較熱門的包括車用電子6279胡連、3552同致等或是蘋概股2474可成、2439美律、6153嘉聯益等，物聯網的5272笙科、穿戴式3227原相與第三方支付帶動的電子商務相關股，隨著阿里巴巴將於19日掛牌股價開始轉強包括8044網家、2642宅配通、3664F-安瑞等，而機器人概念股1590F-亞德、2395研華；無線充電的4915致伸、6286立錡與6146耕興仍為市場焦點。2.非電族群則以運輸、車用零組件與生技表現較佳，2636台驊取得國際訂單，股價逼近前高，2608大榮受惠於阿里巴巴題材，股價轉強，2615萬海則因油價走跌加上貨櫃旺季，帶動股價持續走高，而車用零組件1338F-華廣、9951皇田、1536和大在汽車需求帶動之下，股價強勢。生技股在4114健喬與1789神隆藥證獲得斬獲之下，新藥族群除了1789神隆、4114健喬走高之外，4130健亞股價整理結束，拉出長紅轉強。3.金融股波動走勢相對強勢，但在短線上受制於量能不足，大型金控呈現震盪整理走勢，目前仍未脫離此一型態，指標股2882國泰金、2886兆豐金、2881富邦金、2887台新金等。4.近期持續走強，低檔年線成為有效支撐，而太陽能族群以及生技族群表現止穩，亦有利於推升類股指數，當前量能不足，對於7月初即以回檔的相對有利，操作上仍可留意業績型中小型股的表現。,"[['成交量', '放大', '推升指數'], ['題材股走勢', '轉', '強'], ['中線', '轉向', '多方攻擊'], ['日線上臺股', '進入', '收斂型態'], ['首要務', '就是', '站'], ['日KD交叉', '有利於', '轉'], ['三大法人', '賣', '19.96億元超臺股'], ['自營商買', '超', '3.37億元'], ['相關中小型', '有', '.電子類股守空間'], ['近期走勢', '開始', '活潑'], ['4915致伸', '爲', '市場焦點'], ['股價', '逼近', '前高'], ['2608大榮', '受惠於', '阿里巴巴題材'], ['走跌', '加上', '貨櫃旺季'], ['4114健喬', '獲得', '斬獲'], ['1789神隆藥證', '獲得', '斬獲'], ['新藥族羣', '整理', '4130健亞股價'], ['大型金控', '呈現', '震盪整理走勢'], ['年線', '成爲', '有效支撐']]"
0,20140919_2204,"顧德投顧盤後－震盪再上◆盤勢分析昨天說續彈，今日受國際庇應也真的續彈，不過連續多日提過淺水無大魚，量不夠大OTC領先集中，島內熱其實外資也有將焦點放在店頭市場，前幾天在集中市場小賣10億，卻在店頭市場買了近10億元。股市最怕無主流，無領頭，羊現在店頭市場離前高則是越來越近，主流昭然若揭－小而美，而集中市場則是餓了點，糧草補給不夠，需等主委送暖囉！雖然今日受美股創新高開高，但一早我也發訊息了，這個9300點以上的壓力不容忽視，市場對阿里巴巴、對蘋果、對蘇格蘭都已偏多解讀，但大人在觀望，也因為觀望的人多了，進場者不多，外資不亂賣，本土也沒啥賣壓，沒有搶短就不會有賣盤。在前天我提到開高開低都是彈時，已提過大盤會上上下下再，上所以在9300點前震盪難免，輪動向前行，就一個太陽能族群本週就大洗三溫暖，資金投入有限，故採輪動，昨日太陽能一大漲媒體與市場就熱烈討論能不能買？能不能呢？之前我說過DRAM產業有問題，華亞科就攻不上去，現在我們看一下九月中旬，昱晶3514觀音廠才舉辦『關廠說明會』，受制於美國新雙反關係所拖累，代表太陽能產業受影響甚大，到底該買還是…….真的不是很明確，今日太陽能又黑了，輪動盤面下守株待兔也是一種策略。持股依舊續抱，而周末假日不多說，祝大家週末愉快！親愛的投資朋友:是大戶做大戶用大戶思維必成為大戶程敦玉分析師 顧德證券投顧(102)金管投顧新字第012號以上資料僅供參考,投資時應審慎評估","[['股市', '怕', '無主流'], ['店頭市場', '離', '高'], ['主流', '昭然若揭', '小'], ['我', '發', '訊息'], ['本土', '亂賣', '外資'], ['我', '提到', '時'], ['開', '都是', '彈'], ['我', '說過', 'DRAM產業有問題'], ['我們', '看一下', '昱晶3514觀音廠舉辦關廠說明會'], ['昱晶3514觀音廠', '舉辦', '關廠說明會'], ['輪動', '也是', '一種策略'], ['大戶', '做', '大戶思維'], ['大戶', '做', '大戶思維'], ['大戶程敦玉分析師\xa0顧德證券', '投顧', '新字第012號'], ['大戶程敦玉分析師\xa0顧德證券', '投顧', '新字第012號']]"
0,20140919_2205,台股盤後─「3變數」退散？卻見百億大量殺尾！9250沒過蘇格蘭獨立公投獨派失敗，歐美股市提前反應民調，多頭攻勢再起，亞股也多順勢上攻，金管會主委曾銘宗所說的台股「3變數」--美國FOMC會議、蘇格蘭獨立公投，以及餿水油食安疑慮，逐步退散，台股早盤順利開高，蘋果概念股隨iPhone 6正式開賣，引來搶購潮，大立光、玉晶光、可成等續強，生技類股也由神隆帶隊展開反攻，大盤一度試圖反攻10日線。但成交量縮，後半場金融、電子權值股略見調節賣壓，最後一盤更是爆出115億元大量，摜壓13點，讓鴻海翻黑、金融股也壓回平盤，收盤時上漲3.43點，以9240.45點作收，成交值放大至789.31億元。電子今天表現略見「虎頭蛇尾」，雖然太陽能族群續強，玉晶光、原相等中小型股各擁題材，續攻漲停，但權值股中，僅由股王大立光、可成、和碩扮演穩盤角色，其餘表現平平，台積電尾盤遭摜壓至平盤，鴻海翻黑，聯發科、宏達電仁寶都以今天最低點作收，仁寶跌幅更達3%，讓電子漲幅明顯壓縮，收盤時僅上漲0.1%，占大盤成交比重72%。金融權值股今天表現也不理想，早盤台股衝高過程中，金融即相對弱勢，尾盤只剩下華南金、富邦金、國泰金、永豐金力守紅盤，其餘都翻黑，金融指數也因尾盤急回，僅小漲0.02點，幾近平盤作收，占大盤成交比重7.1%。傳產族群部分，今天生技一枝獨秀，漲幅達2.27%，其餘都呈現小紅小黑，紡織、化工、造紙、汽車、觀光力守小紅。台股多頭今天並未好好把握強勢反攻機會。早盤大盤開高，指數一度衝過10日線，雖然因量能不足，在10日線附近震盪，但尾盤出現百億元大量，並摜壓指數13點「殺尾」，讓台股未能收上9250點。而9250點也是最近外資瑞銀對台股「開槍」，認為台股下半年的「高點」位置。所幸以台股周線來看，仍上漲17.27點，呈現紅十字線。台股雖然殺尾，不過也因而補量，讓成交量終於達到5日均量水準，金管會主委點出的台股「3變數」，本周卻已逐步退散，因此下周首要觀察重點，在於多頭與成交量能是否陸續歸隊。短線上，台股下檔仍以半年線為主要防守區，如能增量，多空交戰位置將可觀察季線，大盤也可轉為季線至半年線間區間盤整。,"[['9250', '沒過', '獨派失敗'], ['大盤', '試圖', '反攻10日線'], ['後半場金融電子權值股', '略見', '調節賣壓'], ['調節', '賣', '壓'], ['成交值', '放大至', '789.31億元'], ['今天表現略', '見', '虎頭蛇尾'], ['相等玉晶光中小型股', '擁', '題材'], ['宏達電仁寶', '壓至', '平盤'], ['仁寶跌幅', '更達', '3%'], ['金融', '即', '相對弱勢'], ['尾盤', '剩下', '華南金'], ['小', '漲', '0.02點'], ['漲幅', '達', '2.27%'], ['其餘', '呈現', '小黑小紅'], ['紡織', '力守', '小紅'], ['大盤', '開', '高'], ['尾盤', '出現', '百億元大量'], ['9250點', '也是', '外資瑞銀開槍'], ['觀察重點', '在於', '多頭歸隊'], ['交戰位置', '觀察', '季線'], ['大盤', '轉爲', '區間盤整']]"
0,20140919_2206,喬山商用市場旺+ Q4搬遷補償入帳 今年獲利挑戰1個股本！健身器材廠喬山()搶攻市場再傳捷報，包括飯店、連鎖健身房等客戶訂單升溫，法人預估喬山今年商用比重將再攀高至7成，由於商用產品毛利率高達55%，喬山本業獲利成長可期。同時喬山上海廠搬遷補償費4600萬美元，預定第4季即可入帳，光是這部分估算每股盈餘貢獻即可達4.5元，法人預估喬山今年獲利將有挑戰1個股本的機會。喬山產品包括划船機、電動跑步機、重量訓練機及零組件等，由於商用市場毛利率較高，喬山積極朝向商用市場佈局，去年起商用部分產品業績占比衝上6成，今年預估將再攀高至7成，而商用產品部分的毛利率為55%，但家用市場產品毛利率僅4成，法人指出，喬山隨商用比重拉升，今年整體毛利率將有機會站上5成，獲利能力也隨之攀升。喬山今年喬山今年上半年轉虧為盈，每股稅後盈餘1.46元，上半年合併毛利率為46.37%，為2013年以來最高毛利水準，如今年下半年毛利率突破5成，搭配第3季業績進入旺季，年增率上看35%，喬山今年在本業部分，全年營收將上看170億元，每股盈餘仍有挑戰5元機會。喬山除了本業獲利下半年可望較上半年成長1倍，在業外部分，上海廠拆遷補償也終於敲定，4600萬美元補償費將可於第4季入帳，讓喬山今年獲利大進補！,"[['攻市場傳捷報', '包括', '客戶訂單升溫'], ['法人', '預估', '今年商用攀高'], ['今年商用', '攀高至', '7成'], ['商用產品毛利率', '高達', '55%'], ['這部分', '估算', '每股盈餘貢獻達4.5元'], ['每股盈餘貢獻', '達', '4.5元'], ['喬山產品', '包括', '等划船機'], ['喬山', '朝向', '佈局'], ['部分產品業績', '佔', '比衝'], ['商用產品部分毛利率', '爲', '55%'], ['法人', '指出', '獲利能力攀升'], ['整體毛利率', '站', '有機會'], ['上半年合併毛利率', '爲', '46.37%'], ['第3季業績', '進入', '旺季'], ['每股盈餘', '有', '挑戰機會']]"
0,20140919_2207,外資看淡PC 華碩：明年手機、筆電展望都正面 時間會證明外資巴克萊證券首席分析師楊應超出具報告，對PC產業看法偏向保守，認為今年XP停用帶動的換機潮將到尾聲，明年市場缺乏成長動能，另外通路庫存水位也偏高，其中更調降華碩()與仁寶()的評等，對此華碩指出，分析師看法是否客觀，投資人可自行判斷，華碩目前通路庫存水位正常，對明年營運展望正面看待，預期可優於今年，時間會檢驗結果，其中包含筆電、手機出貨都可較今年成長，且東芝退出消費性筆電，更有利華碩提升市占率。楊應超出具報告指出，今年微軟停用XP系統，帶動市場換機潮，不過換機潮在今年將告一段落，明年PC市場恐缺少新成長動能，另外通路庫存水位也偏高，對PC產業看法保守，並調降華碩與仁寶的評等。華碩對此回應指出，分析師看法是否客觀，需由投資人判斷，華碩不便評論，華碩目前通路庫存水位正常，對明年展望也正面，其中手機出貨將較今年倍增，獲利也可持續成長。筆電方面，今日外電指出，東芝將淡出消費性機種產品市場，專注在企業用戶上，華碩認為，此舉對華碩出貨也是正面因素，有助提升市佔率，對明年業績展望看法正面，並強調時間會檢驗結果。華碩今日股價受外資報告影響，盤中跌幅一度達2%以上，回測300元支撐價位，表現相對族群弱勢；仁寶股價更是重摔近3%。,"[['外資', '看淡', 'PC'], ['時間', '證明', '首席分析師楊應超出具報告'], ['首席分析師楊應超', '出具', '報告'], ['XP', '停用', '換機潮'], ['市場', '缺乏', '成長動能'], ['投資人', '判斷', '正常'], ['時間', '檢驗', '結果'], ['東芝', '退出', '消費性筆電'], ['華碩', '提升', '市'], ['楊應超', '出具', '報告'], ['微軟', '停用', 'XP系統'], ['換機潮', '在', '今年將告一段落'], ['客觀', '需', '判斷'], ['外電', '指出', '東芝淡出產品市場'], ['東芝', '淡出', '產品市場'], ['華碩', '認爲', '對也是正面因素'], ['對', '也是', '正面因素'], ['時間', '檢驗', '結果'], ['盤中跌幅', '達', '2%以上']]"
0,20140919_2208,玉晶光迎市場旺季 股價以量滾量站穩百元價位光學元件廠玉晶光電()8月營收創2014年新高，單月營收突破10億元達10.38億元，顯示玉晶光公司的接單量明顯增長，在市場進入旺季同時，玉晶光的營收可望進一步的向第4季延伸，而其股價也以量滾量在今天成交超過5600張，並站穩100元以上的價位。玉晶光今天盤中最高價並達105.5元，同時，也站上所有的均線。玉晶光的2014年8月營收達10.38億元，寫下今年來單月新高記錄，分別較上月成長10.19%，並較去年同月成長10.64%，2014年的1-8月營收60.73億元，年增率為1.54%。美商蘋果公司在9月9日推出的iPhone 6新產品，在首日市場的預購數量超過400萬支，創下蘋果產品銷售以來的歷史新紀錄，雖然大立光()的業績拉升並已連5個月創新高，但玉晶光的合併營收連續2個月走高，也顯示玉晶光從蘋果分配的訂單量有增加，這也給市場有高度的期待。玉晶光的2014年上半年財報營收40.98億元，毛利率2.75%，本業虧損擴大，營業淨損由4.08億元擴大為6.97億元，稅後淨損6.51億元，以目前股本計算，每股稅後淨損6.52元。,"[['玉晶光', '迎', '8月營收創新高'], ['8月營', '收創', '新高'], ['單月營收', '突破', '10.38億元達'], ['市場', '進入', '旺季'], ['市場', '進入', '旺季'], ['量滾量成交', '超過', '5600張'], ['盤中最高價', '達', '105.5元'], ['收', '達', '10.38億元'], ['年增率', '爲', '1.54%'], ['在預購數量', '超過', '400萬支'], ['這', '有', '高度期待'], ['營業淨損', '由', '4.08億元擴大']]"
0,20140919_2209,《股市》13:45台期指10 報9265.00點，漲24.00點或0.26%《股市》13:45台期指10 報9265.00點，漲24.00點或0.26%。免責聲明：本文所載資料僅供參考，並不構成投資建議，鉅亨網對該資料或使用該資料所導致的結果概不承擔任何責任。該資訊若與事實不符，應以商品原交易所之公佈為主。,"[['45臺', '期指', '報9265.00點漲24.00點'], ['報9265.00點', '漲', '24.00點'], ['45臺', '期指', '報9265.00點'], ['導致結果', '承擔', '任何責任']]"
