,News,All,SVO
0,20150817_2500,◆外資連續5日賣超個股外資連續5日賣超個股1.外資連續賣超5日的股票(2891)中信金、 (2317)鴻海  、 (0050)台灣50、 (2890)永豐金、 (2303)聯電2.外資連續賣超4日的股票(2891)中信金、 (2317)鴻海  、 (0050)台灣50、 (3481)群創  、 (2409)友達3.外資連續賣超3日的股票(2891)中信金、 (2317)鴻海  、 (3481)群創  、 (0050)台灣50、 (2881)富邦金4.外資連續賣超2日的股票(2891)中信金、 (2317)鴻海  、 (2882)國泰金、 (0050)台灣50、 (2881)富邦金5.外資當日(14)賣超的股票(2409)友達  、 (2303)聯電  、 (2317)鴻海  、 (3481)群創  、 (2887)台新金,"[['外資', '賣', '個股外資'], ['連續', '賣', '外資']]"
0,20150817_2501,◆投信連續3日買超個股投信連續3日買超個股1.投信連續買超3日的股票(9904)寶成  、 (1216)統一  、 (1402)遠東新、 (2890)永豐金、 (2303)聯電2.投信連續買超2日的股票(9904)寶成  、 (2354)鴻準  、 (1402)遠東新、 (2303)聯電  、 (2108)南帝3.投信當日(14)買超的股票(9904)寶成  、 (2618)長榮航、 (1216)統一  、 (1402)遠東新、 (2355)敬鵬,[]
0,20150817_2502,◆投信連續3日賣超個股投信連續3日賣超個股1.投信連續賣超3日的股票(006205)FB上証、 (3706)神達  、 (00639)深100 、 (2823)中壽  、 (2883)開發金2.投信連續賣超2日的股票(00639)深100 、 (006205)FB上証、 (2823)中壽  、 (2883)開發金、 (3231)緯創3.投信當日(14)賣超的股票(2610)華航  、 (3231)緯創  、 (00639)深100 、 (2330)台積電、 (2615)萬海,[]
0,20150817_2503,【鉅亨-盤前掃瞄】基本面1.14日交易日以32.368元兌1美元作收，收盤貶 0.20分， 成交值為 7.39億美元。2.集中市場14日外資賣超 22.5億元，投信買超 2.9億元，自營商買超  0.4億元。3.集中市場14日融資餘額較前1日減少 2.51億元，成為1528.94億元，融券餘額較前1日增加 9907張，成為493236張。,"[['1.14日交易日', '兌', '1美元'], ['成交值', '爲', '7.39億美元'], ['融資餘額', '減少', '2.51億元']]"
0,20150817_2504,【鉅亨-盤前掃瞄】技術面1.5日均線8352.35點，10日均線8423.11點，20日均線8585.47點。2.6日RSI為 21.19，12日RSI為29.54。3.9日K值為17.69，9日D值為17.70。4.20日乖離率為 -3.26。,"[['RSI', '爲', '21.19'], ['RSI', '爲', '29.54'], ['K值', '爲', '17.69'], ['D值', '爲', '17.70'], ['4.20日乖離率', '爲', '3.26']]"
0,20150816_2505,台開花蓮「洄瀾灣樂活市」休閒宅將以邊建邊售推案台開董事長邱復生指出，花蓮「洄瀾灣樂活市」休閒住宅，將以「邀約銷售」推出。(鉅亨網記者張欽發攝)台開() 積極進行台灣休閒產業開發案，預估其總銷達到150億元花蓮「洄瀾灣樂活市」的休閒住宅案預計在中秋即之後推出，同時，其在建築基地上打造的「日出會館」樣品屋接近完工，大面積玻璃帷幕經過這次蘇迪勒颱風15級以上強風實際的實際考驗。而台開的地產開發進度上，握有龐大土地資源在手的台開積極進行其休閒產業開發案，其在花蓮進行的開發休閒住宅將在今年中秋節推案，並採取低總價的規劃，預計台開的花蓮「洄瀾灣樂活市」總銷並將達到150億元；台開董事長邱復生指出，「洄瀾灣樂活市」休閒住宅工期約2年8個月，將並將採取「邀約銷售」方式邊建邊售，指向兩岸、東南亞、甚至美國的的重要目標客群；也看好2018年蘇花公路拓寬完成之後的東部休閒市場需求。台開投資開發的花蓮「洄瀾灣樂活市」的休閒住宅群已在日前動工，邱復生指出，不含土地取得成本，台開的花蓮「洄瀾灣樂活市」至今已投入4-5億元的規劃及設計費用，預計規劃約600個單位，並將提供物業出租管理的服務。 台開花蓮「洄瀾灣樂活市」日出會館樣品屋近完工。(鉅亨網記者張欽發攝)由台開在花蓮投資開發的「金獅影城」已興建至地上4樓，未來完成之後也將提供在當地的商業、娛樂的機能；另外台開更將在花蓮投資擁有750個客房的飯店。台開在花蓮「洄瀾灣樂活市」的休閒住宅預計將在中秋節後推出，總銷並將達到150億元，這也是台開在近年來少見的住宅新建案推案。台開過去7年累積土地資產，可開發容積達40.7萬坪；另有BOT案地上權土地達2.6萬坪，可開發容積6.9萬坪，具開發資產價值。台開集團已和喜達屋集團簽約，未來台開在新竹艾美、金門喜來登與雅樂軒，加上花蓮的2家度假飯店，總計約2000間客房。,"[['其總銷', '達到', '洄瀾灣樂活市花蓮'], ['其總銷', '達到', '洄瀾灣樂活市花蓮'], ['玻璃帷幕', '經過', '實際考驗'], ['洄瀾灣樂活市總銷', '達到', '150億元'], ['臺開董事長邱復生', '指出', '採取銷售方式'], ['邱復生', '指出', '洄瀾灣樂活市投入4-5億元規劃費用'], ['洄瀾灣樂活市', '投入', '4-5億元規劃費用'], ['臺開', '擁有', '750個客房'], ['花蓮投資', '擁有', '750個客房'], ['總銷', '達到', '150億元'], ['這', '也是', '住宅新建案推案'], ['開發容積', '達', '40.7萬坪'], ['地上權土地', '達', '2.6萬坪'], ['具開發價值', '開發', '資產']]"
0,20150816_2506,9家業者上半年賺逾1股本！三圓、楠梓電業外挹注 獲利狂飆第2季財報陸已公布完畢，股王大立光()依舊蟬聯每股獲利王寶座，上半年每股稅後盈餘(EPS)達68.82元，可說是平均1個月賺逾1股本；上半年已賺超過1股本的上市櫃業者共有9家，其中，三圓()和楠梓電()仍非百元俱樂部成員。除了大立光表現依舊令市場驚艷，三圓排行每股獲利王亞軍，上半年EPS衝上16.33元，大幅優於去年全年每股賺8.75元，而漢微科(3658-TW)緊追在後達15.86元。其次分別有楠梓電上半年EPS 14.57元、可成()12.85元，碩禾()12.49元、精華()11.4元，華碩()11.23元，和泰車()10.04元，顯示除了蘋果供應鍊外，搭上車市銷售熱潮的車市龍頭和泰車，以及衝破NB低迷市況的華碩，仍具其獨有的優異獲利能力。三圓第2季單季EPS 15.42元，主因為處分桃園觀音舊廠約9億元，4月開始入帳，三圓表示，第2季起至年底將無營建個案可供入帳，後續以北市不動產出租和新巨蛋租金收入為主，本周股價微跌0.61%。而楠梓電在處分轉投資大陸江蘇昆山滬士電子股權挹注後，第2季單季稅後淨利42.8億元、EPS 13.49元，改寫上市櫃印刷電路板產業鏈單季紀錄。除業外挹注，楠梓電表示，第3季傳統旺季PCB本業持續樂觀，轉投資滬電本季也在小虧小賺局面。另外，值得留意的是，股后漢微科本周在外資轉賣為買帶動下，股價強勁反彈，周五攻上漲停價1335元，儘管漢微科因受半導體產業景氣趨緩，美系客戶訂單遞延影響，預期第3季業績恐將季減30-40%水準，但利空出盡後反而吸引買盤逢低承接。,"[['家業者', '賺', '逾1股本'], ['股王大立光', '蟬聯', '王寶座'], ['EPS', '達', '68.82元'], ['已', '賺', '超過1股本'], ['上市櫃業者', '共有', '9家'], ['三圓', '排行', '獲利王亞軍'], ['EPS', '衝', '16.33元'], ['大幅', '優於', '每股賺8.75元'], ['每股', '賺', '8.75元'], ['3658TW', '緊追', '達15.86元'], ['，', '搭', '銷售熱潮'], ['以及', '衝破', '低迷市況'], ['車市龍頭', '仍具', '獲利能力'], ['三圓', '表示', '營建'], ['本週股價', '跌', '0.61%'], ['楠梓電', '轉投資', '電子股權挹注'], ['楠梓電錶', '示', '樂觀'], ['，', '值得', '留意'], ['值得留意的', '是', '漢微科轉賣外資'], ['漢微科', '轉賣', '外資'], ['漢微科因', '受', '半導體產業景氣趨緩'], ['將季', '減', '40%水準']]"
0,20150816_2507,頂級Villa進駐竹東！圓方「GHM神去村度假酒店」5年後營運圓方創新董事長蘇明仁。(鉅亨網記者王莞甯攝)圓方創新(5395-TW)積極進行多角化經營，除了目前的主力業務汽車租賃外，旗下近年大型投資案「GHM神去村度假酒店」，將於明(2016)年第1季進入設計規畫，預計2019年完工，最快2020年第1季試營運。圓方董事長蘇明仁表示， GHM是國際精品酒店規畫、發展和營運管理的知名集團，旗下掌控The Chedi Club(豪華渡假村，配有專屬私人管家)、The Chedi Hotel(超越五星級標準的精品渡假酒店，鎖定渡假與商務客層)、The Serai Hotel(高級酒店)等3大品牌，屆時將在「GHM神去村度假酒店」一併開出，價各規畫有25、92和200間客房，頂級Villa一晚房價上看6萬元。「GHM神去村渡假酒店」地處雪霸公園風景線上，沿途旅遊景點多，並鄰近新竹科學工業園區，距離桃園機場、台北也都在「一小時生活圈」內。蘇明仁認為，待「GHM神去村渡假酒店」開業後，對於國際飯店品牌來台又是一個新的里程碑。圓方第2季稅後淨利25.3萬元，較去年同期轉虧為盈，每股稅後盈餘(EPS)0.01元；累計上半年稅後淨利880.9萬元，在扣除一次性處分土地利益挹注後，本業已轉虧為盈，EPS 0.17元。蘇明仁指出，受惠租賃事業的穩定挹注，本業已連2季呈現獲利，且逐季成長，顯示轉型成效佳。展望下半年，租賃業務已擴大產品線至非汽車租賃市場，包括建材和機器設備等融資服務，可望推升業績持續走揚。,"[['頂級', 'Villa', '進駐竹東'], ['TW5395', '進行', '多角化經營'], ['圓方董事長蘇明仁', '表示', 'GHM是知名集團'], ['GHM', '是', '知名集團'], ['The', '超越', '五星級標準'], ['(', '超越', '五星級標準'], ['價各規畫', '有', '200間客房'], ['蘇明仁', '認爲', '是新里程碑'], ['蘇明仁', '指出', '本業呈現獲利'], ['本業', '呈現', '獲利'], ['租賃業務', '擴大', '至非汽車租賃市場']]"
0,20150816_2508,Note 5在台上市 遠傳大搶客白金會員提早3天限量申辦三星Note 5在台上市。(圖：三星提供)三星旗艦新機Galaxy Note 5在台全球首發上市，三創三星智慧館將推限量200組「全球首發尊爵版」，同時請來代言人蔡依林站台造勢，各電信通路則是預計在8月19日開賣，遠傳()大動作搶客，除立即展開預約登記之外，更開放會員提早3天搶先申辦新機，在8月16日限量現貨供應，同時享有手機最高再折3000優惠，還可獲價值上千元的獨家限量申辦好禮。Galaxy Note 5搶先全球正式在台上市，今日正式開賣，Note 5共有3種顏色，32G琉光金、星燦白先在全台三星智慧館開賣，中華電()、遠傳()、台灣大()等電信通路在8月19日開賣，32G鈦灰銀預計10月中旬開賣；64G琉光金、星燦白預計8月下旬開賣；32G空機價23880元，64G空機價26480元。台灣三星今日在三創三星智慧館舉辦首發體驗，請來代言人蔡依林站台助陣，且將推出GALAXY Note 5「全球首發尊爵版」限量200組，包括手機、「薄型透明背蓋」一個，市價890元、「原廠無線閃充充電板」一個市價2190元，另有SAMSUNG曲面LED TV(55型)抽獎機會，將抽出一名；前20名排隊購買Note 5，加贈蔡依林簽名版「全球首發尊爵版書籤」，且可與蔡依林貼身合照。雖然電信通路8月19日才開賣，遠傳則是率先大動作搶客，即日起在全台遠傳門市及遠傳網路門市開放Note 5預約登記，完成預約登記的消費者將可優先取貨及享有新機優惠活動，另外，8月16日下午2點到8點更在台北館前門市提供Note 5限量現貨，開放會員搶先申辦新機，現場續約可以直接把手機帶回家。遠傳在全台直營門市將提供Note 5實機供消費者體驗，搶先試用S Pen「隨手memo」與「捲動截圖」的厲害功能，即日起登記申辦可獲得新機到貨第一手消息並享優先取貨；在資費部分，月付1399元綁約30個月，手機8990元，綁約24個月手機則是10990元；月付2699元綁約30個月手機0元，24個月手機1990元。遠傳指出，Note 5進階的S Pen技術，擁有抽筆就寫的絕佳書寫與偵測能力，全新「捲動截圖」功能，創意相機功能內建「直播視訊」，透過YouTube Live即時直播分享現場精采時況，「短片拼貼」功能可隨心所欲施展創意；前後鏡頭都搭載F1.9大光圈，後鏡頭具備OIS光學防手震；搭載「無線閃充」並支援更高效的「閃電快充」。,"[['白金會員', '申辦', '5Note'], ['三星', '提供', '上市'], ['立即', '展開', '登記'], ['會員', '申辦', '新機'], [' 5', '共有', '3種顏色'], ['32G鈦灰銀', '預計', '開賣'], ['臺灣三星', '舉辦', '首發體驗'], ['加', '贈', '蔡依林'], ['傳', '是', '搶客'], ['遠傳', '提供', '供消費者體驗'], ['5實機', '供', '消費者'], ['日起登記申辦', '可獲得', '第一手消息'], ['月付2699元', '綁', '0元手機'], ['遠傳', '指出', 'S Pen技術擁有絕佳書寫能力'], ['S Pen技術', '擁有', '絕佳書寫能力'], ['短片拼貼功能', '施展', '創意'], ['前後鏡頭', '搭載', 'F1.9大光圈'], ['後鏡頭', '具備', '光學防手震']]"
0,20150816_2509,興櫃半年報賺逾半股本僅4家 正瀚拿下每股獲利王興櫃半年報公布完畢，由植物保護劑廠正瀚()以每股盈餘7.32元來下每股獲利王，其次為精測()的5.59元，賺超過半個股本僅有4家，創下歷年來新低紀錄。根據統計，興櫃過去上半年賺超過半個股本以上，平均都有6家以上，今年卻僅僅4家，創下歷年新低紀錄券商表示，這代表顯示國內景氣正在明顯下滑。正瀚專精領域跨足研究、開發、生產及銷售獨家植物生長調節劑及專業微量元素肥料，可以提升植物內部自有的植物生長素和細胞分裂素的含量，提升作物的產量、品質和保存期，其中肥料佔營收59.06%，植物生長調節劑為38.17%。目前每年超過4百萬英畝的土地施用，多用於美國各地種植多種作物。正瀚2014年1.91億元，毛利率81.87%，稅後淨利1.04億元，每股盈餘20.68元，今年上半年營收3.97億元，稅後淨利2.19億元，每股盈餘7.32元，法人估計今年每股盈餘將上看15元。中華電旗下半導體測試介面服務廠中華精測，提供晶圓測試板、IC 測試板，國內與海外知名的 IC 設計、晶圓代工與封裝測試都是公司客戶，提供40-60層測試板，另外「薄膜多層有機載板」，結合PCB與半導體製程技術的新產品，目前國際半導體大廠均採用精測的薄膜多層有機載板的解決方案，成為精測新成長動能。精測上半年營收為7.37億元，稅後淨利1.56億元，每股盈餘5.59元。至於興櫃賺超過半個股本有億豐()的5元及錢櫃()的5.54元。,"[['半個股本', '僅有', '4家'], ['正瀚領域', '研究', '獨家植物生長調節劑'], ['肥料', '提升', '植物生長素含量'], ['植物生長調節劑', '爲', '38.17%'], ['每年', '超過', '4百萬英畝'], ['法人', '估計', '看'], ['知名IC設計', '都是', '公司客戶'], ['半導體大廠', '採用', '有機載板解決方案'], ['營收', '爲', '7.37億元'], ['半個股本', '有', ')5元'], ['半個股本', '有', ')5元']]"
