,Unnamed: 0,date,title,content
0,0,2013/01/15,期交所訂3大目標 拚期貨商品與國外交易所相互掛牌,台灣期交所董事長范志強今(15)日表示，今(2013)年期交所訂出3大努力目標，其中，為利於在變化快速的國際衍生性商品市場中競爭，期交所將積極展開國際交流，力拚期貨商品與國外交易所互相掛牌，而非一般僅止於簽訂備忘錄(MOU)。期交所今天舉行年終記者會，除了去年期交所獲利繳出每股稅後盈餘(EPS)達6.78元居證券周邊單位之冠的成績外，展望今年，更訂出一、全面提升風控及監理能力；二、持續推出新商品或調整制度；三、推動國際合作等3大目標。范志強表示，有鑑於近年來國外金融市場震盪加劇，期交所與期商公會共同研議強化期貨市場風險控管機制相關措施。期交所將於今年建置「期貨商申報交易人權益數」，完成後即可進行線上風控，即時管理交易人之權益數及保證金，屆時將與現行每日執行之線上監視進行整合，大幅提升風控及監理能力。因臺指選擇權一週到期契約新制上線展現成效，期交所希望能延續這股成長力道推出具市場性的商品或制度，並就相關建議進行研議，以符合交易人需求，提升市場成長動能。而值得留意的是推動國際合作部分，范志強表示，推動國際合作是為了在變化快速的國際衍生性商品市場中，維持永續發展競爭力，期交所必須積極尋求合作機會，擴大國內期貨與選擇權商品的交易管道。范志強指出，期盼今年的國際交流成績單不是一般和別國交易所簽署MOU而已，簽備忘錄只要彼此換文簽字即可，他要的是將期交所的商品掛到別國交易所的平台，以實質的策略合作擴大台灣期交所的影響力。國際間期貨商品互掛合作的例子愈來愈多，期交所總經理王中愷舉例，韓國的 KOSPI 200期貨加掛到CME( 芝加哥商品交易所)，KOSPI 200選擇權加掛到EUREX(歐洲期貨交易所)中；印度期貨交易所也和新加坡交易所合作互掛。王中愷指出，一旦台灣期交所的商品可以加掛到國外交易所平台，將有助於制度、產品開發、國際行銷上更國際化，也可提高台灣期貨市場在國際間的競爭力。
1,1,2013/01/15,產能大擴充+美重建訂單！F-駿吉今年營運喊衝 飆新高,F-駿吉董事長江文洲樂觀表示，隨著馬來西亞新廠1期工程將於第三季正式投產，總產能將提高4成帶動，加上美國重建訂單第二季開始挹注，營運將會踩油門快衝。(鉅亨網記者張旭宏攝)東南亞最大一貫化的氣動式工業用槍釘及線材加工F-駿吉()今(15)日參加櫃買市場業績發表會，董事長江文洲樂觀表示，隨著馬來西亞新廠1期工程將於第三季正式投產，總產能將提高4成帶動，加上美國重建訂單第二季開始挹注，營運將會 踩油門快衝，法人估計今年營收獲利成長同步超過2成，續創歷年新高。F-駿吉去年營收6.57億元，前三季稅後淨利為稅後獲利4653萬元，成長98%，法人估計每股盈餘超過3元；今年在產能持續開出，加上美國重建訂單挹注及無掛牌一次性支出，營收獲利成長同步超過2成。F-駿吉主要產品為氣動式工業用槍釘，外銷約占營收比重80%以上，業務遍及美洲、亞洲及歐洲市場，其中以美洲市場為外銷最大宗，營收占比達80%，核心客戶為美國釘槍界知名經銷商及代理商。江文洲指出，美國去年下半年遭逢颶風侵襲，重建需求今年第二季將開始陸續顯現，因此營運可望進入快速成長期，由於美國市場約占公司業績80%，為考量縮短交貨時間、增加市場競爭力與接單靈活度，5年內將到美國設廠。江文洲強調，目前產能依舊滿載吃緊，因此去年已投入9600萬元購置約1.4萬坪土地，將分為3期建廠，而買地加上1期廠建廠支出約近2億元，一期廠預計今年第三季投產，總產能可望提升4成，明、後年二、三期廠陸續完成，總產能將更加提升1.5倍，每個月貨櫃量將達到250個，隨著新廠佈局逐步完成，未來預計挪移部分設備赴緬甸設廠，全力供應東協市場，目前已在緬甸物色合適土地，最快上半年就會決定地點設廠。江文洲進一步指出，為降低人事成本，公司產線積極自動化，新廠自動化比例超過5成，未來也將持續朝向全面自動化生產，提供獲利能力。
2,2,2013/01/15,聯電搶新機訂單 攜手頎邦 BCD特殊製程準備就緒！,聯電()()今(15)日宣佈，針對電源管理晶片應用產品，推出了TPC電鍍厚銅製程。此TPC電鍍厚銅解決方案係由聯電與台灣封裝廠商頎邦科技()共同開發。該案0.11微米製程將於數個月內推出。藉由此製程將可滿足智慧型手機，平板電腦與超薄電腦、其他高效能電源管理系統之需求。聯電指出，TPC電鍍厚銅解決方案現已可應用於8吋BCD(Bipolar/CMOS/DMOS)包含0.35微米、0.25微米以及0.18微米等製程平台，0.11微米製程則將於數個月內推出。跟傳統的鋁金屬層相比，可提供更厚的銅金屬層以達到更高的電流，更優異的散熱效果，並且降低20%或以上的晶片阻抗，進而提升電源管理晶片的效能。藉由此電鍍厚銅的製程服務，將可協助客戶推出體積更小、效能更高的整合式電源管理系統單晶片之產品，可充分滿足可攜式電子設備，例如智慧型手機，平板電腦與超薄電腦等，以及其他高效能電源管理系統之需求。聯電特殊技術開發處資深處長陳立哲表示，今日可攜式數位應用產品的日益興盛，大幅帶動了對於兼顧電池續航力及產品輕薄體積的更高需求。聯電欣見與頎邦的合作獲得了豐碩的果實，將為客戶提供TPC電鍍厚銅整合式服務，滿足電源管理晶片的需求，以協助強化終端產品效能並且縮小尺寸。預期於聯電的BCD製程平台推出TPC電鍍厚銅製程後，客戶將會快速的採用此TPC電鍍厚銅解決方案。
3,3,2013/01/15,擎泰去年12月續虧 全年每股稅前虧13.8元,FLASH控制IC擎泰()今(15)日公告去年全年自結稅前虧損金額，由於去年擎泰主要產品出貨狀況不順，加上客戶轉單，導致全年稅前虧損8.96億元，每股稅前虧損達13.8元。擎泰去年12月營收受淡季影響，僅達7021萬元，月減幅約 2 成，年減65%，單月營業損失達1.33億元，稅前損失達1.79億元，較11月虧損金額大幅增加2.38倍，單月每股稅前虧損2.76元。擎泰第 4 季營收為1.97億元，季增37.6%，順利向上反彈，不過整季仍是虧損，稅前淨損3.08億元，較第 3 季小幅減少，單季每股稅前虧損4.75元。以全年而言，擎泰全年營收僅9.57億元，較2011年大幅減少65%，營業損失達6.47億元，稅前淨損則高達8.96億元，超過一個資本額，每股稅前虧損13.8元。
4,4,2013/01/15,國安基金持股全出清 獲利逾35億,國安基金宣佈出場加上，iPhone 5不熱賣砍單，造成蘋果股價重挫，蘋果概念股全倒，台股15號賣壓相當沉重。尤其國安基金雖然繳出報酬率12.7%的好成績，但是營業大廳主管就認為，不少投資人都覺得國安基金下次進場護盤，恐怕要再等一等，這讓國安基金主要持股名單15號可以說是率先領跌，拖累大盤。台股因此終場收在7765點，下跌58點，成交量913億元。
5,5,2013/01/15,賣壓出籠開低走低 台股淚別7800 ＃鴻海跌逾半根停板 台積電跌幅1%,明天即將結算，在賣壓出籠的情況下，指數開低走低，不但10日線失守，月線的防守也是戰戰兢兢。 終場下跌58點，以7765點作收，成交金額來到913億元。今天權值股及蘋果供應鏈，是遭到重擊，鴻海、鴻準的跌幅超過半根停板，股價更創下波段新低；台積電 、聯電以及日月光跌幅也有1%，而明天中國移動董座即將訪台，在利多激勵下4G LTE族群的表現是相對比較好的。
6,6,2013/01/15,內憂外患 2012券商全年獲利仍長,股市證券商去年的獲利數字在今天出爐，面對2012年證交稅、美國財政懸崖以及歐債問題等國內外利空夾擊之下，年度獲利依然成長，這也讓投資人大感意外。 去年券商營收來到179億元，在47間券商中共計有35家獲利，12家虧損。雖然營收數字較2011年的170億是成長的，但由於年底作帳加上券商出售不動產美化行情，扣除業外收益後的整體獲利來看，其實獲利並沒有成長。而在券商獲利部分，元大寶來是蟬連冠軍，但是獲利數字跟去年相比，縮水了三分之二。
7,7,2013/01/15,中華電今年要「蛇躍」 呂學錦：固本下苦功 落實6大策略,中華電()今天舉行年終感恩餐會，中華電期許今年50M達150萬戶，100M淨增30萬戶，中華電董事長呂學錦形容去年是「苦盡甘來、倒吃甘蔗」，但至少交出一張優良的成績單。今年要更加努力，落實6大策略，但最重要的就是固本，從事服務事業就是要下苦功。呂學錦率領各分公司總經理等一級主管大跳今年最夯的江南style騎馬舞，宣佈中華電今年尾牙熱鬧豋場。呂學錦回顧2012年，第一、中華電在「創新、寬頻、加值、整合、感動、固本」6大策略持續強化，而固本策略也是競爭的基本實力。第二、中華電也開發相當的成長性業務，包括：加值 ICT解決方案，而雲端運算在今年奠定札實基礎。第三、用8個字形容就是「苦盡甘來、倒吃甘蔗」，中華電能共體時艱，並虛心檢討，以品質績效迎回肯定，他認為，在不包括政策影響下，中華電交出一張至少是優良、超乎財測的的成績單。展望2013年，呂學錦說明， 今年要更加努力，因為市場會更加競爭，挑戰有增無減，因此要更落實6大策略，但最重要的就是固本 他以旅日棒球好手王貞治著名的姿勢—金雞獨立來勉勵，就是下苦功，從事事業服務就是要下基本功來勉勵大家。中華電總經理李炎松也期許，在繼去年龍騰後，今年要達蛇躍，今年的蛇躍不僅是絕對的數字成長。至於今年能否重返電信獲利王，李炎松說，行動業務有機會，固網成長表現要更加努力，看好成長力道除了行動上網、ICT外，新興雲端業務還有海外市場也會持續擴展。李炎松指出，其實今年最要感謝中華電全體員工，去年接任總經理以來，由於整體市場變動競爭，要達到去年財測目標是要花費相當努力，去年11月就確定財測目標沒問題，但內部的挑戰目標困難度相當高，到12月底在各公司齊心努力下，不管是營收獲利部分都確定達陣。今年在合作默契下，期許今年應可望不要像去年那樣心驚膽跳。
8,8,2013/01/15,端子廠營運差異化！去年健和興稅前EPS 3.04元 建通僅0.47元,端子廠隨佈局營運出現差異化，去年的獲利表現也大不相同！健和興()積極投入車用電子、工具機等非消費性電子領域，加上處分轉投資綠興獲利，去年稅前每股3.04元，年增率達58%。但建通()消費性電子產品比重仍高，受到景氣影響，去年每股稅前盈餘僅0.47元，則是年減逾5成，也是近10多年來新低。健和興去年第2季由於有處分轉投資綠興收益1.06億元入帳，加上在車用電子、工具機等領域，業績穩定成長，去年12月營收為1.53億元，雖較100年同月下滑0.55%，但稅前盈餘為1101萬元，遠優於100年同月稅前虧損270萬元。健和興101年營收為22.11億元，與100年相近，因處分綠興獲利入帳，且業績達到經濟規模，毛利攀高，去年稅前盈餘4.27億元，較100年大幅成長58.73%，以目前股本14.03億元來計算，每股稅前盈餘為3.04元。但建通部分，受到匯損與原物料價格雙重擠壓，去年12月營收為6849.4萬元，淨損454.7萬元，每股稅前虧損0.03元，去年營收9.75億元，稅前盈餘為8052萬元，每股稅前盈餘也滑落至0.47元。
9,9,2013/01/15,李金恭：22K絕非天花板 京元電大學畢業生起薪31K以上,京元電董事長李金恭。(鉅亨網記者蔡宗憲攝)IC測試京元電()董事長李金恭今(15)日表示，市場過度擴大看待大學畢業生2.2萬元的起薪，以京元電而言，大學畢業生平均起薪就達3.1萬元以上，月底也將有一批健教合作生來京元電工作，基本底薪也有28K，高雄的學生則額外給予4000元車馬費，台中學生則額外給予2000元車馬費，合計起來也有3.1萬元以上。李金恭指出，市場普遍認為大學畢業生只有2.2萬元的起薪，但市場對此事情解讀過度擴大，強調這樣的薪資水準並非大學畢業生起薪薪資天花板，以京元電而言，大學畢業生平均薪資水準約在3.1萬元左右，高於目前市場所說的2.2萬元許多。他也強調，除大學畢業生平均薪資高於2.2萬元外，京元電固定與大專院校合作招聘建教合作生，今年 1 月底也將有一批人員上線工作，京元電也開出底薪2.8萬元的水準，並依照學生所在地給予車馬費補貼，如高雄地區的學生補貼4000元，台中地區則補貼2000元車馬費，合計月薪也有 3 萬元以上。
