,date,title,content
0,2021/06/01,北中和保二總隊基地都更案 住都中心與皇翔共同投資84億元,由國家住宅及都市更新中心擔任實施者推動的「新北市中和區保二總隊基地都市更新案」，今 (1) 日與上市建商皇翔建設 () 正式簽約，預計將於 2022 年開工、2026 年完工啟用，全案規劃興建 3 棟 SRC 大樓，總投資額達 84 元。此一都更案將建設地上 20 層及地下 5 層的保安廳舍辦公室、地上 31 層及地下 6 層的全棟社會住宅、地上 35 層及地下 6 層的集合住宅。國家住都中心表示，該都更案規劃導入綠建築、智慧建築與無障礙設施設計理念，並配合各單位需求打造舒適的辦公、住宅及商業空間，形塑「共生共榮、共享共存」的中和保安新園區。國家住都中心表示。此一都更案為都市更新條例修法後，首例策略性更新地區，未來將由保二總隊、保三總隊、保七總隊、民防指揮管制所及警察通訊所等 5 大警察機關進駐。除更新辦公廳舍提供員警優質值勤空間外，也將提供 415 戶社會住宅與 461 戶集合住宅，以滿足周邊地區居住需求，並於園區內設置公共托老中心及樂齡空間，因應高齡照護需求。
1,2021/06/01,〈國內疫情升溫〉大同一名員工因家人染疫確診 營運不受影響,大同 () 今 (1) 日接獲通報有一名員工確診，該名員工已在防疫旅館隔離中，除喉嚨不適外，尚無其他症狀，目前公司已進行全面清潔消毒，業務及營運一切正常。大同表示，確診同仁因家人染疫而被匡列，已於上週六在防疫旅館隔離中，其工作性質為行政幕僚，並無公務外出或對外接洽，平日上班接觸對象相對單純。大同強調，已完成辦公室、公共區域與空調系統全面清潔消毒作業，同時調查該同仁於公司內的足跡及接觸史，對於有直接接觸者，已要求進行快篩，而間接接觸人員則須居家自主健康管理、每日量測體溫回報。大同指出，集團於疫情發展初期，即超前部署實施分流、分區、居家上班，並採取要求每日佩戴口罩、量測體溫、勤洗手、工作環境定期清潔消毒等防疫措施。
2,2021/06/01,重慶力推預鑄構件工法 永固-KY擬向上併購搶商機,混凝土廠永固 - KY() 表示，去年併購泰弘廠效益發酵，今年以來出貨量成長，下半年更將喜迎旺季；此外，在主要營運地區重慶，政府積極推廣預鑄構件工法，也將尋求上游整合及預鑄構件廠的投資機會，搶食商機。永固生產基地及市場以中國重慶為主，公司表示，目前重慶大力推動混凝土預製構件工法，預期相關商機最快 2023 年開始發酵，2025 年可望迎來第一波的需求高峰。因應相關布局，永固也成立投資子公司，持股 70%，並與重慶當地政府討論採用中外合資模式可行性，尋求產業上游整合及預鑄構件廠的投資機會，後續有新進展則將依規定進行公告。永固首季毛利率 14%，年減 7 個百分點，對此，公司解釋，主要是去年疫情導致停工，市場供不應求、價格大好，推升毛利率；但首季毛利率與 2019 年同期相比還是成長，且從絕對金額看，第一季毛利 1.58 億元，還是較去年同期成長。永固進一步指出，去年併購泰弘廠後，今年來不論是出貨量、或毛利率都向上成長，下半年將進入傳統旺季，加上併購效益發酵，將推升營運表現。
3,2021/06/01,台積電、鴻海重返榮耀  蘋概IC這類股6月投資主旋律？,"萬寶投顧陳子榕指出，台股這一波從近期波段低點 15,159 點起算，已經回升 1,954 點，漲幅 12.89％，而台積電 () 也是從 5/12 開始同步由低點 518 元展開反攻，短短半個多月已經來到 600 元大關前面，週二收 598 元，站上所有均線，波段漲幅達 15.25％，還跑贏大盤，而且外資從 3 月底以來持續買超台積電 57,204 張，投信則從 5/4 以來加碼買超 9,919 張。除了台積電將衝 600 元，聯發科 () 股價一樣已經重返挑戰千元，至於股王則由矽力 - KY()榮登寶座，股價創新高來到 3,785 元。種種跡象顯示，電子股整體成交比重雖然仍偏低，但已經開始發動攻勢，尤其進入第二季尾端，未來要迎接的正是電子股的傳統旺季，因此在傳產族群之外，電子股可望百花齊放。6/8 蘋果即將召開蘋果開發者大會 WWDC，外界預期今年有可能在新的軟體服務發表之外，新的 MacBook Pro 也可能亮相。而蘋果正好也在此時公布 2020 年全球前 200 大供應鏈名單，台廠除了老班底台積電、鴻海 ()、大立光()、國巨()、電子 5 哥等之外，新上榜有 6 家，包括雙鴻()、康控 - KY()、GIS-KY()、茂林 - KY()、嘉澤() 與晶技()。其中，獨拿蘋果發光鍵盤訂單的導光板廠茂林 - KY，去年受惠於蘋果將發光鍵盤改回剪刀腳設計，IT 產品營收占比衝上 7 成，成為營運主動能，今年隨著蘋果 MacBook Pro 新品即將上市，也將帶動一波拉貨潮。嘉澤主產品包括了 I/O 連接器、CPU Socket、DDR 插槽等零組件，推估產品廣泛導入蘋果筆電、電腦及平板等產品，嘉澤營收已經連續 2 個月正成長，前 4 月累計營收達 64.81 億元，年增 33.47％，近期三大法人偏多操作，股價也剛站上歷史新高 607 元。隨著蘋果新品陸續發表上市，供應鏈業績都將發光發熱。萬寶投顧陳子榕指出，5/21 為大家推薦台積電時股價 568 元，現在已經漲到 599 元，上漲 31 元；5/25 推薦的世芯 - KY() 股價從 487 元飆漲到 629 元，大漲 142 元，漲幅 29.2％，投信持續買超；5/28 才和大家分享的瑞昱 ()，股價也從 487 元漲到 509 元，漲幅近 5％。6 月份台股第二季作帳行情起跑，操作上選股不選市，選擇具題材、具業績，股價位置低個股，蘋概 IC 相關個股，可望成為 6 月投資主旋律。景碩 () 因手機載板需求仍強，BT 載板訂單已至 9 月，ABF 載板則受惠 CPU、GPU、AI 需求拉升，產能吃緊一路旺到年底，需求則至 2023 年，天線封裝 (AiP) 載版今年備貨量估逾 80nm，明年持續攀升；載板需求暢旺，大客戶紛紛以投資設備方式鞏固 ABF 未來 2 年產能，今、明二年資本支出已升至 100 億元、70～80 億元；今年 ABF 載板營收貢獻達 3 成，估每季 ASP 將漲逾 3％，BT 載板產能估增 10％，ASP 漲逾 2％，業績展望樂觀，外資給予目標價 131 元。晶技 () 重返蘋果前 200 大供應商行列，受惠 5G、WiFi6 及車用新興需求，石英元件力求小型化、高頻、寬溫化，晶技以技術優勢突破重圍，大啖高階石英商機，估第二季營收仍將優於第一季，再創單季歷史新高，下半年進入傳統旺季，加上蘋果新品推出，業績將季季走高；部分客戶改下長單，訂單能見度已達第四季；新設備已在裝機試產，估 7、8 月可增加月產能 30KK，下半年再增加月產能 30KK，年底總產能將達 470KK；全年 EPS 上看 9 元新高，較 2020 年的 4.61 元成長翻倍。雙鴻 () 擠進蘋果 2020 前 200 大供應商行列，去年已拿下逾 5 成中高階筆電訂單，蘋果今夏即將推出兩款新的 MacBook Pro，已正式啟動拉貨潮，雙鴻並反映銅價上漲成本，將有助毛利率表現；伺服器新平台 Whitley 拉貨強勁，ASP 將提升，加上中國手機開始導入散熱較好的 VC(熱板)，估第三季營運將成長，全年營收估年增 15～20％；4 月營收 1.87 億元，年增 152.62％，累計營收 6.89 億元，年增 94.05％；「零接觸」商機以及 5G 應用日益成熟，成為今年營運動能雙引擎。當然，還有一些好股在指數高檔震盪下，極短線籌碼仍具優勢的好股，包含電動自駕車、AI 、5G 等相關個股，但在篇幅有限之下，請直接進入粉絲團看看了，希望對讀者大眾，有其幫助。立即免費加入陳子榕粉絲團，可獲得更多資訊分享戰情中心陳子榕 LINE 粉絲團戰情中心陳子榕 FB 社團戰情中心陳子榕 telegram 粉絲團本公司所推薦分析之個別有價證券無不當之財務利益關係 以往之績效不保證未來獲利投資人應獨立判斷 審慎評估並自負投資風險"
4,2021/06/01,〈國內疫情升溫〉開放企業自費快篩 台塑生醫接獲許多企業洽詢,指揮中心日前宣布，在醫事人員執行前提下，企業可進行自費快篩，台塑企業旗下台塑生醫近來就接獲許多企業洽單抗原快篩試劑，包括電信業者、紡織廠與電子廠等，也有些中小型廠商已開始下單。指揮中心日前宣布，企業若願意遵守快篩原則，就准許企業自費快篩，原則包括需由醫事人員執行，若需要中央協助媒合醫療機構，或企業有相關疑問或執行困難處，中央願意協助解決；在宣布相關執行原則後，許多企業開始與國內快篩廠商接洽。台塑生醫表示，在指揮中心公布相關執行原則後，這幾天接到許多企業洽單的電話，包括電信業者、紡織廠及電子廠，已有些中小型廠商開始下單。台塑生醫抗原快篩試劑已取得專案製造許可，宜蘭廠單班制月產能可達百萬劑，因應市場需求，可持續增加至兩班或三班制，也不排除增添設備、擴增產能。在此次國內疫情爆發前，台塑生醫原著眼於承接長庚大學與長庚醫院共同研發的「新冠病毒中和抗體效價檢測」技術，3 月 5 日已通過食藥署專案製造申請核准，正式生產，並進行台灣與國際市場銷售規劃；在國內疫情爆發後，轉而將較多資源投入抗原快篩試劑。
5,2021/06/01,〈國內疫情升溫〉證券期貨相關機構挺醫護防疫 合捐5500萬添購防護設備,國內疫情嚴緊繃，全國防疫進入第三級警戒，其中雙北地區的醫療院所負荷龐大，金管會轄下證券期貨相關機構證交所、期交所、集保結算所及櫃買中心，將共同捐助中央流行疫情指揮中心 3000 萬元，添購組合式負壓隔離艙數套，提升醫護人員安全防護。另外，也將共同捐助台大醫院、臺北榮民總醫院、臺北市立聯合醫院、新北市立聯合醫院及三軍總醫院等五家醫療院所各 500 萬元；捐贈金額共計 5500 萬元，以行動力挺醫護。證交所表示，為協助政府及中央流行疫情指揮中心執行防疫措施，優化防疫相關設備，金管會轄下證券期貨相關機構，包括臺灣證券交易所、臺灣期貨交易所、臺灣集中保管結算所及中華民國證券櫃檯買賣中心，決定合力捐助 3000 萬元，添購組合式負壓隔離艙數套，除可快速組裝，亦能符合居家檢疫、居家隔離的急診需求。證交所表示，艙內兩側入口將醫護人員及病患分流，並備有空氣清淨機過濾病毒，有效保護醫護人員，降低感染風險，提供安全的醫療處置場所。此外，考量雙北防疫醫護能量需求大增，醫療體系面臨防疫物資短缺及人力緊繃的壓力，金管會轄下證券期貨相關單位也決定共同捐助雙北五大醫療院所每家各 500 萬元，合計共 2500 萬元。證交所表示，捐贈金額將全數用於醫療院所防疫所需，包括醫療器材及設備的緊急添購、照護病患的醫療支出、對第一線醫護人員的慰問等，挹注醫療資源調度，協助醫護無後顧之憂執行防疫工作。
6,2021/06/01,中信金捐款5000萬元 支援雙北市前線醫護人員,"新型冠狀病毒（COVID-19）疫情嚴峻，中信金控 () 支持正在第一線奮戰的醫護人員，今 (1) 日宣布捐款新臺幣 5,000 萬元，提供臺北市政府、新北市政府、臺北市立聯合醫院、新北市立聯合醫院等單位，專款用於醫護人員生活補助、醫療器材、醫療及防護物資採購等相關項目需求。中國信託金控表示，此筆防疫捐款將捐助臺北市政府新臺幣 1,000 萬元、新北市政府新臺幣 1,000 萬元，指定用於醫護人員生活補助；另外捐助臺北市立聯合醫院新臺幣 2,000 萬元、新北市立聯合醫院新臺幣 1,000 萬元，指定用於購置高階多功能呼吸器、製氧機、高氧加濕器、血氧監視器、快篩試劑等醫療器材、醫療物資以及防護裝備等相關項目需求，希望第一線醫護人員能有足夠的裝備照顧病患，並保護自身安全。中信金控強調，視對抗疫情為長期目標。現階段捐款只是針對第一波最迫切所需的機構，未來仍將密切關注政府及客戶的防疫需求持續投入。中信金控表示，身為企業社會公民一員，遵循各項防疫指引保護同仁安全，更向堅守崗位的醫護人員致上最高敬意，期盼臺灣盡快走出疫情困境，讓民眾安心恢復正常生活。"
7,2021/06/01,外資買超力道略為縮手 前十大有六檔航運股,"台股今 (1) 日上漲 93.95 點，收在 17162.38 點。三大法人同站買方，合計買超 43.77 億元。其中，外資買超手筆縮至只有 21.67 億元，操作大舉鎖定航運股，買超前 10 名中，有 6 檔是航運類股。外資及陸資買超 21.67 億元，投信買超 7.32 億元，自營商買超 14.78 億元，三大法人合計買超 43.77 億元。而在淨部位方面，三大法人淨空單減少 835 口至 5542 口，其中外資空單加碼超過多單加碼，淨空單增加 525 口至 25277 口。外資今天加碼的前 10 大個股中，有 6 檔是航運股，其中，長榮獲買超 19,269 居冠，陽明 16,196 張為第二名，益航 10,298 張為第三名，第四名是華航的 8,707 張，慧洋 - KY 以 5,881 張、長榮航的 5769 張分居第 9、10 名。其餘也在外資前 10 大的另外 4 檔個股為：大成鋼、新光金、中纖、和桐。外資大砍面板股，其中，面板雙虎分別居賣超冠亞軍，賣超前 10 名分別為：友達 87,929 張、群創 71,426 張、期富邦 VIX 也遭賣 11,743張、中橡 10,746 張，其餘彩晶、華邦電、中鋼、聯電、富喬、中信關鍵半導體。投信買超前 10 名：群創 16,292 張，其餘依序為緯創、友達、景碩、華邦電、台玻、永豐餘、聯電、聯強、全新。投信賣超前 10 名：裕民、天鈺、金居、長榮、遠東新、南紡、台橡、陽明、威剛、微星。自營商買超前 10 名：期富邦 VIX 達 18 萬 1,018 張，華頓 S&P 布蘭特正 2 達 12,732 張，其餘為元大 S&P 石油、元大高股息、長榮航、彩晶、台玻、華邦電、大成鋼、長榮。自營商賣超前 10 名：中信關鍵半導體 27,201 張、元大台灣 50 反 1 遭賣 25,185 張，其餘為群創、富邦臺灣加權反 1、元大滬深 300 正 2、中信中國高股息、國泰臺灣加權反 1、聯電、國泰中國 A50、友達。"
8,2021/06/01,晶技擬發行CB籌資12億元 本月中送件,頻率元件廠晶技 () 首季稅後純益 6.32 億元創新高，每股純益 2.04 元，公司擬發行無擔保可轉換公司債 (CB) 籌資 12 億元案，將在本月中送件金管會，不受股東會延後召開的影響。晶技決議發行無擔保可轉換公司債，也是晶技近 8 年來首度在市場籌資。晶技此次發行的無擔保可轉換公司債，分別用在償還銀行借款、購買機器設備用途各 6 億元，將由元大證券主辦承銷。這是晶技 2013 年以來首次在市場籌資，也是今年第一家籌資的頻率元件台廠。晶技第一季稅後純益 6.32 億元，創新高，季增 64.15%，年增 1.46 倍，每股純益達 2.04 元， 4 月營收達 15.92 億元、創新高，月增 39.86%，年增 83.99%。晶技今年第一波寧波廠擴廠案，將新增小型化元件產能，新產能將在第三季開出。晶技手機所需石英元件占 30% 到 35%、網通產品應用 30%、NB 應用約 16%，其他產品約 20%。晶技在 5G 基地台、5G 手機、WiFi 6 以及電動車的商機上，董事長林蔭興則看好歐美各國因疫苗施打後，下半年解封帶動各項需求，今年資本支出規劃達 25.9 億元，創新高。
9,2021/06/01,〈上市櫃員工薪酬〉上櫃公司年薪出爐 崑鼎稱霸平均390萬元,證交所公布上櫃公司去年員工平均薪酬行情，其中平均薪酬最優渥的公司並非電子業，而是由從事廢棄物回收、綠能發電的崑鼎拿下，去年員工平均薪酬約 390.5 萬元。觀察上櫃公司員工平均薪酬，前 10 名主要以半導體與生技產業為主，其中半導體產業中包括原相、昇佳電子，去年員工平均薪酬分別為 327.8 萬元、319.4 萬元；信驊、群聯平均薪酬分別為 299 萬元、294 萬元；力旺員工去年薪酬也不差，平均每位年薪約 237.3 萬元。生技產業部分，包括智擎、逸達去年員工平均薪酬分別也有 249 萬元、239.8 萬元，是少數擠進平均薪酬前 10 高的生技公司。另外，與上市公司相同，服務觀光業的薪資仍是排名吊車尾的產業，包括安心、亞洲藏壽司、寶得利、天蔥、高野、瓦城、豆府、力麗店、易飛網等，受服務業薪水偏低影響，員工年薪自然也不高，平均年薪全不到 40 萬元。
