,date,title,content,title_score,content_score
0,2014-11-16,真有選舉行情？過去10年台股選前30天平均漲3% 選後走揚4%,每到選舉，市場總會充滿對選舉行情的期待，根據JP摩根統計，過去10年台股各種大小選舉前30個交易日，平均上漲幅度為3%，選後30個交易日更是平均有4%的表現。雖然今年底為九合一選舉，不過由於仍是地方政府選舉，因此若投資人想期待所謂的「大選舉行情」恐怕會有些失望。宏利臺灣高股息基金經理人陳伯禎表示，其實這次的選舉，主要仍是以地方政府為主，因此在政策利多上影響較小，因此若看單最近台股漲跌影響，受到選舉拉抬的關係並不大。不過若觀察最近30日，台股還是有2.4%左右的漲幅。只是觀察近期台股成交量始終低迷，介於750億到800億左右的水準而已，陳伯禎指出，這樣的情況代表了並沒有大量的投資人期望從這次的選舉，在股票市場中賺取報酬；因此選前行情也不需要太過看重。由於本次選舉可以被視為2016年總統大選的前哨戰，因此預估市長選舉後，政府將會更加積極推動經濟、民生等政策與措施，以求在選民心中留下更好的印象，因此陳伯禎認為，今年底的選舉要藉由股市獲得大量報酬機率不高，但2016年則有機會受惠政策利多，獲得超額報酬。,0.0,2.0
1,2014-11-16,利空因素沒有轉圜 金價難漲 年底前以1000-1200美元為主,現貨當週價格相較於前週收盤價雖然上漲1.8%，收於1162.46美元。但元大寶來期信基金經理人方立寬表示，不利的因素沒有轉圜，使得續漲的想像並不大，預期金價年底前金價價格區間僅能落於1000美元~1200美元的全年相對低檔區間內。若以代表長期趨勢的標普高盛超額回報指數(S&P GSCI Gold Excess Return)來看，則收於97.63點，上漲1.7%。方立寬表示，影響當週金價的主要因素，來自於短線修正所帶動，但研判技術面持續維持弱勢，並且後市有持續下跌之風險。方立寬表示，美國於逐次的FOMC會議中，恐將持續拋出QE縮減的消息，不利通膨預期，亦不利金價，可能拉扯金價向下。不過，所幸新興市場與亞洲股匯市跌多反彈，可望帶動金價買氣。但整體來說，方立寬認為，歐洲央行本週拋出可望擴大QE範疇至歐盟主要國家政府公債之言論，但此言論依舊受到歐盟最大經濟體德國的反對，使得歐洲央行推升歐洲通膨以刺激經濟成長的想法，略顯心有餘而力不足，也導致展望持續不佳，並強化美元中長期走勢。油價方面也因為中東產油國持續迴避減產議題，而使得油價續跌。方立寬表示，這些不利的基本因素沒有出現轉圜，使得走勢依舊僵持於相對低點，即使短線偶有反彈，但續漲的想像並不大。預期金價年底前金價價格區間僅能落於1000美元~1200美元的全年相對低檔區間內。,-1.0,-14.0
2,2014-11-16,政策加持穩住中國經濟 照亮中國高收點心債市,中國人民銀行近期又推出政策，再替市場注入7700億元活水，同時國務院也快馬加鞭通過多項基礎建設，金額也高達7000億元。惠理康和中國點心高收益債券基金經理人余冠廷表示，中國經濟增速底部確立，通膨溫和增長，將使點心高收益債市成為未來一、兩季度的投資亮點。余冠廷指出，中國點心高收益債券得以在新興債市獨樹一格，關鍵就在匯價相對穩定，美國結束QE就帶動美元走強，加上升息預期和其央行與歐、日政策不同調，美元在國際匯市持續走強。強勢美元驅動國際資金竄逃，對於新興國家的央行外匯儲備和企業營運面皆有影響。此外，對於其政府和企業發行的美元債券，不免有匯損壓力，不利新興債市表現。惟卻是少數兌美元持穩的新興貨幣，中國企業亦為亞洲美元債券的主要發行者，近年的強勢表現，中國美元債券也有看頭。且根據人行最新公布資料，今年以來，除了實行定向降準，也透過MLF提供市場流動性，金額高達7695億元，儘管第三季的經濟成長率僅有7.3%，四中全會結束後，中國更快馬加鞭通過21項基礎建設，總金額達6933億元，顯示政策全力支持經濟發展，或許成長力不復過去的雙位數字亮眼，然硬著陸的可能性偏低，而經濟結構調整的過程緩和，和使社會資源將更有效運用、輔以通膨溫和增長，整體環境有利於債券的表現。余冠廷分析，中國貨幣政策的支持，這可從政策性金融債的殖利率，不到一個月就下滑40個基本點窺見一二。金九銀十的銷售數據出爐，10月一向是中國房產開發商的旺季，儘管短線來看，中國房產交易熱度有降溫，但是絕對水準仍高。另外，中國經濟轉型，內需擴大帶動消費相關產業的活絡，尤其雙十一光棍節網路銷售數據，亦為中國消費勢力抬頭的象徵，他看好消費產業相關的債券；滬港通啟動，北京和香港將進一步討論深港通機制，中國金融和證券業可望持續受惠。,0.0,10.0
3,2014-11-16,蘋果一款電腦被檢不合格,京華時報訊（記者 袁國禮）昨天，中消協公佈了對25款電腦一體機的比較試驗結果，一款“宏碁acer”樣機的輻射騷擾超標，易干擾其他電子設備正常工作。一款“蘋果Apple”樣機的電源端子傳導騷擾超標，易影響電網內其他電子設備。此外，還有5款樣機未發現配置清單材料，容易給消費者造成不便。據了解，標稱“宏碁acer”的這款問題樣機，型號為AspireZ3-615，其輻射騷擾超出了國家標準規定的限值。國家電子計算機質量監督檢驗中心專家表示，輻射騷擾是電腦一體機整個系統在工作時向空間發射的電磁波騷擾，這種騷擾可能幹擾其它電子設備正常工作，特別是高靈敏度電子設備。輻射騷擾過大時，容易導致部分舊版本的電腦屏幕變色，也有可能影響電視正常觀看，出現閃屏等情況。型號為A1418(MF883CH/A)的蘋果AppleiMac電腦一體機，被測齣電源端子傳導騷擾超出了國家標準規定的限值，據介紹，電源端子傳導騷擾指電腦一體機的電源系統向電網注入的騷擾，如果向電網注入的騷擾過大，就會影響在電網內其他電子設備的正常工作。專家表示，如果此項指標超標嚴重，會導致電網電壓不穩，如果超過電壓本身的上下限值，就可能導致電腦死機等。據悉，具體比較試驗結果，消費者可到中消協網站（http://www.cca.org.cn)查詢。,1.0,-13.0
4,2014-11-16,外資態度反覆 選舉行情不靈光 選後台股可望打底向上,距離九合一選舉僅剩不到20日，不過台股似乎沒有太明顯的選舉慶祝行情，德盛安聯投信認為，主要是受到近期外資態度反覆，多空舉棋不定影響，增添市場觀望氣氛與變數，短線恐怕還有修正風險。不過一旦選後不確定性因素解除，將有機會打底向上盤整。德盛安聯台灣大壩基金經理人鍾兆陽指出，從資金面來看，近期外資態度反覆，顯示選前不確定性增添市場觀望氣氛，令選舉行情不太靈光，短線有區間整理與修正風險。目前看來選前有撐，不過選後可能還是有修正風險，目前選後最需要留意量能是否回穩，以及多頭題材。不過仍可觀察可能的政策利多，包括年底前兩岸將召開金銀三會，加上銀行法出現修正，未來將放寬銀行轉投資上限計算方式，預估可望注入4千億資金活水考量基本面佳且金融股多數為表現相對穩定的權值股，建議投資人可適度納入投資組合作為第四季震盪台股相對防護的部位。展望第四季，雖然為傳統淡季，相關半導體晶片封測較缺乏成長動能，但第三季的財報表現可提供未來股價相對支撐。鍾兆陽表示，台股打底向上過程較為波動，建議投資人不宜躁進，可伺機分散布局基本面佳且成長性的族群。科技的部分，蘋概股雖然財報表現佳，但股價已經在先前反映，若沒有更爆發性的成長，股價表現空間有限。不過整體來看，因長期趨勢仍然看好，建議挑選價值面佳與附加價值高的LED與光學鏡頭類股，可在淡季逢低布局，待市場回穩之際即可享受上漲行情。,-2.0,2.0
5,2014-11-16,台灣主要報紙頭條要聞,大陸、香港兩地股市相互投資的「滬港通」明（17）日啟動，上海證券交易所昨天進行擬真測試，「滬港通」首批合格的89家券商全數參加，以真實帳戶內的資金進行交易，只是不結算，沒想到「兩個小時內，單日配額幾乎用完」。阿里巴巴在9月IPO之後股價漲勢如虹，吸引多家對沖基金爭相購入，就連以做空聞名的投資大師索羅斯（George Soros）也大手筆購入阿里巴巴，持股量更是位居所有對沖基金第3名。向經濟選民喊話56次 郭台銘：別逼我離開台灣青珊合體 搶救勝文大兵松山線通車首日 27萬人嘗鮮17檔資訊月亮點 來電若我是外商 不會投資台灣索羅斯大買 阿里巴巴、雅虎周美青蔡依珊 攜手救連柯文哲回嗆馬：我獅子座伊衍樑：建議魏家 30億捐政府17檔購物季明星 靚阿里股票 淡馬錫索羅斯搶買滬港通明上路 A股牛市來了國三乖乖女 性冒險7天忙到沒互動 單親爸悔恨不已滬港通開道 陸資襲全球滬港通明上路 吸金盛宴展開掘金投資路線 藍籌股最受追捧,0.0,1.0
6,2014-11-15,熱門股─上銀啟動法說行情 三大法人搶買 股價重返月線,上銀()下週一(17日)舉辦法說會，由於工具機進入旺季，且上銀有意趁著貶值併購日廠，擴大國際市佔率，三大法人期待法說會紅利，昨(14)日聯袂搶買合計798張，股價收在246元，累計週漲6.03%，收復週線、月線，向重返季線挺進。上銀前3季EPS回升至6.21元而居工具機族群之冠，且10月合併營收14.9億元，創35個月以來新高。展望後市，年底前上銀滾珠螺桿、線性滑軌及工業機器人訂單滿手，營運逐季增溫。特別是，醫療用機器人相關產品已取得歐盟醫療器材CE認證、SGS認證機構授證，這對於進軍歐盟的高價醫療器材市場如虎添翼。法人期待，上銀在站穩工業機器人領導品牌之後，醫療用機器人能夠成為上銀的營運新動能。對於重貶掀起亞洲貨幣的競貶潮，台灣工具機首當其衝，上銀傳出有意趁著貶值併購日廠，擴大國際市佔率，也是法人期待的法說會紅利之一。,0.0,0.0
7,2014-11-15,選舉概念族群出列！觀察生技、中低價傳產股和電子零組件,本次九合一法定競選活動期間自14日起陸續展開，儘管近日台股量能萎縮、且持續處區間盤整，但投顧仍指出，從過去選舉裡觀察，由於時序進入年底傳產股作價旺季，經驗上以中低價傳產股較有表現空間，再加上近日美元強勢有助部分電子零組件業者獲匯兌利益挹注，如IC設計、汽車零組件等，都可作為選舉概念族群的留意方向。 投顧指出，觀察1998-2010年期間4次直轄市長選舉，中低價傳產股和生技醫療股表現最強、出現頻率最高；而1998-2009年期間四次縣市長選舉，表現最強、出現頻率最高的族群則主要集中在中低價傳產、IC設計與網通股。除了觀察過去經驗較有表現的族群，今年連勝文參選台北市長，連勝文概念股也是市場焦點之一，其中，連勝文先前還曾以避險基金Evenstar創辦人身分替醫材廠商鐿鈦()站台，高度看好生技產業，可作為留意方向。同時，與連勝文來往較甚的還有大魯閣()、宏盛()、維格()、金衛(910801-TW)，以及與國民黨關係較佳的中信金()、永豐金()和中視()等。另一方面，投顧表示，本屆選舉全國性選舉議題主要還是在看核四發電廠運轉、海峽兩岸服務貿易協議，以及自由經濟示範區等議題，其中，以自經區概念較有機會落實。由於自經區以桃園航空城為主，周邊地產概念股最受市場矚目，如中櫃()、長榮()、廣豐()、泰豐()和榮運()等；另外，自經區還有智慧運籌、國際醫療、農業加值及產業合作等發展面向，投顧指出，包括面板、工具機、農產品加工、航空、生技醫療等業者可望受惠。,0.0,10.0
8,2014-11-15,IC設計前3季 聯發科穩居每股獲利王 F-敦泰、群聯位居二、三名,IC設計第3季財報全數公布完畢，累計前3季，聯發科()每股稅後盈餘23.41元，穩居IC設計每股盈餘獲利王，也是稅後淨利獲利王，其次是觸控IC廠F-敦泰(5280-TW)，前3季每股稅後盈餘為13.67元，排名第二，第三名則是FLASH控制晶片廠群聯()，前3季每股盈餘為13.34元，排名第三。根據公開資訊站資料顯示，聯發科前3季稅後淨利與每股稅後盈餘穩居IC設計之冠，表現亮眼，顯示行動裝置需求持續升溫，第3季旺季效應加持發威下，相關廠商營運表現都相當亮眼，聯發科第3季營運表現亮眼，帶動前3季稅後淨利為359.9億元，每股稅後盈餘為23.41元，穩居稅後淨利與每股盈餘雙冠王。排名第二是觸控晶片大廠F-敦泰，第3季表現雖然失色許多，獲利更較第2季腰斬，但上半年表現強勁，推升前3季獲利穩定，稅後淨利為7.64億元，每股稅後盈餘為13.67元。排名第三則是FLASH控制晶片廠群聯，在FLASH市況穩建帶動下，加上拓產成品市場衝刺營運，第3季獲利表現也穩定，淨利為8.95億元，較第3季持續成長，每股稅後盈餘為4.91元，前3季獲利達24.3億元，每股稅後盈餘為13.34元。F-譜瑞()則排名第四，受惠高速傳輸介面需求加持，第3季淨利為3.82億元，每股盈餘為5.14元，前3季淨利9.17億元，每股稅後盈餘為12.35元；F-昂寶第3季表現也降溫，不過上半年產品出貨動能暢旺，前3季淨利也達4.85億元，每股稅後盈餘為11.22元。驅動IC聯詠()第3季在手機、電視與電視控制晶片等產品出貨加持下，淨利為20.88億元，創單季新高，每股稅後盈餘為3.43元，前3季淨利為51.22億元，每股稅後盈餘達8.42元。若以稅後淨利排名，第一名是聯發科，前3季淨利為359.9億元，其次是聯詠，淨利51.22億元，瑞昱()排名第三，前3季淨利為33.4億元。,1.0,7.0
9,2014-11-15,遊戲股Q3 7好6壞 樂陞逆轉奪EPS王 鈊象、傳奇緊跟,遊戲股第三季財報全部公布完畢，其中13家上市櫃遊戲廠，表現7好6壞，單季每股賺超過1元共有4家，其中樂陞(3662-TW)逆轉勝，以單季每股盈餘2.66元勇奪獲利王，擺脫去年同期的虧損，表現搶眼。根據財報顯示，上市櫃遊戲廠第三季賺錢除樂陞外，其他為鈊象()的1.23元、傳奇()的1.2元、F-通訊()1.13元、智冠()1.01元、辣椒()0.28元、橘子()的0.25元；虧損則有昱泉()的0.86元、宇峻()0.15元、網龍()0.67元、華義()0.88元、歐買尬()1.8元及大宇資()的0.13元。累計前三季每股盈餘賺錢則有8家，分別是大宇資的0.14元、F-通訊2.67元、智冠3.46元、鈊象2.51元、傳奇3.2元、樂陞0.23元、辣椒1.46元、橘子的0.54元，其中辣椒浴火重生，在遊戲熱賣加上處分子公司棒辣椒()挹注下，走出去年前三季虧損低潮。樂陞科技第三季透過集團專業分工、資源整合及轉投資效益陸續現，加上遊戲專案強力挹注，第三季稅後淨利達2.09億元，與去年同期仍累虧1.6億元相較，大為改善，單季每股盈餘2.66元；累計前三季稅後淨利1788萬元，每股盈餘0.23元，一季賺贏上半年。另外遊戲廠為擴大營運，同時看好未來網路直播視頻商機，積極搶進，其中辣椒及橘子動作最快，辣椒攜手韓商Afreeca TV，砸下1470萬元，佔比49%，成立網路直播平台公司；橘子則結合娛樂圈大老詹仁雄與王偉忠，打造全方位影音平台「酷瞧CoTUre」。,0.0,3.0
