,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2014-11-25,21.54,21.87,21.54,21.78,411547,696,0.0,00633L
1,2014-11-26,21.95,22.73,21.95,22.63,368393,723,3.9027,00633L
2,2014-11-27,23.0,23.55,23.0,23.39,318864,747,3.3584,00633L
3,2014-11-28,23.37,24.68,23.49,24.39,428003,779,4.2753,00633L
4,2014-12-01,25.0,26.21,25.0,25.97,361627,817,6.4781,00633L
5,2014-12-02,25.05,27.2,25.22,26.73,335679,841,2.9265,00633L
6,2014-12-03,27.32,30.16,27.97,28.03,433365,896,4.8634,00633L
7,2014-12-04,28.4,30.79,28.4,30.79,468111,1092,9.8466,00633L
8,2014-12-05,31.3,34.43,32.94,33.07,692925,1536,7.405,00633L
9,2014-12-08,31.6,34.54,33.15,34.21,897528,1658,3.4472,00633L
10,2014-12-09,33.51,37.94,34.4,37.43,1388736,1832,9.4125,00633L
11,2014-12-10,30.9,32.83,31.53,32.15,695579,1976,-14.1063,00633L
12,2014-12-11,31.68,33.74,33.15,31.94,1218353,1963,-0.6532,00633L
13,2014-12-12,32.05,33.49,32.5,32.2,708323,2301,0.814,00633L
14,2014-12-15,30.95,32.12,32.12,31.57,373513,2587,-1.9565,00633L
15,2014-12-16,31.55,34.16,31.55,32.92,702455,2715,4.2762,00633L
16,2014-12-17,35.0,37.37,35.0,36.65,1018814,3040,11.3305,00633L
17,2014-12-18,37.4,39.4,38.13,38.5,1218104,3271,5.0477,00633L
18,2014-12-19,36.74,39.2,39.0,37.51,645762,3412,-2.5714,00633L
19,2014-12-22,38.8,41.81,38.8,41.21,957808,3748,9.864,00633L
20,2014-12-23,39.08,41.62,41.0,40.91,749956,3742,-0.728,00633L
21,2014-12-24,36.45,38.99,38.8,36.5,1212997,3521,-10.7798,00633L
22,2014-12-25,36.12,37.58,36.5,37.0,1082903,5400,1.3699,00633L
23,2014-12-26,38.33,40.0,38.8,39.9,1430155,5904,7.8378,00633L
24,2014-12-27,40.82,41.85,41.0,41.85,689097,6192,4.8872,00633L
25,2014-12-29,41.95,43.75,42.5,42.31,1323728,6302,1.0992,00633L
26,2014-12-30,41.3,42.9,41.88,41.91,1200933,6243,-0.9454,00633L
27,2014-12-31,42.25,44.2,42.5,44.2,1086324,6584,5.4641,00633L
28,2015-01-05,45.11,47.7,45.6,47.65,1479049,7098,7.8054,00633L
29,2015-01-06,45.41,49.1,47.22,46.8,1926768,7018,-1.7838,00633L
30,2015-01-07,46.43,47.82,47.6,46.93,1226906,7272,0.2778,00633L
31,2015-01-08,44.51,48.33,48.0,44.7,2249336,6927,-4.7518,00633L
32,2015-01-09,43.65,45.67,44.35,45.67,1458408,7077,2.17,00633L
33,2015-01-12,41.76,45.0,44.45,41.9,1688351,8001,-8.2549,00633L
34,2015-01-13,42.5,43.85,43.15,42.76,1098960,8465,2.0525,00633L
35,2015-01-14,42.8,43.84,42.85,42.94,854101,8736,0.421,00633L
36,2015-01-15,42.25,43.8,42.88,43.8,834753,9109,2.0028,00633L
37,2015-01-16,45.15,46.4,46.0,45.61,1412177,9485,4.1324,00633L
38,2015-01-19,36.0,43.95,43.95,36.26,3116851,8012,-20.4999,00633L
39,2015-01-20,34.41,37.85,35.5,36.8,1920060,9198,1.4892,00633L
40,2015-01-21,36.95,39.68,37.32,39.6,1162609,10215,7.6087,00633L
41,2015-01-22,39.24,41.0,41.0,40.02,1122706,10323,1.0606,00633L
42,2015-01-23,40.51,42.1,40.8,41.77,1323626,10775,4.3728,00633L
43,2015-01-26,39.89,41.69,41.35,40.17,1083892,10362,-3.8305,00633L
44,2015-01-27,38.0,41.38,41.2,38.4,1284037,9906,-4.4063,00633L
45,2015-01-28,38.22,39.59,39.0,39.5,767339,10189,2.8646,00633L
46,2015-01-29,36.03,38.0,38.0,37.03,1120984,9552,-6.2532,00633L
47,2015-01-30,36.06,38.25,37.34,36.63,1091267,9449,-1.0802,00633L
48,2015-02-02,34.2,35.7,35.1,35.33,1040850,9114,-3.549,00633L
49,2015-02-03,34.68,36.0,35.35,34.8,832710,8977,-1.5001,00633L
50,2015-02-04,36.7,37.75,36.8,36.77,1084623,9577,5.6609,00633L
51,2015-02-05,36.85,39.25,39.15,37.5,1891242,9936,1.9853,00633L
52,2015-02-06,34.7,35.68,35.5,35.16,1339221,9914,-6.24,00633L
53,2015-02-09,33.83,35.45,34.22,35.02,1008556,10084,-0.3982,00633L
54,2015-02-10,35.25,36.61,35.43,36.61,982800,10542,4.5403,00633L
55,2015-02-11,36.24,37.0,36.89,36.43,711635,10636,-0.4917,00633L
56,2015-02-12,35.96,36.83,36.68,36.48,606639,10651,0.1372,00633L
57,2015-02-13,36.9,38.41,36.99,38.22,1028610,11159,4.7697,00633L
58,2015-02-24,38.5,38.8,38.5,38.66,490813,11287,1.1512,00633L
59,2015-02-25,37.21,38.81,38.74,37.45,1076918,10934,-3.1298,00633L
60,2015-02-26,36.27,38.6,37.2,38.24,1397095,11356,2.1095,00633L
61,2015-03-02,38.54,40.3,39.7,38.54,1530032,11637,0.7845,00633L
62,2015-03-03,36.9,38.94,38.9,36.9,1291237,11142,-4.2553,00633L
63,2015-03-04,35.55,36.49,36.2,35.83,1182604,11500,-2.8997,00633L
64,2015-03-05,34.54,35.87,35.83,34.54,1234328,11086,-3.6003,00633L
65,2015-03-06,34.73,35.35,34.8,35.01,626739,12200,1.3607,00633L
66,2015-03-09,33.3,34.41,34.41,34.28,972363,11945,-2.0851,00633L
67,2015-03-10,35.07,36.16,35.8,35.39,939868,12792,3.238,00633L
68,2015-03-11,34.76,36.71,34.85,35.99,989288,13009,1.6954,00633L
69,2015-03-12,35.95,38.5,36.45,38.4,1807303,13880,6.6963,00633L
70,2015-03-13,38.4,39.38,38.4,38.68,1347528,13981,0.7292,00633L
71,2015-03-16,38.25,39.74,38.7,39.43,1438227,14252,1.939,00633L
72,2015-03-17,40.3,41.15,40.3,40.85,1664437,14766,3.6013,00633L
73,2015-03-18,41.11,42.2,41.34,42.14,1214494,15148,3.1579,00633L
74,2015-03-19,42.36,43.18,43.15,42.67,1370143,15338,1.2577,00633L
75,2015-03-20,42.4,43.17,42.66,43.13,1174027,15503,1.078,00633L
76,2015-03-23,44.12,45.08,44.12,44.7,1449568,16068,3.6402,00633L
77,2015-03-24,42.94,45.1,45.1,43.45,1805605,15618,-2.7964,00633L
78,2015-03-25,42.09,43.85,43.7,42.15,1018657,15151,-2.9919,00633L
79,2015-03-26,41.49,43.87,41.5,43.41,1521577,15604,2.9893,00633L
80,2015-03-27,43.0,44.03,43.35,44.01,763256,15820,1.3822,00633L
81,2015-03-30,43.8,45.59,44.0,45.59,1313902,16388,3.5901,00633L
82,2015-03-31,46.33,48.25,47.0,46.83,1784116,16833,2.7199,00633L
83,2015-04-01,45.26,46.83,45.5,46.5,1111151,16715,-0.7047,00633L
84,2015-04-02,45.65,47.34,47.0,45.65,1084355,16409,-1.828,00633L
85,2015-04-07,46.91,47.66,47.0,47.5,1291381,17051,4.0526,00633L
