,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2017-10-24,8.67,8.69,8.67,8.69,2,1,-56.55,00657K
1,2017-10-25,8.69,8.69,8.69,8.69,0,1,0.0,00657K
2,2017-10-26,8.66,8.66,8.66,8.66,0,1,-0.3452,00657K
3,2017-10-27,8.66,8.74,8.66,8.74,1,1,0.9238,00657K
4,2017-10-30,8.78,8.78,8.78,8.78,1,1,0.4577,00657K
5,2017-10-31,8.78,8.78,8.78,8.78,0,1,0.0,00657K
6,2017-11-01,9.12,9.12,9.12,9.12,2,1,3.8724,00657K
7,2017-11-02,9.12,9.12,9.12,9.12,0,1,0.0,00657K
8,2017-11-03,8.99,8.99,8.99,8.99,2,1,-1.4254,00657K
9,2017-11-06,8.99,8.99,8.99,8.99,0,1,0.0,00657K
10,2017-11-07,8.99,8.99,8.99,8.99,0,1,0.0,00657K
11,2017-11-08,9.08,9.08,9.08,9.08,1,1,1.0011,00657K
12,2017-11-09,9.12,9.33,9.21,9.12,4,1,0.4405,00657K
13,2017-11-10,9.04,9.07,9.07,9.04,9,1,-0.8772,00657K
14,2017-11-13,9.02,9.04,9.02,9.04,724,1,0.0,00657K
15,2017-11-14,8.98,9.02,9.02,8.98,1110,1,-0.6637,00657K
16,2017-11-15,8.8,8.8,8.8,8.8,704,1,-2.0045,00657K
17,2017-11-16,8.9,8.92,8.9,8.92,890,1,1.3636,00657K
18,2017-11-17,8.94,9.06,9.06,8.96,1107,1,0.4484,00657K
19,2017-11-20,8.91,8.91,8.91,8.91,712,1,-0.558,00657K
20,2017-11-21,9.0,9.01,9.0,9.01,721,1,1.1223,00657K
21,2017-11-22,9.07,9.07,9.07,9.07,725,1,0.6659,00657K
22,2017-11-23,9.02,9.09,9.09,9.02,907,1,-0.5513,00657K
23,2017-11-24,9.02,9.02,9.02,9.02,721,2,0.0,00657K
24,2017-11-27,9.04,9.04,9.04,9.04,723,2,0.2217,00657K
25,2017-11-28,9.03,9.06,9.06,9.03,741,2,-0.1106,00657K
