,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2017-03-14,19.9,19.95,19.95,19.9,30757,202,0.0,00682U
1,2017-03-15,19.95,19.99,19.99,19.96,12694,192,0.3015,00682U
2,2017-03-16,19.72,19.74,19.72,19.73,5703,190,-1.1523,00682U
3,2017-03-17,19.64,19.67,19.64,19.67,11082,190,-0.3041,00682U
4,2017-03-20,19.61,19.65,19.61,19.62,7072,189,-0.2542,00682U
5,2017-03-21,19.59,19.64,19.59,19.64,8601,189,0.1019,00682U
6,2017-03-22,19.54,19.61,19.61,19.55,9213,189,-0.4582,00682U
7,2017-03-23,19.54,19.56,19.56,19.54,8265,188,-0.0512,00682U
8,2017-03-24,19.57,19.59,19.57,19.59,13653,189,0.2559,00682U
9,2017-03-27,19.45,19.51,19.51,19.45,798,188,-0.7147,00682U
10,2017-03-28,19.43,19.45,19.45,19.43,12182,187,-0.1028,00682U
11,2017-03-29,19.54,19.56,19.54,19.55,3575,189,0.6176,00682U
12,2017-03-30,19.61,19.63,19.62,19.61,17226,189,0.3069,00682U
13,2017-03-31,19.69,19.73,19.69,19.7,926,190,0.4589,00682U
14,2017-04-05,19.71,19.78,19.78,19.72,532,190,0.1015,00682U
15,2017-04-06,19.69,19.71,19.71,19.71,216,190,-0.0507,00682U
16,2017-04-07,19.73,19.75,19.74,19.73,4340,190,0.1015,00682U
17,2017-04-10,19.85,19.9,19.9,19.88,3795,192,0.7603,00682U
18,2017-04-11,19.85,19.85,19.85,19.85,218,191,-0.1509,00682U
19,2017-04-12,19.74,19.76,19.74,19.75,18257,190,-0.5038,00682U
20,2017-04-13,19.62,19.66,19.66,19.63,2475,189,-0.6076,00682U
21,2017-04-14,19.7,19.7,19.7,19.7,59,190,0.3566,00682U
22,2017-04-17,19.67,19.68,19.67,19.67,23694,190,-0.1523,00682U
23,2017-04-18,19.65,19.67,19.65,19.67,19856,190,0.0,00682U
24,2017-04-19,19.53,19.55,19.54,19.55,12329,189,-0.6101,00682U
25,2017-04-20,19.54,19.54,19.54,19.54,97,188,-0.0512,00682U
26,2017-04-21,19.55,19.58,19.55,19.55,117,189,0.0512,00682U
27,2017-04-24,19.43,19.46,19.45,19.43,1322,187,-0.6138,00682U
28,2017-04-25,19.33,19.43,19.33,19.4,6309,187,-0.1544,00682U
29,2017-04-26,19.34,19.36,19.35,19.35,1083,187,-0.2577,00682U
30,2017-04-27,19.36,19.38,19.37,19.37,8406,187,0.1034,00682U
31,2017-04-28,19.42,19.44,19.43,19.44,11749,187,0.3614,00682U
32,2017-05-02,19.39,19.41,19.41,19.39,1183,187,-0.2572,00682U
33,2017-05-03,19.34,19.39,19.38,19.39,232,187,0.0,00682U
34,2017-05-04,19.45,19.47,19.47,19.46,155,188,0.361,00682U
35,2017-05-05,19.34,19.36,19.36,19.35,19930,187,-0.5653,00682U
36,2017-05-08,19.35,19.35,19.35,19.35,96,187,0.0,00682U
37,2017-05-09,19.4,19.43,19.43,19.43,194,187,0.4134,00682U
38,2017-05-10,19.46,19.5,19.46,19.48,1714,188,0.2573,00682U
39,2017-05-11,19.5,19.52,19.51,19.52,585,188,0.2053,00682U
40,2017-05-12,19.53,19.53,19.53,19.53,19,188,0.0512,00682U
41,2017-05-15,19.43,19.46,19.46,19.43,311,187,-0.512,00682U
42,2017-05-16,19.34,19.38,19.38,19.34,2419,187,-0.4632,00682U
43,2017-05-17,19.19,19.22,19.22,19.19,1017,185,-0.7756,00682U
44,2017-05-18,19.07,19.14,19.11,19.14,860,185,-0.2606,00682U
45,2017-05-19,19.16,19.19,19.16,19.16,424,185,0.1045,00682U
46,2017-05-22,19.06,19.1,19.1,19.06,705,184,-0.5219,00682U
47,2017-05-23,19.0,19.02,19.02,19.0,1045,183,-0.3148,00682U
48,2017-05-24,19.06,19.09,19.06,19.09,152,184,0.4737,00682U
49,2017-05-25,18.99,19.04,19.04,18.99,4334,183,-0.5238,00682U
50,2017-05-26,19.06,19.07,19.06,19.07,460,184,0.4213,00682U
51,2017-05-31,19.07,19.1,19.07,19.1,268,184,0.1573,00682U
52,2017-06-01,18.98,19.03,19.0,19.03,404,184,-0.3665,00682U
53,2017-06-02,19.03,19.06,19.03,19.05,95,184,0.1051,00682U
54,2017-06-03,19.02,19.02,19.02,19.02,95,183,-0.1575,00682U
55,2017-06-05,18.99,18.99,18.99,18.99,25,183,-0.1577,00682U
56,2017-06-06,18.92,18.97,18.97,18.92,813,182,-0.3686,00682U
57,2017-06-07,18.93,18.96,18.93,18.95,853,183,0.1586,00682U
58,2017-06-08,18.97,18.97,18.97,18.97,417,183,0.1055,00682U
59,2017-06-09,19.03,19.05,19.05,19.04,9823,184,0.369,00682U
60,2017-06-12,19.04,19.05,19.04,19.04,786,184,0.0,00682U
61,2017-06-13,19.03,19.06,19.06,19.04,590,184,0.0,00682U
62,2017-06-14,18.98,19.0,18.98,18.98,398,183,-0.3151,00682U
63,2017-06-15,18.96,18.99,18.99,18.96,588,183,-0.1054,00682U
64,2017-06-16,19.06,19.1,19.06,19.1,859,184,0.7384,00682U
65,2017-06-19,19.01,19.06,19.06,19.05,437,184,-0.2618,00682U
66,2017-06-20,19.07,19.1,19.1,19.08,406,184,0.1575,00682U
