,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2017-08-10,19.5,20.15,19.9,20.09,87961,227,0.0,00705R
1,2017-08-11,20.18,20.31,20.19,20.21,34722,228,0.5973,00705R
2,2017-08-14,20.12,20.4,20.19,20.38,15216,230,0.8412,00705R
3,2017-08-15,20.18,20.28,20.19,20.23,5114,228,-0.736,00705R
4,2017-08-16,20.22,20.35,20.22,20.29,10889,229,0.2966,00705R
5,2017-08-17,20.07,20.23,20.23,20.12,3505,227,-0.8379,00705R
6,2017-08-18,20.22,20.33,20.28,20.22,12557,228,0.497,00705R
7,2017-08-21,20.21,20.27,20.26,20.21,13008,228,-0.0495,00705R
8,2017-08-22,19.99,20.07,20.07,20.03,17286,226,-0.8906,00705R
9,2017-08-23,19.89,20.0,19.95,20.0,21078,226,-0.1498,00705R
10,2017-08-24,19.83,19.95,19.95,19.85,23523,224,-0.75,00705R
11,2017-08-25,19.77,19.85,19.78,19.77,20356,223,-0.403,00705R
12,2017-08-28,19.77,19.8,19.78,19.8,11986,224,0.1517,00705R
13,2017-08-29,19.78,19.83,19.83,19.78,12165,223,-0.101,00705R
14,2017-08-30,19.64,19.71,19.65,19.67,12150,222,-0.5561,00705R
15,2017-08-31,19.6,19.67,19.67,19.63,12466,222,-0.2034,00705R
16,2017-09-01,19.54,19.61,19.61,19.54,11860,221,-0.4585,00705R
17,2017-09-04,19.6,19.63,19.61,19.63,14915,222,0.4606,00705R
18,2017-09-05,19.52,19.57,19.52,19.57,156,221,-0.3057,00705R
19,2017-09-06,19.53,19.65,19.53,19.6,6370,221,0.1533,00705R
20,2017-09-07,19.57,19.66,19.57,19.66,6418,222,0.3061,00705R
21,2017-09-08,19.5,19.55,19.55,19.52,5986,220,-0.7121,00705R
22,2017-09-11,19.52,19.52,19.52,19.52,58,220,0.0,00705R
23,2017-09-12,19.47,19.47,19.47,19.47,7788,220,-0.2561,00705R
24,2017-09-13,19.58,19.59,19.58,19.59,39,221,0.6163,00705R
25,2017-09-14,19.59,19.59,19.59,19.59,0,221,0.0,00705R
26,2017-09-15,19.6,19.64,19.6,19.64,294,222,0.2552,00705R
27,2017-09-18,19.38,19.46,19.46,19.38,174,219,-1.3238,00705R
28,2017-09-19,19.54,19.54,19.54,19.54,97,221,0.8256,00705R
29,2017-09-20,19.54,19.54,19.54,19.54,0,221,0.0,00705R
30,2017-09-21,19.55,19.71,19.71,19.55,117,221,0.0512,00705R
31,2017-09-22,19.79,19.82,19.8,19.81,356,224,1.3299,00705R
32,2017-09-25,19.89,20.01,19.89,19.96,2758,225,0.7572,00705R
33,2017-09-26,19.96,20.03,20.0,20.03,34206,226,0.3507,00705R
34,2017-09-27,19.96,20.0,19.98,19.96,3317,225,-0.3495,00705R
35,2017-09-28,19.98,20.1,19.98,20.04,12798,226,0.4008,00705R
36,2017-09-29,20.02,20.09,20.03,20.02,4453,226,-0.0998,00705R
37,2017-09-30,19.98,19.98,19.98,19.98,19,226,-0.1998,00705R
38,2017-10-02,19.8,19.9,19.9,19.84,2463,224,-0.7007,00705R
39,2017-10-03,19.74,19.76,19.76,19.74,237,223,-0.504,00705R
40,2017-10-05,19.65,19.76,19.76,19.65,3415,222,-0.4559,00705R
41,2017-10-06,19.69,19.69,19.69,19.69,39,222,0.2036,00705R
42,2017-10-11,19.33,19.39,19.33,19.35,6026,218,-1.7268,00705R
43,2017-10-12,19.16,19.17,19.17,19.16,1341,216,-0.9819,00705R
44,2017-10-13,19.12,19.19,19.12,19.19,95,217,0.1566,00705R
45,2017-10-16,19.09,19.11,19.1,19.09,3858,216,-0.5211,00705R
46,2017-10-17,19.0,19.05,19.05,19.05,1369,215,-0.2095,00705R
47,2017-10-18,19.05,19.11,19.05,19.1,782,216,0.2625,00705R
48,2017-10-19,18.96,19.02,18.99,19.02,778,215,-0.4188,00705R
49,2017-10-20,19.03,19.06,19.06,19.06,762,215,0.2103,00705R
50,2017-10-23,19.04,19.1,19.04,19.1,11254,216,0.2099,00705R
51,2017-10-24,19.13,19.13,19.13,19.13,191,216,0.1571,00705R
52,2017-10-25,19.1,19.1,19.1,19.1,19,216,-0.1568,00705R
53,2017-10-26,19.13,19.13,19.13,19.13,95,206,0.1571,00705R
