,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2019-02-14,37.4069,37.4069,37.4069,37.4069,8048,1012,0.6,00778B
1,2019-02-15,37.4255,37.4255,37.4255,37.4255,8052,1013,0.0497,00778B
2,2019-02-18,37.5184,37.5184,37.5184,37.5184,40,1015,0.2484,00778B
3,2019-02-19,37.5184,37.5184,37.5184,37.5184,4036,1015,0.0,00778B
4,2019-02-20,37.5184,37.5184,37.5184,37.5184,4036,1015,0.0,00778B
5,2019-02-21,37.5184,37.5184,37.5184,37.5184,4036,1015,0.0,00778B
6,2019-02-22,37.2395,37.2395,37.2395,37.2395,4006,1008,-0.7433,00778B
7,2019-02-25,37.4626,37.5091,37.5091,37.4626,4070,1014,0.5991,00778B
8,2019-02-26,37.4626,37.4626,37.4626,37.4626,4030,1014,0.0,00778B
9,2019-02-27,37.4626,37.4626,37.4626,37.4626,328190,1336,0.0,00778B
10,2019-03-04,37.0908,37.0908,37.0908,37.0908,3990,1323,-0.9926,00778B
11,2019-03-05,37.3418,37.5184,37.5184,37.3418,4057,1332,0.6767,00778B
12,2019-03-06,37.2953,37.3232,37.2953,37.3232,4055,1331,-0.0498,00778B
13,2019-03-07,37.3697,37.3697,37.3697,37.3697,4020,1333,0.1245,00778B
14,2019-03-08,37.4998,37.4998,37.4998,37.4998,1020534,2346,0.3483,00778B
15,2019-03-11,37.6486,37.695,37.695,37.6486,4090,2355,0.3966,00778B
16,2019-03-12,37.6486,37.6486,37.6486,37.6486,4050,2355,0.0,00778B
17,2019-03-13,37.8345,37.9367,37.9367,37.8345,4110,2367,0.4938,00778B
18,2019-03-14,37.7415,37.7415,37.7415,37.7415,1004885,3356,-0.2457,00778B
19,2019-03-15,37.6486,37.6486,37.6486,37.6486,978690,4319,-0.2463,00778B
20,2019-03-18,37.6486,37.6486,37.6486,37.6486,4050,4319,0.0,00778B
21,2019-03-19,37.6486,37.6486,37.6486,37.6486,4050,4319,0.0,00778B
22,2019-03-20,37.6486,37.6486,37.6486,37.6486,1000955,5312,0.0,00778B
23,2019-03-21,37.8159,37.946,37.946,37.8159,986668,6312,0.4444,00778B
24,2019-03-22,37.9739,37.9739,37.9739,37.9739,4125,6338,0.4179,00778B
25,2019-03-25,38.2714,38.3086,38.3086,38.2714,4158,6388,0.7834,00778B
26,2019-03-26,38.29,38.3272,38.29,38.3272,4164,6397,0.1457,00778B
27,2019-03-27,38.3458,38.3458,38.3458,38.3458,4125,6400,0.0485,00778B
28,2019-03-28,38.5131,38.6153,38.5131,38.6153,4195,6445,0.703,00778B
29,2019-03-29,38.5689,38.5689,38.5689,38.5689,4149,6437,-0.1204,00778B
30,2019-04-01,38.6339,38.7455,38.7455,38.6339,4197,6448,0.1687,00778B
31,2019-04-02,38.4759,38.4759,38.4759,38.4759,4139,6422,-0.409,00778B
32,2019-04-03,38.5782,38.5782,38.5782,38.5782,4150,6439,0.2658,00778B
33,2019-04-08,38.606,38.6339,38.6339,38.606,4277,6443,0.0723,00778B
34,2019-04-09,38.541,38.541,38.541,38.541,4146,6433,-0.1686,00778B
35,2019-04-10,38.6432,38.6804,38.6432,38.6711,4326,6454,0.3377,00778B
