,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2005-01-03,4.6538,4.705,4.6538,4.6709,998,719,1.4815,4722
1,2005-01-04,4.6368,4.6709,4.6709,4.6368,572,714,-0.7299,4722
2,2005-01-05,4.6368,4.705,4.6368,4.705,990,725,1.4706,4722
3,2005-01-06,4.6368,4.6368,4.6368,4.6368,272,714,-1.4493,4722
4,2005-01-07,4.6368,4.6538,4.6368,4.6538,721,717,0.3676,4722
5,2005-01-10,4.6027,4.6368,4.6368,4.6027,284,709,-1.0989,4722
6,2005-01-11,4.5686,4.6027,4.5686,4.6027,186,709,0.0,4722
7,2005-01-12,4.5856,4.6027,4.6027,4.5856,296,706,-0.3704,4722
8,2005-01-13,4.5856,4.6197,4.6197,4.5856,430,706,0.0,4722
9,2005-01-14,4.5686,4.5856,4.5856,4.5686,241,704,-0.3717,4722
10,2005-01-17,4.5856,4.5856,4.5856,4.5856,336,706,0.3731,4722
11,2005-01-18,4.5686,4.6197,4.5686,4.5856,241,706,0.0,4722
12,2005-01-19,4.5686,4.5686,4.5686,4.5686,134,704,-0.3717,4722
13,2005-01-20,4.5515,4.5686,4.5686,4.5515,361,701,-0.3731,4722
14,2005-01-21,4.4663,4.8584,4.8584,4.5345,762,698,-0.3745,4722
15,2005-01-24,4.5345,4.5515,4.5515,4.5345,212,698,0.0,4722
16,2005-01-25,4.5345,4.5686,4.5686,4.5515,120,701,0.3759,4722
17,2005-01-26,4.5515,4.5686,4.5686,4.5515,187,701,0.0,4722
18,2005-01-27,4.5345,4.5345,4.5345,4.5345,26,698,-0.3745,4722
19,2005-01-28,4.5345,4.5515,4.5345,4.5515,851,701,0.3759,4722
20,2005-01-31,4.5515,4.6027,4.6027,4.5515,311,701,0.0,4722
21,2005-02-01,4.5515,4.5856,4.5856,4.5686,227,704,0.3745,4722
22,2005-02-02,4.5686,4.6368,4.5686,4.6368,215,714,1.4925,4722
23,2005-02-03,4.5686,4.6368,4.6368,4.6027,188,709,-0.7353,4722
24,2005-02-14,4.6197,4.6368,4.6197,4.6197,257,711,0.3704,4722
25,2005-02-15,4.6197,4.6368,4.6368,4.6197,203,711,0.0,4722
26,2005-02-16,4.5856,4.6027,4.6027,4.6027,364,709,-0.369,4722
27,2005-02-17,4.5686,4.6027,4.6027,4.5686,310,704,-0.7407,4722
28,2005-02-18,4.5686,4.6197,4.5686,4.6197,1027,711,1.1194,4722
29,2005-02-21,4.5856,4.6368,4.5856,4.6368,283,714,0.369,4722
30,2005-02-22,4.6027,4.6368,4.6368,4.6197,175,711,-0.3676,4722
31,2005-02-23,4.6197,4.7391,4.705,4.6197,868,711,0.0,4722
32,2005-02-24,4.6368,4.6709,4.6368,4.6368,545,714,0.369,4722
33,2005-02-25,4.6368,4.6368,4.6368,4.6368,136,714,0.0,4722
34,2005-03-01,4.6368,4.6709,4.6368,4.6709,218,719,0.7353,4722
35,2005-03-02,4.6197,4.6879,4.6879,4.6538,340,717,-0.365,4722
36,2005-03-03,4.6538,4.6879,4.6879,4.6879,164,722,0.7326,4722
37,2005-03-04,4.6538,4.6709,4.6538,4.6709,164,719,-0.3636,4722
38,2005-03-07,4.705,4.705,4.705,4.705,414,725,0.7299,4722
39,2005-03-08,4.6709,4.705,4.705,4.6709,287,719,-0.7246,4722
40,2005-03-09,4.6709,4.705,4.6709,4.6709,439,719,0.0,4722
41,2005-03-10,4.6879,4.7561,4.705,4.705,648,725,0.7299,4722
42,2005-03-11,4.705,4.9436,4.722,4.7731,1122,735,1.4493,4722
43,2005-03-14,4.7731,4.8243,4.8072,4.8072,887,740,0.7143,4722
44,2005-03-15,4.7391,4.7902,4.7731,4.7731,686,735,-0.7092,4722
45,2005-03-16,4.7391,4.7561,4.7391,4.7561,285,733,-0.3571,4722
46,2005-03-17,4.705,4.722,4.722,4.705,248,725,-1.0753,4722
47,2005-03-18,4.705,4.7391,4.705,4.7391,400,730,0.7246,4722
48,2005-03-21,4.7391,4.7731,4.7391,4.7391,565,730,0.0,4722
49,2005-03-22,4.705,4.7561,4.7561,4.705,511,725,-0.7194,4722
50,2005-03-23,4.6879,5.0118,4.705,5.0118,524,772,6.5217,4722
51,2005-03-24,4.7391,4.7902,4.7731,4.7731,1216,735,-4.7619,4722
52,2005-03-25,4.7391,4.7731,4.7731,4.7731,404,735,0.0,4722
53,2005-03-28,4.7561,4.7902,4.7731,4.7731,784,735,0.0,4722
54,2005-03-29,4.7391,4.7731,4.7731,4.7391,670,730,-0.7143,4722
55,2005-03-30,4.7391,4.7561,4.7391,4.7391,403,730,0.0,4722
56,2005-03-31,4.722,4.7561,4.7391,4.722,292,727,-0.3597,4722
57,2005-04-01,4.722,4.7561,4.722,4.722,249,727,0.0,4722
58,2005-04-04,4.722,4.7731,4.7731,4.722,410,727,0.0,4722
59,2005-04-06,4.722,4.7391,4.722,4.7391,263,745,0.361,4722
60,2005-04-07,4.705,4.7561,4.7391,4.7561,346,748,0.3597,4722
61,2005-04-08,4.7561,4.8243,4.7561,4.7731,2019,750,0.3584,4722
62,2005-04-11,4.7731,4.8072,4.7902,4.7902,1402,753,0.3571,4722
63,2005-04-12,4.7561,4.8072,4.8072,4.7902,503,753,0.0,4722
64,2005-04-13,4.7391,4.8072,4.7731,4.8072,405,756,0.3559,4722
65,2005-04-14,4.7731,4.8072,4.8072,4.7731,956,750,-0.7092,4722
66,2005-04-15,4.7731,4.8072,4.7731,4.7902,675,753,0.3571,4722
67,2005-04-18,4.6709,4.8413,4.7731,4.6709,2290,734,-2.4911,4722
68,2005-04-19,4.705,4.8072,4.7731,4.7731,2601,750,2.1898,4722
69,2005-04-20,4.7391,4.8413,4.8072,4.7561,4095,748,-0.3571,4722
70,2005-04-21,4.7391,4.8243,4.7391,4.8072,2331,756,1.0753,4722
71,2005-04-22,4.7731,4.8413,4.7731,4.8243,2007,758,0.3546,4722
72,2005-04-25,4.7731,4.8413,4.7731,4.8072,745,756,-0.3534,4722
73,2005-04-26,4.7731,4.8413,4.8413,4.7731,211,750,-0.7092,4722
74,2005-04-27,4.7561,4.7902,4.7731,4.7731,2044,750,0.0,4722
75,2005-04-28,4.7391,5.0118,4.7391,4.8413,3880,761,1.4286,4722
76,2005-04-29,4.8072,4.9436,4.8754,4.8584,1080,764,0.3521,4722
77,2005-05-03,4.705,4.8413,4.7731,4.705,1357,740,-3.1579,4722
78,2005-05-04,4.705,4.7731,4.7731,4.705,917,740,0.0,4722
79,2005-05-05,4.705,4.7391,4.705,4.722,1777,742,0.3623,4722
80,2005-05-06,4.5515,4.7391,4.7391,4.5515,3449,715,-3.6101,4722
81,2005-05-09,4.6027,4.6709,4.6027,4.6027,705,724,1.1236,4722
82,2005-05-10,4.5686,4.6197,4.6197,4.5686,697,718,-0.7407,4722
83,2005-05-11,4.5515,4.6368,4.6368,4.5856,628,721,0.3731,4722
84,2005-05-12,4.5515,4.6027,4.6027,4.5515,444,715,-0.7435,4722
85,2005-05-13,4.5686,4.5856,4.5856,4.5686,632,718,0.3745,4722
86,2005-05-16,4.5686,4.6197,4.5856,4.5686,474,718,0.0,4722
87,2005-05-17,4.5686,4.5856,4.5686,4.5686,683,718,0.0,4722
88,2005-05-18,4.5345,4.5856,4.5345,4.5686,187,718,0.0,4722
89,2005-05-19,4.5345,4.5856,4.5856,4.5686,441,718,0.0,4722
90,2005-05-20,4.5345,4.5856,4.5856,4.5686,213,718,0.0,4722
91,2005-05-23,4.5515,4.5856,4.5686,4.5515,604,715,-0.3731,4722
92,2005-05-24,4.5174,4.5856,4.5856,4.5686,375,718,0.3745,4722
93,2005-05-25,4.5345,4.5515,4.5515,4.5515,546,715,-0.3731,4722
94,2005-05-26,4.5515,4.5686,4.5686,4.5515,66,715,0.0,4722
95,2005-05-27,4.5515,4.5686,4.5515,4.5686,388,718,0.3745,4722
96,2005-05-30,4.5345,4.6027,4.5686,4.5515,1319,715,-0.3731,4722
97,2005-05-31,4.5515,4.6027,4.6027,4.5686,485,719,0.3745,4722
98,2005-06-01,4.5004,4.5686,4.5686,4.5345,251,713,-0.7463,4722
99,2005-06-02,4.5004,4.5856,4.5004,4.5686,442,719,0.7519,4722
100,2005-06-03,4.5686,4.5856,4.5686,4.5856,295,721,0.3731,4722
101,2005-06-06,4.5686,4.5856,4.5686,4.5856,389,721,0.0,4722
