,2010-05-31,2010-08-31,2010-11-30,2011-03-31,2011-05-31,2011-08-31,2011-11-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-05-31,2014-08-31,2014-11-30,2015-03-31,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-31,2019-05-31,2019-08-31,2019-11-30
0,2729,2352,3515,1104,4190,5469,2207,1716,2059,1210,1210,3028,3518,4994,3693,2373,2341,4737,4536,3536,6472,6196,2349,3693,6523,3689,8069,2349,1569,2461,6156,6499,5227,1609,2371,2342,5474,3582,5217
1,3483,4763,3617,3614,4938,4128,2705,1789,2101,2101,3028,2101,2463,4739,3041,5318,2108,4763,3706,6243,6124,2102,1338,8042,5604,6643,2412,6143,1101,3017,1725,8054,2009,5234,6471,3566,5478,3534,1720
2,1582,2034,2388,2349,2314,4702,4745,2903,1210,3028,2101,3450,3523,2034,4104,2903,4992,5907,3066,5536,4540,2104,1507,5521,5364,6131,6138,1522,6112,6108,6111,1580,5306,1326,5312,2022,3688,2380,6469
3,4133,2379,1598,1232,1733,1760,3498,3681,3035,3035,3035,1519,1102,4743,2841,3598,4930,3605,4726,6124,5490,6298,3617,5480,6231,3563,2377,6548,5907,6562,6554,2402,5489,3152,8325,8358,4144,5484,8040
4,1604,3530,5349,2545,2313,2701,2439,6156,3028,3450,3450,3035,3705,1701,2312,2612,3141,3704,5443,6125,5007,4306,3013,5438,4977,6582,1530,2460,5903,3354,3673,3665,2535,6231,2350,1905,2421,3532,6125
5,3338,3268,4947,2478,3686,1409,2380,3711,3450,1519,1519,3362,4958,2384,4416,3540,3213,6492,2538,4168,2332,6126,6129,5536,4994,2473,2013,6538,5533,6488,5392,3679,1582,6605,8121,6469,2841,3264,2207
6,3617,2841,2239,1402,3611,1402,4117,1618,3362,3362,5305,5305,1560,6278,5515,5392,2382,2352,2349,3708,6244,5480,4904,5392,3561,4746,2387,1104,5508,1773,1104,2642,1563,3450,6541,4148,5234,1434,4934
7,4117,1319,3024,2363,5536,1339,3362,1802,5490,5305,2633,3532,2101,3529,3034,3127,3268,3017,2404,6184,6453,4766,4976,5604,6169,4119,4129,1558,5466,4148,3354,2106,3428,1319,6281,1580,1714,3189,6411
8,3593,3055,3443,3090,4506,2458,5478,2049,2633,2633,3693,3030,4904,6282,3428,5317,4551,2706,2542,6239,2456,4994,4721,5347,6505,6116,3563,8064,5425,5285,5287,6154,8199,8255,1338,8406,2908,4564,8064
9,2012,1590,2362,2360,1717,4738,1333,3628,1519,5490,3362,2633,4803,6191,6134,2105,1304,5469,1307,1522,3127,5521,1907,5608,5315,3051,4133,4401,5387,3490,2433,5213,3362,6443,8261,2353,2208,5531,1712
10,2462,2340,1304,3060,1308,2376,4609,3615,5305,3693,5490,5490,4739,1402,6139,6534,3593,1102,4551,3711,6567,1513,6206,5326,4919,2338,2403,4137,5364,3323,8150,8215,2701,3176,2911,6567,2350,6215,3130
11,1102,5234,2360,1536,1737,2614,1537,2062,4975,4975,4975,4975,4737,3130,5245,3231,3515,2417,5287,3645,3705,1338,2337,5318,8033,6244,8050,6150,5356,1104,8121,2499,2321,2342,1710,3014,6581,1714,1714
12,2035,1789,3094,2376,2341,2379,2406,4108,5530,3030,3532,3693,1530,3044,6112,4133,3043,5478,6575,3707,6125,5530,2324,5306,3090,2524,8046,1580,5351,5609,6552,5009,8249,4144,1402,2536,5340,8429,4126
13,1225,3712,2540,2020,5315,3638,1605,4944,1560,4166,3030,5469,4702,3698,3383,3266,2545,2486,6183,2515,2367,3624,6278,5302,2352,2327,3545,3211,6141,6689,2031,4132,5871,1563,8349,8163,8411,2382,3483
14,2409,3711,3593,2030,2340,1733,2608,2227,4117,3413,3620,4166,5871,6177,3658,6231,5280,2228,2401,2102,1903,5533,6203,5288,6255,2350,3605,2352,5347,1402,2369,2420,1256,1313,6665,8287,3324,1580,4984
