,2013-03-29 00:00:00,2013-05-31 00:00:00,2013-08-30 00:00:00,2013-11-29 00:00:00,2014-03-31 00:00:00,2014-05-30 00:00:00,2014-08-29 00:00:00,2014-11-28 00:00:00,2015-03-31 00:00:00,2015-05-29 00:00:00,2015-08-31 00:00:00,2015-11-30 00:00:00,2016-03-31 00:00:00,2016-05-31 00:00:00,2016-08-31 00:00:00,2016-11-30 00:00:00,2017-03-31 00:00:00,2017-05-31 00:00:00,2017-08-31 00:00:00,2017-11-30 00:00:00,2018-03-31 00:00:00,2018-05-31 00:00:00,2018-08-31 00:00:00,2018-11-30 00:00:00,2019-03-29 00:00:00,2019-05-31 00:00:00,2019-08-30 00:00:00,2019-11-29 00:00:00,2020-03-31 00:00:00,2020-05-29 00:00:00,2020-08-31 00:00:00,2020-11-30 00:00:00,2021-03-31 00:00:00,2021-05-31 00:00:00,2021-08-31 00:00:00,Unnamed: 37
0,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,
1,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,6505,6505,2317,2317,2317,2317,2317,2317,2317,2317,2454,2317,
2,6505,6505,2412,6505,6505,2454,2454,2412,2412,2412,2412,2412,6505,2412,6505,6505,6505,6505,6505,6505,6505,6505,6505,2317,2317,6505,6505,6505,2412,2412,2454,2454,2454,2317,2454,
3,2412,2412,6505,2412,2412,2412,2412,2454,2454,6505,6505,6505,2412,6505,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,6505,6505,2412,2412,6505,6505,6505,
4,2454,2454,2454,2454,2454,6505,6505,6505,6505,2882,2882,2882,1303,1301,1301,1326,2882,3008,3008,3008,2882,1301,1301,1301,1301,1301,1301,2454,2454,2454,6505,6505,2412,2412,2412,
5,1301,1303,1303,2882,2882,2882,2882,2882,2882,2881,2881,2881,1301,1303,1326,2882,3008,2882,2882,2882,1301,2882,1326,1326,1326,1326,1303,1301,3008,1301,2882,1301,2308,2308,2881,
6,2882,1301,1301,1303,1303,1303,1303,2881,2881,2454,1303,1303,2882,1326,3008,1301,1301,1301,1303,1303,1303,1303,1303,2882,3008,1303,2454,3008,1301,3008,2308,2882,1301,2881,2303,
7,1303,2882,2882,1301,1301,1301,2308,1303,1303,1303,1301,1301,1326,2882,1303,1303,1303,1303,1301,1301,1326,1326,2882,1303,1303,3008,3008,1303,2882,2882,1301,2308,1303,2882,2882,
8,1326,1326,1326,1326,2308,2308,1301,1301,2308,1301,2454,2454,2881,2881,2882,2881,1326,1326,1326,1326,2881,3008,3008,2881,2882,2882,1326,2882,1303,1303,3008,1303,2303,1303,2603,
9,2002,2002,2881,2881,1326,1326,2881,2308,1301,1326,1326,1326,2454,3045,2308,3008,2881,2881,2881,2454,2454,2881,2881,3008,2881,2454,2882,1326,1326,1326,1303,2881,2882,1301,2308,
