,2010-05-31,2010-08-31,2010-11-30,2011-03-31,2011-05-31,2011-08-31,2011-11-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-05-31,2014-08-31,2014-11-30,2015-03-31,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-31,2019-05-31,2019-08-31,2019-11-30
0,1608,4743,3533,3042,1313,2841,1712,2014,1718,1718,1718,1718,5387,2301,4961,1734,1725,3687,3661,1459,3515,5301,3538,4935,2312,5607,6278,6456,4966,4739,4168,3038,3354,1795,1626,3036,4912,6541,6231
1,3094,3234,2361,4733,6134,2108,3033,2354,3061,3061,3061,3061,2337,4306,4930,6187,3680,3130,3662,1729,3686,3042,5349,3471,6134,3030,2455,5347,2472,2524,4306,2380,2367,2361,6189,2367,2489,2456,3540
2,2456,2325,1103,1103,5469,6150,6141,4426,6239,6239,6239,6239,3081,3015,3367,5302,3673,4909,6589,3520,1103,1103,5346,3490,6126,3305,3697,3518,3031,1103,1103,2388,2362,2362,6191,1103,2477,6231,3538
3,1104,1104,4528,4943,5312,2109,6134,2368,6214,6214,6214,6214,3062,6255,2460,5283,3661,4906,2396,2396,2361,3044,2330,2399,6124,8078,3705,8110,6269,6177,8201,8240,8299,8341,6173,8411,2539,6230,6156
4,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,5280,3647,5903,2406,3452,6643,6689,6706,3498,8069,3022,8086,3530,5904,2511,1108,2392,2361,2367,6138,1108,8096,2449,3545
5,1109,2314,1109,1109,5288,1109,1109,1109,1109,1109,1109,1109,3090,3022,3315,5274,3645,4142,6548,3533,2383,1109,5443,1109,1109,1109,3688,2597,2330,2601,3005,8112,8155,8201,5525,8255,2456,2466,3530
6,2448,3221,1110,1110,4925,1110,1110,1110,6206,6206,6206,6206,3051,3035,2303,5269,3630,2396,2356,3534,1110,1110,5340,1110,1110,1110,1110,1110,3268,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
7,2459,2311,3230,2101,4148,6138,5701,2347,6154,6154,6154,6154,3044,6244,2476,5264,3624,3260,2355,3540,1201,1201,2317,3501,1201,1201,1201,3541,3296,2485,1201,2399,2380,2381,6223,1201,1201,2477,3553
8,4174,5288,1203,1203,4144,6126,5607,1203,1203,1203,1203,1203,1203,1203,1203,5349,6567,5904,2498,2355,6572,6679,5317,3450,6121,3338,3682,3553,3338,8179,8096,2409,2381,2388,8358,8110,8433,8433,8433
9,4171,3413,2614,3693,4132,5609,5604,2369,6121,6121,6121,6121,3033,2363,2228,5234,3617,6111,6456,3437,2390,3033,3372,2385,6120,3356,3679,8054,8122,6536,8070,8016,8053,8056,5505,8072,2449,2489,3527
10,2437,2342,4416,3689,3704,2227,5531,4180,6105,6105,6105,6105,3017,2379,6271,6547,3686,2359,6453,3553,2396,3049,5534,8039,6104,8039,3645,2723,2388,6143,3023,2330,2388,8053,5490,8033,2926,6196,3523
11,1216,1216,2367,3687,3681,5536,5466,4609,5536,5536,5536,5536,3013,2380,6257,5217,3583,2355,2347,3023,2406,3024,5609,3514,6141,3383,3630,3169,3339,6142,2721,6561,8042,2390,5489,6803,3026,2514,3514
12,2433,1217,1217,5349,3563,2314,5356,1217,1217,1217,1217,1217,1217,1217,2208,1217,1217,3388,1217,5604,1217,1217,2385,3443,1217,1217,1217,3561,2006,6495,1217,1217,1217,1217,1217,1217,1217,1217,1217
13,2419,3217,1218,2108,3552,1218,1218,1218,1218,1218,1218,1218,1218,1218,3452,1218,1218,3411,1218,6472,1218,1218,4942,3437,1218,3411,3614,2509,3380,2472,1218,6551,2390,6581,5480,6665,6541,6251,3508
14,4157,3519,2354,2023,3523,2321,1219,1219,1219,1219,1219,1219,2913,1219,3471,1219,3693,3413,2614,3428,2355,1219,4935,3527,1219,3294,3607,3611,3388,1219,1219,1219,1219,2393,5474,1219,3036,2539,1219
15,2466,2911,2610,2316,3518,5534,5340,1225,1225,1225,1225,1225,2912,1225,2204,5213,3576,3443,1225,3411,1225,1225,4930,3529,5609,3438,4126,3615,3413,6547,2707,6540,2393,2401,6274,1225,3038,8046,3556
16,4144,3211,4564,3611,3315,5522,5326,4167,5525,5525,5525,5392,2911,2382,3313,5364,3566,5425,6411,2329,6504,3062,6112,3532,5607,3450,3599,2481,3443,2455,3026,6525,2401,6567,5009,6582,2393,2397,6505
17,2501,5261,4576,3599,3211,5484,5227,4707,5392,5392,5392,5356,3264,2387,3296,5387,3707,2316,2905,5289,6492,6586,2399,3538,5534,2915,3593,8040,5478,3023,3031,2329,6572,6547,4984,2374,2388,6173,3561
18,2402,2015,4198,3598,3141,5438,4975,4725,5356,5356,5356,5301,6224,6189,6230,4943,3708,6196,2910,3356,6491,3016,4927,5483,5530,3452,8042,2466,3452,3026,3034,2439,6552,2332,4979,6561,3094,6166,6142
19,2395,3545,2350,2317,3042,5392,4968,2342,5301,5301,5301,5288,3266,3036,3294,4934,6538,4126,6274,2316,2437,3014,6126,5471,5478,3474,3558,3452,2485,3031,6706,6469,6538,2330,4968,6547,3095,6156,3481
