,2013-03-29 00:00:00,2013-05-31 00:00:00,2013-08-30 00:00:00,2013-11-29 00:00:00,2014-03-31 00:00:00,2014-05-30 00:00:00,2014-08-29 00:00:00,2014-11-28 00:00:00,2015-03-31 00:00:00,2015-05-29 00:00:00,2015-08-31 00:00:00,2015-11-30 00:00:00,2016-03-31 00:00:00,2016-05-31 00:00:00,2016-08-31 00:00:00,2016-11-30 00:00:00,2017-03-31 00:00:00,2017-05-31 00:00:00,2017-08-31 00:00:00,2017-11-30 00:00:00,2018-03-31 00:00:00,2018-05-31 00:00:00,2018-08-31 00:00:00,2018-11-30 00:00:00,2019-03-29 00:00:00,2019-05-31 00:00:00,2019-08-30 00:00:00,2019-11-29 00:00:00,2020-03-31 00:00:00,2020-05-29 00:00:00,2020-08-31 00:00:00,2020-11-30 00:00:00,2021-03-31 00:00:00,2021-05-31 00:00:00,2021-08-31 00:00:00,Unnamed: 37
0,8069,3105,1590,3176,2344,2615,6147,2327,5530,2344,5530,3105,8406,2344,8454,6147,2345,3673,5904,5903,2615,6446,2498,4966,2337,2615,6456,8454,9945,8069,3532,2610,5904,5903,6121,
1,1590,9910,2344,2344,5483,5530,2408,5483,3037,8046,2344,2344,8454,6147,8406,6121,3529,8069,4966,2201,8454,8069,6446,6121,5483,8454,2915,8436,6147,6147,2610,3532,5903,2385,2385,
2,3532,1590,2337,8046,2377,2377,1565,8044,8406,5904,3529,1590,1565,6456,6147,3552,3673,6446,5483,1722,3682,2615,2615,8069,8069,5904,4147,8069,2615,2915,6456,2371,1802,3293,5903,
3,3105,3532,3176,2337,3532,8046,4157,8046,2377,3105,6415,6488,6488,3529,2345,8454,6121,8454,4174,6147,5903,8436,6121,2498,6446,4147,8069,6456,8046,3293,3529,8069,3532,5904,1722,
4,9910,2408,3105,3532,8046,5483,5483,1565,8046,5530,3532,6415,3529,6488,6456,8069,6147,6121,1565,3673,6446,2201,4966,6456,8454,1802,8454,8046,8069,2615,2615,3529,1722,2371,2915,
5,8046,8046,3532,5483,2337,2337,3532,3529,3105,2377,2377,2609,3532,4966,6488,8406,2371,3529,6147,5904,1722,4966,1565,5904,2615,6456,2201,4147,2201,6456,2201,1802,3293,1722,3293,
6,2344,8069,2327,3105,2371,2408,3176,4157,5483,3529,3105,3529,3673,2609,3529,6456,1565,6147,3529,2371,2201,3682,2201,2201,5904,2201,1802,1802,6456,4743,2371,6147,1227,1227,5904,
7,5483,2327,8046,2371,2327,3532,2337,3532,5904,1565,3037,5530,2609,3532,3532,4966,8454,1565,6446,6121,5904,8454,3682,5269,5269,3682,5269,5269,2498,8436,6147,2915,6147,2915,6147,
8,2327,3176,5483,8069,8044,2371,4966,2337,1565,3037,1565,5483,3037,3673,8069,2345,8069,2492,2492,6446,6121,6121,5904,3682,2498,2498,2498,3682,1802,2201,2915,6456,2915,6147,1227,
9,2371,5483,8069,2377,3105,8069,8044,4966,3529,2337,5483,3552,4966,5530,4966,3529,8406,5530,6121,5530,8436,5904,5269,1565,3682,5269,3682,2201,3682,1802,8436,2201,2201,2201,2201,
10,4966,2371,2371,2408,8069,4966,2371,3105,2337,5483,8046,3037,5530,3037,2609,5530,5483,3037,8454,8454,4174,4174,8454,3037,2201,6446,4174,2498,5530,3682,1802,3682,6456,6456,6456,
11,2408,4966,2408,5904,4966,3105,3105,5904,4157,4966,4157,8046,5483,2345,5530,4157,8044,4966,5530,3529,3037,3529,3037,8454,1565,3529,6446,3293,8436,6446,6446,2609,3682,3682,8436,
12,2377,2377,2377,2327,5904,8044,8069,2371,4966,6415,4966,4157,8046,5483,3673,2371,4966,8044,2371,4174,3673,3673,4174,5530,4174,1565,3529,5530,3529,2498,3682,8436,4174,2498,3682,
13,8044,8044,8044,8044,6415,3529,6415,6415,3176,4157,2337,4966,4157,3293,4157,2492,5530,5483,3037,3037,3529,3037,3529,4174,5530,4174,8046,4174,6446,5530,2498,2498,6446,8436,2498,
14,5904,5904,5904,4966,2408,5904,3529,3176,2371,2371,3552,8069,8069,8046,3037,2609,2492,2371,8044,2609,5530,5530,5530,3673,8046,8046,3293,3529,4147,3529,4147,5530,8436,4174,6446,
15,2345,2345,4966,2345,3529,6415,5904,8069,6415,3176,8069,2337,2345,4157,5483,3037,3552,8406,8406,5269,2609,8406,3673,2609,3673,5530,5530,6446,1565,4147,5530,4147,3552,6446,8406,
16,4743,4743,2345,3552,2345,3552,3293,3293,8069,8069,2371,2371,3293,8069,2492,3673,3037,5269,2609,8436,5269,2609,2609,8046,8406,3673,1565,3673,3673,4174,4174,6446,2498,5530,4174,
17,3293,3293,3529,4743,3552,2345,2345,3552,5269,3552,3176,2345,2337,2492,8046,5483,2609,2609,5269,8406,8046,5269,8406,8406,3529,2609,3673,1565,4174,1565,3673,4174,5530,3673,5530,
18,3552,3529,4743,3529,4743,4743,4743,2345,3552,2492,2492,3176,2492,2371,3293,8046,4157,8046,4157,8046,8044,8046,8046,8044,2609,8406,2609,2609,2609,3673,2609,3673,3673,4147,1565,
