,2013-03-29,2013-05-31,2013-08-30,2013-11-29,2014-03-31,2014-05-30,2014-08-29,2014-11-28,2015-03-31,2015-05-29,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-29,2019-05-31,2019-08-30,2019-11-29,2020-03-31,2020-05-29,2020-08-31,2020-11-30,2021-03-31,2021-05-31,2021-08-31
0,5904,5871,1802,1301,2912,2912,9921,4966,3008,8299,6456,2498,9910,1476,3008,8436,5903,9921,8044,2395,2353,5904,2609,5347,8436,3682,2912,9921,2330,2498,9921,2330,2633,6669,3532
1,3293,1590,9945,2207,2227,2609,2912,2912,2912,3293,8436,3045,2912,1565,8436,3682,1476,2609,3552,2049,1227,3008,3045,6415,6415,6415,6505,3045,2912,2912,9910,2207,3034,6488,2330
2,5530,3293,2395,5269,2609,1565,5904,1227,6415,1590,3045,1565,2049,2498,2912,1590,8436,2498,2498,8454,8464,8464,3532,8454,2371,9921,2049,2207,3105,3045,6505,8046,5904,5904,8464
3,5871,5904,3045,6505,1802,4966,5903,3008,2049,3008,3008,2912,1227,1590,1227,9921,2609,3532,8454,8464,5904,3105,1565,5904,5904,3008,9921,9910,2207,9921,3552,6669,4966,2633,6488
4,2912,3529,2454,9945,4743,8044,2353,8436,2498,1227,8406,1227,8436,1227,1590,8454,2498,2912,3532,1476,2395,8454,5904,1590,9921,2912,3045,3008,4966,3532,8046,5904,2330,2049,6669
5,5903,3045,3293,5903,5903,2395,4966,5903,9910,2049,2207,9921,3682,3682,1476,2912,8464,1476,8436,3532,2498,9921,9921,2371,9910,2371,9910,5904,6669,6505,6669,3552,6505,2330,5904
6,3529,2395,6505,1802,2395,5903,2498,2498,1590,3552,2912,8436,2498,2049,8454,1476,8454,8454,2395,1565,3105,2395,3176,8464,8454,2207,3293,6505,3008,4966,2454,2633,9910,5269,1590
7,1802,9921,5903,4743,4966,3293,8436,8406,1227,2207,9921,9910,5903,8436,3682,3008,8044,8044,2609,2498,2049,1565,8464,2609,2609,5904,2371,1590,3045,2327,2379,4966,1476,2371,4157
8,3045,1802,9921,2227,1565,3008,1227,2049,8406,9910,1227,8406,8464,2395,2049,1227,3552,8464,4743,1227,3532,6415,2492,9921,1590,3045,2345,2345,8044,2345,1476,9910,2371,8046,2371
9,9921,2207,2207,4966,5269,5904,8406,6415,5903,5903,6415,8454,8454,8454,2498,2498,1227,4743,1227,5904,1565,3532,5347,3045,8464,8436,8454,1476,5904,5904,5904,6505,2049,2395,3552
10,1590,2912,1590,2395,8044,1227,3008,1590,3293,5269,2395,2395,2395,5903,2395,2395,2395,1227,6488,2345,6415,3176,2395,4966,6669,3552,1476,2049,3293,2371,2345,2345,8046,4966,1476
11,9945,2454,3529,2912,5904,8436,1476,9921,9921,8454,4743,5903,3176,5269,5903,6415,1590,3008,6415,4743,8044,2049,9910,2345,2912,8454,5904,3552,1590,6669,1590,2049,2395,3552,3176
12,2454,8044,2912,8044,1227,2049,1590,3293,2207,9921,5903,6415,1476,8464,8464,8044,3008,5903,8464,6488,3176,1476,6415,8436,3008,9910,3552,3105,2371,1590,4966,1476,2345,9910,8046
13,1227,1476,8044,1590,2498,6415,8044,5904,5904,8406,8454,1476,4743,4743,6415,4743,6415,1590,5904,3176,1476,1590,2345,9910,2345,1476,6415,4743,4743,2049,2049,2395,1590,2345,9910
14,8044,6505,5904,2498,8436,1590,2395,5269,2395,6415,3552,5269,5269,6415,8044,3552,6488,2395,4157,3105,2345,2327,3008,1476,1476,2395,3105,2395,2049,2395,2395,1590,3176,3176,2395
15,6505,1227,1227,1227,1590,1476,2049,2207,8454,2395,9910,4743,6415,3293,3176,5903,4743,6415,3008,3008,4743,4157,4743,2395,2395,2345,2395,6415,2395,8454,8454,3176,3552,1590,4966
16,1565,1565,1476,1565,2049,4743,6415,2395,5269,4743,5269,5904,3293,3176,4743,8464,3532,5904,1476,4157,8454,4743,1476,4743,4743,4743,4743,5269,8454,3176,3176,5269,5269,1476,2345
17,2049,2049,2049,5904,6415,2498,5269,1476,1476,5904,5904,3552,5904,5904,5269,5904,5904,3176,3176,6415,4157,8044,8436,3176,3176,5269,5269,2371,6415,6415,6415,6415,8454,4743,4147
18,8406,4743,4743,2049,3529,5269,3293,8044,8044,1476,1476,8044,8044,8044,3552,3176,3176,6488,1590,8436,1590,2492,3529,3529,3529,3176,3176,8044,3176,4174,4174,4174,4147,4147,4743
19,4743,8406,1565,8436,1476,8406,4743,4743,4743,8044,8044,3176,3552,3552,5904,3529,5269,5269,5903,1590,8436,5269,5269,5269,5269,3529,3529,3176,4174,3529,3529,4147,6415,4174,4174
20,2408,3176,8406,1476,8406,3529,3529,3529,3529,3176,3176,3529,3529,3529,3529,5269,3529,3529,5269,3529,5269,8436,8044,4174,4174,4147,8044,3529,3529,4743,4147,3529,4174,8454,5269
21,3176,2408,3176,8406,4157,4157,3176,3176,3176,3529,3529,4174,4174,4174,4174,4147,4147,4147,3529,5269,3529,3529,4174,4147,4147,4174,4174,4174,5269,4147,5269,8454,4743,6415,8454
22,,,2408,3176,3176,3176,4157,4157,4174,4174,4174,4147,4147,4147,4147,4174,4174,4174,4174,4174,4174,4174,4157,4157,4157,8044,4147,4147,4147,5269,4743,6446,3529,3529,6415
23,,,,,,,,,4157,4157,4157,4157,4157,4157,4157,4157,4157,6446,4147,4147,4147,4147,4147,8044,6446,4157,4157,4157,4157,4157,6446,4743,6446,6446,3529
24,,,,,,,,,,,,,,,6446,6446,6446,4157,6446,6446,6446,6446,6446,6446,8044,6446,6446,6446,6446,6446,4157,4157,4157,4157,6446
