,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2017-10-24,6.63,6.66,6.63,6.66,3,1,-66.7,00636K
1,2017-10-25,6.65,6.67,6.65,6.67,4,1,0.1502,00636K
2,2017-10-26,6.73,6.73,6.73,6.73,0,1,0.8996,00636K
3,2017-10-27,6.75,6.79,6.75,6.79,3,1,0.8915,00636K
4,2017-10-30,6.82,6.82,6.82,6.82,0,1,0.4418,00636K
5,2017-10-31,6.82,6.82,6.82,6.82,0,1,0.0,00636K
6,2017-11-01,6.85,6.85,6.85,6.85,4,1,0.4399,00636K
7,2017-11-02,6.85,6.85,6.85,6.85,0,1,0.0,00636K
8,2017-11-03,6.83,6.83,6.83,6.83,3,1,-0.292,00636K
9,2017-11-06,6.83,6.83,6.83,6.83,0,1,0.0,00636K
10,2017-11-07,6.8,6.8,6.8,6.8,0,1,-0.4392,00636K
11,2017-11-08,6.93,6.93,6.93,6.93,3,1,1.9118,00636K
12,2017-11-09,6.93,6.93,6.93,6.93,0,1,0.0,00636K
13,2017-11-10,6.89,6.89,6.89,6.89,0,1,-0.5772,00636K
14,2017-11-13,7.01,7.04,7.02,7.04,622,1,2.1771,00636K
15,2017-11-14,7.01,7.09,7.09,7.01,446,2,-0.4261,00636K
16,2017-11-15,6.95,6.97,6.97,6.95,823,2,-0.8559,00636K
17,2017-11-16,6.98,7.0,6.98,7.0,1005,2,0.7194,00636K
18,2017-11-17,7.04,7.06,7.06,7.04,633,2,0.5714,00636K
19,2017-11-20,7.05,7.09,7.09,7.05,634,2,0.142,00636K
20,2017-11-21,7.15,7.33,7.15,7.33,633,2,3.9716,00636K
21,2017-11-22,7.42,7.44,7.42,7.44,595,2,1.5007,00636K
22,2017-11-23,7.38,7.38,7.38,7.38,590,2,-0.8065,00636K
23,2017-11-24,7.17,7.26,7.26,7.21,829,2,-2.3035,00636K
24,2017-11-27,7.11,7.16,7.16,7.11,716,2,-1.387,00636K
25,2017-11-28,7.05,7.1,7.1,7.05,341,2,-0.8439,00636K
26,2017-11-29,7.05,7.14,7.12,7.07,708,2,0.2837,00636K
27,2017-11-30,7.05,7.08,7.08,7.08,605,2,0.1414,00636K
28,2017-12-01,6.97,6.97,6.97,6.97,836,2,-1.5537,00636K
29,2017-12-04,6.92,7.01,6.92,7.01,844,2,0.5739,00636K
30,2017-12-05,7.1,7.1,7.1,7.1,852,2,1.2839,00636K
31,2017-12-06,7.03,7.04,7.03,7.04,844,2,-0.8451,00636K
32,2017-12-07,6.92,6.96,6.96,6.92,900,2,-1.7045,00636K
33,2017-12-08,6.91,6.91,6.91,6.91,829,2,-0.1445,00636K
34,2017-12-11,7.04,7.04,7.04,7.04,844,2,1.8813,00636K
35,2017-12-12,7.05,7.05,7.05,7.05,846,2,0.142,00636K
36,2017-12-13,7.0,7.0,7.0,7.0,840,2,-0.7092,00636K
37,2017-12-14,7.04,7.06,7.06,7.04,880,2,0.5714,00636K
38,2017-12-15,6.95,6.96,6.95,6.95,938,2,-1.2784,00636K
39,2017-12-18,6.95,6.97,6.97,6.95,834,2,0.0,00636K
40,2017-12-19,7.02,7.02,7.02,7.02,842,2,1.0072,00636K
41,2017-12-20,7.07,7.1,7.1,7.07,924,2,0.7123,00636K
42,2017-12-21,7.19,7.19,7.19,7.19,862,2,1.6973,00636K
43,2017-12-22,7.17,7.18,7.18,7.17,1075,2,-0.2782,00636K
44,2017-12-25,7.19,7.19,7.19,7.19,862,2,0.2789,00636K
45,2017-12-26,7.16,7.16,7.16,7.16,1146,3,-0.4172,00636K
46,2017-12-27,7.15,7.19,7.18,7.15,1360,3,-0.1397,00636K
47,2017-12-28,7.07,7.12,7.07,7.12,1142,3,-0.4196,00636K
48,2017-12-29,7.12,7.18,7.15,7.12,1290,2,0.0,00636K
49,2018-01-02,7.29,7.3,7.3,7.29,1170,2,2.3876,00636K
50,2018-01-03,7.32,7.38,7.32,7.38,1107,2,1.2346,00636K
51,2018-01-04,7.31,7.36,7.31,7.35,1255,2,-0.4065,00636K
52,2018-01-05,7.39,7.39,7.39,7.39,1182,2,0.5442,00636K
53,2018-01-08,7.41,7.42,7.42,7.41,1187,2,0.2706,00636K
54,2018-01-09,7.45,7.45,7.45,7.45,1194,2,0.5398,00636K
55,2018-01-10,7.51,7.54,7.51,7.54,1207,2,1.2081,00636K
56,2018-01-11,7.52,7.54,7.54,7.52,1053,2,-0.2653,00636K
57,2018-01-12,7.52,7.58,7.52,7.58,1213,3,0.7979,00636K
58,2018-01-15,7.69,7.8,7.69,7.8,1263,3,2.9024,00636K
59,2018-01-16,7.84,7.84,7.84,7.84,1254,3,0.5128,00636K
60,2018-01-17,7.85,7.97,7.95,7.85,1267,3,0.1276,00636K
61,2018-01-18,7.9,7.95,7.94,7.9,1385,3,0.6369,00636K
62,2018-01-19,7.96,8.05,7.96,8.04,1288,3,1.7722,00636K
63,2018-01-22,8.03,8.03,8.03,8.03,1284,3,-0.1244,00636K
64,2018-01-23,8.12,8.15,8.15,8.13,1626,3,1.2453,00636K
65,2018-01-24,8.11,8.16,8.14,8.15,1631,3,0.246,00636K
66,2018-01-25,8.08,8.14,8.08,8.14,1424,3,-0.1227,00636K
67,2018-01-26,8.16,8.22,8.16,8.22,1318,3,0.9828,00636K
