,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2016-08-05,19.54,19.8,19.8,19.58,55672,423,0.0,00666R
1,2016-08-08,19.33,19.49,19.35,19.38,58437,400,-1.0215,00666R
2,2016-08-09,19.21,19.31,19.28,19.21,44479,396,-0.8772,00666R
3,2016-08-10,19.02,19.17,19.14,19.03,52756,392,-0.937,00666R
4,2016-08-11,18.94,19.17,19.14,18.94,48125,391,-0.4729,00666R
5,2016-08-12,18.58,18.85,18.85,18.63,40021,384,-1.6367,00666R
6,2016-08-15,18.3,18.68,18.68,18.3,54642,377,-1.7713,00666R
7,2016-08-16,18.2,18.4,18.27,18.28,37781,377,-0.1093,00666R
8,2016-08-17,18.23,18.37,18.23,18.33,51796,378,0.2735,00666R
9,2016-08-18,18.3,18.44,18.43,18.34,43119,378,0.0546,00666R
10,2016-08-19,18.37,18.63,18.37,18.54,35828,382,1.0905,00666R
11,2016-08-22,18.54,18.77,18.56,18.72,40703,386,0.9709,00666R
12,2016-08-23,18.59,18.72,18.72,18.64,38074,384,-0.4274,00666R
13,2016-08-24,18.65,18.85,18.65,18.81,41361,388,0.912,00666R
14,2016-08-25,18.69,18.84,18.76,18.74,43434,386,-0.3721,00666R
15,2016-08-26,18.62,18.76,18.76,18.66,25206,385,-0.4269,00666R
16,2016-08-29,18.78,18.92,18.79,18.78,47113,378,0.6431,00666R
17,2016-08-30,18.59,18.66,18.63,18.61,46942,375,-0.9052,00666R
18,2016-08-31,18.61,18.66,18.65,18.65,37500,366,0.2149,00666R
19,2016-09-01,18.63,18.84,18.81,18.66,44647,338,0.0536,00666R
20,2016-09-02,18.45,18.62,18.62,18.45,43708,334,-1.1254,00666R
21,2016-09-05,18.11,18.2,18.18,18.12,37570,328,-1.7886,00666R
22,2016-09-06,18.0,18.1,18.06,18.01,26119,317,-0.6071,00666R
23,2016-09-07,17.8,18.0,18.0,17.87,22666,306,-0.7773,00666R
24,2016-09-08,17.82,17.9,17.9,17.83,19026,305,-0.2238,00666R
25,2016-09-09,17.56,17.84,17.83,17.56,16626,301,-1.5143,00666R
26,2016-09-10,17.97,18.13,17.98,18.01,2237,308,2.5626,00666R
27,2016-09-12,18.21,18.4,18.23,18.36,36554,314,1.9434,00666R
28,2016-09-13,18.19,18.38,18.24,18.37,16931,315,0.0545,00666R
29,2016-09-14,18.5,18.66,18.58,18.63,23326,319,1.4154,00666R
30,2016-09-19,18.07,18.36,18.31,18.1,30042,310,-2.8449,00666R
31,2016-09-20,18.19,18.27,18.23,18.21,10889,312,0.6077,00666R
32,2016-09-21,18.07,18.29,18.23,18.07,23198,309,-0.7688,00666R
33,2016-09-22,17.57,17.96,17.96,17.79,18783,305,-1.5495,00666R
34,2016-09-23,17.77,18.03,17.77,18.0,28069,308,1.1804,00666R
35,2016-09-26,18.13,18.33,18.13,18.22,33146,312,1.2222,00666R
36,2016-09-29,18.05,18.18,18.08,18.08,43921,310,-0.7684,00666R
37,2016-09-30,18.28,18.36,18.29,18.28,27520,313,1.1062,00666R
38,2016-10-03,18.14,18.26,18.23,18.26,27016,313,-0.1094,00666R
39,2016-10-04,18.18,18.26,18.22,18.18,22053,311,-0.4381,00666R
40,2016-10-05,17.94,18.27,18.27,18.0,22964,308,-0.9901,00666R
41,2016-10-06,17.81,17.98,17.96,17.81,20577,305,-1.0556,00666R
42,2016-10-07,17.8,17.88,17.81,17.84,20828,305,0.1684,00666R
43,2016-10-11,17.61,18.14,17.68,18.06,10952,309,1.2332,00666R
44,2016-10-12,18.03,18.41,18.03,18.37,11857,315,1.7165,00666R
45,2016-10-13,18.37,18.64,18.5,18.61,40445,319,1.3065,00666R
46,2016-10-14,18.51,18.63,18.57,18.51,19650,317,-0.5373,00666R
47,2016-10-17,18.48,18.62,18.57,18.51,22716,317,0.0,00666R
48,2016-10-18,18.26,18.46,18.46,18.26,12848,313,-1.3506,00666R
49,2016-10-19,18.18,18.28,18.2,18.28,26430,313,0.1095,00666R
50,2016-10-20,18.14,18.2,18.15,18.17,20600,311,-0.6018,00666R
51,2016-10-21,18.27,18.27,18.27,18.27,3836,313,0.5504,00666R
52,2016-10-24,18.03,18.33,18.27,18.05,18005,309,-1.2042,00666R
53,2016-10-25,17.98,18.04,18.04,18.0,17140,308,-0.277,00666R
54,2016-10-26,18.08,18.2,18.08,18.18,22874,311,1.0,00666R
55,2016-10-27,18.21,18.55,18.24,18.51,25818,317,1.8152,00666R
56,2016-10-28,18.36,18.51,18.45,18.45,22030,316,-0.3241,00666R
57,2016-10-31,18.33,18.67,18.54,18.38,20028,315,-0.3794,00666R
58,2016-11-01,18.05,18.46,18.44,18.09,33242,310,-1.5778,00666R
59,2016-11-02,18.15,18.56,18.15,18.55,20623,318,2.5428,00666R
60,2016-11-03,18.44,18.61,18.55,18.48,22542,316,-0.3774,00666R
61,2016-11-04,18.49,18.64,18.6,18.55,16044,318,0.3788,00666R
62,2016-11-07,18.38,18.51,18.51,18.4,5529,315,-0.8086,00666R
63,2016-11-08,18.18,18.4,18.4,18.3,20772,313,-0.5435,00666R
64,2016-11-09,18.1,19.24,18.1,18.99,24773,325,3.7705,00666R
65,2016-11-10,18.25,18.85,18.85,18.33,11835,314,-3.4755,00666R
66,2016-11-11,18.47,18.89,18.47,18.63,17067,319,1.6367,00666R
67,2016-11-14,18.81,19.03,18.9,18.87,15464,304,1.2882,00666R
68,2016-11-15,18.73,18.85,18.82,18.79,16295,294,-0.424,00666R
69,2016-11-16,18.6,18.71,18.64,18.68,4839,292,-0.5854,00666R
70,2016-11-17,18.76,18.94,18.88,18.88,19399,286,1.0707,00666R
71,2016-11-18,18.93,19.03,18.96,18.96,25731,287,0.4237,00666R
72,2016-11-21,18.64,18.92,18.92,18.74,14434,283,-1.1603,00666R
73,2016-11-22,18.32,18.59,18.59,18.33,15149,277,-2.1878,00666R
74,2016-11-23,18.08,18.26,18.26,18.17,17070,266,-0.8729,00666R
75,2016-11-24,18.26,18.43,18.4,18.28,17500,267,0.6054,00666R
76,2016-11-25,18.05,18.27,18.25,18.11,16008,265,-0.93,00666R
77,2016-11-28,17.77,18.0,18.0,17.77,19974,260,-1.8774,00666R
78,2016-11-29,17.77,17.97,17.77,17.83,18807,261,0.3376,00666R
79,2016-11-30,17.7,17.88,17.79,17.88,10646,253,0.2804,00666R
80,2016-12-01,17.67,17.77,17.76,17.76,2248,251,-0.6711,00666R
81,2016-12-02,17.91,18.05,17.92,18.01,11402,245,1.4077,00666R
82,2016-12-05,18.04,18.21,18.04,18.21,15200,248,1.1105,00666R
83,2016-12-06,18.0,18.06,18.06,18.04,4633,246,-0.9336,00666R
84,2016-12-07,17.71,18.03,17.84,17.95,1593,236,-0.4989,00666R
85,2016-12-08,17.67,17.75,17.7,17.7,20123,232,-1.3928,00666R
86,2016-12-09,17.72,17.87,17.82,17.77,14330,233,0.3955,00666R
87,2016-12-12,17.79,18.11,17.87,18.1,10795,238,1.8571,00666R
88,2016-12-13,18.11,18.24,18.16,18.18,14299,230,0.442,00666R
89,2016-12-14,17.98,18.08,17.98,18.02,6239,227,-0.8801,00666R
90,2016-12-15,18.3,18.64,18.3,18.58,10333,235,3.1077,00666R
91,2016-12-16,18.42,18.65,18.64,18.53,13967,225,-0.2691,00666R
92,2016-12-19,18.61,18.8,18.61,18.77,10780,228,1.2952,00666R
93,2016-12-20,18.77,18.94,18.77,18.94,12703,230,0.9057,00666R
94,2016-12-21,18.83,18.95,18.95,18.84,7676,228,-0.528,00666R
95,2016-12-22,18.94,19.15,18.94,19.14,18754,222,1.5924,00666R
96,2016-12-23,19.23,19.35,19.26,19.35,14663,225,1.0972,00666R
97,2016-12-26,19.35,19.4,19.4,19.39,813,225,0.2067,00666R
98,2016-12-27,19.18,19.25,19.24,19.18,5213,223,-1.083,00666R
99,2016-12-28,19.09,19.22,19.18,19.1,16095,203,-0.4171,00666R
100,2016-12-29,19.01,19.11,19.07,19.06,8181,202,-0.2094,00666R
101,2016-12-30,18.76,18.9,18.88,18.76,20781,190,-1.574,00666R
