,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2016-12-30,19.93,20.02,19.99,19.93,76647,652,0.0,00677U
1,2017-01-03,20.03,20.16,20.05,20.04,68855,655,0.5519,00677U
2,2017-01-04,18.89,19.09,19.09,18.92,47088,619,-5.5888,00677U
3,2017-01-05,18.07,18.26,18.26,18.07,55391,591,-4.4926,00677U
4,2017-01-06,17.77,17.85,17.85,17.84,69384,584,-1.2728,00677U
5,2017-01-09,17.65,17.7,17.7,17.69,63547,579,-0.8408,00677U
6,2017-01-10,17.62,17.7,17.7,17.67,55620,578,-0.1131,00677U
7,2017-01-11,17.55,17.63,17.59,17.6,47641,576,-0.3962,00677U
8,2017-01-12,17.14,17.37,17.28,17.3,76057,566,-1.7045,00677U
9,2017-01-13,17.08,17.13,17.1,17.08,69117,559,-1.2717,00677U
10,2017-01-16,17.1,17.29,17.11,17.22,87601,563,0.8197,00677U
11,2017-01-17,17.09,17.2,17.16,17.16,64876,587,-0.3484,00677U
12,2017-01-18,16.79,16.98,16.98,16.79,93923,591,-2.1562,00677U
13,2017-01-19,16.88,16.93,16.9,16.93,35143,596,0.8338,00677U
14,2017-01-20,17.0,17.1,17.06,17.09,60959,602,0.9451,00677U
15,2017-01-23,16.56,16.64,16.58,16.6,65010,593,-2.8672,00677U
16,2017-01-24,16.13,16.26,16.26,16.15,90171,577,-2.7108,00677U
17,2017-02-02,15.16,15.39,15.36,15.39,60580,557,-4.7059,00677U
18,2017-02-03,15.3,15.43,15.36,15.38,38845,595,-0.065,00677U
19,2017-02-06,14.85,14.96,14.96,14.86,65396,575,-3.381,00677U
20,2017-02-07,14.88,14.93,14.88,14.92,33982,578,0.4038,00677U
21,2017-02-08,14.94,15.06,14.94,14.99,40799,580,0.4692,00677U
22,2017-02-09,14.94,15.02,14.98,14.94,36864,593,-0.3336,00677U
23,2017-02-10,14.6,14.67,14.66,14.64,45187,581,-2.008,00677U
24,2017-02-13,14.2,14.26,14.26,14.2,37835,571,-3.0055,00677U
25,2017-02-14,13.85,13.93,13.9,13.87,46519,578,-2.3239,00677U
26,2017-02-15,13.08,13.2,13.18,13.08,52741,552,-5.6957,00677U
27,2017-02-16,13.6,13.66,13.6,13.64,55545,576,4.2813,00677U
28,2017-02-17,13.79,13.88,13.8,13.88,48968,607,1.7595,00677U
29,2017-02-18,13.78,13.92,13.88,13.92,12164,608,0.2882,00677U
30,2017-02-20,13.82,13.89,13.89,13.82,35295,604,-0.7184,00677U
31,2017-02-21,13.81,13.88,13.82,13.87,26772,606,0.3618,00677U
32,2017-02-22,13.98,14.06,13.98,14.04,46809,628,1.2257,00677U
33,2017-02-23,14.14,14.24,14.16,14.23,42788,636,1.3533,00677U
34,2017-02-24,14.48,14.63,14.48,14.6,51719,653,2.6001,00677U
35,2017-03-01,14.21,14.44,14.4,14.24,74028,651,-2.4658,00677U
36,2017-03-02,14.17,14.29,14.17,14.26,31644,666,0.1404,00677U
37,2017-03-03,14.19,14.3,14.21,14.3,40737,668,0.2805,00677U
38,2017-03-06,13.92,13.98,13.98,13.97,45304,680,-2.3077,00677U
39,2017-03-07,13.63,13.73,13.73,13.64,55017,685,-2.3622,00677U
40,2017-03-08,13.68,13.89,13.69,13.81,33609,714,1.2463,00677U
41,2017-03-09,13.68,13.71,13.7,13.69,31388,715,-0.8689,00677U
42,2017-03-10,13.64,13.7,13.69,13.64,32018,733,-0.3652,00677U
43,2017-03-13,13.44,13.55,13.55,13.46,29427,723,-1.3196,00677U
44,2017-03-14,13.09,13.3,13.25,13.1,53623,710,-2.6746,00677U
45,2017-03-15,13.28,13.34,13.33,13.3,28092,801,1.5267,00677U
46,2017-03-16,12.81,12.9,12.9,12.86,64813,819,-3.3083,00677U
47,2017-03-17,12.55,12.6,12.6,12.57,38137,820,-2.2551,00677U
48,2017-03-20,12.59,12.62,12.59,12.6,30668,822,0.2387,00677U
49,2017-03-21,12.28,12.44,12.44,12.31,27447,803,-2.3016,00677U
50,2017-03-22,12.9,13.15,12.9,13.09,68797,860,6.3363,00677U
51,2017-03-23,12.96,12.99,12.98,12.99,34107,860,-0.7639,00677U
52,2017-03-24,13.14,13.21,13.14,13.2,48994,874,1.6166,00677U
53,2017-03-27,13.42,13.51,13.46,13.48,77295,899,2.1212,00677U
54,2017-03-28,12.69,12.76,12.76,12.73,60980,856,-5.5638,00677U
55,2017-03-29,12.08,12.2,12.2,12.19,60534,844,-4.2419,00677U
56,2017-03-30,12.07,12.14,12.1,12.14,37223,840,-0.4102,00677U
57,2017-03-31,12.12,12.23,12.2,12.23,39753,853,0.7414,00677U
58,2017-04-05,12.25,12.4,12.26,12.34,35370,860,0.8994,00677U
59,2017-04-06,12.8,12.87,12.8,12.85,53018,896,4.1329,00677U
60,2017-04-07,12.5,13.03,12.53,12.71,95767,899,-1.0895,00677U
61,2017-04-10,12.74,12.81,12.79,12.8,33722,911,0.7081,00677U
62,2017-04-11,13.39,13.61,13.41,13.54,115990,964,5.7812,00677U
63,2017-04-12,13.97,14.1,14.07,14.0,93111,983,3.3973,00677U
64,2017-04-13,14.0,14.23,14.13,14.0,82724,976,0.0,00677U
65,2017-04-14,14.2,14.39,14.28,14.37,55981,1002,2.6429,00677U
66,2017-04-17,14.22,14.38,14.33,14.27,58573,916,-0.6959,00677U
67,2017-04-18,13.46,13.53,13.52,13.5,58071,867,-5.3959,00677U
68,2017-04-19,13.44,13.55,13.5,13.45,34502,864,-0.3704,00677U
69,2017-04-20,13.59,13.67,13.61,13.63,40309,868,1.3383,00677U
70,2017-04-21,13.38,13.44,13.4,13.38,46087,859,-1.8342,00677U
71,2017-04-24,12.53,12.63,12.56,12.59,103435,840,-5.9043,00677U
72,2017-04-25,12.03,12.17,12.15,12.04,150566,924,-4.3685,00677U
73,2017-04-26,11.78,11.83,11.81,11.8,89758,946,-1.9934,00677U
74,2017-04-27,11.73,11.79,11.79,11.77,62924,991,-0.2542,00677U
75,2017-04-28,11.73,11.78,11.75,11.78,47456,1004,0.085,00677U
76,2017-05-02,11.28,11.34,11.3,11.34,63366,1012,-3.7351,00677U
77,2017-05-03,11.32,11.42,11.36,11.42,45620,1036,0.7055,00677U
78,2017-05-04,11.46,11.52,11.5,11.52,28070,1051,0.8757,00677U
79,2017-05-05,11.24,11.4,11.26,11.39,77969,1073,-1.1285,00677U
80,2017-05-08,11.18,11.25,11.24,11.2,50320,1094,-1.6681,00677U
81,2017-05-09,11.0,11.03,11.03,11.02,54680,1126,-1.6071,00677U
82,2017-05-10,11.04,11.1,11.09,11.08,43944,1149,0.5445,00677U
83,2017-05-11,11.08,11.1,11.1,11.1,32049,1151,0.1805,00677U
84,2017-05-12,11.11,11.15,11.12,11.15,66537,1195,0.4505,00677U
85,2017-05-15,10.89,10.96,10.96,10.9,54086,1196,-2.2422,00677U
86,2017-05-16,10.65,10.75,10.7,10.71,55124,1180,-1.7431,00677U
87,2017-05-17,10.93,11.15,10.95,11.08,87988,1232,3.4547,00677U
88,2017-05-18,11.96,12.37,12.23,12.11,345752,1310,9.296,00677U
89,2017-05-19,12.18,12.25,12.18,12.18,114249,1257,0.578,00677U
90,2017-05-22,11.23,11.35,11.35,11.26,137762,1162,-7.5534,00677U
91,2017-05-23,10.98,11.04,11.01,11.02,118832,1154,-2.1314,00677U
92,2017-05-24,10.99,11.03,11.02,11.02,76015,1181,0.0,00677U
93,2017-05-25,10.56,10.72,10.63,10.7,148238,1383,-2.9038,00677U
94,2017-05-26,10.65,10.72,10.68,10.68,93721,1476,-0.1869,00677U
95,2017-05-31,10.45,10.51,10.51,10.49,110474,1555,-1.779,00677U
96,2017-06-01,10.4,10.48,10.45,10.46,50408,1550,-0.286,00677U
97,2017-06-02,10.2,10.24,10.24,10.22,93248,1622,-2.2945,00677U
98,2017-06-03,10.22,10.35,10.23,10.34,23673,1641,1.1742,00677U
99,2017-06-05,10.29,10.36,10.35,10.3,43307,1640,-0.3868,00677U
100,2017-06-06,10.37,10.41,10.38,10.41,55160,1663,1.068,00677U
101,2017-06-07,10.49,10.53,10.52,10.51,88794,1700,0.9606,00677U
102,2017-06-08,10.41,10.49,10.49,10.45,70509,1700,-0.5709,00677U
103,2017-06-09,10.24,10.31,10.31,10.25,62176,1683,-1.9139,00677U
104,2017-06-12,10.37,10.49,10.41,10.49,104158,1796,2.3415,00677U
105,2017-06-13,10.35,10.41,10.41,10.38,49018,1819,-1.0486,00677U
106,2017-06-14,10.12,10.19,10.15,10.16,93260,1887,-2.1195,00677U
107,2017-06-15,10.16,10.24,10.19,10.23,64024,1900,0.689,00677U
108,2017-06-16,10.13,10.21,10.18,10.16,78678,1938,-0.6843,00677U
109,2017-06-19,10.05,10.12,10.12,10.06,48402,1929,-0.9843,00677U
110,2017-06-20,9.84,9.9,9.9,9.86,87267,1910,-1.9881,00677U
111,2017-06-21,9.9,10.0,9.9,9.98,65302,1958,1.217,00677U
112,2017-06-22,10.0,10.04,10.0,10.03,28692,1968,0.501,00677U
113,2017-06-23,9.9,9.94,9.92,9.93,79147,2003,-0.997,00677U
114,2017-06-26,9.72,9.8,9.8,9.75,85287,1991,-1.8127,00677U
115,2017-06-27,9.58,9.6,9.6,9.6,79989,1994,-1.5385,00677U
116,2017-06-28,9.9,10.03,9.95,10.03,125316,2108,4.4792,00677U
117,2017-06-29,9.57,9.64,9.62,9.63,111425,2313,-3.988,00677U
118,2017-06-30,9.88,9.99,9.91,9.97,91163,2440,3.5306,00677U
119,2017-07-03,9.87,9.98,9.98,9.97,55130,2490,0.0,00677U
120,2017-07-04,10.07,10.18,10.07,10.18,78278,2542,2.1063,00677U
121,2017-07-05,10.14,10.23,10.15,10.15,59973,2535,-0.2947,00677U
122,2017-07-06,10.11,10.15,10.13,10.15,42035,2535,0.0,00677U
123,2017-07-07,10.47,10.55,10.55,10.48,148687,2617,3.2512,00677U
124,2017-07-10,10.16,10.26,10.25,10.18,77023,2542,-2.8626,00677U
125,2017-07-11,10.08,10.13,10.11,10.12,72804,2527,-0.5894,00677U
126,2017-07-12,9.98,10.07,10.05,10.02,82465,2502,-0.9881,00677U
127,2017-07-13,9.69,9.79,9.71,9.78,125405,2442,-2.3952,00677U
128,2017-07-14,9.69,9.73,9.71,9.72,81900,2427,-0.6135,00677U
129,2017-07-17,9.36,9.51,9.36,9.5,109111,2372,-2.2634,00677U
130,2017-07-18,9.41,9.51,9.45,9.47,68433,2365,-0.3158,00677U
131,2017-07-19,9.33,9.42,9.4,9.34,126541,2332,-1.3728,00677U
132,2017-07-20,9.19,9.25,9.25,9.2,95996,2297,-1.4989,00677U
133,2017-07-21,9.13,9.19,9.19,9.16,83012,2287,-0.4348,00677U
134,2017-07-24,9.1,9.23,9.15,9.19,50726,2295,0.3275,00677U
135,2017-07-25,9.07,9.12,9.11,9.08,69026,2267,-1.197,00677U
136,2017-07-26,8.99,9.09,9.0,9.09,68513,2270,0.1101,00677U
137,2017-07-27,8.99,9.05,9.0,9.01,57215,2250,-0.8801,00677U
138,2017-07-28,9.1,9.41,9.1,9.41,78986,2350,4.4395,00677U
139,2017-07-31,9.28,9.42,9.39,9.3,61569,2322,-1.169,00677U
140,2017-08-01,9.17,9.29,9.24,9.29,52218,2320,-0.1075,00677U
141,2017-08-02,9.16,9.22,9.2,9.17,46015,2290,-1.2917,00677U
142,2017-08-03,9.17,9.34,9.2,9.23,92849,2582,0.6543,00677U
143,2017-08-04,8.78,9.02,8.89,8.88,285343,2732,-3.792,00677U
144,2017-08-07,8.68,8.73,8.71,8.69,152166,2796,-2.1396,00677U
