,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2017-03-14,19.93,20.0,20.0,19.98,47612,218,0.0,00683L
1,2017-03-15,20.03,20.06,20.04,20.05,18542,219,0.3504,00683L
2,2017-03-16,19.57,19.63,19.63,19.61,18926,214,-2.1945,00683L
3,2017-03-17,19.47,19.54,19.54,19.49,11359,213,-0.6119,00683L
4,2017-03-20,19.44,19.5,19.5,19.44,3326,213,-0.2565,00683L
5,2017-03-21,19.42,19.49,19.48,19.49,8784,213,0.2572,00683L
6,2017-03-22,19.26,19.32,19.3,19.27,14329,211,-1.1288,00683L
7,2017-03-23,19.26,19.27,19.26,19.27,11652,211,0.0,00683L
8,2017-03-24,19.33,19.36,19.34,19.35,9288,212,0.4152,00683L
9,2017-03-27,19.09,19.15,19.15,19.11,12892,209,-1.2403,00683L
10,2017-03-28,19.04,19.08,19.08,19.05,1162,208,-0.314,00683L
11,2017-03-29,19.24,19.3,19.27,19.3,11863,211,1.3123,00683L
12,2017-03-30,19.38,19.42,19.4,19.4,14214,212,0.5181,00683L
13,2017-03-31,19.56,19.61,19.57,19.59,9437,214,0.9794,00683L
14,2017-04-05,19.56,19.7,19.7,19.6,940,214,0.051,00683L
15,2017-04-06,19.54,19.6,19.54,19.6,880,214,0.0,00683L
16,2017-04-07,19.64,19.69,19.69,19.68,1082,215,0.4082,00683L
17,2017-04-10,19.89,19.93,19.9,19.91,2189,218,1.1687,00683L
18,2017-04-11,19.79,19.84,19.84,19.82,1288,217,-0.452,00683L
19,2017-04-12,19.67,19.72,19.7,19.7,16634,215,-0.6054,00683L
20,2017-04-13,19.42,19.46,19.46,19.44,1342,213,-1.3198,00683L
21,2017-04-14,19.51,19.64,19.51,19.64,234,215,1.0288,00683L
22,2017-04-17,19.52,19.55,19.54,19.55,15869,214,-0.4582,00683L
23,2017-04-18,19.5,19.53,19.53,19.53,8736,214,-0.1023,00683L
24,2017-04-19,19.22,19.26,19.23,19.24,4808,210,-1.4849,00683L
25,2017-04-20,19.29,19.33,19.29,19.29,5774,211,0.2599,00683L
26,2017-04-21,19.28,19.3,19.3,19.29,7097,211,0.0,00683L
27,2017-04-24,19.01,19.1,19.03,19.03,8886,208,-1.3478,00683L
28,2017-04-25,18.78,19.01,18.78,19.0,19640,208,-0.1576,00683L
29,2017-04-26,18.83,18.88,18.87,18.83,12134,206,-0.8947,00683L
30,2017-04-27,18.85,18.92,18.92,18.89,14917,207,0.3186,00683L
31,2017-04-28,18.96,19.01,18.98,19.01,4082,208,0.6353,00683L
32,2017-05-02,18.89,19.01,19.01,18.92,17751,207,-0.4734,00683L
33,2017-05-03,18.85,18.9,18.87,18.9,5456,207,-0.1057,00683L
34,2017-05-04,19.04,19.08,19.08,19.06,3660,208,0.8466,00683L
35,2017-05-05,18.81,18.87,18.87,18.81,16763,206,-1.3116,00683L
36,2017-05-08,18.81,18.86,18.81,18.85,3185,206,0.2127,00683L
37,2017-05-09,18.98,19.0,18.98,19.0,2811,208,0.7958,00683L
38,2017-05-10,19.11,19.14,19.12,19.14,1605,209,0.7368,00683L
