,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2019-08-28,8.705,8.705,8.705,8.705,0,0,0.0,00774C
1,2019-08-29,8.7337,8.7337,8.7337,8.7337,0,0,0.3297,00774C
2,2019-08-30,8.7242,8.7242,8.7242,8.7242,0,0,-0.1095,00774C
3,2019-09-02,8.7242,8.7242,8.7242,8.7242,0,0,0.0,00774C
4,2019-09-03,8.6476,8.6476,8.6476,8.6476,0,0,-0.8772,00774C
5,2019-09-04,8.6572,8.6572,8.6572,8.6572,0,0,0.1106,00774C
6,2019-09-05,8.6859,8.6859,8.6859,8.6859,0,0,0.3315,00774C
7,2019-09-06,8.705,8.705,8.705,8.705,0,0,0.2203,00774C
8,2019-09-09,8.705,8.705,8.705,8.705,0,0,0.0,00774C
9,2019-09-10,8.705,8.705,8.705,8.705,0,0,0.0,00774C
10,2019-09-11,8.705,8.705,8.705,8.705,0,0,0.0,00774C
11,2019-09-12,8.6763,8.6763,8.6763,8.6763,0,0,-0.3297,00774C
12,2019-09-16,8.6763,8.6763,8.6763,8.6763,0,0,0.0,00774C
13,2019-09-17,8.6763,8.6763,8.6763,8.6763,0,0,0.0,00774C
14,2019-09-18,8.6476,8.6476,8.6476,8.6476,0,0,-0.3308,00774C
15,2019-09-19,8.6476,8.6476,8.6476,8.6476,0,0,0.0,00774C
16,2019-09-20,8.6381,8.6381,8.6381,8.6381,0,0,-0.1106,00774C
17,2019-09-23,8.6476,8.6476,8.6476,8.6476,0,0,0.1107,00774C
18,2019-09-24,8.5998,8.5998,8.5998,8.5998,0,0,-0.5531,00774C
19,2019-09-25,8.6285,8.6285,8.6285,8.6285,0,0,0.3337,00774C
20,2019-09-26,8.6285,8.6285,8.6285,8.6285,0,0,0.0,00774C
21,2019-09-27,8.6285,8.6285,8.6285,8.6285,0,0,0.0,00774C
22,2019-10-01,8.6285,8.6285,8.6285,8.6285,0,0,0.0,00774C
23,2019-10-02,8.6189,8.6189,8.6189,8.6189,0,0,-0.1109,00774C
24,2019-10-03,8.6094,8.6094,8.6094,8.6094,0,0,-0.111,00774C
25,2019-10-04,8.6094,8.6094,8.6094,8.6094,0,0,0.0,00774C
26,2019-10-07,8.5998,8.5998,8.5998,8.5998,0,0,-0.1111,00774C
27,2019-10-08,8.5615,8.5615,8.5615,8.5615,0,0,-0.4449,00774C
28,2019-10-09,8.552,8.552,8.552,8.552,0,0,-0.1117,00774C
29,2019-10-14,8.6381,8.6381,8.6381,8.6381,0,0,1.0067,00774C
30,2019-10-15,8.7433,8.7433,8.7433,8.7433,0,0,1.2182,00774C
31,2019-10-16,8.6381,8.6381,8.6381,8.6381,0,0,-1.2035,00774C
32,2019-10-17,8.6285,8.6285,8.6285,8.6285,0,0,-0.1107,00774C
33,2019-10-18,8.6476,8.6476,8.6476,8.6476,0,0,0.2217,00774C
34,2019-10-21,8.6572,8.6572,8.6572,8.6572,0,0,0.1106,00774C
35,2019-10-22,8.6572,8.6572,8.6572,8.6572,0,0,0.0,00774C
36,2019-10-23,8.6263,8.6263,8.6263,8.6263,0,0,-0.3569,00774C
37,2019-10-24,8.3851,8.3851,8.3851,8.3851,0,0,-2.7964,00774C
38,2019-10-25,8.6263,8.6263,8.6263,8.6263,0,0,2.8769,00774C
39,2019-10-28,8.6263,8.6263,8.6263,8.6263,0,0,0.0,00774C
40,2019-10-29,8.6263,8.6263,8.6263,8.6263,0,0,0.0,00774C
41,2019-10-30,8.5877,8.5877,8.5877,8.5877,0,0,-0.4474,00774C
42,2019-10-31,8.5684,8.5684,8.5684,8.5684,0,0,-0.2247,00774C
43,2019-11-01,8.5877,8.5877,8.5877,8.5877,0,0,0.2252,00774C
44,2019-11-04,8.5877,8.5877,8.5877,8.5877,0,0,0.0,00774C
45,2019-11-05,8.5877,8.5877,8.5877,8.5877,0,0,0.0,00774C
46,2019-11-06,8.5877,8.5877,8.5877,8.5877,0,0,0.0,00774C
47,2019-11-07,8.5973,8.5973,8.5973,8.5973,0,0,0.1124,00774C
48,2019-11-08,8.5973,8.5973,8.5973,8.5973,0,0,0.0,00774C
49,2019-11-11,8.607,8.607,8.607,8.607,0,0,0.1122,00774C
50,2019-11-12,8.5877,8.5877,8.5877,8.5877,0,0,-0.2242,00774C
51,2019-11-13,8.607,8.607,8.607,8.607,0,0,0.2247,00774C
52,2019-11-14,8.607,8.607,8.607,8.607,0,0,0.0,00774C
53,2019-11-15,8.6166,8.6166,8.6166,8.6166,0,0,0.1121,00774C
54,2019-11-18,8.6263,8.6263,8.6263,8.6263,0,0,0.112,00774C
55,2019-11-19,8.6263,8.6263,8.6263,8.6263,0,0,0.0,00774C
56,2019-11-20,8.6263,8.6263,8.6263,8.6263,0,0,0.0,00774C
57,2019-11-21,8.6456,8.6456,8.6456,8.6456,0,0,0.2237,00774C
58,2019-11-22,8.6649,8.6649,8.6649,8.6649,0,0,0.2232,00774C
59,2019-11-25,8.7035,8.7035,8.7035,8.7035,0,0,0.4454,00774C
60,2019-11-26,8.7035,8.7035,8.7035,8.7035,0,0,0.0,00774C
61,2019-11-27,8.6842,8.6842,8.6842,8.6842,0,0,-0.2217,00774C
62,2019-11-28,8.6842,8.6842,8.6842,8.6842,0,0,0.0,00774C
