,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2019-03-07,37.0338,37.1084,37.0431,37.0338,47395,436,-0.7,00782B
1,2019-03-08,37.2762,37.3881,37.2762,37.3322,50626,439,0.8056,00782B
2,2019-03-11,37.3415,37.3788,37.3788,37.3415,8976,439,0.025,00782B
3,2019-03-12,37.2483,37.3229,37.2669,37.3229,2039,379,-0.0499,00782B
4,2019-03-13,37.3695,37.5186,37.3695,37.4814,14905,381,0.4247,00782B
5,2019-03-14,37.3601,37.4627,37.3601,37.4441,1565,380,-0.0995,00782B
6,2019-03-15,37.3229,37.4347,37.3229,37.4347,1283,380,-0.0249,00782B
7,2019-03-18,37.3788,37.4347,37.3974,37.3788,1363,380,-0.1494,00782B
8,2019-03-19,37.3788,37.4347,37.3788,37.3974,722,380,0.0499,00782B
9,2019-03-20,37.3415,37.3788,37.3788,37.3695,761,379,-0.0748,00782B
10,2019-03-21,37.3881,37.6026,37.3881,37.5932,5960,382,0.5988,00782B
11,2019-03-22,37.6212,37.7611,37.6212,37.6772,984110,1171,0.2232,00782B
12,2019-03-25,37.6678,38.19,37.8543,38.0781,5755,1183,1.0641,00782B
13,2019-03-26,38.0594,38.1154,38.1154,38.0687,24539,1183,-0.0245,00782B
14,2019-03-27,38.1154,38.2552,38.1154,38.2552,4462,1189,0.4898,00782B
15,2019-03-28,38.4137,38.6934,38.4137,38.6188,8077,1200,0.9505,00782B
16,2019-03-29,38.6095,38.6748,38.6561,38.6095,621,1200,-0.0241,00782B
17,2019-04-01,38.507,38.6095,38.6095,38.5629,1277,1136,-0.1207,00782B
18,2019-04-02,38.2273,38.3578,38.2273,38.3578,903,1130,-0.5319,00782B
19,2019-04-03,38.1433,38.2366,38.2366,38.1433,4831,1124,-0.5591,00782B
20,2019-04-08,38.1433,38.2273,38.1433,38.2273,6312,1126,0.22,00782B
21,2019-04-09,38.134,38.2086,38.134,38.2086,4301,1126,-0.0488,00782B
22,2019-04-10,38.2832,38.3485,38.2832,38.3298,6044,1129,0.3172,00782B
23,2019-04-11,38.4044,38.4417,38.4231,38.4044,5399,1131,0.1946,00782B
24,2019-04-12,38.3205,38.3485,38.3485,38.3485,5098,1130,-0.1457,00782B
25,2019-04-15,38.1806,38.1993,38.1993,38.1806,4915,1432,-0.4376,00782B
26,2019-04-16,38.1806,38.2366,38.1806,38.2179,4715,1433,0.0977,00782B
27,2019-04-17,38.0408,38.134,38.134,38.0408,4571,1427,-0.4635,00782B
28,2019-04-18,38.0967,38.1806,38.134,38.1806,4167,1432,0.3676,00782B
29,2019-04-19,38.2179,38.2366,38.2179,38.2273,4346,1434,0.1221,00782B
30,2019-04-22,38.1806,38.2459,38.2459,38.1806,5206,1432,-0.122,00782B
31,2019-04-23,38.1527,38.1713,38.1713,38.1713,4173,1432,-0.0244,00782B
