,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2010-05-27,54.7821,67.1856,67.1856,59.4334,232820,6006,43.75,6803
1,2010-05-28,52.9732,58.9166,58.9166,54.7821,126568,5536,-7.8261,6803
2,2010-05-31,52.198,56.3325,53.7484,54.5237,66175,5510,-0.4717,6803
3,2010-06-01,53.2316,56.3325,54.5237,53.2316,60811,5380,-2.3697,6803
4,2010-06-02,51.1644,55.0405,53.2316,51.1644,68823,5171,-3.8835,6803
5,2010-06-03,48.632,52.4564,51.6812,48.9421,107096,4946,-4.3434,6803
6,2010-06-04,48.9421,51.1644,48.9421,49.4072,61773,4993,0.9504,6803
7,2010-06-07,46.358,48.3219,47.5467,47.2366,77636,4774,-4.3933,6803
8,2010-06-08,47.2366,49.0971,47.2366,48.5803,38452,4909,2.8446,6803
9,2010-06-09,47.0299,48.9938,48.9938,47.0816,30804,4758,-3.0851,6803
10,2010-06-10,47.1849,48.0635,48.0635,47.7017,14690,4821,1.3172,6803
11,2010-06-11,47.5984,48.5803,48.5803,47.6501,18156,4815,-0.1083,6803
12,2010-06-14,48.0118,50.3375,48.0635,49.3555,47730,4988,3.5792,6803
13,2010-06-15,48.3219,49.3555,49.3555,48.5803,22295,4909,-1.5707,6803
14,2010-06-17,48.1669,49.0971,49.0971,48.1669,12783,4868,-0.8511,6803
15,2010-06-18,48.1669,48.9938,48.1669,48.5803,11773,4909,0.8584,6803
16,2010-06-21,48.5803,49.3555,49.0971,48.632,22375,4915,0.1064,6803
17,2010-06-22,48.2702,48.632,48.5803,48.2702,15777,4878,-0.7439,6803
18,2010-06-23,48.0635,48.9421,48.1152,48.4253,13342,4894,0.3212,6803
19,2010-06-24,48.477,49.614,48.477,48.9938,19901,4951,1.174,6803
20,2010-06-25,48.1669,48.8387,48.8387,48.2186,14453,4873,-1.5823,6803
21,2010-06-28,48.0635,48.5803,48.0635,48.4253,6463,4894,0.4287,6803
22,2010-06-29,48.0635,49.0455,48.3736,48.1669,15258,4868,-0.5336,6803
23,2010-06-30,46.5131,47.8051,47.8051,47.2883,26506,4779,-1.824,6803
24,2010-07-01,46.5131,47.2366,47.2366,46.5648,10320,4706,-1.5301,6803
25,2010-07-02,46.5131,46.9782,46.5648,46.6164,7949,4711,0.111,6803
26,2010-07-05,46.6164,47.1849,46.6164,46.9782,6714,4748,0.7761,6803
27,2010-07-06,46.9265,47.8051,46.9782,47.6501,10017,4815,1.4301,6803
28,2010-07-07,47.2883,47.8568,47.7017,47.4433,8016,4795,-0.4338,6803
29,2010-07-08,47.4433,48.2702,47.8568,47.6501,11001,4815,0.4357,6803
30,2010-07-09,47.4433,47.9085,47.9085,47.495,6997,4800,-0.3254,6803
31,2010-07-12,48.0118,50.8026,48.0118,50.8026,80420,5134,6.9641,6803
32,2010-07-13,50.1308,52.198,50.8543,50.1824,56945,5071,-1.2208,6803
33,2010-07-14,49.6656,50.5959,50.5959,49.769,23981,5030,-0.8239,6803
34,2010-07-15,49.7173,50.2858,49.8724,50.1308,13437,5066,0.7269,6803
35,2010-07-16,49.0971,50.5442,50.1824,49.2005,13472,4972,-1.8557,6803
36,2010-07-19,48.5803,49.614,49.2522,48.5803,12115,4909,-1.2605,6803
37,2010-07-20,48.5803,49.0971,49.0455,48.7354,7086,4925,0.3191,6803
38,2010-07-21,48.8387,49.924,48.8387,49.6656,12781,5019,1.9088,6803
39,2010-07-22,49.8724,51.4228,49.8724,50.906,28616,5145,2.4974,6803
40,2010-07-23,49.614,51.6812,51.6812,49.6656,37685,5019,-2.4365,6803
41,2010-07-26,49.5623,50.8026,50.1308,50.3892,48804,5092,1.4568,6803
42,2010-07-27,49.0446,50.3121,50.1467,49.0997,44820,4654,-2.4,6803
43,2010-07-28,49.1548,49.6508,49.4855,49.5957,13187,4701,1.0101,6803
44,2010-07-29,48.9344,49.5957,49.5957,48.9344,18088,4638,-1.3333,6803
45,2010-07-30,48.5487,48.9344,48.9344,48.5487,17942,4601,-0.7883,6803
46,2010-08-02,48.5487,49.1548,48.5487,48.9344,7183,4638,0.7946,6803
47,2010-08-03,48.8793,49.4304,49.3201,48.8793,9109,4633,-0.1126,6803
