,2010-05-31,2010-08-31,2010-11-30,2011-03-31,2011-05-31,2011-08-31,2011-11-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-05-31,2014-08-31,2014-11-30,2015-03-31,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-31,2019-05-31,2019-08-31,2019-11-30
0,2344,2436,4152,1560,3552,2337,2731,5466,2337,2353,5907,1460,5531,1710,5480,2028,2379,2451,5306,5289,3293,1310,6561,8163,2325,2514,2417,3545,2204,2417,1736,3688,3538,2460,2315,3037,1905,8199,3346
1,3555,2107,3038,3617,1762,6112,4737,4990,6188,5263,1806,3264,3227,1569,1232,2458,4564,2497,6213,6223,2357,6525,2457,3090,2017,3538,1447,3055,5903,3662,4414,6231,6125,4919,1219,2377,1409,3095,2034
2,4932,5356,2109,3218,4126,3033,1521,1905,2399,2379,4745,6456,1232,2351,2478,2451,6505,1218,1597,4990,5538,1708,1218,2455,5283,2017,2204,2384,1522,2485,3293,2419,6154,3553,3149,3437,3268,1305,6196
3,1626,2201,2369,2059,2059,4763,1785,6214,3260,5269,1707,3090,1455,2013,4930,2393,2014,2354,6220,3260,3494,2361,3697,8261,2396,8150,2033,6279,8446,3296,9105,5349,3388,6286,2486,6243,1219,2376,2377
4,3315,2633,2360,5243,2731,4743,6158,6139,6176,5274,2317,3046,3090,3163,2939,3553,2357,6183,2417,5318,5302,2354,1447,2548,8112,3033,6271,1522,2376,6592,6251,2020,8050,6115,6617,6238,4576,3596,2461
5,4132,3339,1716,2347,6111,4738,6112,4551,1709,2382,2062,3508,2059,5305,4198,6203,2547,2903,4726,2612,2228,1259,2609,8240,1569,3017,6706,1513,4763,5471,6581,3367,1522,1604,3043,2030,2332,9921,1201
6,2439,2316,4416,1305,1608,2340,3031,2350,2352,2371,3213,2926,4166,6209,2231,4180,3003,2020,2547,2101,4552,3536,8054,2547,5346,3034,2420,8021,4915,4906,6617,1905,1219,4738,1522,2034,1569,2393,1810
7,2350,3152,2025,2362,2615,4733,1907,3152,5530,5234,3324,4739,6411,3205,3230,1402,1604,5243,2101,2028,2399,6576,2606,3662,8068,1473,3049,1231,8249,3630,4746,8050,1608,1598,6237,6271,8908,1810,2387
8,2539,2109,3686,4166,5326,1609,1720,2369,4721,2368,2401,6471,2301,2396,1815,3338,1597,6526,3289,2014,4535,5285,3679,2459,6116,1455,5521,6492,1219,3454,2369,1402,4947,8383,8044,2028,5215,9926,2201
9,2617,2317,2449,1232,3536,6141,5608,4953,3323,2362,1589,6180,5315,2404,2408,3346,2360,5521,6209,3289,4426,6547,3438,2597,1215,6182,4912,2312,6499,6121,1522,2385,3294,4953,5490,6277,2459,2464,5538
10,4532,4205,4120,2348,2338,1521,4968,2460,2910,2361,3339,5525,1714,6471,1455,6189,3346,3045,2028,6548,2373,6701,6471,6175,3452,3037,2841,2417,2017,3023,8444,4426,2526,8411,2313,6278,9905,2535,9151
11,2375,4180,1434,2373,1815,4961,1626,6168,1232,5217,3038,6453,1815,3227,6145,6129,2362,2401,6534,6192,2405,5701,6146,3680,1522,3013,6147,4906,5466,3545,1402,2727,1905,2374,2597,2038,1598,1402,5243
12,2338,4171,1308,2028,3494,5508,6111,4909,2462,2384,3078,6269,1460,1815,3599,6579,2365,3294,3354,3030,2028,1455,2395,2608,2031,3008,2397,6245,8054,8215,4738,1535,2206,1219,6277,6213,1523,6107,8482
13,2642,1558,3354,4609,2207,5234,4932,2388,2637,2359,3094,2103,2459,5469,5466,5512,5534,2028,6108,3265,2027,5312,6239,3622,6238,6143,6523,2017,6104,3558,2417,5534,2475,6670,1598,6282,6111,8044,5356
14,4540,4609,1219,2062,1808,3090,2341,5287,2460,4994,5474,1232,4147,6124,1440,2379,5533,2547,2612,2458,2025,1447,1231,1231,4803,6141,1231,1904,5490,1402,1535,1219,3617,6234,2460,2025,6284,5356,8201
15,4142,5525,5512,2545,3519,2350,4909,2387,2906,2356,4552,2905,4925,3234,2352,2015,2353,1597,6561,6126,2303,3501,3367,5471,2608,2906,3583,3515,1904,8489,4909,5007,2614,1522,5217,2023,6125,8341,3520
16,3080,1219,6129,1262,3227,3105,2342,1722,5608,2354,6206,3095,3019,6278,2456,2536,2352,3031,6412,6689,6134,5425,1473,2610,1455,8121,5466,2365,3380,5904,1451,8406,4990,4506,8422,6191,1522,4930,2419
17,1715,1560,6126,4128,2353,2062,2351,3490,1580,3596,2454,3045,2206,6141,5392,1597,2349,3611,2013,2915,6138,2324,2547,4414,4707,2841,5326,1201,5443,1904,6121,2201,2461,2012,1608,6187,6491,6290,8122
18,1440,2049,5434,2009,2476,4979,2365,1789,5312,2352,2013,1589,1702,2608,2473,2328,2371,6285,3611,3294,2023,2459,3031,2615,5907,3078,8329,5305,5392,6261,2376,8114,1535,2406,3558,2022,5351,6412,6282
19,4198,4726,3579,6107,2433,3149,2368,6196,5371,2388,2012,2351,6143,2059,2405,1219,6111,6203,1259,1232,2022,2341,2014,1259,6284,1409,1455,5469,5604,1522,3231,6257,3466,1904,2615,6184,5388,6284,2464
