,2010-05-31,2010-08-31,2010-11-30,2011-03-31,2011-05-31,2011-08-31,2011-11-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-05-31,2014-08-31,2014-11-30,2015-03-31,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-31,2019-05-31,2019-08-31,2019-11-30
0,2035,4174,2426,2002,5245,2610,3474,6504,6548,6554,4743,6554,2208,6251,6277,6160,6197,1702,5515,3705,2350,3669,3033,6443,2328,4130,5609,1815,5318,2403,5263,3689,5217,6541,2030,3388,1521,6538,1210
1,2329,4979,6116,2449,3705,6277,6284,3081,1460,6548,6554,6548,4123,2317,5534,8046,6567,5483,2526,2015,1305,5608,4961,2841,6592,6203,5434,3523,6154,2486,1612,3706,1216,2399,3376,6665,9105,6189,4117
2,1903,4414,3658,5457,6235,1319,3189,6533,2841,1308,6548,2841,4532,1569,5903,2375,2380,2374,3541,3354,4401,4958,2379,2437,2397,1210,3688,3647,5871,3019,8110,3022,3428,6145,2015,6189,8072,1558,6153
3,2321,3452,4540,4909,2511,6188,3176,6523,6257,2841,2450,3017,2473,5474,6107,3662,3080,2478,2538,6492,2499,3481,3024,2421,8110,3376,2610,2437,8150,3217,5347,2228,1402,1455,4915,3105,6547,6279,2640
4,2331,6196,1447,2104,5489,1597,3228,2449,6120,6472,2841,6472,1536,1605,2399,1215,2301,2923,4126,6491,2314,1704,2421,2428,6620,1215,1108,8107,8054,2419,3622,1434,1815,2636,2376,1737,5302,3030,1216
5,1307,2030,3662,3046,2114,1455,1558,1308,2204,2450,1308,1308,6125,4552,2337,5907,2102,5317,2477,3023,4306,5469,2456,6176,2393,3051,6245,2327,3411,1216,2393,2330,5245,5434,6289,1560,6176,2509,6757
6,2206,4733,3388,5609,6134,1535,2104,2731,3017,1563,6472,1563,3611,2363,5483,1304,6104,1726,2478,3016,1307,1815,3691,2409,1338,6278,2492,3615,1326,2014,1522,3014,1609,3413,1712,2404,6191,2105,3428
7,2380,3049,4739,2395,4157,3450,2443,6416,1513,6257,3017,2450,1523,2206,1626,2374,6411,2421,3518,2441,2421,6191,1815,2408,4105,2020,3037,4935,6464,6125,3538,6147,6540,6261,3428,8464,8349,6154,6279
8,2419,2640,1315,1337,1605,2102,6456,1563,4966,1513,6257,6257,5263,2204,6672,3508,5530,3037,5607,2929,2102,2353,3030,2433,5285,1558,2105,3411,2408,8044,6243,6255,1737,8110,3689,3376,3533,6115,3698
9,2535,3059,2548,3362,5287,4733,6257,6233,2450,3313,1560,1440,2359,4401,3680,5903,2426,3527,5305,3296,3227,2365,6679,6153,3068,6223,5533,5318,6237,3176,6244,6150,2459,3014,6271,2328,8096,4925,5392
10,2101,3620,6105,1785,6173,2303,1313,1440,1560,1560,3313,1513,1264,2405,6666,6108,5512,5346,2926,2454,5608,3217,1773,6150,1815,1569,2311,2317,6562,6146,3374,2601,1101,6202,4919,2605,6289,2926,1402
11,4198,6115,6177,6129,5522,6414,2637,1513,2301,6120,1513,1460,5256,5508,3131,1303,5505,4117,8054,2436,2609,6230,1762,2438,2317,6230,4803,8411,1909,3130,6251,8179,6251,6189,6279,2612,2341,3003,6290
12,2025,2905,4932,4961,3538,1612,5280,3293,2101,3094,2301,4180,6550,6187,3665,3221,5489,8096,8078,6452,2337,2308,6194,2441,3095,6191,5007,2618,1340,8155,3383,8210,6245,6182,6257,1580,6251,2617,3303
