,2013-03-29,2013-05-31,2013-08-30,2013-11-29,2014-03-31,2014-05-30,2014-08-29,2014-11-28,2015-03-31,2015-05-29,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-29,2019-05-31,2019-08-30,2019-11-29,2020-03-31,2020-05-29,2020-08-31,2020-11-30,2021-03-31,2021-05-31,2021-08-31
0,6415,6415,6415,6415,2915,2915,2915,2915,3008,3008,5904,5904,5904,5904,5904,5904,5904,5904,4157,4157,2912,2912,2912,2912,5269,5269,5269,3293,3293,3293,3293,3293,3293,3293,4157
1,4966,4966,1565,1476,6415,1565,3008,8464,5904,8464,3008,3008,8464,3529,8464,8464,8464,8464,5904,5904,5904,5904,5269,2492,2492,2492,3529,5269,5269,5269,3529,3529,3529,3529,3293
2,1565,1565,1476,1565,1476,3008,1565,3008,8464,5904,8464,8464,3008,8464,3529,1565,1565,3529,8464,3529,2915,2915,5904,2327,5904,3529,2492,3529,8464,3529,5269,8464,8464,3034,2609
3,5269,1476,5904,5904,1565,8464,5904,8454,1565,1476,3529,1476,1476,3008,9910,3529,3529,3008,3529,8464,4157,3529,2915,5269,2327,2327,3293,8464,3529,8464,8464,5269,3034,8464,3034
4,1476,5904,4966,3008,5904,1476,8464,5904,8454,6415,6415,6415,3529,1476,1565,3293,3293,5269,3008,5269,3529,4157,3529,5904,3529,8436,8436,9910,2345,2345,2345,3034,2345,4966,3529
5,5904,3045,3008,3045,8464,5904,1476,1565,1476,1565,1476,3529,6415,1565,3293,9910,3008,1565,2912,3293,8464,5269,8464,2915,8436,8464,8464,2345,9910,9910,3034,4966,4966,2615,2615
6,3045,3008,8299,2912,3008,6415,6415,4966,2912,3529,8044,9910,9910,9910,3008,3008,9910,2912,1565,3008,3293,8464,2327,3529,8464,3293,9910,8436,8436,3034,9910,2345,5269,2345,2603
7,1227,1227,3045,2395,2912,8454,8454,1476,3529,2912,9910,1565,1565,6415,1476,2912,5269,3293,3293,2912,5269,3293,3293,8464,9910,9910,5904,5904,3034,5904,4966,9910,9910,2609,4966
8,3008,8299,2912,8299,8044,2912,2912,2912,8044,8044,2912,8044,2912,2912,2912,1476,2912,9910,9910,1565,9910,9910,9910,8436,3293,5904,2345,3034,2395,4966,2395,2395,8454,2603,8464
9,3673,3673,8044,8044,2395,3529,4966,8044,6415,9910,1565,2912,2395,2395,6415,5269,1476,6505,5269,9910,3008,4966,2337,9910,1476,6669,2327,1476,5904,2395,2330,2330,6669,2379,2379
10,2912,2912,1227,8454,3529,2395,8044,6415,4966,3034,2395,2395,8044,3293,5269,2395,2395,2395,8299,4966,1216,1565,8436,2408,6669,1476,3034,4966,1476,8436,5904,8436,2379,9910,9910
11,2395,8044,2395,3529,8454,8044,2395,3529,9910,2330,2330,2330,2330,4966,2395,6415,2330,2345,2395,2345,4966,8436,2492,3293,3532,2345,4966,2395,4966,3008,1227,6669,5904,8454,2377
12,8044,2395,3673,2330,3045,4966,3529,2395,2408,4966,2408,3034,3034,3552,3552,3552,3552,2330,2345,2395,1565,1216,1476,1476,2408,3034,1476,6669,3008,1476,8436,5904,2330,2377,8454
13,8454,8454,2330,1227,8299,9910,9910,9910,2395,2395,3034,4966,1227,1227,4966,4966,6415,1476,2330,8299,2345,3008,1216,3008,1565,1565,6669,2492,6669,6669,6669,8454,2395,1476,1476
14,8436,5269,8436,5903,4966,3045,5903,2408,2330,2408,4966,2408,4966,5269,1227,2330,4966,6415,6415,6456,2395,2337,3008,2337,2345,4966,2395,3008,2379,2330,2379,2379,1476,2395,2345
15,8406,2330,8454,9910,9910,5903,3045,3034,3034,8454,1227,1227,5269,8044,3034,2345,8436,8299,8436,8436,2227,1476,2408,6669,4966,3532,3008,6488,1227,2379,8454,1227,8299,5904,6415
16,2330,8436,5903,1590,1590,1590,3034,5903,5269,1227,8454,2474,2474,2330,2345,5903,6505,8436,1476,1476,8436,2395,1565,2345,6488,6488,1565,2912,2227,8454,3008,6415,8436,6669,8299
17,2105,8406,1590,8406,5903,2330,2330,2330,5903,5269,2474,5269,5903,3034,2330,8299,8299,4966,6456,6415,8299,2227,4966,1565,2395,8454,6488,1227,6488,1227,1476,1476,6415,2330,5347
18,5903,5903,8406,2227,2330,2227,2408,2454,5347,5347,5903,5903,8299,5903,5903,8454,2345,5903,4966,2227,6415,2345,2395,1216,3008,2912,2912,2379,8454,6415,3105,2227,6488,6415,2330
19,1590,9910,9910,4966,8406,8406,1590,3045,2454,5903,5347,8454,2408,2474,8299,1227,1227,8454,2227,2330,2337,2408,6669,2395,2912,2395,8454,1565,2912,2912,6415,8299,1227,8436,6669
20,,,3034,3034,2227,5347,2454,5269,1227,2474,3045,3045,3552,8299,8454,8436,5903,6456,6505,6505,2330,5903,2345,4966,8454,3008,5347,2227,1565,2227,2227,6488,2377,5269,1590
