,2010-05-31,2010-08-31,2010-11-30,2011-03-31,2011-05-31,2011-08-31,2011-11-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-05-31,2014-08-31,2014-11-30,2015-03-31,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-31,2019-05-31,2019-08-31,2019-11-30
0,2028,4171,2509,2527,1440,1789,1737,2356,3231,1264,3127,2636,6111,1227,1712,5346,2315,1227,2929,2457,2201,1402,4739,8249,4943,2449,1723,3362,2511,2492,2385,2524,2404,1531,2637,3036,1711,6586,8454
1,1737,1102,5607,3315,2929,4726,2540,2472,5607,5347,6434,6456,4919,3645,4958,1714,6715,8016,4912,2008,2441,2939,8033,8033,4947,6230,1229,1259,2033,6189,1304,5536,1319,2841,1716,2617,1451,9930,1503
2,3438,1734,4164,2538,2606,1325,3227,4739,2014,5227,1203,2476,4763,2107,5388,5609,2325,2540,2341,2015,3038,5480,2354,1437,2329,8249,2403,1419,3620,2308,2114,1460,8925,2729,1416,4609,2006,5306,4532
3,1460,2438,5347,1471,1313,4938,1580,5301,2015,1810,5466,6209,1409,5234,3296,1618,2515,1715,1904,2495,2910,5261,3579,2610,6214,6111,1507,8053,1460,2428,6492,1319,1904,9904,8329,6104,8429,3030,3538
4,1717,2450,1301,3558,2028,1806,2380,1903,3527,1773,3605,2351,1312,4979,2417,1604,5531,1531,2311,2633,3689,1736,1905,2315,3303,4958,8215,5434,3598,2731,2536,2608,1229,9907,9904,3628,6209,2450,8213
5,5388,5388,1109,4942,1582,3552,2325,1504,1806,1909,6283,2535,6191,2601,4911,1720,5525,2108,2441,2103,5392,1702,2023,1304,5609,1773,1626,8406,6757,1704,2729,1532,6582,3015,2382,2477,8359,5484,2104
6,2841,3152,2395,5538,3707,1507,2403,6187,5234,1714,5434,1217,6491,6115,2477,2323,2504,1815,1108,3028,1715,2906,6158,8053,6562,2515,2727,2373,4535,2375,4528,2506,3555,6672,2029,1530,6271,1714,5466
7,2495,3620,1471,5364,2731,4743,5288,2639,1108,1710,6414,2426,2107,2905,5530,5903,2501,6182,1259,4174,3557,8068,2027,1216,1583,2433,2324,5508,2362,1707,1532,2461,2634,1903,1711,8429,2013,3706,8925
8,5701,2379,1618,6191,1618,1110,3645,2312,4733,5234,1231,1227,6142,2727,2466,2609,2497,2478,2105,6505,4119,6412,2312,5438,1531,2408,1434,2396,2007,3013,6131,2476,3303,5356,5478,1339,6191,1563,3628
9,1455,2376,2017,2014,1569,1569,2405,3681,6105,6121,2323,6261,4930,1708,2107,1234,2495,1513,5203,3706,2545,2231,1442,2433,2535,2106,2723,3019,1902,3679,8240,2633,2312,1201,2495,3006,2020,8908,9930
10,2030,6131,3702,1101,1339,3323,4739,2601,2374,5217,2731,6203,3658,6235,4564,3323,2478,1440,1507,1785,6592,4132,2108,1618,3372,2526,1416,2923,4803,2321,1402,3615,2108,6251,1301,2461,8446,2597,1525
11,2474,2303,1101,2464,1720,2025,2608,2020,1582,2609,6120,2109,1513,1612,5471,5525,2524,2723,6539,5425,1714,2314,1532,3303,4738,2206,6169,1321,8446,6160,2504,5434,5505,6702,1907,1310,2022,1903,8086
12,2547,1537,4733,4930,2463,2029,2642,1201,3593,3003,2640,2360,2538,4105,4123,5484,2526,1402,1789,2542,2375,2207,1110,6492,1217,4123,6670,6175,4416,2910,5315,2729,1409,1714,8433,2022,4130,8199,2511
13,1314,2721,4736,4932,1215,2361,1229,2049,3017,2601,6495,6538,3149,1723,1326,5483,2463,3679,2406,6116,2912,2206,1402,3205,1725,1303,6699,1704,8021,1717,2002,6188,3169,3169,2034,8489,4133,1503,2009
14,2323,2731,4725,2476,1225,1215,3008,3591,2438,2547,1709,2367,3376,3231,6223,5392,2461,1437,1722,6120,5438,1216,8064,5478,1903,5285,6158,2030,4180,2002,6143,6166,9905,2597,6701,5438,2038,3213,2506
15,4168,2015,4738,2491,1729,6139,5009,2397,1611,1704,6235,5306,3680,1218,1618,5340,2459,3141,2911,1402,3066,4166,3305,1303,2636,6582,6665,2329,1217,5356,2396,4975,1304,4506,1203,4126,2103,2062,1504
16,1215,3205,4739,4935,1522,3338,2903,2382,2397,1618,2314,4958,5340,6277,4942,5326,6104,4401,2107,2524,1409,5347,6223,2481,2617,2387,2345,6156,1519,2007,4426,1447,2356,8329,1436,2506,1409,6274,1451
17,1905,2906,4721,2443,1904,6134,1442,1229,6255,1605,4969,3130,1737,2023,2536,5318,2527,3265,3679,6125,2101,1326,2006,1710,1535,3019,1440,3611,4108,1440,3693,2504,1580,2905,8942,2029,6576,5301,9911
18,2404,1451,4535,2514,6203,3317,4191,5538,4736,1532,1590,2527,1339,1904,5340,5305,2536,1714,3682,8021,5318,5203,1440,3483,2105,5508,6153,6561,6231,1437,2527,8299,4919,1231,6224,8924,3556,1218,1718
19,5245,1519,4526,2524,4947,1409,2908,1722,4994,2509,2359,6453,3428,2324,1590,5904,6108,6175,1210,6129,6434,3693,8021,1737,2912,6592,1402,6231,6233,2009,1702,6617,6434,4725,2506,1598,8261,2912,4108
20,1339,1521,4763,2441,4944,2603,2448,2499,5484,3372,3707,5474,1104,5215,2597,5302,5505,2028,6706,4107,8069,3645,5438,2313,2062,1710,3443,3617,3707,6243,1704,6138,6416,2913,2548,1210,3628,8008,8028
21,1301,2391,4766,1233,4938,6126,3189,2636,1201,6224,1902,4915,3558,4137,1315,5289,5489,1611,5312,2342,1215,2640,1795,3141,6154,3712,2201,8131,2014,2439,6251,4977,1532,1720,1440,3266,2324,1708,4535
22,2417,3437,4191,2526,4935,2481,2495,1716,3315,6237,5538,2374,1773,1301,5515,5288,2455,2105,3152,2341,2030,2387,8081,1451,1309,8349,2114,2497,2017,1434,1733,2542,3698,3538,9802,5457,8926,2841,3702
23,2106,5317,4144,4958,1608,3703,1773,1711,2017,1312,6115,4532,2406,3437,6540,5287,2542,2515,1307,2597,2729,2104,6554,2104,1304,1231,4205,1231,1203,5347,1437,8110,1215,2430,6290,8925,2352,2441,4745
24,1582,3438,4906,4960,1612,1337,2456,1326,2426,6257,6471,3471,2463,6550,1109,5283,2547,5512,4107,2601,2017,2639,2448,1722,1447,2009,4414,3049,3697,3036,5434,4528,4739,3556,4133,8926,5531,8349,1229
25,3691,3303,4141,1232,4904,6125,2438,2449,4944,2311,4992,2617,2027,1203,5525,6111,2548,1102,1903,8016,2430,1504,3030,1612,1451,2008,1459,8299,8444,1459,2458,5280,1582,2466,1733,2612,5530,2420,2373
26,2101,3294,4137,4803,1583,5533,3324,2610,6188,6281,2029,3323,4969,1716,1436,5274,2597,2637,2102,2330,1736,1513,2603,5533,2023,5457,4164,6194,2062,1460,1582,2204,1259,1259,6203,1702,5521,3538,3556
27,2388,1513,4133,4968,4976,1726,5263,6257,2499,5531,1216,4103,2618,5521,2547,5227,2601,5264,1325,2365,1725,6561,2908,2409,2536,3519,6139,2352,2104,1409,5512,2206,1416,2420,2450,8446,2373,5305,1101
28,2059,5607,4130,2439,1626,3036,1563,2027,1618,1229,3596,6452,2642,2009,3689,4766,2405,6209,1608,2607,4168,1725,2475,8021,2642,2361,2105,2059,1806,8121,2618,4426,2106,1303,8110,1704,2387,1612,6464
