,2013-03-29,2013-05-31,2013-08-30,2013-11-29,2014-03-31,2014-05-30,2014-08-29,2014-11-28,2015-03-31,2015-05-29,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-29,2019-05-31,2019-08-30,2019-11-29,2020-03-31,2020-05-29,2020-08-31,2020-11-30,2021-03-31,2021-05-31,2021-08-31
0,3702,2603,2382,4938,5530,2890,1326,1504,2915,2912,2377,8454,2347,2409,3037,1722,2201,2379,2915,8299,2324,3176,3037,2498,4147,2408,2618,2002,2337,2610,2880,1301,2892,1722,2308
1,2303,3045,2609,2201,1326,3481,5483,2105,2377,3673,5530,3034,2353,2888,2603,2227,8464,3293,4958,2354,2301,3682,6456,2347,2823,2492,8069,4147,2603,2409,2891,9904,4157,3045,1227
2,5483,6505,3176,2337,8069,1402,2498,2915,5530,2379,2609,6147,3481,2201,2201,8454,2454,6121,2881,3231,3682,2354,1802,2474,2408,2915,5269,1303,1802,2002,3176,2892,6456,2492,5530
3,2354,4958,4966,3231,2354,6505,2610,8046,2379,2498,3034,2353,1101,3673,2227,2615,2377,2356,9904,2207,2609,2454,2382,5483,1326,1590,2915,4904,2049,2317,2834,4904,3231,2834,1590
4,2049,1402,2610,3532,2618,2105,8406,3037,9945,9921,1590,2379,2408,2618,9945,3293,2382,8406,9945,2317,3481,2227,3481,4157,4938,3682,2498,8044,2354,2408,2888,2891,1565,8044,2327
5,2201,2201,2201,3481,2301,1476,3673,2049,4743,2308,3293,2002,2882,2609,2915,3034,6121,2412,2207,2382,4174,8044,1565,8069,2353,2823,1301,1402,6456,2885,2002,6239,3176,8436,2201
6,2317,3037,5483,6239,2337,9945,1227,4157,4157,1802,2353,2498,4174,1402,2618,2356,3682,5347,1402,4157,1476,1504,4966,2201,2337,2371,1303,3532,4147,2834,2498,2912,4904,3176,2474
7,8044,8069,2347,3034,4743,3105,1802,2337,2371,1101,8046,1101,1102,2207,2303,2610,1565,2498,6446,4147,2317,2603,8069,3293,2882,4938,3552,2492,3682,4174,6505,2880,2834,3231,6456
8,4966,1301,2324,5530,2610,2498,1722,3552,3293,2357,5483,2371,2885,1102,1476,2327,5903,2618,5903,3037,2603,2105,2610,1504,2354,6415,1590,2618,4157,2615,2327,2884,4938,5269,4938
9,2347,2317,3532,2345,8299,2354,2049,1590,6505,8069,1802,4966,3673,2615,3034,1565,2353,2395,2498,5903,6456,3481,8464,2357,2912,8406,6446,2498,8044,4147,4157,8436,4958,2201,2049
10,2382,2353,5530,6147,1722,2888,2201,2377,2049,2049,3176,2347,2454,2408,3529,9910,1722,9910,2371,2498,3529,2382,4938,3673,2317,2049,2353,1301,2609,3673,2823,4958,2884,4174,3552
11,3231,3231,2049,2354,1227,2201,6147,1722,1802,3176,1565,2408,2881,2474,6147,9921,6446,2105,2201,3176,8044,2317,3105,2377,6446,3532,2492,1802,9921,1301,2354,5530,2633,2801,2408
12,3105,2498,2353,8299,3045,2618,2347,2371,4966,4743,3682,2883,5530,4938,8406,3552,1476,3176,2301,1476,2498,9921,2308,2603,6239,2337,1802,3481,3529,3481,2344,4174,5876,2633,3176
13,2353,9904,3673,2357,3105,2227,2356,2227,3231,5530,4743,3231,3176,8046,3176,6121,2105,2610,2105,3673,8464,4938,3682,4938,5483,2344,3481,2609,2408,2344,2474,3045,2912,2474,3673
14,3037,2382,3231,3293,3481,1326,1565,2356,1504,2454,2371,2049,2409,2603,1402,2049,2498,4743,2377,9921,3008,8299,8044,4743,2327,2882,1326,2610,2409,2801,2492,2633,5530,4743,2385
15,2324,6121,2337,4966,3037,9904,3552,4743,2887,3293,5269,2603,9921,3481,2610,3037,2412,1476,5269,8464,2207,8464,8299,1802,6456,2888,3682,2633,1476,3682,2408,2354,8436,1565,3105
16,8069,2354,8069,3105,3682,2610,2105,3673,3037,1504,2408,3481,2354,2882,2408,1476,4147,9945,3293,2105,3673,3008,3529,3529,1802,1802,4147,3176,2201,1476,1301,2834,3045,4147,5904
17,2337,2324,3037,3037,2353,1802,2227,8406,8069,3682,3673,2454,4958,2454,8046,2609,9921,6446,5347,4174,2382,2207,4157,2337,2888,3481,2409,6505,9904,8436,1326,5876,8044,1227,4958
18,2498,2337,2357,2353,6239,1227,3176,2345,3176,1590,3037,2409,3532,2049,3673,2474,4743,2823,2357,2308,1504,3673,2498,1565,2474,2327,3532,1565,3481,8406,3532,8044,1227,6456,2105
19,6121,2049,3293,2498,3231,3231,9904,2301,2301,5483,2379,1590,2609,3532,2615,8044,3176,4174,4743,3552,8299,2345,3673,2303,6415,3552,6505,2409,1565,1802,5876,3176,4147,4157,2492
20,3293,3293,2498,3673,6147,1722,1476,8069,8406,2371,2454,2615,2603,6147,4958,3176,3552,1565,9921,4938,2308,6456,3176,1590,2357,2474,2474,1326,9910,1326,2801,2801,3682,3682,3008
21,8046,2347,5269,5269,8436,6147,4157,3176,1565,4157,3231,1802,2615,2881,2474,8046,4174,9921,3552,8406,3176,2609,2603,3105,6505,2409,4174,6446,2344,2618,8406,2474,2801,3105,6446
22,,,,,3673,8436,8436,1565,3682,3037,2498,2609,2227,2337,2609,5483,8406,2915,8044,2301,4938,8069,2609,6456,2303,6446,2371,2201,3673,9904,3008,3008,3008,4958,4174
23,,,,,,,,,,,,3673,2049,4958,6456,4174,9910,8044,8406,4743,3552,3552,1590,4147,2371,4147,1565,3529,8436,2105,9904,6446,6446,3008,4147
24,,,,,,,,,,,,,,,,,8044,3552,4174,8044,2105,2308,3552,3552,3552,2498,2327,8436,4174,1565,1565,1565,4743,6446,4743
