,2010-05-31,2010-08-31,2010-11-30,2011-03-31,2011-05-31,2011-08-31,2011-11-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-05-31,2014-08-31,2014-11-30,2015-03-31,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-31,2019-05-31,2019-08-31,2019-11-30
0,3617,3083,2006,1530,1710,5317,1702,5388,3227,3450,1565,3557,2025,6142,3561,3658,2605,2636,4190,6245,6244,1536,1563,3428,5907,3579,5245,1419,3688,1536,5347,6214,1760,4426,1760,1337,1760,2357,1808
1,2705,2311,2615,2642,3034,2105,2455,3006,2535,2524,2926,2454,3452,4576,2499,3624,6166,6125,5264,3653,3411,3234,3558,3598,3450,4152,6120,4167,5318,3688,4167,3697,8210,2721,8299,3590,8422,3491,8429
2,2701,4934,5215,5245,3037,2207,3588,2451,2527,2527,3005,3693,3466,4551,2491,3437,3538,4163,3315,3638,1103,3221,3534,2354,2419,3044,3046,4148,5387,3679,3038,3693,6679,1103,1103,3599,1103,6285,1103
3,2707,2345,4969,4975,3041,3561,2457,2462,2524,2535,2912,2456,3413,4535,2489,3501,5243,6124,3579,3624,3383,3406,3573,3289,3599,3037,3045,4129,2355,3697,3042,3689,6617,3491,6689,2497,8076,6277,8039
4,2721,2357,4915,4942,5469,3546,2441,2449,3294,4157,3010,3691,3481,4528,4128,3367,2332,4164,3523,3622,3380,3411,3579,3582,2451,3035,3708,3704,5508,3703,3046,3703,6561,3490,6683,3628,8033,5508,8008
5,1109,1109,1109,4766,2404,2311,1109,2463,2515,4137,3013,3703,3483,4416,4123,5234,3545,4120,3582,3620,3374,3437,3530,6182,3647,2706,6125,3698,5257,3704,3049,3681,6261,3474,6672,3541,6679,4763,6701
6,2612,2362,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,3576,1110,4733,1110,3693,1110,1110,1110,1110,1110,1110,1110,3702,1110,4733,1110
7,2609,4803,4763,4159,2612,2328,2458,2419,2514,2409,2721,3406,3367,4190,2478,2634,3546,4104,2352,6550,6552,3057,3520,6158,2406,4132,2375,3687,5522,3615,3055,3680,6257,3508,6589,3708,6540,4532,6689
8,2540,2363,4738,4148,2403,3533,2438,3411,3289,2420,2704,3689,3354,4739,2475,4166,5312,6121,6538,3665,3474,3043,3593,4532,3598,2478,2355,3673,3590,3614,3059,3679,6239,3454,6582,4103,6536,4306,6679
9,4157,4609,4552,4147,2547,3532,2430,2408,3538,3661,3055,2463,6202,4152,2472,3514,3504,2350,3583,3673,3264,3041,3491,6156,3653,5326,3064,4540,3376,3708,2908,3706,6234,3443,6536,2514,6534,4120,6572
10,2908,2371,4526,3703,2401,2030,3563,3645,2464,2340,3060,2426,3339,6234,2534,3354,2351,3703,5215,3596,3230,3038,3596,3645,3583,5471,5312,3611,2454,3590,3066,3707,6233,5478,6298,4104,6414,4107,6547
11,2527,2383,4426,3661,5351,4733,3611,2397,3591,2514,2608,3711,3315,4132,2459,2031,5215,3673,5346,3588,3217,3452,3454,3228,3579,2354,3041,4609,4925,3579,3081,3638,6203,3413,6289,4117,6411,4105,6456
12,2526,2385,4401,3624,3031,4721,2408,2396,3536,3645,2603,2420,1217,4129,4108,2617,4992,3669,4966,3584,3523,3034,3438,3653,3673,3693,3702,4702,3530,4105,2729,3712,6202,3406,6282,3529,6286,3712,6453
13,2515,2399,4164,3605,2540,4702,2406,2489,2454,3688,3068,3450,3313,4126,2535,3346,5326,2352,5388,3583,3130,3031,3413,3561,3679,6112,3037,3588,2492,3541,2723,4103,6192,3526,6281,3526,6285,3702,6443
14,2511,2403,4157,3590,3051,3483,2404,2391,3605,2910,2548,6183,3311,4107,2538,6153,3450,5531,3591,3681,3552,3019,3411,6230,3680,3686,4766,3534,3519,3533,2706,3620,6176,5701,6279,4164,6284,3605,6416
